Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
abs,All other sections,n,365.1059,340.341,32.8253,24.7649,0.7544,medium
abs,All other sections,wh_ques,0.5859,0.1587,0.6735,0.4273,0.6344,medium
abs,All other sections,allwh,0.9038,0.4042,0.9023,0.4995,0.5536,medium
abs,All other sections,wrlengh,5.5438,5.3848,0.2986,0.159,0.5324,medium
abs,All other sections,abstrcn,39.1049,32.282,15.2787,6.8229,0.4466,small
abs,All other sections,pasttnse,31.3141,25.4452,16.379,5.8689,0.3583,small
abs,All other sections,topicj,8.5432,6.3125,7.6003,2.2308,0.2935,small
abs,All other sections,dsre_vto,1.1286,0.7974,1.135,0.3312,0.2918,small
abs,All other sections,groupn,3.5973,2.5003,4.4316,1.097,0.2475,small
abs,All other sections,occurv,3.1227,2.5815,2.3508,0.5412,0.2302,small
abs,All other sections,pl_adv,4.0432,3.2028,3.7262,0.8405,0.2256,small
abs,All other sections,adj_attr,76.1881,72.1441,19.6931,4.044,0.2053,small
abs,All other sections,prep,137.0881,133.8828,16.1173,3.2053,0.1989,negligible
abs,All other sections,alladj,100.4092,96.4067,21.6062,4.0025,0.1852,negligible
abs,All other sections,p_and,3.2659,2.9082,2.5712,0.3577,0.1391,negligible
abs,All other sections,inf,10.3995,9.7207,5.0835,0.6787,0.1335,negligible
abs,All other sections,x1_jto,0.7805,0.6164,1.2806,0.1642,0.1282,negligible
abs,All other sections,wh_cl,0.3173,0.246,0.5825,0.0713,0.1224,negligible
abs,All other sections,causev,2.9373,2.6447,2.4263,0.2925,0.1206,negligible
abs,All other sections,timej,0.9795,0.7871,1.6149,0.1924,0.1191,negligible
abs,All other sections,whiz_vbn,3.8503,3.6078,2.5561,0.2425,0.0949,negligible
abs,All other sections,nonf_vth,2.08,1.9085,1.8383,0.1715,0.0933,negligible
abs,All other sections,act_tpv,0.3276,0.2616,0.7338,0.066,0.0899,negligible
abs,All other sections,prcessn,21.82,20.8488,11.1451,0.9712,0.0871,negligible
abs,All other sections,vprogrsv,5.727,5.48,3.5284,0.247,0.07,negligible
abs,All other sections,o_and,8.4443,8.1563,4.6432,0.288,0.062,negligible
abs,All other sections,evalj,0.9541,0.873,1.3798,0.081,0.0587,negligible
abs,All other sections,ttr,30.9643,30.8101,2.9287,0.1542,0.0527,negligible
abs,All other sections,sua_vb,1.6697,1.5872,1.7869,0.0825,0.0462,negligible
abs,All other sections,x2_jto,0.3768,0.3442,0.7318,0.0326,0.0445,negligible
abs,All other sections,humann,5.2568,5.0815,6.2423,0.1752,0.0281,negligible
abs,All other sections,copulapv,0.0178,0.0154,0.1329,0.0025,0.0186,negligible
abs,All other sections,all_nto,0.7627,0.7451,1.3059,0.0176,0.0135,negligible
abs,All other sections,lkly_jth,0.6957,0.6818,1.3624,0.0139,0.0102,negligible
abs,All other sections,spch_vto,0.2935,0.2875,0.6951,0.006,0.0087,negligible
abs,All other sections,concrtn,8.3638,8.3026,7.2609,0.0612,0.0084,negligible
abs,All other sections,placen,5.2989,5.2683,6.3609,0.0307,0.0048,negligible
abs,All other sections,all_jto,1.4897,1.5076,1.7648,-0.0178,-0.0101,negligible
abs,All other sections,that_del,0.5751,0.5879,0.9637,-0.0128,-0.0132,negligible
abs,All other sections,rel_pipe,0.8238,0.8424,1.1878,-0.0186,-0.0157,negligible
abs,All other sections,gen_emph,1.4757,1.5109,1.6868,-0.0352,-0.0209,negligible
abs,All other sections,occurpv,0.0,0.0023,0.0967,-0.0023,-0.0234,negligible
abs,All other sections,mentalv,12.6297,12.7782,5.6252,-0.1485,-0.0264,negligible
abs,All other sections,prtcle,0.0389,0.0499,0.2467,-0.011,-0.0446,negligible
abs,All other sections,pro_do,0.1654,0.1968,0.5723,-0.0314,-0.0548,negligible
abs,All other sections,pro1,8.2043,8.6535,7.6456,-0.4491,-0.0587,negligible
abs,All other sections,mentalpv,0.0043,0.0112,0.1065,-0.0068,-0.0642,negligible
abs,All other sections,relatnj,4.9216,5.1435,3.4435,-0.2219,-0.0644,negligible
abs,All other sections,act_ipv,0.0,0.0068,0.1022,-0.0068,-0.0667,negligible
