Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
con,All other sections,ttr,30.3826,30.8524,2.9263,-0.4699,-0.1605675874374216,negligible
con,All other sections,wrlengh,5.4826,5.3849,0.2994,0.0977,0.326241370661258,small
con,All other sections,wcount,575.9094,1661.2656,1249.6295,-1085.3562,-0.8685424239537866,large
con,All other sections,that_del,0.6584,0.5816,0.9635,0.0768,0.07974598455148978,negligible
con,All other sections,contrac,0.4161,0.4708,1.2659,-0.0547,-0.04321116639162601,negligible
con,All other sections,pres,64.2691,54.3222,18.7632,9.9469,0.5301284600610627,medium
con,All other sections,pro2,0.0433,0.264,1.181,-0.2207,-0.1869088729515416,negligible
con,All other sections,pro_do,0.2114,0.194,0.5723,0.0174,0.0304112430652906,negligible
con,All other sections,pdem,2.857,2.03,1.9488,0.827,0.4243617035907748,small
con,All other sections,gen_emph,1.5141,1.5089,1.6868,0.0052,0.00309612877894739,negligible
con,All other sections,pro1,10.3779,8.4915,7.63,1.8863,0.24722616381125145,small
con,All other sections,it,5.1128,3.7524,3.1293,1.3603,0.4347028597887859,small
con,All other sections,be_state,2.2507,1.1987,1.5162,1.0519,0.6938044547046203,medium
con,All other sections,sub_cos,0.6715,0.7632,1.1039,-0.0917,-0.08310489312340055,negligible
con,All other sections,prtcle,0.0513,0.0493,0.2467,0.0021,0.008408595726875879,negligible
con,All other sections,pany,0.6057,0.7592,1.0295,-0.1535,-0.14906513030469212,negligible
con,All other sections,gen_hdg,0.1654,0.1541,0.4391,0.0114,0.025885158897192072,negligible
con,All other sections,amplifr,1.6074,1.2859,1.5752,0.3215,0.2040941645964883,small
con,All other sections,wh_ques,0.099,0.1849,0.6791,-0.0859,-0.1265718380390867,negligible
con,All other sections,pos_mod,7.6641,4.9992,3.8612,2.6649,0.6901642137002257,medium
con,All other sections,o_and,7.8748,8.1935,4.6428,-0.3187,-0.06863980314895553,negligible
con,All other sections,wh_cl,0.3879,0.2381,0.5813,0.1498,0.2577399882096312,small
con,All other sections,finlprep,0.5826,0.6507,1.2321,-0.0682,-0.055315487994010856,negligible
con,All other sections,n,331.8168,342.2731,33.1225,-10.4563,-0.3156863550587239,small
con,All other sections,prep,135.9859,133.8737,16.1218,2.1122,0.13101649927798606,negligible
con,All other sections,adj_attr,82.8611,71.4807,19.4827,11.3804,0.5841266917370548,medium
con,All other sections,pasttnse,15.9836,26.5047,16.1905,-10.5211,-0.6498313887353754,medium
con,All other sections,pro3,5.0711,5.9059,5.1043,-0.8347,-0.1635331554169541,negligible
con,All other sections,perfects,4.7225,4.7613,3.7075,-0.0389,-0.010480501964281158,negligible
con,All other sections,rel_obj,0.5906,0.5207,0.8342,0.0699,0.0837625417361556,negligible
con,All other sections,rel_subj,2.1644,2.5806,2.2123,-0.4162,-0.18813239927285966,negligible
con,All other sections,rel_pipe,0.6581,0.8564,1.1866,-0.1983,-0.16715055904216716,negligible
con,All other sections,p_and,3.2473,2.8988,2.5707,0.3485,0.13558254851914006,negligible
con,All other sections,tm_adv,1.3591,1.801,1.7794,-0.4419,-0.24834997557737176,small
con,All other sections,pl_adv,3.8785,3.1903,3.726,0.6882,0.1846963180574595,negligible
con,All other sections,advs,33.3007,28.9324,9.9963,4.3683,0.43699361302311024,small
con,All other sections,inf,11.1842,9.6365,5.0692,1.5477,0.30532208741599776,small
con,All other sections,prd_mod,2.6547,1.4885,1.9775,1.1662,0.5897433737692884,medium
con,All other sections,sua_vb,2.0849,1.5511,1.7814,0.5338,0.299626482398021,small
con,All other sections,sub_cnd,0.7671,0.8866,1.3221,-0.1195,-0.09039300300922305,negligible
con,All other sections,nec_mod,2.2819,0.8647,1.4471,1.4172,0.9793370713102161,large
con,All other sections,spl_aux,2.9393,2.8942,2.119,0.045,0.021242258807559106,negligible
con,All other sections,conjncts,7.3114,6.2567,3.8461,1.0547,0.27422523342807986,small
con,All other sections,agls_psv,8.5735,12.5692,6.9745,-3.9957,-0.5729023379801965,medium
