Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhsciant,con,All other sections,ttr,32.0516,30.1888,2.8542,1.8628,0.6527,medium
corhsciant,con,All other sections,lkly_vth,2.7613,1.5442,2.0013,1.2171,0.6081,medium
corhsciant,con,All other sections,tm_adv,2.2355,1.2573,1.823,0.9782,0.5366,medium
corhsciant,con,All other sections,p_and,4.6548,3.0839,3.1431,1.5709,0.4998,small
corhsciant,con,All other sections,alladj,118.5,106.9476,24.9002,11.5524,0.4639,small
corhsciant,con,All other sections,agls_psv,10.8742,8.3064,5.5908,2.5678,0.4593,small
corhsciant,con,All other sections,existv,9.8935,7.8876,4.3746,2.0059,0.4585,small
corhsciant,con,All other sections,adj_attr,92.1742,81.7798,23.3747,10.3944,0.4447,small
corhsciant,con,All other sections,lklydvl,1.029,0.4854,1.2931,0.5436,0.4204,small
corhsciant,con,All other sections,all_advl,2.8355,1.8948,2.2448,0.9407,0.4191,small
corhsciant,con,All other sections,perfects,6.2742,4.5423,4.28,1.7319,0.4046,small
corhsciant,con,All other sections,concrtn,9.7226,7.0521,6.7516,2.6705,0.3955,small
corhsciant,con,All other sections,pl_adv,5.7032,3.6667,5.5691,2.0366,0.3657,small
corhsciant,con,All other sections,prep,141.4871,135.3472,16.976,6.1399,0.3617,small
corhsciant,con,All other sections,pasttnse,19.0742,15.6247,10.6092,3.4495,0.3251,small
corhsciant,con,All other sections,evalj,1.8935,1.2539,2.1152,0.6396,0.3024,small
corhsciant,con,All other sections,allpasv,15.5548,13.4869,7.2647,2.0679,0.2847,small
corhsciant,con,All other sections,pany,0.871,0.5749,1.1477,0.2961,0.258,small
corhsciant,con,All other sections,nonfadvl,0.9194,0.6408,1.2294,0.2785,0.2266,small
corhsciant,con,All other sections,timej,1.6387,1.1479,2.1868,0.4908,0.2244,small
corhsciant,con,All other sections,relatnj,5.871,4.9648,4.0537,0.9062,0.2235,small
corhsciant,con,All other sections,prob_vto,0.9484,0.6715,1.2605,0.2769,0.2196,small
corhsciant,con,All other sections,vcmp,6.8032,5.9116,4.2264,0.8916,0.211,small
corhsciant,con,All other sections,act_tpv,0.4226,0.2461,0.8643,0.1765,0.2042,small
corhsciant,con,All other sections,all_nth,0.9516,0.6678,1.4334,0.2838,0.198,negligible
corhsciant,con,All other sections,sizej,3.3613,2.6891,3.693,0.6722,0.182,negligible
corhsciant,con,All other sections,fct_nth,0.5129,0.3393,1.0053,0.1736,0.1727,negligible
corhsciant,con,All other sections,rel_pipe,0.8323,0.6378,1.159,0.1944,0.1678,negligible
corhsciant,con,All other sections,amplifr,1.8968,1.5738,1.9614,0.323,0.1647,negligible
corhsciant,con,All other sections,pdem,3.2226,2.8146,2.8869,0.408,0.1413,negligible
corhsciant,con,All other sections,fctadvl,0.7903,0.63,1.2041,0.1604,0.1332,negligible
corhsciant,con,All other sections,gen_emph,1.7355,1.4884,1.8925,0.2471,0.1306,negligible
corhsciant,con,All other sections,finlprep,0.7645,0.5614,1.6428,0.2031,0.1236,negligible
corhsciant,con,All other sections,att_nth,0.0742,0.0408,0.2998,0.0334,0.1113,negligible
corhsciant,con,All other sections,lkly_nth,0.3387,0.2464,0.8331,0.0923,0.1108,negligible
corhsciant,con,All other sections,commpv,0.1,0.064,0.3356,0.036,0.1071,negligible
