Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhsciant,int,All other sections,pl_adv,5.9678,2.9937,3.1574,2.9742,0.942,large
corhsciant,int,All other sections,concrtn,11.0115,7.1757,7.2448,3.8358,0.5295,medium
corhsciant,int,All other sections,allpasv,17.7494,15.1446,5.9217,2.6048,0.4399,small
corhsciant,int,All other sections,lklydvl,0.4552,0.2147,0.5498,0.2405,0.4374,small
corhsciant,int,All other sections,ttr,32.5,31.7721,2.2325,0.7279,0.326,small
corhsciant,int,All other sections,pasttnse,19.131,16.1581,9.293,2.973,0.3199,small
corhsciant,int,All other sections,tm_adv,2.2793,1.7199,1.7674,0.5594,0.3165,small
corhsciant,int,All other sections,agls_psv,11.8437,10.2707,4.9756,1.573,0.3161,small
corhsciant,int,All other sections,lkly_nth,0.5276,0.3268,0.7327,0.2008,0.274,small
corhsciant,int,All other sections,prep,139.2552,135.0639,15.3845,4.1913,0.2724,small
corhsciant,int,All other sections,by_pasv,2.2908,1.8407,1.6775,0.4501,0.2683,small
corhsciant,int,All other sections,all_advl,2.0046,1.5813,1.5995,0.4233,0.2646,small
corhsciant,int,All other sections,whiz_vbn,3.6149,3.0324,2.2463,0.5826,0.2593,small
corhsciant,int,All other sections,n,350.3517,342.6283,30.6808,7.7235,0.2517,small
corhsciant,int,All other sections,sizej,2.5115,1.97,2.3515,0.5415,0.2303,small
corhsciant,int,All other sections,pany,1.0184,0.799,1.0867,0.2194,0.2019,small
corhsciant,int,All other sections,fact_jth,0.1414,0.0798,0.3099,0.0616,0.1989,negligible
corhsciant,int,All other sections,placen,6.4517,5.2063,6.2804,1.2455,0.1983,negligible
corhsciant,int,All other sections,downtone,2.6414,2.2972,1.8316,0.3442,0.1879,negligible
corhsciant,int,All other sections,amplifr,1.4736,1.1952,1.487,0.2784,0.1872,negligible
corhsciant,int,All other sections,prtcle,0.1034,0.051,0.2811,0.0524,0.1866,negligible
corhsciant,int,All other sections,all_nth,0.8023,0.6379,1.0128,0.1644,0.1623,negligible
corhsciant,int,All other sections,perfects,7.6552,7.0271,4.0118,0.628,0.1565,negligible
corhsciant,int,All other sections,commpv,0.1264,0.0714,0.3718,0.055,0.148,negligible
corhsciant,int,All other sections,wcount,1295.5632,1167.2434,885.877,128.3198,0.1449,negligible
corhsciant,int,All other sections,gen_emph,1.8391,1.6006,1.6696,0.2384,0.1428,negligible
corhsciant,int,All other sections,lkly_vth,1.5862,1.3792,1.6083,0.207,0.1287,negligible
corhsciant,int,All other sections,att_nth,0.0736,0.0469,0.217,0.0267,0.1229,negligible
corhsciant,int,All other sections,jcmp,0.2333,0.1835,0.4714,0.0499,0.1058,negligible
corhsciant,int,All other sections,quann,6.9609,6.3445,5.8816,0.6164,0.1048,negligible
corhsciant,int,All other sections,nonfadvl,1.0069,0.89,1.1351,0.1169,0.103,negligible
corhsciant,int,All other sections,spl_aux,3.7,3.473,2.3581,0.227,0.0963,negligible
