Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhsciant,mm,All other sections,ttr,32.2246,31.3825,2.6882,0.8421,0.31325830846029196,small
corhsciant,mm,All other sections,wrlengh,5.2646,5.2608,0.2688,0.0038,0.014194104777447444,negligible
corhsciant,mm,All other sections,wcount,1457.9385,1402.5543,918.0597,55.3842,0.06032742001604376,negligible
corhsciant,mm,All other sections,that_del,0.5508,0.5177,0.8572,0.0331,0.03856032492932714,negligible
corhsciant,mm,All other sections,contrac,0.2077,0.3986,0.9341,-0.1909,-0.20440424623391815,small
corhsciant,mm,All other sections,pres,40.3708,41.3471,19.6633,-0.9763,-0.04965163677097563,negligible
corhsciant,mm,All other sections,pro2,0.0985,0.5662,1.7852,-0.4677,-0.2619877471772163,small
corhsciant,mm,All other sections,pro_do,0.1323,0.1637,0.5587,-0.0313,-0.05611393162790432,negligible
corhsciant,mm,All other sections,pdem,1.5908,1.5608,1.5933,0.03,0.018809342545572084,negligible
corhsciant,mm,All other sections,gen_emph,1.0738,0.9458,1.1678,0.128,0.10962398406220066,negligible
corhsciant,mm,All other sections,pro1,7.8631,11.0937,9.0351,-3.2306,-0.35756365517813526,small
corhsciant,mm,All other sections,it,2.6246,2.5803,2.4572,0.0443,0.01801725335730736,negligible
corhsciant,mm,All other sections,be_state,0.4462,0.6263,0.929,-0.1801,-0.19390292451091704,negligible
corhsciant,mm,All other sections,sub_cos,0.78,0.7978,1.1025,-0.0178,-0.016170720645671995,negligible
corhsciant,mm,All other sections,prtcle,0.0446,0.0456,0.2432,-0.001,-0.004048145135409656,negligible
corhsciant,mm,All other sections,pany,0.6246,0.7762,1.0317,-0.1516,-0.14695660743297576,negligible
corhsciant,mm,All other sections,gen_hdg,0.2292,0.0941,0.3456,0.1352,0.39107601333685965,small
corhsciant,mm,All other sections,amplifr,0.9246,1.1456,1.7418,-0.221,-0.1268708778432834,negligible
corhsciant,mm,All other sections,wh_ques,0.0292,0.1501,0.6274,-0.1208,-0.19258885988033012,negligible
corhsciant,mm,All other sections,pos_mod,2.3446,2.8342,2.7302,-0.4896,-0.17931290476546657,negligible
corhsciant,mm,All other sections,o_and,7.7631,8.183,4.5359,-0.4199,-0.09257115809800684,negligible
corhsciant,mm,All other sections,wh_cl,0.08,0.1707,0.4817,-0.0907,-0.1883863716437565,negligible
corhsciant,mm,All other sections,finlprep,0.5262,0.8565,1.5338,-0.3303,-0.2153441998396675,small
corhsciant,mm,All other sections,n,361.4062,348.8823,34.104,12.5239,0.3672259131641505,small
corhsciant,mm,All other sections,prep,132.2631,129.0357,14.9062,3.2274,0.21651502291159133,small
corhsciant,mm,All other sections,adj_attr,64.8169,60.8552,13.7784,3.9617,0.28753114443675354,small
corhsciant,mm,All other sections,pasttnse,34.1708,40.4178,17.8886,-6.2471,-0.34921995597298827,small
corhsciant,mm,All other sections,pro3,3.38,5.3458,4.4406,-1.9658,-0.442696016968518,small
corhsciant,mm,All other sections,perfects,3.8585,2.8311,2.396,1.0274,0.4287836502607548,small
corhsciant,mm,All other sections,rel_obj,0.3585,0.4346,0.6837,-0.0762,-0.11140994807290278,negligible
corhsciant,mm,All other sections,rel_subj,1.8738,2.6403,2.116,-0.7665,-0.3622463792661268,small
corhsciant,mm,All other sections,rel_pipe,0.5892,0.9398,1.2311,-0.3505,-0.28473988022813596,small
corhsciant,mm,All other sections,p_and,2.62,2.4862,2.1576,0.1338,0.06202549910291204,negligible
corhsciant,mm,All other sections,tm_adv,1.9277,2.3597,1.9947,-0.432,-0.2165604898890788,small
corhsciant,mm,All other sections,pl_adv,4.0185,2.7771,2.6163,1.2413,0.47444963361570247,small
corhsciant,mm,All other sections,advs,24.6231,22.2165,8.0328,2.4066,0.2995987031654544,small
corhsciant,mm,All other sections,inf,6.72,8.8585,3.9597,-2.1385,-0.5400705846317588,medium
corhsciant,mm,All other sections,prd_mod,0.6338,1.0399,1.3673,-0.406,-0.29696756380182865,small
corhsciant,mm,All other sections,sua_vb,0.8938,1.5259,1.6013,-0.6321,-0.3947319204850688,small
corhsciant,mm,All other sections,sub_cnd,0.5754,1.2233,1.6839,-0.6479,-0.38478728823954267,small
corhsciant,mm,All other sections,nec_mod,0.3354,0.5021,0.8835,-0.1667,-0.18865696689722763,negligible
corhsciant,mm,All other sections,spl_aux,3.0308,2.3418,1.7696,0.6889,0.389314996522085,small
corhsciant,mm,All other sections,conjncts,4.3062,4.249,2.9509,0.0571,0.019358312250010428,negligible
corhsciant,mm,All other sections,agls_psv,20.6477,18.9746,8.188,1.6731,0.2043305957182965,small
corhsciant,mm,All other sections,by_pasv,2.9631,2.7554,2.08,0.2076,0.09983155454246209,negligible
corhsciant,mm,All other sections,whiz_vbn,4.9585,4.6319,2.686,0.3266,0.12158599927990474,negligible
corhsciant,mm,All other sections,sub_othr,3.2446,3.3301,2.2289,-0.0854,-0.038334172095893286,negligible
corhsciant,mm,All other sections,vcmp,1.3215,2.019,2.0399,-0.6974,-0.34190018426603774,small
corhsciant,mm,All other sections,downtone,2.3738,2.0538,1.8049,0.32,0.1773080341425473,negligible
corhsciant,mm,All other sections,pred_adj,3.5415,3.4738,2.4999,0.0677,0.027084721771766577,negligible
corhsciant,mm,All other sections,allmodal,3.3077,4.3754,3.5912,-1.0677,-0.2973171550840754,small
corhsciant,mm,All other sections,allconj,14.9708,16.0211,5.8085,-1.0504,-0.18083440377036478,negligible
corhsciant,mm,All other sections,allpasv,28.5723,26.3613,9.1106,2.2111,0.24268995270396237,small
corhsciant,mm,All other sections,allwh,0.1077,0.3206,0.7834,-0.2129,-0.2717538173528447,small
corhsciant,mm,All other sections,allwhrel,2.8215,4.0165,2.6344,-1.1949,-0.4535886611934655,small
corhsciant,mm,All other sections,alladj,85.9646,82.7602,15.4391,3.2044,0.20755008749799975,small
corhsciant,mm,All other sections,allpro,11.3369,17.008,10.1342,-5.6711,-0.559595535056187,medium
corhsciant,mm,All other sections,have,0.6877,1.3343,1.4367,-0.6466,-0.45006976320874115,small
corhsciant,mm,All other sections,allverb,96.2738,104.9496,12.7967,-8.6758,-0.6779655311658244,medium
corhsciant,mm,All other sections,vprogrsv,4.5738,5.3928,3.0451,-0.819,-0.2689406082134897,small
