Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhsciant,rd,All other sections,concrtn,13.3379,7.9356,6.7183,5.4024,0.8041,large
corhsciant,rd,All other sections,wcount,3632.7126,2494.0613,1439.8784,1138.6513,0.7908,medium
corhsciant,rd,All other sections,allpasv,18.2701,15.1408,5.1879,3.1293,0.6032,medium
corhsciant,rd,All other sections,agls_psv,12.5287,9.974,4.2571,2.5547,0.6001,medium
corhsciant,rd,All other sections,lklydvl,0.7724,0.4013,0.6806,0.3711,0.5453,medium
corhsciant,rd,All other sections,all_advl,2.5138,1.7295,1.4734,0.7843,0.5323,medium
corhsciant,rd,All other sections,sizej,4.1885,2.6092,3.0028,1.5793,0.5259,medium
corhsciant,rd,All other sections,spl_aux,3.4977,2.7144,1.5916,0.7833,0.4922,small
corhsciant,rd,All other sections,ttr,30.754,29.2293,3.1446,1.5247,0.4849,small
corhsciant,rd,All other sections,nonfadvl,1.0149,0.6933,0.7925,0.3217,0.4059,small
corhsciant,rd,All other sections,amplifr,2.0609,1.5281,1.3599,0.5328,0.3918,small
corhsciant,rd,All other sections,perfects,4.8161,3.7948,2.651,1.0213,0.3852,small
corhsciant,rd,All other sections,n,342.4575,331.4046,29.9051,11.0528,0.3696,small
corhsciant,rd,All other sections,gen_emph,2.3471,1.7813,1.6434,0.5658,0.3443,small
corhsciant,rd,All other sections,by_pasv,2.1644,1.7402,1.3169,0.4242,0.3221,small
corhsciant,rd,All other sections,pl_adv,4.1437,3.2518,3.1293,0.8918,0.285,small
corhsciant,rd,All other sections,downtone,3.4115,2.9376,1.8153,0.4739,0.2611,small
corhsciant,rd,All other sections,commpv,0.0977,0.0462,0.2251,0.0515,0.2286,small
corhsciant,rd,All other sections,pany,0.8977,0.714,0.8534,0.1837,0.2152,small
corhsciant,rd,All other sections,x4_jto,0.331,0.2478,0.4628,0.0832,0.1798,negligible
corhsciant,rd,All other sections,act_tpv,0.2667,0.1834,0.4641,0.0833,0.1795,negligible
corhsciant,rd,All other sections,adj_attr,71.5897,68.6069,16.6843,2.9827,0.1788,negligible
corhsciant,rd,All other sections,gen_hdg,0.3138,0.2373,0.428,0.0765,0.1787,negligible
corhsciant,rd,All other sections,p_and,2.854,2.527,1.9521,0.3271,0.1675,negligible
corhsciant,rd,All other sections,atadvl,0.1,0.0674,0.2022,0.0326,0.1611,negligible
corhsciant,rd,All other sections,lkly_nth,0.4908,0.3688,0.7961,0.122,0.1532,negligible
corhsciant,rd,All other sections,prob_vto,0.8586,0.7121,0.9584,0.1465,0.1529,negligible
corhsciant,rd,All other sections,alladj,97.1667,95.2466,18.7101,1.9201,0.1026,negligible
corhsciant,rd,All other sections,whiz_vbn,3.5828,3.4257,2.1497,0.157,0.073,negligible
corhsciant,rd,All other sections,fctadvl,0.623,0.5667,0.872,0.0563,0.0645,negligible
corhsciant,rd,All other sections,all_nth,0.8391,0.7815,1.0363,0.0576,0.0555,negligible
corhsciant,rd,All other sections,jcmp,0.4034,0.3729,0.5613,0.0306,0.0545,negligible
corhsciant,rd,All other sections,placen,4.977,4.7819,5.8384,0.1951,0.0334,negligible
corhsciant,rd,All other sections,advs,32.2782,32.0296,8.2739,0.2486,0.03,negligible
corhsciant,rd,All other sections,evalj,0.923,0.8864,1.2472,0.0366,0.0293,negligible
corhsciant,rd,All other sections,pro2,0.2966,0.2739,1.2713,0.0226,0.0178,negligible
corhsciant,rd,All other sections,colorj,0.1586,0.1484,0.6188,0.0102,0.0165,negligible
corhsciant,rd,All other sections,sub_cos,0.8103,0.7989,0.9604,0.0114,0.0119,negligible
corhsciant,rd,All other sections,existv,9.3885,9.3596,3.7479,0.0289,0.0077,negligible
corhsciant,rd,All other sections,prtcle,0.0483,0.0481,0.1535,0.0002,0.0013,negligible
corhsciant,rd,All other sections,fact_jth,0.1218,0.1221,0.3195,-0.0002,-0.0007,negligible
corhsciant,rd,All other sections,tm_adv,1.508,1.5095,1.4471,-0.0015,-0.001,negligible
corhsciant,rd,All other sections,rel_pipe,0.7057,0.7117,0.784,-0.006,-0.0076,negligible
corhsciant,rd,All other sections,relatnj,4.6563,4.6816,2.828,-0.0253,-0.0089,negligible
corhsciant,rd,All other sections,pres,56.1241,56.4208,16.1152,-0.2966,-0.0184,negligible
corhsciant,rd,All other sections,occurpv,0.0,0.0058,0.1716,-0.0058,-0.0337,negligible
corhsciant,rd,All other sections,lkly_vth,1.8506,1.9036,1.5424,-0.053,-0.0344,negligible
corhsciant,rd,All other sections,fct_nth,0.2966,0.3179,0.5234,-0.0213,-0.0407,negligible
corhsciant,rd,All other sections,prep,134.6816,135.3825,15.6189,-0.7009,-0.0449,negligible
corhsciant,rd,All other sections,pred_adj,6.5632,6.7595,2.9928,-0.1962,-0.0656,negligible
corhsciant,rd,All other sections,att_nth,0.0287,0.0408,0.1588,-0.0121,-0.076,negligible
