Field_Target,Field_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhsciant,All other fields,concrtn,12.0976,8.0111,7.1836,4.0865,0.5689,medium
corhsciant,All other fields,pl_adv,4.9519,3.1091,3.6998,1.8429,0.4981,small
corhsciant,All other fields,ttr,31.9105,30.7324,2.913,1.178,0.4044,small
corhsciant,All other fields,lklydvl,0.5321,0.2684,0.6723,0.2637,0.3922,small
corhsciant,All other fields,sizej,2.9979,2.0561,2.6587,0.9418,0.3542,small
corhsciant,All other fields,all_advl,2.1091,1.5616,1.6154,0.5474,0.3389,small
corhsciant,All other fields,allpasv,20.2808,17.7253,8.3687,2.5555,0.3054,small
corhsciant,All other fields,agls_psv,14.1742,12.1225,7.0333,2.0517,0.2917,small
corhsciant,All other fields,n,350.0366,340.8276,33.1512,9.209,0.2778,small
corhsciant,All other fields,wcount,1905.662,1554.8069,1278.6337,350.8552,0.2744,small
corhsciant,All other fields,spl_aux,3.4035,2.8583,2.1144,0.5451,0.2578,small
corhsciant,All other fields,nonfadvl,1.0174,0.7781,1.053,0.2393,0.2273,small
corhsciant,All other fields,perfects,5.5352,4.6981,3.7012,0.8371,0.2262,small
corhsciant,All other fields,lkly_nth,0.4111,0.2834,0.7147,0.1278,0.1788,negligible
corhsciant,All other fields,gen_emph,1.7777,1.4884,1.6851,0.2893,0.1717,negligible
corhsciant,All other fields,adj_attr,75.2279,72.1071,19.695,3.1208,0.1585,negligible
corhsciant,All other fields,alladj,99.7411,96.3481,21.6048,3.393,0.157,negligible
corhsciant,All other fields,by_pasv,2.2728,2.0001,1.8131,0.2727,0.1504,negligible
corhsciant,All other fields,amplifr,1.5258,1.2932,1.5763,0.2326,0.1476,negligible
corhsciant,All other fields,prep,136.2307,133.861,16.1197,2.3697,0.147,negligible
corhsciant,All other fields,downtone,2.6753,2.4096,1.9378,0.2657,0.1371,negligible
corhsciant,All other fields,placen,6.0439,5.2096,6.3572,0.8343,0.1312,negligible
corhsciant,All other fields,p_and,3.2139,2.9024,2.571,0.3115,0.1212,negligible
corhsciant,All other fields,commpv,0.0787,0.0465,0.2708,0.0322,0.1191,negligible
corhsciant,All other fields,prtcle,0.0742,0.0475,0.2466,0.0267,0.1083,negligible
corhsciant,All other fields,all_nth,0.7,0.5913,1.0284,0.1087,0.1057,negligible
corhsciant,All other fields,prob_vto,0.5787,0.4832,0.9096,0.0955,0.105,negligible
corhsciant,All other fields,pany,0.847,0.74,1.0299,0.1071,0.1039,negligible
corhsciant,All other fields,tm_adv,1.9261,1.7556,1.7827,0.1705,0.0956,negligible
corhsciant,All other fields,lkly_vth,1.5672,1.415,1.6261,0.1522,0.0936,negligible
corhsciant,All other fields,whiz_vbn,3.8341,3.6024,2.5559,0.2318,0.0907,negligible
corhsciant,All other fields,gen_hdg,0.1895,0.1522,0.439,0.0373,0.085,negligible
corhsciant,All other fields,jcmp,0.2794,0.2317,0.5626,0.0477,0.0848,negligible
corhsciant,All other fields,fact_jth,0.1143,0.0893,0.3212,0.025,0.0778,negligible
corhsciant,All other fields,evalj,0.9627,0.8701,1.3797,0.0926,0.0671,negligible
corhsciant,All other fields,act_tpv,0.3035,0.2616,0.7338,0.0419,0.0571,negligible
corhsciant,All other fields,x4_jto,0.2934,0.2594,0.6122,0.034,0.0555,negligible
corhsciant,All other fields,advs,29.776,29.219,10.0611,0.557,0.0554,negligible
corhsciant,All other fields,fctadvl,0.4923,0.4526,0.8573,0.0397,0.0463,negligible
corhsciant,All other fields,att_nth,0.0467,0.0378,0.1942,0.0089,0.0458,negligible
corhsciant,All other fields,colorj,0.1251,0.1024,0.5441,0.0227,0.0418,negligible
corhsciant,All other fields,existv,8.7199,8.6501,4.0832,0.0698,0.0171,negligible
corhsciant,All other fields,atadvl,0.0652,0.0624,0.2564,0.0028,0.0107,negligible
corhsciant,All other fields,fct_nth,0.224,0.2267,0.6082,-0.0026,-0.0043,negligible
corhsciant,All other fields,timej,0.7634,0.7985,1.6154,-0.0351,-0.0217,negligible
corhsciant,All other fields,occurpv,0.0,0.0023,0.0967,-0.0023,-0.0241,negligible
corhsciant,All other fields,relatnj,5.0449,5.1401,3.4438,-0.0951,-0.0276,negligible
corhsciant,All other fields,sub_cos,0.724,0.7589,1.1041,-0.0348,-0.0315,negligible
corhsciant,All other fields,x3_jto,0.007,0.0129,0.1101,-0.0059,-0.0539,negligible
corhsciant,All other fields,pro_do,0.1655,0.1976,0.5723,-0.0321,-0.0561,negligible
corhsciant,All other fields,pdem,1.9843,2.1002,1.9607,-0.1159,-0.0591,negligible
corhsciant,All other fields,rel_pipe,0.7742,0.8468,1.1876,-0.0726,-0.0611,negligible
corhsciant,All other fields,act_ipv,0.0007,0.007,0.1022,-0.0063,-0.0612,negligible
corhsciant,All other fields,it,3.6324,3.8714,3.1491,-0.239,-0.0759,negligible
corhsciant,All other fields,aspectpv,0.0024,0.0077,0.0695,-0.0053,-0.0763,negligible
corhsciant,All other fields,nonf_vth,1.7784,1.9272,1.8382,-0.1488,-0.0809,negligible
corhsciant,All other fields,mntl_vto,0.3808,0.4487,0.8091,-0.0679,-0.0839,negligible
corhsciant,All other fields,mentalpv,0.001,0.0116,0.1065,-0.0106,-0.0991,negligible
corhsciant,All other fields,copulapv,0.0031,0.0164,0.1328,-0.0133,-0.1002,negligible
corhsciant,All other fields,wh_ques,0.1139,0.1835,0.6792,-0.0696,-0.1025,negligible
corhsciant,All other fields,pro2,0.1275,0.2568,1.1819,-0.1293,-0.1094,negligible
corhsciant,All other fields,that_rel,3.1777,3.4821,2.7609,-0.3044,-0.1102,negligible
corhsciant,All other fields,nfct_nth,0.0157,0.0439,0.2225,-0.0282,-0.1268,negligible
corhsciant,All other fields,wh_cl,0.1787,0.2548,0.5823,-0.076,-0.1306,negligible
corhsciant,All other fields,pred_adj,4.777,5.2426,3.3574,-0.4656,-0.1387,negligible
corhsciant,All other fields,finlprep,0.4861,0.658,1.2314,-0.1719,-0.1396,negligible
corhsciant,All other fields,pasttnse,23.4533,25.8935,16.4134,-2.4402,-0.1487,negligible
corhsciant,All other fields,att_jth,0.1331,0.2089,0.4971,-0.0758,-0.1525,negligible
corhsciant,All other fields,lkly_jth,0.4833,0.6979,1.3613,-0.2146,-0.1577,negligible
corhsciant,All other fields,allwh,0.293,0.4379,0.9076,-0.1448,-0.1596,negligible
corhsciant,All other fields,quann,6.5317,7.5777,6.3107,-1.046,-0.1657,negligible
corhsciant,All other fields,o_and,7.4387,8.2264,4.6391,-0.7878,-0.1698,negligible
corhsciant,All other fields,sub_cnd,0.6631,0.8943,1.3211,-0.2313,-0.1751,negligible
corhsciant,All other fields,all_jth,0.731,0.996,1.5034,-0.265,-0.1763,negligible
corhsciant,All other fields,efrt_vto,0.9192,1.1579,1.3473,-0.2387,-0.1772,negligible
corhsciant,All other fields,sub_othr,3.4355,3.8776,2.4928,-0.4421,-0.1773,negligible
corhsciant,All other fields,wrlengh,5.339,5.3963,0.3001,-0.0573,-0.1909,negligible
corhsciant,All other fields,actv,15.354,16.5693,6.3444,-1.2153,-0.1915,negligible
corhsciant,All other fields,that_del,0.4146,0.6007,0.9625,-0.1861,-0.1933,negligible
corhsciant,All other fields,allconj,15.4735,16.6624,6.1365,-1.1889,-0.1937,negligible
