Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhsciarc,abs,All other sections,ttr,33.5857,30.7497,2.6416,2.836,1.0736,large
corhsciarc,abs,All other sections,lklydvl,0.9143,0.1164,0.7923,0.7979,1.0071,large
corhsciarc,abs,All other sections,placen,10.4786,4.8749,7.1859,5.6037,0.7798,medium
corhsciarc,abs,All other sections,evalj,1.9571,0.8719,1.7748,1.0852,0.6115,medium
corhsciarc,abs,All other sections,prtcle,0.2214,0.024,0.3259,0.1975,0.6059,medium
corhsciarc,abs,All other sections,pl_adv,8.4929,3.6789,8.3833,4.8139,0.5742,medium
corhsciarc,abs,All other sections,perfects,5.2714,3.3977,3.3016,1.8738,0.5675,medium
corhsciarc,abs,All other sections,alladj,114.65,99.2433,27.9817,15.4067,0.5506,medium
corhsciarc,abs,All other sections,all_advl,1.85,0.8152,1.8918,1.0348,0.547,medium
corhsciarc,abs,All other sections,advs,29.5643,22.9082,12.2168,6.6561,0.5448,medium
corhsciarc,abs,All other sections,tm_adv,2.2357,1.3006,1.9414,0.9351,0.4817,small
corhsciarc,abs,All other sections,rel_obj,0.8857,0.3883,1.1243,0.4974,0.4424,small
corhsciarc,abs,All other sections,adj_attr,85.5714,75.4199,24.8211,10.1515,0.409,small
corhsciarc,abs,All other sections,tccncrt,7.5857,4.7825,7.3832,2.8033,0.3797,small
corhsciarc,abs,All other sections,sub_othr,3.9357,2.7632,3.2103,1.1726,0.3652,small
corhsciarc,abs,All other sections,timej,1.7643,0.9152,2.3441,0.8491,0.3622,small
corhsciarc,abs,All other sections,pro1,10.8857,7.9848,8.1119,2.9009,0.3576,small
corhsciarc,abs,All other sections,all_nto,1.3929,0.7111,2.0633,0.6817,0.3304,small
corhsciarc,abs,All other sections,pro_do,0.3643,0.1491,0.6841,0.2152,0.3145,small
corhsciarc,abs,All other sections,conjncts,6.3143,4.7889,5.4125,1.5254,0.2818,small
corhsciarc,abs,All other sections,aspectv,0.8571,0.4906,1.3853,0.3665,0.2646,small
corhsciarc,abs,All other sections,it,3.3857,2.5982,3.1502,0.7875,0.25,small
corhsciarc,abs,All other sections,gen_emph,1.95,1.4368,2.8711,0.5132,0.1787,negligible
corhsciarc,abs,All other sections,jcmp,0.2357,0.1263,0.6215,0.1094,0.176,negligible
corhsciarc,abs,All other sections,vcmp,4.5786,3.9322,4.1059,0.6464,0.1574,negligible
corhsciarc,abs,All other sections,that_rel,2.9786,2.4953,3.0738,0.4832,0.1572,negligible
corhsciarc,abs,All other sections,sub_cnd,0.5071,0.3339,1.2635,0.1732,0.1371,negligible
corhsciarc,abs,All other sections,quann,7.2857,6.455,6.1097,0.8307,0.136,negligible
corhsciarc,abs,All other sections,allpro,14.7643,13.3784,10.7017,1.3859,0.1295,negligible
corhsciarc,abs,All other sections,nonfadvl,0.7,0.5199,1.4017,0.1801,0.1285,negligible
corhsciarc,abs,All other sections,amplifr,0.9214,0.724,1.6002,0.1975,0.1234,negligible
corhsciarc,abs,All other sections,existv,8.1929,7.5111,5.5842,0.6817,0.1221,negligible
corhsciarc,abs,All other sections,pany,0.7,0.5374,1.3711,0.1626,0.1186,negligible
corhsciarc,abs,All other sections,fctadvl,0.2357,0.1567,0.6988,0.079,0.113,negligible
corhsciarc,abs,All other sections,rel_pipe,1.0429,0.8058,2.1263,0.237,0.1115,negligible
corhsciarc,abs,All other sections,sua_vb,1.9,1.6509,2.2785,0.2491,0.1093,negligible
corhsciarc,abs,All other sections,vprogrsv,6.1786,5.6901,4.5887,0.4885,0.1065,negligible
corhsciarc,abs,All other sections,spl_aux,2.2571,1.9918,2.6432,0.2653,0.1004,negligible
corhsciarc,abs,All other sections,prep,139.2,136.9152,22.9661,2.2848,0.0995,negligible
corhsciarc,abs,All other sections,sub_cos,0.4,0.3006,1.0353,0.0994,0.096,negligible
corhsciarc,abs,All other sections,allwhrel,3.65,3.4374,3.6553,0.2126,0.0582,negligible
corhsciarc,abs,All other sections,nonf_vth,2.2143,2.069,2.5597,0.1453,0.0568,negligible
corhsciarc,abs,All other sections,sizej,1.9786,1.8357,3.1957,0.1429,0.0447,negligible
corhsciarc,abs,All other sections,lkly_vth,1.0929,1.0725,2.2957,0.0203,0.0089,negligible
corhsciarc,abs,All other sections,fct_nth,0.1786,0.1754,1.2914,0.0031,0.0024,negligible
corhsciarc,abs,All other sections,nec_mod,0.7071,0.7064,1.6063,0.0007,0.0004,negligible
corhsciarc,abs,All other sections,pres,43.6357,44.4228,17.9352,-0.7871,-0.0439,negligible
corhsciarc,abs,All other sections,spch_vto,0.2357,0.2982,1.0111,-0.0625,-0.0618,negligible
corhsciarc,abs,All other sections,pos_mod,3.75,4.0298,4.463,-0.2798,-0.0627,negligible
corhsciarc,abs,All other sections,contrac,0.2286,0.3041,1.0849,-0.0755,-0.0696,negligible
corhsciarc,abs,All other sections,nfct_nth,0.0,0.0053,0.0663,-0.0053,-0.0793,negligible
corhsciarc,abs,All other sections,pro2,0.0,0.0579,0.7297,-0.0579,-0.0793,negligible
corhsciarc,abs,All other sections,mentalpv,0.0,0.0047,0.059,-0.0047,-0.0793,negligible
corhsciarc,abs,All other sections,copulapv,0.0,0.0193,0.2432,-0.0193,-0.0793,negligible
