Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhsciarc,con,All other sections,tm_adv,3.259,1.073,1.6929,2.186,1.2912,large
corhsciarc,con,All other sections,lklydvl,1.6487,0.3753,1.2305,1.2734,1.0349,large
corhsciarc,con,All other sections,pl_adv,7.7692,3.2927,5.3953,4.4766,0.8297,large
corhsciarc,con,All other sections,ttr,31.9769,30.1425,2.8437,1.8345,0.6451,medium
corhsciarc,con,All other sections,whiz_vbn,4.9615,3.1799,3.1102,1.7816,0.5728,medium
corhsciarc,con,All other sections,all_advl,3.0179,1.8382,2.2277,1.1797,0.5296,medium
corhsciarc,con,All other sections,perfects,6.559,4.4459,4.253,2.113,0.4968,small
corhsciarc,con,All other sections,pasttnse,20.2103,15.3471,10.5339,4.8632,0.4617,small
corhsciarc,con,All other sections,spch_vto,0.4051,0.151,0.5754,0.2542,0.4417,small
corhsciarc,con,All other sections,concrtn,9.8897,6.9444,6.7275,2.9453,0.4378,small
corhsciarc,con,All other sections,quann,8.6821,5.8876,6.9169,2.7944,0.404,small
corhsciarc,con,All other sections,allpasv,16.1436,13.3344,7.23,2.8092,0.3885,small
corhsciarc,con,All other sections,x4_jto,0.8205,0.4344,1.0098,0.3861,0.3824,small
corhsciarc,con,All other sections,prep,141.3564,135.1772,16.9514,6.1792,0.3645,small
corhsciarc,con,All other sections,prtcle,0.1462,0.0371,0.3303,0.1091,0.3302,small
corhsciarc,con,All other sections,timej,1.8026,1.1081,2.1793,0.6945,0.3187,small
corhsciarc,con,All other sections,fact_jth,0.3205,0.1421,0.6086,0.1784,0.2932,small
corhsciarc,con,All other sections,agls_psv,9.9385,8.368,5.6208,1.5705,0.2794,small
corhsciarc,con,All other sections,aspectv,0.8692,0.5293,1.2241,0.3399,0.2777,small
corhsciarc,con,All other sections,fctadvl,0.9333,0.6035,1.1999,0.3299,0.2749,small
corhsciarc,con,All other sections,sub_cnd,1.0974,0.7174,1.4138,0.3801,0.2688,small
corhsciarc,con,All other sections,placen,8.2718,6.2413,7.9184,2.0305,0.2564,small
corhsciarc,con,All other sections,alladj,113.541,107.3375,25.0626,6.2036,0.2475,small
corhsciarc,con,All other sections,advs,35.1846,33.017,10.8671,2.1676,0.1995,negligible
corhsciarc,con,All other sections,jcmp,0.5744,0.3649,1.1251,0.2095,0.1862,negligible
corhsciarc,con,All other sections,rel_obj,0.7513,0.5664,1.1519,0.1849,0.1605,negligible
corhsciarc,con,All other sections,p_and,3.6564,3.1857,3.1758,0.4707,0.1482,negligible
corhsciarc,con,All other sections,lkly_nth,0.3487,0.2421,0.8328,0.1066,0.128,negligible
corhsciarc,con,All other sections,amplifr,1.8077,1.5772,1.9624,0.2305,0.1174,negligible
corhsciarc,con,All other sections,pany,0.7154,0.5892,1.1505,0.1262,0.1097,negligible
corhsciarc,con,All other sections,gen_hdg,0.2231,0.1568,0.6256,0.0663,0.106,negligible
corhsciarc,con,All other sections,downtone,2.4744,2.2421,2.3704,0.2323,0.098,negligible
corhsciarc,con,All other sections,adj_attr,84.7974,82.5695,23.5785,2.2279,0.0945,negligible
corhsciarc,con,All other sections,sizej,3.0564,2.7143,3.6969,0.3421,0.0925,negligible
corhsciarc,con,All other sections,colorj,0.041,0.0494,0.5028,-0.0084,-0.0167,negligible
corhsciarc,con,All other sections,finlprep,0.5538,0.5869,1.6439,-0.033,-0.0201,negligible
corhsciarc,con,All other sections,allconj,16.8487,17.0768,7.4058,-0.2281,-0.0308,negligible
corhsciarc,con,All other sections,att_nth,0.0333,0.0459,0.2999,-0.0126,-0.0421,negligible
corhsciarc,con,All other sections,existv,7.9179,8.1232,4.417,-0.2052,-0.0465,negligible
corhsciarc,con,All other sections,mntl_vto,0.2487,0.2896,0.7761,-0.0409,-0.0526,negligible
corhsciarc,con,All other sections,wh_cl,0.3462,0.3942,0.882,-0.0481,-0.0545,negligible
corhsciarc,con,All other sections,tccncrt,5.3641,5.7456,6.6177,-0.3815,-0.0576,negligible
corhsciarc,con,All other sections,act_tpv,0.2179,0.2714,0.8658,-0.0535,-0.0618,negligible
corhsciarc,con,All other sections,act_ipv,0.0,0.0031,0.0464,-0.0031,-0.0666,negligible
corhsciarc,con,All other sections,sub_othr,4.2615,4.5212,3.5813,-0.2597,-0.0725,negligible
corhsciarc,con,All other sections,spl_aux,2.7641,2.9656,2.7289,-0.2015,-0.0739,negligible
corhsciarc,con,All other sections,wh_ques,0.0487,0.1066,0.6559,-0.0578,-0.0882,negligible
corhsciarc,con,All other sections,commpv,0.041,0.0718,0.3356,-0.0308,-0.0917,negligible
corhsciarc,con,All other sections,mentalpv,0.0,0.0154,0.167,-0.0154,-0.0925,negligible
corhsciarc,con,All other sections,allwh,0.3949,0.5015,1.1387,-0.1067,-0.0937,negligible
corhsciarc,con,All other sections,x3_jto,0.0,0.0124,0.131,-0.0124,-0.0943,negligible
corhsciarc,con,All other sections,allwhrel,3.1538,3.4525,3.0505,-0.2987,-0.0979,negligible
corhsciarc,con,All other sections,pro_do,0.1538,0.2201,0.6548,-0.0662,-0.1011,negligible
corhsciarc,con,All other sections,copulapv,0.0,0.0212,0.1981,-0.0212,-0.1072,negligible
corhsciarc,con,All other sections,n,328.6026,332.3008,33.9165,-3.6982,-0.109,negligible
corhsciarc,con,All other sections,o_and,7.3436,7.9548,5.3975,-0.6112,-0.1132,negligible
corhsciarc,con,All other sections,rel_subj,1.9308,2.1996,2.3739,-0.2688,-0.1133,negligible
corhsciarc,con,All other sections,att_vth,0.3872,0.5181,1.0459,-0.131,-0.1252,negligible
corhsciarc,con,All other sections,sua_vb,1.8231,2.1243,2.3546,-0.3012,-0.1279,negligible
corhsciarc,con,All other sections,it,4.6641,5.1803,3.9736,-0.5162,-0.1299,negligible
corhsciarc,con,All other sections,causev,2.9974,3.4359,3.3405,-0.4385,-0.1313,negligible
corhsciarc,con,All other sections,all_nth,0.5333,0.722,1.4346,-0.1887,-0.1315,negligible
corhsciarc,con,All other sections,pred_adj,5.741,6.3328,4.4449,-0.5918,-0.1331,negligible
corhsciarc,con,All other sections,gen_emph,1.2872,1.5483,1.8919,-0.2611,-0.138,negligible
corhsciarc,con,All other sections,att_jth,0.2974,0.4351,0.9949,-0.1377,-0.1384,negligible
