Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhsciarc,int,All other sections,ttr,32.7989,31.7496,2.2243,1.0493,0.4717456626795915,small
corhsciarc,int,All other sections,wrlengh,5.3865,5.5361,0.2707,-0.1496,-0.5525719644071033,medium
corhsciarc,int,All other sections,wcount,1204.2135,1173.5776,886.412,30.6358,0.034561635746376385,negligible
corhsciarc,int,All other sections,that_del,0.291,0.4784,0.77,-0.1874,-0.24341641652951457,small
corhsciarc,int,All other sections,contrac,0.1966,0.5017,1.127,-0.3051,-0.2706767300705259,small
corhsciarc,int,All other sections,pres,45.627,64.2363,14.0958,-18.6093,-1.3202065311494997,large
corhsciarc,int,All other sections,pro2,0.0,0.0989,0.4975,-0.0989,-0.1987244566463208,negligible
corhsciarc,int,All other sections,pro_do,0.2213,0.2035,0.5725,0.0178,0.03110589152963777,negligible
corhsciarc,int,All other sections,pdem,1.4787,1.9087,1.8006,-0.43,-0.2388275387192188,small
corhsciarc,int,All other sections,gen_emph,1.6191,1.616,1.6707,0.0031,0.0018504282306569995,negligible
corhsciarc,int,All other sections,pro1,5.3,6.54,5.8443,-1.24,-0.21217041624293395,small
corhsciarc,int,All other sections,it,3.927,4.4718,3.3562,-0.5448,-0.1623266941894493,negligible
corhsciarc,int,All other sections,be_state,0.609,1.3813,1.5687,-0.7723,-0.49229728574034587,small
corhsciarc,int,All other sections,sub_cos,0.6798,0.7755,1.1706,-0.0958,-0.0818077954609574,negligible
corhsciarc,int,All other sections,prtcle,0.0764,0.0529,0.2813,0.0235,0.08370702706361181,negligible
corhsciarc,int,All other sections,pany,0.8461,0.8109,1.088,0.0351,0.032285748403863695,negligible
corhsciarc,int,All other sections,gen_hdg,0.1483,0.1238,0.461,0.0245,0.05314951474139065,negligible
corhsciarc,int,All other sections,amplifr,1.4551,1.1961,1.4872,0.259,0.17414789717600185,negligible
corhsciarc,int,All other sections,wh_ques,0.1865,0.2381,0.7378,-0.0515,-0.06984979317919442,negligible
corhsciarc,int,All other sections,pos_mod,3.2843,5.9677,3.8823,-2.6834,-0.6911833524031327,medium
corhsciarc,int,All other sections,o_and,7.7888,9.016,4.8816,-1.2272,-0.25140345738699316,small
corhsciarc,int,All other sections,wh_cl,0.1573,0.2735,0.5967,-0.1162,-0.19479165280629096,negligible
corhsciarc,int,All other sections,finlprep,0.6371,0.5246,0.9803,0.1125,0.11471988586980165,negligible
corhsciarc,int,All other sections,n,344.2236,343.0546,30.7388,1.169,0.038029177994550065,negligible
corhsciarc,int,All other sections,prep,140.1438,134.9935,15.3656,5.1503,0.3351871245715271,small
corhsciarc,int,All other sections,adj_attr,85.1449,80.2625,19.1032,4.8824,0.2555826056458417,small
corhsciarc,int,All other sections,pasttnse,22.7022,15.8976,9.1656,6.8047,0.7424100381622399,medium
corhsciarc,int,All other sections,pro3,3.9079,6.691,5.1242,-2.7831,-0.5431366478672937,medium
corhsciarc,int,All other sections,perfects,7.6697,7.0251,4.0116,0.6446,0.16067432537761603,negligible
corhsciarc,int,All other sections,rel_obj,0.4629,0.5777,0.8869,-0.1148,-0.1294306216783711,negligible
corhsciarc,int,All other sections,rel_subj,1.827,2.5279,2.1603,-0.701,-0.3244744673071956,small
corhsciarc,int,All other sections,rel_pipe,0.8292,0.9619,1.2726,-0.1327,-0.10430134146678868,negligible
corhsciarc,int,All other sections,p_and,3.2022,3.4722,2.7579,-0.2699,-0.09786939123226115,negligible
corhsciarc,int,All other sections,tm_adv,3.4573,1.6347,1.7133,1.8226,1.0638235779423284,large
corhsciarc,int,All other sections,pl_adv,6.9854,2.916,3.0783,4.0694,1.321966783736941,large
corhsciarc,int,All other sections,advs,29.8551,31.5611,9.6352,-1.7061,-0.17706828111084238,negligible
corhsciarc,int,All other sections,inf,7.009,11.2763,5.156,-4.2674,-0.8276567057688313,large
corhsciarc,int,All other sections,prd_mod,0.9247,1.705,2.0869,-0.7803,-0.3738804516249292,small
corhsciarc,int,All other sections,sua_vb,1.4798,1.8182,1.9024,-0.3384,-0.17788704930366264,negligible
corhsciarc,int,All other sections,sub_cnd,0.3124,0.7644,1.1468,-0.4521,-0.39422522616048067,small
corhsciarc,int,All other sections,nec_mod,0.5067,0.9105,1.341,-0.4037,-0.30104620669162213,small
corhsciarc,int,All other sections,spl_aux,3.6843,3.4738,2.3582,0.2105,0.08926279226776436,negligible
corhsciarc,int,All other sections,conjncts,5.2494,7.2727,3.8126,-2.0233,-0.5306887512612503,medium
