Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhsciarc,mm,All other sections,concrtn,16.6972,9.2634,6.8513,7.4339,1.085,large
corhsciarc,mm,All other sections,lklydvl,0.3306,0.1088,0.3695,0.2218,0.6003,medium
corhsciarc,mm,All other sections,wcount,1787.4028,1374.7788,911.5721,412.624,0.4527,small
corhsciarc,mm,All other sections,pl_adv,3.8486,2.7812,2.6199,1.0674,0.4074,small
corhsciarc,mm,All other sections,jcmp,0.1875,0.0829,0.283,0.1046,0.3694,small
corhsciarc,mm,All other sections,agls_psv,21.6569,18.8774,8.1656,2.7795,0.3404,small
corhsciarc,mm,All other sections,downtone,2.5958,2.0328,1.8005,0.563,0.3127,small
corhsciarc,mm,All other sections,allpasv,29.1236,26.2977,9.0968,2.8259,0.3106,small
corhsciarc,mm,All other sections,prep,133.2694,128.9262,14.8839,4.3433,0.2918,small
corhsciarc,mm,All other sections,fact_jth,0.0986,0.0482,0.1954,0.0505,0.2582,small
corhsciarc,mm,All other sections,nec_mod,0.6931,0.4737,0.8826,0.2193,0.2485,small
corhsciarc,mm,All other sections,x4_jto,0.2889,0.17,0.4798,0.1188,0.2477,small
corhsciarc,mm,All other sections,colorj,0.25,0.1085,0.5737,0.1415,0.2466,small
corhsciarc,mm,All other sections,spl_aux,2.7764,2.3574,1.7747,0.419,0.2361,small
corhsciarc,mm,All other sections,perfects,3.4181,2.8593,2.4056,0.5587,0.2323,small
corhsciarc,mm,All other sections,pred_adj,4.0042,3.4349,2.4954,0.5693,0.2281,small
corhsciarc,mm,All other sections,be_state,0.7903,0.5992,0.9287,0.1911,0.2058,small
corhsciarc,mm,All other sections,all_jth,0.6306,0.423,1.0278,0.2075,0.2019,small
corhsciarc,mm,All other sections,atadvl,0.0472,0.0212,0.131,0.026,0.1987,negligible
corhsciarc,mm,All other sections,sizej,1.6361,1.3419,1.6913,0.2942,0.1739,negligible
corhsciarc,mm,All other sections,x5_jto,0.1681,0.1152,0.3296,0.0528,0.1603,negligible
corhsciarc,mm,All other sections,act_tpv,0.5486,0.41,0.9216,0.1386,0.1504,negligible
corhsciarc,mm,All other sections,n,354.4819,349.3556,34.2248,5.1263,0.1498,negligible
corhsciarc,mm,All other sections,lkly_jth,0.4167,0.2773,0.9421,0.1394,0.1479,negligible
corhsciarc,mm,All other sections,copulapv,0.0236,0.0103,0.0921,0.0134,0.1451,negligible
corhsciarc,mm,All other sections,pos_mod,3.1556,2.7709,2.7311,0.3847,0.1409,negligible
corhsciarc,mm,All other sections,ttr,31.7806,31.4126,2.6949,0.368,0.1366,negligible
corhsciarc,mm,All other sections,advs,23.3111,22.3059,8.0516,1.0052,0.1248,negligible
corhsciarc,mm,All other sections,pro_do,0.2236,0.1563,0.5584,0.0673,0.1205,negligible
corhsciarc,mm,All other sections,vprogrsv,5.65,5.3101,3.0509,0.3399,0.1114,negligible
corhsciarc,mm,All other sections,tm_adv,2.5347,2.3128,1.9968,0.2219,0.1111,negligible
corhsciarc,mm,All other sections,actv,20.575,19.946,6.0877,0.629,0.1033,negligible
corhsciarc,mm,All other sections,it,2.8,2.5654,2.4565,0.2346,0.0955,negligible
corhsciarc,mm,All other sections,mntl_vto,0.4236,0.359,0.6807,0.0646,0.0949,negligible
corhsciarc,mm,All other sections,all_advl,1.4861,1.3544,1.4312,0.1317,0.092,negligible
corhsciarc,mm,All other sections,quann,9.4875,8.9143,6.6847,0.5732,0.0858,negligible
corhsciarc,mm,All other sections,mentalpv,0.0153,0.0084,0.1125,0.0069,0.061,negligible
corhsciarc,mm,All other sections,att_jth,0.1139,0.0986,0.2929,0.0153,0.0521,negligible
corhsciarc,mm,All other sections,whiz_vbn,4.7583,4.6459,2.6871,0.1125,0.0419,negligible
corhsciarc,mm,All other sections,prob_vto,0.1472,0.132,0.3664,0.0152,0.0415,negligible
corhsciarc,mm,All other sections,gen_emph,0.9958,0.9513,1.1682,0.0446,0.0381,negligible
corhsciarc,mm,All other sections,alladj,83.5264,82.9366,15.4597,0.5898,0.0381,negligible
corhsciarc,mm,All other sections,amplifr,1.1903,1.1253,1.7426,0.0649,0.0373,negligible
corhsciarc,mm,All other sections,allmodal,4.4069,4.2929,3.6013,0.1141,0.0317,negligible
corhsciarc,mm,All other sections,lkly_vth,0.875,0.8429,1.1978,0.0321,0.0268,negligible
corhsciarc,mm,All other sections,gen_hdg,0.1111,0.1028,0.3473,0.0083,0.024,negligible
corhsciarc,mm,All other sections,nonfadvl,0.8667,0.8435,1.076,0.0231,0.0215,negligible
corhsciarc,mm,All other sections,placen,5.5806,5.4565,6.3125,0.1241,0.0197,negligible
corhsciarc,mm,All other sections,pdem,1.5375,1.565,1.5933,-0.0275,-0.0172,negligible
corhsciarc,mm,All other sections,aspectpv,0.0028,0.004,0.0501,-0.0013,-0.025,negligible
corhsciarc,mm,All other sections,by_pasv,2.7139,2.7744,2.0806,-0.0605,-0.0291,negligible
corhsciarc,mm,All other sections,prtcle,0.0389,0.0461,0.2432,-0.0072,-0.0296,negligible
corhsciarc,mm,All other sections,occurv,1.5403,1.5944,1.6124,-0.0541,-0.0335,negligible
corhsciarc,mm,All other sections,x1_jto,0.2736,0.3147,0.9547,-0.0411,-0.0431,negligible
corhsciarc,mm,All other sections,causev,2.1,2.1919,1.9932,-0.0919,-0.0461,negligible
corhsciarc,mm,All other sections,all_jto,0.8569,0.9166,1.2589,-0.0596,-0.0474,negligible
corhsciarc,mm,All other sections,occurpv,0.0,0.0009,0.019,-0.0009,-0.0485,negligible
corhsciarc,mm,All other sections,that_rel,2.7292,2.8658,2.4285,-0.1366,-0.0563,negligible
corhsciarc,mm,All other sections,evalj,0.4653,0.5182,0.9041,-0.0529,-0.0585,negligible
corhsciarc,mm,All other sections,adj_attr,60.2792,61.1997,13.8129,-0.9205,-0.0666,negligible
corhsciarc,mm,All other sections,act_ipv,0.0,0.0126,0.1818,-0.0126,-0.0691,negligible
corhsciarc,mm,All other sections,tccncrt,9.8333,10.3394,6.8651,-0.5061,-0.0737,negligible
corhsciarc,mm,All other sections,conjncts,4.0431,4.2704,2.9504,-0.2273,-0.0771,negligible
corhsciarc,mm,All other sections,timej,0.4028,0.4932,1.1646,-0.0904,-0.0776,negligible
corhsciarc,mm,All other sections,pres,39.7375,41.4075,19.6599,-1.67,-0.0849,negligible
corhsciarc,mm,All other sections,lkly_nth,0.1111,0.1555,0.4582,-0.0444,-0.0969,negligible
corhsciarc,mm,All other sections,att_nth,0.0111,0.0255,0.1456,-0.0143,-0.0986,negligible
corhsciarc,mm,All other sections,sub_cos,0.6722,0.8069,1.1019,-0.1347,-0.1222,negligible
corhsciarc,mm,All other sections,fct_nth,0.0625,0.1021,0.3208,-0.0396,-0.1234,negligible
corhsciarc,mm,All other sections,finlprep,0.6556,0.8484,1.5353,-0.1928,-0.1256,negligible
corhsciarc,mm,All other sections,rel_obj,0.35,0.4359,0.6836,-0.0859,-0.1257,negligible
corhsciarc,mm,All other sections,sub_othr,3.0597,3.3461,2.2277,-0.2864,-0.1285,negligible
corhsciarc,mm,All other sections,rel_subj,2.3333,2.6084,2.1236,-0.2751,-0.1295,negligible
corhsciarc,mm,All other sections,efrt_vto,0.9944,1.1722,1.2382,-0.1778,-0.1436,negligible
corhsciarc,mm,All other sections,commpv,0.0,0.0151,0.1015,-0.0151,-0.1486,negligible
corhsciarc,mm,All other sections,nfct_nth,0.0,0.0291,0.1904,-0.0291,-0.1531,negligible
corhsciarc,mm,All other sections,x3_jto,0.0,0.0219,0.1429,-0.0219,-0.1532,negligible
corhsciarc,mm,All other sections,rel_pipe,0.7389,0.9302,1.2333,-0.1913,-0.1551,negligible
corhsciarc,mm,All other sections,fctadvl,0.2486,0.3815,0.8004,-0.1328,-0.166,negligible
corhsciarc,mm,All other sections,all_nto,0.3014,0.4412,0.822,-0.1399,-0.1701,negligible
corhsciarc,mm,All other sections,fact_vth,0.6458,0.8503,1.1151,-0.2045,-0.1834,negligible
corhsciarc,mm,All other sections,wh_ques,0.0278,0.1512,0.6273,-0.1234,-0.1967,negligible
corhsciarc,mm,All other sections,all_th,3.6194,4.2471,3.1394,-0.6277,-0.1999,negligible
corhsciarc,mm,All other sections,all_nth,0.1861,0.3113,0.6262,-0.1252,-0.1999,negligible
corhsciarc,mm,All other sections,nonf_vth,1.0556,1.3657,1.5263,-0.3101,-0.2032,small
corhsciarc,mm,All other sections,allwhrel,3.4278,3.9758,2.6478,-0.548,-0.207,small
corhsciarc,mm,All other sections,that_del,0.3542,0.5338,0.8559,-0.1796,-0.2098,small
corhsciarc,mm,All other sections,pany,0.5472,0.7839,1.0305,-0.2366,-0.2296,small
corhsciarc,mm,All other sections,aspectv,0.7819,1.109,1.4106,-0.327,-0.2318,small
corhsciarc,mm,All other sections,wh_cl,0.0542,0.1736,0.4812,-0.1195,-0.2482,small
corhsciarc,mm,All other sections,mentalv,11.1444,12.4808,5.0624,-1.3363,-0.264,small
corhsciarc,mm,All other sections,all_vth,2.8056,3.5119,2.6275,-0.7063,-0.2688,small
corhsciarc,mm,All other sections,p_and,1.9458,2.541,2.1521,-0.5952,-0.2766,small
corhsciarc,mm,All other sections,att_vth,0.2319,0.452,0.78,-0.22,-0.2821,small
corhsciarc,mm,All other sections,sub_cnd,0.7333,1.2154,1.687,-0.4821,-0.2858,small
corhsciarc,mm,All other sections,o_and,6.9375,8.2548,4.5236,-1.3173,-0.2912,small
corhsciarc,mm,All other sections,pasttnse,34.9639,40.4024,17.9004,-5.4385,-0.3038,small
corhsciarc,mm,All other sections,x2_jto,0.125,0.2969,0.5636,-0.1719,-0.305,small
corhsciarc,mm,All other sections,allwh,0.0819,0.3244,0.7826,-0.2425,-0.3099,small
corhsciarc,mm,All other sections,have,0.8764,1.3238,1.4411,-0.4475,-0.3105,small
corhsciarc,mm,All other sections,vcmp,1.3819,2.0196,2.0405,-0.6376,-0.3125,small
corhsciarc,mm,All other sections,pro2,0.0,0.5781,1.7826,-0.5781,-0.3243,small
corhsciarc,mm,All other sections,sua_vb,0.9875,1.5233,1.603,-0.5358,-0.3342,small
corhsciarc,mm,All other sections,contrac,0.0847,0.4104,0.9313,-0.3256,-0.3497,small
corhsciarc,mm,All other sections,prd_mod,0.5667,1.0487,1.3651,-0.4821,-0.3531,small
corhsciarc,mm,All other sections,all_to,3.0347,4.0558,2.712,-1.021,-0.3765,small
corhsciarc,mm,All other sections,pro1,7.5986,11.1417,9.0231,-3.5431,-0.3927,small
corhsciarc,mm,All other sections,cognitn,4.6972,6.428,4.3945,-1.7308,-0.3938,small
corhsciarc,mm,All other sections,all_vto,1.8792,2.6968,2.048,-0.8176,-0.3992,small
corhsciarc,mm,All other sections,inf,7.15,8.8401,3.9714,-1.6901,-0.4256,small
corhsciarc,mm,All other sections,dsre_vto,0.2542,0.5873,0.78,-0.3332,-0.4271,small
corhsciarc,mm,All other sections,spch_vto,0.0597,0.448,0.9048,-0.3883,-0.4292,small
corhsciarc,mm,All other sections,groupn,1.0569,2.9268,4.1358,-1.8699,-0.4521,small
corhsciarc,mm,All other sections,existv,7.3375,9.1414,3.9792,-1.8039,-0.4533,small
corhsciarc,mm,All other sections,wrlengh,5.1486,5.2704,0.2668,-0.1218,-0.4564,small
corhsciarc,mm,All other sections,allverb,98.8972,104.802,12.8896,-5.9047,-0.4581,small
corhsciarc,mm,All other sections,allconj,13.35,16.1641,5.7661,-2.8141,-0.488,small
corhsciarc,mm,All other sections,pro3,3.15,5.3808,4.4289,-2.2308,-0.5037,medium
corhsciarc,mm,All other sections,relatnj,3.9181,5.5149,3.0518,-1.5968,-0.5232,medium
corhsciarc,mm,All other sections,topicj,1.3431,3.8394,4.5216,-2.4963,-0.5521,medium
corhsciarc,mm,All other sections,commv,4.2069,6.2728,3.7045,-2.0659,-0.5577,medium
corhsciarc,mm,All other sections,allpro,10.7458,17.1028,10.0952,-6.3569,-0.6297,medium
corhsciarc,mm,All other sections,humann,1.9361,5.6359,5.7639,-3.6998,-0.6419,medium
corhsciarc,mm,All other sections,abstrcn,21.6181,29.5623,12.0816,-7.9443,-0.6576,medium
corhsciarc,mm,All other sections,prcessn,11.7208,19.3465,8.5753,-7.6257,-0.8893,large
