Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhsciarc,rd,All other sections,ttr,30.9425,29.215,3.1376,1.7276,0.5505897597918109,medium
corhsciarc,rd,All other sections,wrlengh,5.0655,5.3207,0.2706,-0.2551,-0.9427798811667923,large
corhsciarc,rd,All other sections,wcount,2967.9655,2544.7032,1465.2196,423.2624,0.28887298728025806,small
corhsciarc,rd,All other sections,that_del,0.4264,0.7799,0.9832,-0.3535,-0.3595510041568614,small
corhsciarc,rd,All other sections,contrac,0.1678,0.5799,1.6333,-0.412,-0.2522731291835364,small
corhsciarc,rd,All other sections,pres,50.308,56.8638,16.0273,-6.5558,-0.4090385520304573,small
corhsciarc,rd,All other sections,pro2,0.0057,0.2961,1.2691,-0.2903,-0.22874906543839663,small
corhsciarc,rd,All other sections,pro_do,0.2437,0.2091,0.542,0.0346,0.06378554976807843,negligible
corhsciarc,rd,All other sections,pdem,2.2115,2.6909,1.8413,-0.4794,-0.26036361721053114,small
corhsciarc,rd,All other sections,gen_emph,2.0414,1.8046,1.6487,0.2367,0.14359455242669675,negligible
corhsciarc,rd,All other sections,pro1,6.7241,9.0875,6.9864,-2.3633,-0.3382793845436573,small
corhsciarc,rd,All other sections,it,4.5034,4.0383,2.7895,0.4652,0.16676409149009366,negligible
corhsciarc,rd,All other sections,be_state,1.0793,1.6004,1.3328,-0.521,-0.3909296764319909,small
corhsciarc,rd,All other sections,sub_cos,0.7023,0.8072,0.96,-0.1049,-0.1092468909053746,negligible
corhsciarc,rd,All other sections,prtcle,0.0379,0.0489,0.1535,-0.0109,-0.07120000306122266,negligible
corhsciarc,rd,All other sections,pany,0.6345,0.7341,0.8543,-0.0996,-0.11656087645642528,negligible
corhsciarc,rd,All other sections,gen_hdg,0.2471,0.2424,0.4284,0.0047,0.011075320144693392,negligible
corhsciarc,rd,All other sections,amplifr,1.9575,1.536,1.3625,0.4215,0.30934625295871915,small
corhsciarc,rd,All other sections,wh_ques,0.0862,0.1052,0.2823,-0.019,-0.06716098515048788,negligible
corhsciarc,rd,All other sections,pos_mod,4.8207,6.0628,3.348,-1.2421,-0.37099797869989976,small
corhsciarc,rd,All other sections,o_and,6.4448,7.455,3.7482,-1.0102,-0.2695038779103042,small
corhsciarc,rd,All other sections,wh_cl,0.1276,0.262,0.4437,-0.1344,-0.3029272193237616,small
corhsciarc,rd,All other sections,finlprep,0.392,0.714,1.1066,-0.3221,-0.2910342961027343,small
corhsciarc,rd,All other sections,n,333.3828,332.096,30.0375,1.2868,0.04283930037765516,negligible
corhsciarc,rd,All other sections,prep,135.1678,135.3454,15.6198,-0.1776,-0.011372118939001197,negligible
corhsciarc,rd,All other sections,adj_attr,67.8954,68.8884,16.6999,-0.993,-0.059458560573464644,negligible
corhsciarc,rd,All other sections,pasttnse,23.5402,26.6963,13.7519,-3.1561,-0.22950153916535299,small
corhsciarc,rd,All other sections,pro3,3.4966,6.0743,5.2703,-2.5777,-0.4890968599244385,small
corhsciarc,rd,All other sections,perfects,4.8747,3.7904,2.6493,1.0843,0.4092928982060805,small
corhsciarc,rd,All other sections,rel_obj,0.3954,0.5633,0.7225,-0.1679,-0.23239288434250852,small
corhsciarc,rd,All other sections,rel_subj,2.1115,2.788,2.2158,-0.6765,-0.3053118470116796,small
corhsciarc,rd,All other sections,rel_pipe,0.6391,0.7168,0.7837,-0.0777,-0.09918357161669862,negligible
corhsciarc,rd,All other sections,p_and,2.1793,2.5784,1.9513,-0.3991,-0.20451536904783313,small
corhsciarc,rd,All other sections,tm_adv,2.5816,1.4278,1.4165,1.1539,0.8145822480554952,large
corhsciarc,rd,All other sections,pl_adv,5.3402,3.1607,3.0874,2.1795,0.7059585655093851,medium
