Field_Target,Field_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhsciarc,All other fields,lklydvl,0.8458,0.2417,0.6566,0.6041,0.9201,large
corhsciarc,All other fields,concrtn,13.5641,7.8757,7.1035,5.6884,0.8008,large
corhsciarc,All other fields,pl_adv,5.9312,3.022,3.6503,2.9092,0.797,medium
corhsciarc,All other fields,tm_adv,2.901,1.6753,1.7535,1.2257,0.699,medium
corhsciarc,All other fields,all_advl,2.2439,1.5485,1.6111,0.6953,0.4316,small
corhsciarc,All other fields,ttr,31.9488,30.7248,2.911,1.224,0.4205,small
corhsciarc,All other fields,quann,9.8983,7.3065,6.2792,2.5918,0.4128,small
corhsciarc,All other fields,placen,7.1445,5.1165,6.3383,2.0281,0.32,small
corhsciarc,All other fields,x4_jto,0.4236,0.2486,0.6105,0.175,0.2866,small
corhsciarc,All other fields,perfects,5.5894,4.6905,3.6999,0.8988,0.2429,small
corhsciarc,All other fields,allpasv,19.6731,17.7653,8.3796,1.9078,0.2277,small
corhsciarc,All other fields,fact_jth,0.1538,0.086,0.3207,0.0679,0.2116,small
corhsciarc,All other fields,prep,137.1744,133.7748,16.1063,3.3996,0.2111,small
corhsciarc,All other fields,agls_psv,13.5983,12.1618,7.0431,1.4365,0.204,small
corhsciarc,All other fields,jcmp,0.3382,0.2267,0.562,0.1115,0.1983,negligible
corhsciarc,All other fields,alladj,100.5445,96.2696,21.5931,4.275,0.198,negligible
corhsciarc,All other fields,colorj,0.2023,0.096,0.5434,0.1064,0.1958,negligible
corhsciarc,All other fields,timej,1.0714,0.7735,1.6135,0.2979,0.1847,negligible
corhsciarc,All other fields,whiz_vbn,4.0372,3.5849,2.5538,0.4523,0.1771,negligible
corhsciarc,All other fields,amplifr,1.5578,1.2897,1.5759,0.2681,0.1701,negligible
corhsciarc,All other fields,aspectv,0.9203,0.7618,1.1817,0.1585,0.1341,negligible
corhsciarc,All other fields,downtone,2.6595,2.4099,1.9379,0.2496,0.1288,negligible
corhsciarc,All other fields,wcount,1724.7674,1568.2571,1281.1813,156.5103,0.1222,negligible
corhsciarc,All other fields,adj_attr,74.186,72.1804,19.7044,2.0057,0.1018,negligible
corhsciarc,All other fields,prtcle,0.0721,0.0476,0.2467,0.0245,0.0994,negligible
corhsciarc,All other fields,sizej,2.3359,2.1066,2.6692,0.2293,0.0859,negligible
corhsciarc,All other fields,pro_do,0.2262,0.1928,0.5723,0.0335,0.0585,negligible
