Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscied,abs,All other sections,ttr,32.06,30.9017,2.7345,1.1583,0.42358029243472206,small
corhscied,abs,All other sections,wrlengh,5.63,5.5389,0.3001,0.0911,0.3037470893724907,small
corhscied,abs,All other sections,wcount,368.1,385.9829,172.4638,-17.8829,-0.10369050326839536,negligible
corhscied,abs,All other sections,that_del,0.99,0.5514,1.4311,0.4386,0.30645204956074,small
corhscied,abs,All other sections,contrac,0.52,0.2857,1.0837,0.2343,0.21618350055935387,small
corhscied,abs,All other sections,pres,40.65,44.5754,17.9142,-3.9254,-0.219124279760549,small
corhscied,abs,All other sections,pro2,0.0,0.0566,0.7297,-0.0566,-0.07752323662456803,negligible
corhscied,abs,All other sections,pro_do,0.0,0.1749,0.6853,-0.1749,-0.25514529855695317,small
corhscied,abs,All other sections,pdem,1.5,1.3091,2.2819,0.1909,0.08364080245871783,negligible
corhscied,abs,All other sections,gen_emph,1.13,1.4954,2.8731,-0.3654,-0.12718936872542896,negligible
corhscied,abs,All other sections,pro1,6.71,8.2897,8.1406,-1.5797,-0.1940546218207553,negligible
corhscied,abs,All other sections,it,2.21,2.6834,3.1553,-0.4734,-0.1500407704965093,negligible
corhscied,abs,All other sections,be_state,0.45,0.8251,1.5785,-0.3751,-0.23766297800319133,small
corhscied,abs,All other sections,sub_cos,0.0,0.3257,1.033,-0.3257,-0.3153115089566185,small
corhscied,abs,All other sections,prtcle,0.0,0.0411,0.33,-0.0411,-0.12469074427721301,negligible
corhscied,abs,All other sections,pany,0.32,0.5629,1.3706,-0.2429,-0.17718756304535083,negligible
corhscied,abs,All other sections,gen_hdg,0.0,0.0303,0.2837,-0.0303,-0.10675041548043716,negligible
corhscied,abs,All other sections,amplifr,0.0,0.7811,1.5912,-0.7811,-0.4909106698183007,small
corhscied,abs,All other sections,wh_ques,0.9,0.568,1.6072,0.332,0.20657589718336491,small
corhscied,abs,All other sections,pos_mod,3.32,4.048,4.4606,-0.728,-0.1632069559907617,negligible
corhscied,abs,All other sections,o_and,9.98,8.3566,6.262,1.6234,0.2592498689116921,small
corhscied,abs,All other sections,wh_cl,0.0,0.3354,0.9664,-0.3354,-0.34709961377961784,small
corhscied,abs,All other sections,finlprep,0.52,0.2937,0.9552,0.2263,0.2368926808293096,small
corhscied,abs,All other sections,n,359.03,365.4531,39.6625,-6.4231,-0.16194513637354482,negligible
corhscied,abs,All other sections,prep,127.32,137.6463,22.8538,-10.3263,-0.4518407717313475,small
corhscied,abs,All other sections,adj_attr,78.47,76.0577,24.9614,2.4123,0.09664050381464771,negligible
corhscied,abs,All other sections,pasttnse,41.41,30.7371,15.8077,10.6729,0.6751694371985656,medium
corhscied,abs,All other sections,pro3,8.19,5.052,5.5475,3.138,0.5656589313935889,medium
corhscied,abs,All other sections,perfects,3.76,3.5269,3.3386,0.2331,0.06983347988269498,negligible
corhscied,abs,All other sections,rel_obj,0.0,0.4503,1.1274,-0.4503,-0.3993857221892656,small
corhscied,abs,All other sections,rel_subj,2.61,2.1806,2.5623,0.4294,0.1675978798951048,negligible
corhscied,abs,All other sections,rel_pipe,1.26,0.7989,2.1247,0.4611,0.21703934564374447,small
corhscied,abs,All other sections,p_and,6.58,3.0766,4.2417,3.5034,0.8259503579072229,large
corhscied,abs,All other sections,tm_adv,1.82,1.3457,1.9543,0.4743,0.24269167137153638,small
corhscied,abs,All other sections,pl_adv,3.17,4.0931,8.4779,-0.9231,-0.10888828990697255,negligible
corhscied,abs,All other sections,advs,24.9,23.3269,12.3392,1.5731,0.12749193193746475,negligible
corhscied,abs,All other sections,inf,13.5,10.2223,6.9553,3.2777,0.4712558205571502,small
corhscied,abs,All other sections,prd_mod,0.83,1.0126,2.0547,-0.1826,-0.08885520595195813,negligible
corhscied,abs,All other sections,sua_vb,2.62,1.6154,2.268,1.0046,0.4429316579607926,small
corhscied,abs,All other sections,sub_cnd,0.25,0.3526,1.2641,-0.1026,-0.0811395443169927,negligible
corhscied,abs,All other sections,nec_mod,1.52,0.66,1.5944,0.86,0.5393938745463511,medium
corhscied,abs,All other sections,spl_aux,1.76,2.0263,2.6434,-0.2663,-0.10073531843899665,negligible
corhscied,abs,All other sections,conjncts,4.03,4.9543,5.4236,-0.9243,-0.1704203289934191,negligible
corhscied,abs,All other sections,agls_psv,14.15,11.12,7.8803,3.03,0.38450406596482944,small
corhscied,abs,All other sections,by_pasv,0.58,1.4771,2.2415,-0.8971,-0.40024357781672937,small
corhscied,abs,All other sections,whiz_vbn,5.04,3.7823,3.6101,1.2577,0.34838673394364805,small
corhscied,abs,All other sections,sub_othr,2.62,2.8651,3.2249,-0.2451,-0.07601530602316439,negligible
corhscied,abs,All other sections,vcmp,4.42,3.956,4.1082,0.464,0.11294593956257185,negligible
corhscied,abs,All other sections,downtone,1.15,1.684,2.4484,-0.534,-0.218099932317725,small
corhscied,abs,All other sections,pred_adj,4.84,4.3149,4.0394,0.5251,0.13000604096785,negligible
corhscied,abs,All other sections,allmodal,5.66,5.7189,5.2025,-0.0589,-0.01131313647674843,negligible
corhscied,abs,All other sections,allconj,19.42,14.976,9.1133,4.444,0.48764157865255214,small
corhscied,abs,All other sections,allpasv,19.77,16.3851,8.5767,3.3849,0.39465842765769826,small
corhscied,abs,All other sections,allwh,0.9,0.904,1.8357,-0.004,-0.002178979122021291,negligible
corhscied,abs,All other sections,allwhrel,3.87,3.4297,3.6544,0.4403,0.12048080129281549,negligible
corhscied,abs,All other sections,alladj,101.25,100.3611,28.2793,0.8889,0.03143133795441238,negligible
