Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscied,con,All other sections,ttr,29.6727,30.4098,2.9074,-0.737,-0.25350333770936406,small
corhscied,con,All other sections,wrlengh,5.5909,5.4784,0.2842,0.1125,0.39582903103332034,small
corhscied,con,All other sections,wcount,443.8182,580.9721,296.9097,-137.1539,-0.461938220966621,small
corhscied,con,All other sections,that_del,1.3636,0.6314,1.3988,0.7323,0.5234962147699634,medium
corhscied,con,All other sections,contrac,1.1,0.3899,1.0642,0.7101,0.6672518262144945,medium
corhscied,con,All other sections,pres,63.0545,64.3157,16.9346,-1.2611,-0.0744709221617727,negligible
corhscied,con,All other sections,pro2,0.0,0.0449,0.2869,-0.0449,-0.15664781884453233,negligible
corhscied,con,All other sections,pro_do,0.5182,0.1997,0.6525,0.3185,0.4882029047008819,small
corhscied,con,All other sections,pdem,2.9,2.8554,2.8896,0.0446,0.015434509022743039,negligible
corhscied,con,All other sections,gen_emph,1.3727,1.5195,1.8938,-0.1468,-0.07750978891543167,negligible
corhscied,con,All other sections,pro1,10.6727,10.3666,9.2812,0.3062,0.03298876232912448,negligible
corhscied,con,All other sections,it,4.2818,5.1446,3.9741,-0.8628,-0.21710058832243373,small
corhscied,con,All other sections,be_state,2.4273,2.2439,2.4826,0.1834,0.07386237776031154,negligible
corhscied,con,All other sections,sub_cos,0.0,0.6972,1.318,-0.6972,-0.5290087381687011,medium
corhscied,con,All other sections,prtcle,0.0,0.0533,0.3322,-0.0533,-0.16045449031525713,negligible
corhscied,con,All other sections,pany,0.5455,0.608,1.1512,-0.0626,-0.05434127966381823,negligible
corhscied,con,All other sections,gen_hdg,0.2091,0.1638,0.6259,0.0453,0.07241589612344178,negligible
corhscied,con,All other sections,amplifr,2.9818,1.5547,1.9453,1.4271,0.7336391986180186,medium
corhscied,con,All other sections,wh_ques,0.0,0.1028,0.6559,-0.1028,-0.15671384084096734,negligible
corhscied,con,All other sections,pos_mod,6.8727,7.6944,5.0203,-0.8217,-0.163676545978567,negligible
corhscied,con,All other sections,o_and,10.1455,7.7878,5.383,2.3576,0.43798177611914707,small
corhscied,con,All other sections,wh_cl,0.1818,0.3958,0.8812,-0.214,-0.2428390330589653,small
corhscied,con,All other sections,finlprep,0.4818,0.5864,1.6438,-0.1046,-0.06362725009445916,negligible
corhscied,con,All other sections,n,348.2273,331.1878,33.7862,17.0395,0.5043323686246164,medium
corhscied,con,All other sections,prep,134.9727,136.0247,17.0787,-1.052,-0.06159780262200565,negligible
corhscied,con,All other sections,adj_attr,68.5455,83.4098,23.4224,-14.8643,-0.6346194372404755,medium
corhscied,con,All other sections,pasttnse,21.5,15.7721,10.6065,5.7279,0.54003635280272,medium
corhscied,con,All other sections,pro3,6.1,5.0317,5.2228,1.0683,0.20454379933177894,small
corhscied,con,All other sections,perfects,3.0455,4.7868,4.3001,-1.7413,-0.40494441380762836,small
corhscied,con,All other sections,rel_obj,0.9455,0.577,1.1515,0.3685,0.3199856184096769,small
corhscied,con,All other sections,rel_subj,2.7455,2.1422,2.3729,0.6033,0.2542469955906852,small
corhscied,con,All other sections,rel_pipe,1.0455,0.6432,1.158,0.4022,0.3473538046944274,small
corhscied,con,All other sections,p_and,1.6,3.3105,3.1632,-1.7105,-0.5407275445004303,medium
corhscied,con,All other sections,tm_adv,0.2545,1.4014,1.8347,-1.1468,-0.6250832427448824,medium
corhscied,con,All other sections,pl_adv,3.8909,3.878,5.604,0.0129,0.0022948651634622963,negligible
corhscied,con,All other sections,advs,33.7,33.2854,10.8916,0.4146,0.038069199537281696,negligible
corhscied,con,All other sections,inf,13.7727,11.085,6.5296,2.6877,0.41161664447301055,small
