Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscied,int,All other sections,groupn,7.9747,2.0097,4.2151,5.965,1.4152,large
corhscied,int,All other sections,sua_vb,3.2494,1.694,1.865,1.5554,0.834,large
corhscied,int,All other sections,humann,9.4966,5.116,6.3583,4.3806,0.6889,medium
corhscied,int,All other sections,prcessn,30.054,22.0759,11.5886,7.9781,0.6884,medium
corhscied,int,All other sections,inf,14.1069,10.7735,5.2002,3.3334,0.641,medium
corhscied,int,All other sections,pasttnse,21.1092,16.0198,9.2367,5.0894,0.551,medium
corhscied,int,All other sections,aspectv,1.2046,0.6441,1.0458,0.5605,0.5359,medium
corhscied,int,All other sections,causev,4.2931,2.937,2.5517,1.3561,0.5314,medium
corhscied,int,All other sections,have,1.9437,1.2884,1.4569,0.6552,0.4497,small
corhscied,int,All other sections,x4_jto,0.5517,0.2729,0.6629,0.2788,0.4206,small
corhscied,int,All other sections,allverb,107.9241,101.7622,14.8409,6.1619,0.4152,small
corhscied,int,All other sections,wrlengh,5.6276,5.519,0.272,0.1086,0.3991,small
corhscied,int,All other sections,att_vth,0.8253,0.4839,0.869,0.3414,0.3929,small
corhscied,int,All other sections,act_tpv,0.4437,0.1994,0.6506,0.2442,0.3754,small
corhscied,int,All other sections,vprogrsv,7.0195,5.632,3.7454,1.3875,0.3705,small
corhscied,int,All other sections,pro3,8.1931,6.3871,5.1518,1.806,0.3506,small
corhscied,int,All other sections,efrt_vto,1.723,1.2488,1.4878,0.4742,0.3187,small
corhscied,int,All other sections,sizej,2.592,1.9644,2.3502,0.6275,0.267,small
corhscied,int,All other sections,rel_subj,3.0207,2.4434,2.1626,0.5773,0.2669,small
corhscied,int,All other sections,fct_nth,0.3483,0.2017,0.5499,0.1466,0.2666,small
corhscied,int,All other sections,that_del,0.654,0.4528,0.7698,0.2013,0.2614,small
corhscied,int,All other sections,all_vto,4.2563,3.5969,2.559,0.6595,0.2577,small
corhscied,int,All other sections,commv,7.1954,6.1871,4.2844,1.0083,0.2353,small
corhscied,int,All other sections,all_to,6.9529,6.1012,3.6948,0.8517,0.2305,small
corhscied,int,All other sections,cognitn,9.0862,7.7986,5.7477,1.2877,0.224,small
corhscied,int,All other sections,all_jto,1.8356,1.5047,1.6333,0.3309,0.2026,small
corhscied,int,All other sections,actv,16.2,15.0475,5.7174,1.1525,0.2016,small
corhscied,int,All other sections,lkly_jth,0.7805,0.581,1.0356,0.1995,0.1926,negligible
corhscied,int,All other sections,mentalv,13.6402,12.6039,5.7639,1.0363,0.1798,negligible
corhscied,int,All other sections,timej,1.3241,1.0091,1.7671,0.3151,0.1783,negligible
corhscied,int,All other sections,all_jth,1.0862,0.8751,1.2053,0.2111,0.1751,negligible
corhscied,int,All other sections,dsre_vto,1.1517,0.9583,1.2021,0.1934,0.1609,negligible
corhscied,int,All other sections,n,347.4034,342.8343,30.7194,4.5692,0.1487,negligible
corhscied,int,All other sections,perfects,7.6057,7.0306,4.0123,0.5751,0.1433,negligible
corhscied,int,All other sections,pro2,0.1529,0.088,0.4979,0.0648,0.1302,negligible
corhscied,int,All other sections,allwhrel,4.3333,3.9807,2.8242,0.3526,0.1249,negligible
corhscied,int,All other sections,o_and,9.5046,8.8941,4.8889,0.6105,0.1249,negligible
corhscied,int,All other sections,p_and,3.7713,3.432,2.7575,0.3393,0.123,negligible
corhscied,int,All other sections,aspectpv,0.0138,0.005,0.0747,0.0088,0.1181,negligible
corhscied,int,All other sections,x3_jto,0.023,0.0104,0.1118,0.0126,0.113,negligible
corhscied,int,All other sections,ttr,32.0529,31.8034,2.2389,0.2495,0.1114,negligible
corhscied,int,All other sections,gen_hdg,0.1713,0.1222,0.4609,0.049,0.1064,negligible
corhscied,int,All other sections,x5_jto,0.3736,0.3027,0.6719,0.0708,0.1054,negligible
corhscied,int,All other sections,nfct_nth,0.0678,0.0472,0.2621,0.0206,0.0785,negligible
corhscied,int,All other sections,spch_vto,0.3437,0.2936,0.6844,0.0501,0.0732,negligible
corhscied,int,All other sections,all_th,7.9057,7.6073,4.5717,0.2984,0.0653,negligible
corhscied,int,All other sections,fact_vth,2.3471,2.217,2.2434,0.1301,0.058,negligible
corhscied,int,All other sections,wh_cl,0.2966,0.2636,0.5973,0.0329,0.0551,negligible
corhscied,int,All other sections,jcmp,0.2092,0.1851,0.4715,0.0241,0.051,negligible
corhscied,int,All other sections,allpro,13.4115,13.0309,7.9781,0.3806,0.0477,negligible
corhscied,int,All other sections,be_state,1.3954,1.3251,1.5804,0.0703,0.0445,negligible
corhscied,int,All other sections,evalj,1.0621,1.008,1.4436,0.0541,0.0375,negligible
corhscied,int,All other sections,pany,0.8506,0.8107,1.088,0.0399,0.0367,negligible
corhscied,int,All other sections,nonf_vth,2.0276,1.9572,1.9295,0.0704,0.0365,negligible
corhscied,int,All other sections,all_nth,0.6816,0.6463,1.0135,0.0353,0.0348,negligible
corhscied,int,All other sections,nec_mod,0.923,0.8807,1.3448,0.0423,0.0314,negligible
corhscied,int,All other sections,placen,5.4632,5.2753,6.2878,0.1879,0.0299,negligible
corhscied,int,All other sections,allconj,17.8874,17.7048,6.4396,0.1825,0.0283,negligible
corhscied,int,All other sections,fact_jth,0.092,0.0832,0.3102,0.0087,0.0282,negligible
corhscied,int,All other sections,agls_psv,10.4897,10.3653,4.9907,0.1244,0.0249,negligible
corhscied,int,All other sections,rel_obj,0.5897,0.5687,0.8874,0.021,0.0236,negligible
corhscied,int,All other sections,prob_vto,0.523,0.5094,0.9257,0.0136,0.0147,negligible
corhscied,int,All other sections,all_vth,6.1391,6.0851,3.8664,0.054,0.014,negligible
corhscied,int,All other sections,att_nth,0.0494,0.0486,0.2171,0.0008,0.0038,negligible
