Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscied,mm,All other sections,ttr,30.921,31.4898,2.692,-0.5688,-0.21128411571202593,small
corhscied,mm,All other sections,wrlengh,5.3617,5.2516,0.267,0.1102,0.4125486741933217,small
corhscied,mm,All other sections,wcount,1203.4691,1425.518,916.0462,-222.0489,-0.24239923706576177,small
corhscied,mm,All other sections,that_del,0.4938,0.5225,0.8572,-0.0286,-0.033410892620328383,negligible
corhscied,mm,All other sections,contrac,0.584,0.3667,0.9334,0.2172,0.2327520187102088,small
corhscied,mm,All other sections,pres,32.2556,42.1305,19.4683,-9.8749,-0.5072332502145932,medium
corhscied,mm,All other sections,pro2,0.7506,0.5134,1.7879,0.2372,0.1326830737871951,negligible
corhscied,mm,All other sections,pro_do,0.0975,0.1675,0.5584,-0.07,-0.12534258743879736,negligible
corhscied,mm,All other sections,pdem,1.2012,1.597,1.5895,-0.3957,-0.24897812593688048,small
corhscied,mm,All other sections,gen_emph,0.7432,0.9746,1.1664,-0.2314,-0.19839310141469363,negligible
corhscied,mm,All other sections,pro1,9.0889,11.0383,9.0558,-1.9494,-0.21526717705003445,small
corhscied,mm,All other sections,it,1.5074,2.6849,2.4349,-1.1775,-0.4835774279816861,small
corhscied,mm,All other sections,be_state,0.4185,0.6322,0.9282,-0.2137,-0.23026954539268157,small
corhscied,mm,All other sections,sub_cos,0.7136,0.8044,1.1022,-0.0908,-0.08241749267151323,negligible
corhscied,mm,All other sections,prtcle,0.0185,0.0481,0.2431,-0.0296,-0.12160638139743023,negligible
corhscied,mm,All other sections,pany,0.6358,0.778,1.0316,-0.1422,-0.1378351892168591,negligible
corhscied,mm,All other sections,gen_hdg,0.1074,0.103,0.3473,0.0044,0.012611797281356047,negligible
corhscied,mm,All other sections,amplifr,0.9247,1.1497,1.7416,-0.225,-0.12920428964975708,negligible
corhscied,mm,All other sections,wh_ques,0.1988,0.1363,0.6279,0.0624,0.09945154603677311,negligible
