Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscied,rd,All other sections,ttr,28.4819,29.4081,3.1592,-0.9262,-0.2931695166873707,small
corhscied,rd,All other sections,wrlengh,5.4096,5.2937,0.2767,0.1158,0.4185579872193861,small
corhscied,rd,All other sections,wcount,2248.1702,2601.7057,1466.2295,-353.5355,-0.24111880527516225,small
corhscied,rd,All other sections,that_del,0.9968,0.7349,0.9849,0.2619,0.2659294423453465,small
corhscied,rd,All other sections,contrac,0.7691,0.5326,1.6355,0.2365,0.1446314534025148,negligible
corhscied,rd,All other sections,pres,50.4723,56.8907,16.0247,-6.4183,-0.4005260108930365,small
corhscied,rd,All other sections,pro2,0.3702,0.2677,1.271,0.1025,0.08068108472776402,negligible
corhscied,rd,All other sections,pro_do,0.2032,0.2122,0.5421,-0.0091,-0.016705160734377337,negligible
corhscied,rd,All other sections,pdem,2.5543,2.6655,1.8451,-0.1112,-0.06027044602724038,negligible
corhscied,rd,All other sections,gen_emph,1.6617,1.8346,1.6491,-0.1729,-0.10485696026503952,negligible
corhscied,rd,All other sections,pro1,9.1213,8.9035,7.0124,0.2178,0.03105245634750916,negligible
corhscied,rd,All other sections,it,3.3787,4.1285,2.7849,-0.7498,-0.2692474658757304,small
corhscied,rd,All other sections,be_state,1.9085,1.5349,1.3358,0.3736,0.27969303788447464,small
corhscied,rd,All other sections,sub_cos,0.7404,0.8047,0.9603,-0.0642,-0.0669023203161033,negligible
corhscied,rd,All other sections,prtcle,0.033,0.0493,0.1535,-0.0164,-0.1065942204102003,negligible
corhscied,rd,All other sections,pany,0.6213,0.7358,0.8542,-0.1145,-0.13404325756751168,negligible
corhscied,rd,All other sections,gen_hdg,0.2457,0.2425,0.4284,0.0033,0.007651086797148908,negligible
corhscied,rd,All other sections,amplifr,1.0638,1.6074,1.3591,-0.5436,-0.39994591594685436,small
corhscied,rd,All other sections,wh_ques,0.0957,0.1045,0.2823,-0.0087,-0.03098738920097625,negligible
corhscied,rd,All other sections,pos_mod,6.1011,5.9644,3.3629,0.1367,0.04063671566685577,negligible
corhscied,rd,All other sections,o_and,7.9043,7.3404,3.7542,0.5639,0.15020600314451282,negligible
corhscied,rd,All other sections,wh_cl,0.2181,0.2553,0.4449,-0.0372,-0.08370971369950819,negligible
corhscied,rd,All other sections,finlprep,0.5755,0.7008,1.1092,-0.1253,-0.1129316145636824,negligible
corhscied,rd,All other sections,n,330.8798,332.2953,30.037,-1.4155,-0.04712667566955517,negligible
corhscied,rd,All other sections,prep,134.3755,135.4122,15.6175,-1.0366,-0.06637615309038973,negligible
corhscied,rd,All other sections,adj_attr,68.3064,68.8604,16.7012,-0.5541,-0.033174744063736994,negligible
corhscied,rd,All other sections,pasttnse,36.5032,25.6422,13.4695,10.861,0.806341521868773,large
corhscied,rd,All other sections,pro3,7.6277,5.748,5.2881,1.8796,0.35544599735732285,small
corhscied,rd,All other sections,perfects,4.4053,3.8226,2.6594,0.5828,0.21913537646186956,small
corhscied,rd,All other sections,rel_obj,0.4691,0.5582,0.7234,-0.0891,-0.12315092522496997,negligible
corhscied,rd,All other sections,rel_subj,3.6894,2.6615,2.2057,1.0279,0.46600100327313987,small
corhscied,rd,All other sections,rel_pipe,0.634,0.7177,0.7837,-0.0837,-0.10676429740212333,negligible
corhscied,rd,All other sections,p_and,2.8809,2.5227,1.9516,0.3581,0.18349919541891127,negligible
corhscied,rd,All other sections,tm_adv,1.3245,1.5248,1.4461,-0.2003,-0.13849900386805378,negligible
corhscied,rd,All other sections,pl_adv,3.1287,3.3304,3.1372,-0.2017,-0.0642848676284498,negligible
corhscied,rd,All other sections,advs,30.5787,32.1688,8.2634,-1.5901,-0.19242598707897288,negligible
corhscied,rd,All other sections,inf,10.2085,8.6417,4.451,1.5668,0.3520192816099982,small
corhscied,rd,All other sections,prd_mod,1.8479,1.7397,1.8121,0.1081,0.05967636803773742,negligible
corhscied,rd,All other sections,sua_vb,2.3213,1.2382,1.4376,1.083,0.7533502762134267,medium
