Field_Target,Field_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscied,All other fields,groupn,7.7633,2.1527,4.197,5.6106,1.3368,large
corhscied,All other fields,humann,9.5131,4.7514,6.1214,4.7616,0.7779,medium
corhscied,All other fields,pasttnse,35.9276,24.937,16.1809,10.9906,0.6792,medium
corhscied,All other fields,prcessn,27.3618,20.3993,11.0025,6.9625,0.6328,medium
corhscied,All other fields,sua_vb,2.6155,1.5127,1.7643,1.1028,0.6251,medium
corhscied,All other fields,aspectv,1.2862,0.7346,1.1739,0.5517,0.4699,small
corhscied,All other fields,allverb,109.1375,102.336,14.8725,6.8014,0.4573,small
corhscied,All other fields,vprogrsv,6.741,5.3959,3.5118,1.345,0.383,small
corhscied,All other fields,pro3,7.5859,5.7102,5.0862,1.8757,0.3688,small
corhscied,All other fields,rel_subj,3.2834,2.4934,2.2057,0.79,0.3582,small
corhscied,All other fields,act_tpv,0.5039,0.2463,0.7309,0.2575,0.3524,small
corhscied,All other fields,inf,11.3406,9.6308,5.0665,1.7098,0.3375,small
corhscied,All other fields,commv,7.3852,6.0319,4.0415,1.3532,0.3348,small
corhscied,All other fields,att_vth,0.7265,0.4509,0.8413,0.2756,0.3275,small
corhscied,All other fields,have,2.1283,1.5645,1.7565,0.5637,0.321,small
corhscied,All other fields,wrlengh,5.4777,5.3857,0.2995,0.0921,0.3074,small
corhscied,All other fields,actv,18.0728,16.3601,6.3369,1.7127,0.2703,small
corhscied,All other fields,mentalv,14.1459,12.6662,5.6124,1.4797,0.2637,small
corhscied,All other fields,causev,3.2113,2.616,2.4223,0.5953,0.2457,small
corhscied,All other fields,spch_vto,0.4325,0.2767,0.6939,0.1558,0.2246,small
corhscied,All other fields,allwhrel,4.4936,3.8738,2.7688,0.6198,0.2239,small
corhscied,All other fields,cognitn,8.2102,7.0767,5.2236,1.1336,0.217,small
corhscied,All other fields,dsre_vto,1.0325,0.796,1.1355,0.2365,0.2083,small
corhscied,All other fields,sizej,2.6343,2.0849,2.6661,0.5494,0.2061,small
corhscied,All other fields,that_del,0.7615,0.574,0.9625,0.1875,0.1948,negligible
corhscied,All other fields,agls_psv,13.3498,12.1878,7.047,1.162,0.1649,negligible
corhscied,All other fields,all_vto,3.5339,3.148,2.3662,0.3859,0.1631,negligible
corhscied,All other fields,allpasv,19.1389,17.8154,8.3878,1.3235,0.1578,negligible
corhscied,All other fields,o_and,8.8251,8.1196,4.6401,0.7055,0.1521,negligible
corhscied,All other fields,all_to,5.9367,5.389,3.608,0.5477,0.1518,negligible
corhscied,All other fields,n,345.8498,341.1577,33.2148,4.6921,0.1413,negligible
corhscied,All other fields,contrac,0.6279,0.4544,1.2652,0.1735,0.1372,negligible
corhscied,All other fields,pro2,0.3848,0.237,1.1818,0.1478,0.1251,negligible
corhscied,All other fields,allpro,15.8095,14.642,9.5928,1.1675,0.1217,negligible
corhscied,All other fields,whiz_vbn,3.9004,3.5975,2.5554,0.3028,0.1185,negligible
corhscied,All other fields,efrt_vto,1.2784,1.1302,1.3482,0.1483,0.11,negligible
corhscied,All other fields,p_and,3.1689,2.9062,2.5714,0.2627,0.1022,negligible
corhscied,All other fields,x3_jto,0.0219,0.0118,0.11,0.0102,0.0923,negligible
corhscied,All other fields,all_jto,1.6544,1.4954,1.7643,0.159,0.0901,negligible
corhscied,All other fields,x4_jto,0.311,0.2581,0.6121,0.0529,0.0864,negligible
corhscied,All other fields,allconj,16.9724,16.5465,6.1432,0.4259,0.0693,negligible
corhscied,All other fields,mentalpv,0.0173,0.0103,0.1065,0.007,0.0654,negligible
corhscied,All other fields,nfct_nth,0.0551,0.0409,0.2226,0.0143,0.0641,negligible
corhscied,All other fields,aspectpv,0.0106,0.0071,0.0695,0.0035,0.0503,negligible
corhscied,All other fields,x2_jto,0.3763,0.3433,0.7318,0.033,0.0451,negligible
corhscied,All other fields,gen_hdg,0.1731,0.1535,0.4391,0.0196,0.0447,negligible
corhscied,All other fields,lkly_jth,0.7371,0.6782,1.3623,0.0589,0.0432,negligible
corhscied,All other fields,x5_jto,0.2823,0.2607,0.5946,0.0216,0.0363,negligible
corhscied,All other fields,x1_jto,0.6618,0.6211,1.2811,0.0407,0.0318,negligible
corhscied,All other fields,fct_nth,0.2428,0.2252,0.6082,0.0175,0.0288,negligible
corhscied,All other fields,perfects,4.8343,4.7526,3.7075,0.0816,0.022,negligible
corhscied,All other fields,nonf_vth,1.9519,1.9138,1.8386,0.0382,0.0208,negligible
corhscied,All other fields,all_jth,1.0025,0.975,1.505,0.0275,0.0183,negligible
corhscied,All other fields,all_vth,5.9053,5.8572,3.832,0.0481,0.0126,negligible
corhscied,All other fields,be_state,1.2929,1.2762,1.5413,0.0167,0.0108,negligible
corhscied,All other fields,wh_ques,0.183,0.1782,0.6794,0.0049,0.0072,negligible
corhscied,All other fields,all_nto,0.7484,0.7457,1.3059,0.0027,0.0021,negligible
corhscied,All other fields,att_nth,0.0378,0.0385,0.1942,-0.0007,-0.0034,negligible
corhscied,All other fields,all_th,7.4216,7.4383,4.7576,-0.0167,-0.0035,negligible
corhscied,All other fields,timej,0.7859,0.7968,1.6154,-0.0109,-0.0068,negligible
corhscied,All other fields,evalj,0.8661,0.8776,1.3799,-0.0115,-0.0084,negligible
corhscied,All other fields,act_ipv,0.0053,0.0066,0.1022,-0.0013,-0.0126,negligible
corhscied,All other fields,fact_vth,2.0187,2.0499,2.1264,-0.0311,-0.0146,negligible
corhscied,All other fields,nec_mod,0.9502,0.9723,1.4943,-0.0221,-0.0148,negligible
corhscied,All other fields,tm_adv,1.7346,1.7705,1.7832,-0.0358,-0.0201,negligible
corhscied,All other fields,mntl_vto,0.4272,0.4451,0.8093,-0.0179,-0.0221,negligible
corhscied,All other fields,occurpv,0.0,0.0023,0.0967,-0.0023,-0.024,negligible
corhscied,All other fields,downtone,2.3816,2.4323,1.939,-0.0507,-0.0262,negligible
corhscied,All other fields,allwh,0.4018,0.4294,0.9084,-0.0276,-0.0304,negligible
corhscied,All other fields,att_jth,0.1876,0.2046,0.4975,-0.017,-0.0342,negligible
corhscied,All other fields,pro_do,0.1742,0.1969,0.5723,-0.0227,-0.0397,negligible
corhscied,All other fields,tccncrt,6.1216,6.3859,6.5456,-0.2644,-0.0404,negligible
corhscied,All other fields,jcmp,0.2134,0.2368,0.5627,-0.0234,-0.0416,negligible
corhscied,All other fields,fact_jth,0.0767,0.0922,0.3212,-0.0155,-0.0483,negligible
corhscied,All other fields,commpv,0.0364,0.0498,0.2709,-0.0134,-0.0494,negligible
corhscied,All other fields,wh_cl,0.2194,0.2516,0.5826,-0.0321,-0.0552,negligible
corhscied,All other fields,pred_adj,5.0269,5.223,3.3592,-0.1962,-0.0584,negligible
