Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscigeo,abs,All other sections,ttr,29.8,31.0169,2.7359,-1.2169,-0.44481298557102833,small
corhscigeo,abs,All other sections,wrlengh,5.475,5.5469,0.3004,-0.0719,-0.2393097432438924,small
corhscigeo,abs,All other sections,wcount,336.0,387.2316,172.1932,-51.2316,-0.2975241028342001,small
corhscigeo,abs,All other sections,that_del,0.4,0.5831,1.4341,-0.1831,-0.12764102354973514,negligible
corhscigeo,abs,All other sections,contrac,0.3375,0.2966,1.085,0.0409,0.037686082540337514,negligible
corhscigeo,abs,All other sections,pres,44.8875,44.3395,17.936,0.548,0.030550344551484164,negligible
corhscigeo,abs,All other sections,pro2,0.0,0.0559,0.7298,-0.0559,-0.07664477926109195,negligible
corhscigeo,abs,All other sections,pro_do,0.0,0.1729,0.6856,-0.1729,-0.2521736235990688,small
corhscigeo,abs,All other sections,pdem,1.125,1.3282,2.2819,-0.2032,-0.08906987447813892,negligible
corhscigeo,abs,All other sections,gen_emph,3.875,1.3672,2.8282,2.5078,0.8867072510136107,large
corhscigeo,abs,All other sections,pro1,6.65,8.2746,8.1417,-1.6246,-0.1995375282566185,negligible
corhscigeo,abs,All other sections,it,2.475,2.6661,3.1569,-0.1911,-0.06053410082131722,negligible
corhscigeo,abs,All other sections,be_state,1.1375,0.7898,1.5792,0.3477,0.22015985466003166,small
corhscigeo,abs,All other sections,sub_cos,0.0,0.322,1.0335,-0.322,-0.31158134691659467,small
corhscigeo,abs,All other sections,prtcle,0.0,0.0407,0.33,-0.0407,-0.12327145487855169,negligible
corhscigeo,abs,All other sections,pany,0.4125,0.5559,1.3714,-0.1434,-0.10458664506127688,negligible
corhscigeo,abs,All other sections,gen_hdg,0.0,0.0299,0.2837,-0.0299,-0.10553769858445966,negligible
corhscigeo,abs,All other sections,amplifr,1.25,0.7158,1.5974,0.5342,0.33441463020523204,small
corhscigeo,abs,All other sections,wh_ques,0.0,0.6124,1.604,-0.6124,-0.38180274698972955,small
corhscigeo,abs,All other sections,pos_mod,2.35,4.0836,4.4496,-1.7336,-0.3896150274584858,small
corhscigeo,abs,All other sections,o_and,7.4375,8.4898,6.2692,-1.0523,-0.16785727666366174,negligible
corhscigeo,abs,All other sections,wh_cl,0.0,0.3316,0.967,-0.3316,-0.34295442386753083,small
corhscigeo,abs,All other sections,finlprep,0.0,0.3198,0.9544,-0.3198,-0.3350625839289321,small
corhscigeo,abs,All other sections,n,375.575,364.6328,39.6262,10.9422,0.27613629078335317,small
corhscigeo,abs,All other sections,prep,134.9625,137.1842,22.9696,-2.2217,-0.09672267287855464,negligible
corhscigeo,abs,All other sections,adj_attr,86.425,75.7254,24.8714,10.6996,0.4301962181021951,small
corhscigeo,abs,All other sections,pasttnse,29.325,31.404,15.9872,-2.079,-0.1300388881418998,negligible
corhscigeo,abs,All other sections,pro3,0.65,5.4282,5.5072,-4.7782,-0.8676409017501253,large
corhscigeo,abs,All other sections,perfects,3.1875,3.5554,3.3381,-0.3679,-0.11020167927616772,negligible
corhscigeo,abs,All other sections,rel_obj,0.3125,0.4311,1.1318,-0.1186,-0.10476311159725193,negligible
corhscigeo,abs,All other sections,rel_subj,3.0125,2.1672,2.5583,0.8453,0.3304048172091188,small
corhscigeo,abs,All other sections,rel_pipe,0.725,0.8282,2.1272,-0.1032,-0.04853783468052198,negligible
corhscigeo,abs,All other sections,p_and,3.8625,3.239,4.3139,0.6235,0.1445350506329291,negligible
corhscigeo,abs,All other sections,tm_adv,0.325,1.4186,1.9444,-1.0936,-0.5624514847653432,medium
corhscigeo,abs,All other sections,pl_adv,16.1625,3.4955,8.0751,12.667,1.5686471385275016,large
corhscigeo,abs,All other sections,advs,25.9625,23.2966,12.3323,2.6659,0.21617146677088006,small
corhscigeo,abs,All other sections,inf,7.65,10.5237,6.9704,-2.8737,-0.4122789196523968,small
corhscigeo,abs,All other sections,prd_mod,0.4125,1.0294,2.0513,-0.6169,-0.3007329202239822,small
corhscigeo,abs,All other sections,sua_vb,0.7125,1.713,2.2703,-1.0005,-0.44069309813358,small
corhscigeo,abs,All other sections,sub_cnd,0.0,0.3627,1.2622,-0.3627,-0.2873708923834153,small
corhscigeo,abs,All other sections,nec_mod,1.075,0.6898,1.6044,0.3852,0.24007162648151217,small
corhscigeo,abs,All other sections,spl_aux,0.8125,2.0661,2.6317,-1.2536,-0.47635504860914485,small
corhscigeo,abs,All other sections,conjncts,5.275,4.8876,5.4271,0.3874,0.07138849696187037,negligible
corhscigeo,abs,All other sections,agls_psv,13.6,11.1791,7.8948,2.4209,0.3066444000039716,small
corhscigeo,abs,All other sections,by_pasv,2.5125,1.3797,2.2388,1.1328,0.5060032378141094,medium
corhscigeo,abs,All other sections,whiz_vbn,2.0125,3.9333,3.6,-1.9208,-0.5335578314039153,medium
corhscigeo,abs,All other sections,sub_othr,2.35,2.8746,3.2236,-0.5246,-0.16272938018090383,negligible
corhscigeo,abs,All other sections,vcmp,6.1125,3.8847,4.0842,2.2278,0.5454592547529566,medium
corhscigeo,abs,All other sections,downtone,2.8875,1.5994,2.4372,1.2881,0.5284949152549524,medium
corhscigeo,abs,All other sections,pred_adj,2.9625,4.4056,4.0303,-1.4431,-0.3580710426429141,small
corhscigeo,abs,All other sections,allmodal,3.8375,5.8006,5.1871,-1.9631,-0.37845482227059557,small
corhscigeo,abs,All other sections,allconj,13.6375,15.2876,9.1629,-1.6501,-0.18008215471214606,negligible
corhscigeo,abs,All other sections,allpasv,18.125,16.4977,8.6047,1.6273,0.18911293911119792,negligible
corhscigeo,abs,All other sections,allwh,0.0,0.9446,1.8255,-0.9446,-0.5174571619536977,medium
corhscigeo,abs,All other sections,allwhrel,4.0375,3.4271,3.6536,0.6104,0.1670609608143899,negligible
corhscigeo,abs,All other sections,alladj,113.175,99.8322,28.1481,13.3428,0.4740213494613578,small
corhscigeo,abs,All other sections,allpro,7.3,13.7627,10.6261,-6.4627,-0.6081912136611604,medium
corhscigeo,abs,All other sections,have,1.525,1.4723,2.4037,0.0527,0.021917335732248643,negligible
corhscigeo,abs,All other sections,allverb,95.875,99.9226,18.7744,-4.0476,-0.21559112753877357,small
corhscigeo,abs,All other sections,vprogrsv,5.3,5.7463,4.5896,-0.4463,-0.09724749838801584,negligible
corhscigeo,abs,All other sections,that_rel,1.225,2.591,3.0637,-1.366,-0.4458460138776426,small
corhscigeo,abs,All other sections,jcmp,0.0,0.1407,0.6215,-0.1407,-0.22635051448613946,small
corhscigeo,abs,All other sections,nonf_vth,1.5625,2.1034,2.5576,-0.5409,-0.21148021405516804,small
corhscigeo,abs,All other sections,att_vth,0.3375,0.3328,1.2299,0.0047,0.0038470828800495197,negligible
corhscigeo,abs,All other sections,fact_vth,4.6125,1.7667,2.691,2.8458,1.0575250773152343,large
corhscigeo,abs,All other sections,lkly_vth,1.15,1.0706,2.2956,0.0794,0.03457823940727774,negligible
corhscigeo,abs,All other sections,att_jth,0.0,0.1492,0.6259,-0.1492,-0.23831425384283425,small
corhscigeo,abs,All other sections,fact_jth,0.0,0.0175,0.1749,-0.0175,-0.10015820202763118,negligible
corhscigeo,abs,All other sections,lkly_jth,0.3375,0.7119,2.069,-0.3744,-0.18094156273173034,negligible
corhscigeo,abs,All other sections,nfct_nth,0.0,0.0051,0.0663,-0.0051,-0.07664477926109195,negligible
corhscigeo,abs,All other sections,att_nth,0.0,0.0175,0.2285,-0.0175,-0.07664477926109194,negligible
corhscigeo,abs,All other sections,fct_nth,0.0,0.1836,1.2908,-0.1836,-0.1422462786947323,negligible
corhscigeo,abs,All other sections,lkly_nth,0.0,0.1672,0.7579,-0.1672,-0.22065922485851314,small
corhscigeo,abs,All other sections,spch_vto,0.4125,0.2881,1.011,0.1244,0.12301598781641372,negligible
corhscigeo,abs,All other sections,mntl_vto,0.4125,0.2593,0.8905,0.1532,0.17201423590466755,negligible
corhscigeo,abs,All other sections,dsre_vto,0.7375,1.1463,1.8027,-0.4088,-0.22678273279113426,small
corhscigeo,abs,All other sections,efrt_vto,0.0,1.0006,1.9068,-1.0006,-0.5247419411502225,medium
corhscigeo,abs,All other sections,prob_vto,0.625,0.2605,1.0982,0.3645,0.3319563125889883,small
corhscigeo,abs,All other sections,x1_jto,0.675,0.7853,2.1999,-0.1103,-0.050144164082140584,negligible
corhscigeo,abs,All other sections,x2_jto,0.7125,0.3616,1.2887,0.3509,0.2722991491724215,small
corhscigeo,abs,All other sections,x3_jto,0.0,0.0,0.0,0.0,,
corhscigeo,abs,All other sections,x4_jto,0.4125,0.1548,0.7029,0.2577,0.3666356758030303,small
corhscigeo,abs,All other sections,x5_jto,0.0,0.1757,0.6773,-0.1757,-0.2594262168137587,small
corhscigeo,abs,All other sections,all_nto,0.0,0.7972,2.0648,-0.7972,-0.38608194782206634,small
corhscigeo,abs,All other sections,nonfadvl,0.325,0.5429,1.4018,-0.2179,-0.15546876008214644,negligible
corhscigeo,abs,All other sections,atadvl,0.0,0.0203,0.1874,-0.0203,-0.10853206693001922,negligible
corhscigeo,abs,All other sections,fctadvl,0.4,0.152,0.6973,0.248,0.3556855205628089,small
corhscigeo,abs,All other sections,lklydvl,0.0,0.1847,0.8193,-0.1847,-0.2254833860308415,small
corhscigeo,abs,All other sections,all_vth,7.6625,5.2689,4.6285,2.3936,0.5171402487033231,medium
corhscigeo,abs,All other sections,all_jth,0.3375,0.8785,2.1183,-0.541,-0.2554111770918014,small
corhscigeo,abs,All other sections,all_nth,0.0,0.3734,1.4907,-0.3734,-0.25050970481964513,small
corhscigeo,abs,All other sections,all_th,8.0,6.5169,5.464,1.4831,0.2714234326050747,small
corhscigeo,abs,All other sections,all_vto,2.1875,2.9497,3.219,-0.7622,-0.2367900237561741,small
