Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscigeo,con,All other sections,ttr,29.1227,30.483,2.8888,-1.3602,-0.4708757515026392,small
corhscigeo,con,All other sections,wrlengh,5.5409,5.4779,0.2846,0.063,0.22143173953548087,small
corhscigeo,con,All other sections,wcount,520.5,580.3261,297.6277,-59.8261,-0.20100979767945448,small
corhscigeo,con,All other sections,that_del,0.2545,0.6906,1.401,-0.436,-0.3112304758003561,small
corhscigeo,con,All other sections,contrac,0.1545,0.437,1.0701,-0.2824,-0.263909416569341,small
corhscigeo,con,All other sections,pres,57.7636,64.7877,16.8357,-7.024,-0.41721134571027313,small
corhscigeo,con,All other sections,pro2,0.0,0.0467,0.2868,-0.0467,-0.16296831463015596,negligible
corhscigeo,con,All other sections,pro_do,0.2182,0.2109,0.6552,0.0073,0.011159847424963449,negligible
corhscigeo,con,All other sections,pdem,3.0818,2.8391,2.8889,0.2427,0.08400714179524,negligible
corhscigeo,con,All other sections,gen_emph,1.2909,1.5319,1.8929,-0.241,-0.12730412161719482,negligible
corhscigeo,con,All other sections,pro1,8.5818,10.521,9.2675,-1.9392,-0.20924767060286562,small
corhscigeo,con,All other sections,it,4.1227,5.1917,3.9676,-1.0689,-0.26941996215097785,small
corhscigeo,con,All other sections,be_state,1.7636,2.2895,2.479,-0.5259,-0.2121244066723846,small
corhscigeo,con,All other sections,sub_cos,0.7864,0.6623,1.3241,0.124,0.09367921114678102,negligible
corhscigeo,con,All other sections,prtcle,0.0682,0.05,0.3324,0.0182,0.05470466747232347,negligible
corhscigeo,con,All other sections,pany,0.3136,0.629,1.1483,-0.3153,-0.2746189061721193,small
corhscigeo,con,All other sections,gen_hdg,0.3409,0.1514,0.624,0.1895,0.3036118763491986,small
corhscigeo,con,All other sections,amplifr,1.7864,1.5931,1.9632,0.1932,0.09843275816608173,negligible
corhscigeo,con,All other sections,wh_ques,0.0955,0.0993,0.6562,-0.0038,-0.00582281750583089,negligible
corhscigeo,con,All other sections,pos_mod,7.6909,7.662,5.0227,0.029,0.005764396129199541,negligible
corhscigeo,con,All other sections,o_and,8.1273,7.8547,5.401,0.2726,0.05046558555917415,negligible
corhscigeo,con,All other sections,wh_cl,0.3091,0.3942,0.8819,-0.0851,-0.09651071579894703,negligible
corhscigeo,con,All other sections,finlprep,0.5682,0.5837,1.644,-0.0155,-0.009436907033805167,negligible
corhscigeo,con,All other sections,n,345.6045,330.7178,33.7141,14.8868,0.44155944109734596,small
corhscigeo,con,All other sections,prep,129.9909,136.4638,16.9952,-6.4729,-0.3808631578053561,small
corhscigeo,con,All other sections,adj_attr,97.3682,81.7047,23.2299,15.6635,0.6742813327286296,medium
corhscigeo,con,All other sections,pasttnse,18.4091,15.7902,10.6395,2.6189,0.24614611419599827,small
corhscigeo,con,All other sections,pro3,2.45,5.2801,5.1737,-2.8301,-0.5470108853096127,medium
corhscigeo,con,All other sections,perfects,2.7545,4.8793,4.2765,-2.1248,-0.49685247808988486,small
corhscigeo,con,All other sections,rel_obj,0.5182,0.5964,1.1534,-0.0782,-0.06779598644163384,negligible
corhscigeo,con,All other sections,rel_subj,2.7682,2.1163,2.3694,0.6519,0.2751181655411018,small
corhscigeo,con,All other sections,rel_pipe,0.3091,0.6859,1.1563,-0.3768,-0.325843473523534,small
corhscigeo,con,All other sections,p_and,4.7136,3.1304,3.1525,1.5832,0.5022045541526908,medium
corhscigeo,con,All other sections,tm_adv,1.0227,1.3859,1.845,-0.3631,-0.1968209762545285,negligible
corhscigeo,con,All other sections,pl_adv,2.2864,4.0054,5.5858,-1.7191,-0.3077589761720944,small
corhscigeo,con,All other sections,advs,31.7318,33.4257,10.8828,-1.6939,-0.15564983985698028,negligible
corhscigeo,con,All other sections,inf,9.8273,11.2924,6.5381,-1.4651,-0.2240886485077376,small
corhscigeo,con,All other sections,prd_mod,2.2364,2.688,3.0658,-0.4517,-0.1473264475176411,negligible
corhscigeo,con,All other sections,sua_vb,2.4136,2.0587,2.3549,0.3549,0.1507219805521151,negligible
corhscigeo,con,All other sections,sub_cnd,0.4727,0.7906,1.4172,-0.3179,-0.2242864775405948,small
corhscigeo,con,All other sections,nec_mod,1.6045,2.3359,2.9526,-0.7313,-0.24769193005873527,small
corhscigeo,con,All other sections,spl_aux,2.8591,2.9457,2.7296,-0.0866,-0.03171159510185956,negligible
corhscigeo,con,All other sections,conjncts,6.9864,7.3373,5.032,-0.351,-0.06974482185265345,negligible
corhscigeo,con,All other sections,agls_psv,8.7,8.5634,5.6457,0.1366,0.02419433036911067,negligible
corhscigeo,con,All other sections,by_pasv,1.8455,1.7091,2.2457,0.1364,0.06073587882053155,negligible
corhscigeo,con,All other sections,whiz_vbn,3.7318,3.3877,3.1668,0.3441,0.10867112180537174,negligible
corhscigeo,con,All other sections,sub_othr,4.4727,4.4884,3.5823,-0.0157,-0.004376620452186259,negligible
corhscigeo,con,All other sections,vcmp,5.3182,6.0591,4.2307,-0.7409,-0.17511758249396192,negligible
corhscigeo,con,All other sections,downtone,2.0682,2.2888,2.371,-0.2206,-0.09303577006581816,negligible
corhscigeo,con,All other sections,pred_adj,6.1818,6.2612,4.4493,-0.0794,-0.017848534929408563,negligible
corhscigeo,con,All other sections,allmodal,11.5455,12.6822,7.1114,-1.1368,-0.15985569758777532,negligible
corhscigeo,con,All other sections,allconj,18.6,16.9232,7.3932,1.6768,0.22680606692470295,small
corhscigeo,con,All other sections,allpasv,14.2727,13.6565,7.2905,0.6162,0.08452205911203835,negligible
corhscigeo,con,All other sections,allwh,0.4045,0.4942,1.1391,-0.0897,-0.0787104721727218,negligible
corhscigeo,con,All other sections,allwhrel,3.5955,3.3989,3.0517,0.1965,0.06440336886197491,negligible
corhscigeo,con,All other sections,alladj,123.2636,106.9446,24.7833,16.3191,0.6584709515131146,medium
corhscigeo,con,All other sections,allpro,11.0136,15.8464,10.7807,-4.8327,-0.448275240560828,small
corhscigeo,con,All other sections,have,1.1091,1.5888,1.9382,-0.4797,-0.24748657844563388,small
corhscigeo,con,All other sections,allverb,97.2727,102.8507,17.648,-5.578,-0.31606923189987596,small
corhscigeo,con,All other sections,vprogrsv,6.2364,5.5967,4.4272,0.6396,0.14447547811768097,negligible
corhscigeo,con,All other sections,that_rel,2.7591,4.7946,3.8865,-2.0355,-0.5237288198907318,medium
corhscigeo,con,All other sections,jcmp,0.2818,0.4011,1.1269,-0.1193,-0.1058364010146499,negligible
corhscigeo,con,All other sections,nonf_vth,1.3545,2.2112,2.3157,-0.8567,-0.3699494417989113,small
corhscigeo,con,All other sections,att_vth,0.1227,0.5312,1.0414,-0.4084,-0.3922108213655652,small
corhscigeo,con,All other sections,fact_vth,2.8273,2.7688,2.8848,0.0584,0.02025492397111959,negligible
corhscigeo,con,All other sections,lkly_vth,0.9636,1.7272,2.0259,-0.7635,-0.3768922708609729,small
corhscigeo,con,All other sections,att_jth,0.2227,0.4326,0.9945,-0.2099,-0.21104496481751775,small
corhscigeo,con,All other sections,fact_jth,0.3818,0.1482,0.6085,0.2336,0.3839415928236138,small
corhscigeo,con,All other sections,lkly_jth,1.0545,1.1072,2.1891,-0.0527,-0.0240738932935258,negligible
corhscigeo,con,All other sections,nfct_nth,0.0,0.0449,0.2995,-0.0449,-0.15003213348054453,negligible
corhscigeo,con,All other sections,att_nth,0.0,0.0478,0.2997,-0.0478,-0.1595740208329832,negligible
corhscigeo,con,All other sections,fct_nth,0.5045,0.3457,1.0058,0.1589,0.1579741729069012,negligible
corhscigeo,con,All other sections,lkly_nth,0.0273,0.2743,0.831,-0.247,-0.2972318328874325,small
corhscigeo,con,All other sections,spch_vto,0.1727,0.1851,0.5818,-0.0124,-0.021343583240228753,negligible
corhscigeo,con,All other sections,mntl_vto,0.0,0.3069,0.772,-0.3069,-0.3975118371296178,small
corhscigeo,con,All other sections,dsre_vto,0.7318,1.0833,1.7524,-0.3515,-0.2005925856972973,small
corhscigeo,con,All other sections,efrt_vto,1.1182,1.4178,1.8156,-0.2996,-0.16499707130006347,negligible
corhscigeo,con,All other sections,prob_vto,0.5045,0.7159,1.2621,-0.2114,-0.16749198049740502,negligible
corhscigeo,con,All other sections,x1_jto,1.3136,0.7185,1.6722,0.5952,0.35591520148400596,small
corhscigeo,con,All other sections,x2_jto,0.3182,0.5178,1.147,-0.1996,-0.17399561086384574,negligible
corhscigeo,con,All other sections,x3_jto,0.0,0.0116,0.131,-0.0116,-0.0884771308699467,negligible
corhscigeo,con,All other sections,x4_jto,0.5182,0.4822,1.0182,0.0359,0.03529406791077438,negligible
corhscigeo,con,All other sections,x5_jto,0.2636,0.5054,1.069,-0.2418,-0.22619272875708524,small
corhscigeo,con,All other sections,all_nto,0.3636,0.992,1.7933,-0.6284,-0.35041875606724115,small
corhscigeo,con,All other sections,nonfadvl,0.6,0.6754,1.2322,-0.0754,-0.06116277984870578,negligible
corhscigeo,con,All other sections,atadvl,0.1318,0.138,0.5137,-0.0062,-0.012117961879155372,negligible
corhscigeo,con,All other sections,fctadvl,0.8227,0.6326,1.2041,0.1901,0.15789497261996502,negligible
corhscigeo,con,All other sections,lklydvl,0.3,0.5612,1.3019,-0.2612,-0.20064796572838942,small
corhscigeo,con,All other sections,all_vth,5.2773,7.2355,4.5348,-1.9582,-0.4318250307295404,small
corhscigeo,con,All other sections,all_jth,1.6591,1.6859,2.433,-0.0268,-0.011006625466319354,negligible
corhscigeo,con,All other sections,all_nth,0.5364,0.7101,1.4353,-0.1738,-0.12107891428921856,negligible
corhscigeo,con,All other sections,all_th,7.4682,9.6333,6.1057,-2.1652,-0.3546104267921941,small
corhscigeo,con,All other sections,all_vto,2.5409,3.7065,2.8542,-1.1656,-0.4083909927893197,small
corhscigeo,con,All other sections,all_jto,2.4182,2.2348,2.5954,0.1834,0.070662948891367,negligible
corhscigeo,con,All other sections,all_to,5.3136,6.9297,4.8174,-1.6161,-0.33546282797704957,small
corhscigeo,con,All other sections,all_advl,1.8545,2.0036,2.2629,-0.1491,-0.06587995792752649,negligible
corhscigeo,con,All other sections,act_ipv,0.0,0.0029,0.0464,-0.0029,-0.06244892511240151,negligible
corhscigeo,con,All other sections,act_tpv,0.2182,0.2681,0.8659,-0.0499,-0.057665174932815706,negligible
corhscigeo,con,All other sections,mentalpv,0.0727,0.0087,0.1663,0.064,0.38511484682084346,small
corhscigeo,con,All other sections,commpv,0.0,0.0732,0.3352,-0.0732,-0.2183316075878149,small
corhscigeo,con,All other sections,occurpv,0.0,0.0,0.0,0.0,,
corhscigeo,con,All other sections,copulapv,0.1136,0.0109,0.1964,0.1028,0.5233510000188675,medium
corhscigeo,con,All other sections,aspectpv,0.0,0.0,0.0,0.0,,
corhscigeo,con,All other sections,humann,1.6682,4.029,6.2857,-2.3608,-0.37558440527918113,small
corhscigeo,con,All other sections,prcessn,28.8909,23.2134,13.0124,5.6775,0.43631535608350935,small
corhscigeo,con,All other sections,cognitn,8.9864,8.0786,6.3112,0.9077,0.14382910459753612,negligible
corhscigeo,con,All other sections,abstrcn,32.55,35.1109,17.7293,-2.5609,-0.14444261104588513,negligible
corhscigeo,con,All other sections,concrtn,8.7273,7.2185,6.7894,1.5088,0.22222683361955245,small
corhscigeo,con,All other sections,tccncrt,10.2864,5.3297,6.4899,4.9567,0.7637464685875357,medium
corhscigeo,con,All other sections,quann,4.7818,6.3707,6.9688,-1.5888,-0.2279939889894038,small
corhscigeo,con,All other sections,placen,14.4955,5.8703,7.6192,8.6252,1.132030483095282,large
corhscigeo,con,All other sections,groupn,2.5409,2.5373,4.6034,0.0036,0.0007799154493638928,negligible
corhscigeo,con,All other sections,sizej,4.35,2.6322,3.6711,1.7178,0.46790821064820476,small
corhscigeo,con,All other sections,timej,1.2227,1.1971,2.192,0.0256,0.01169079137253307,negligible
corhscigeo,con,All other sections,colorj,0.0,0.0522,0.5027,-0.0522,-0.10379615981563288,negligible
corhscigeo,con,All other sections,evalj,1.8273,1.2801,2.1194,0.5472,0.2581830487554319,small
