Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscigeo,int,All other sections,placen,14.6733,4.7276,5.8545,9.9457,1.6988,large
corhscigeo,int,All other sections,adj_attr,94.4293,79.7629,18.8407,14.6664,0.7784,medium
corhscigeo,int,All other sections,alladj,118.448,103.3484,20.5651,15.0996,0.7342,medium
corhscigeo,int,All other sections,tccncrt,7.5853,4.7757,6.1352,2.8097,0.458,small
corhscigeo,int,All other sections,sizej,2.8893,1.9527,2.3454,0.9367,0.3994,small
corhscigeo,int,All other sections,n,354.0293,342.4826,30.6245,11.5468,0.377,small
corhscigeo,int,All other sections,p_and,4.1253,3.4141,2.7539,0.7113,0.2583,small
corhscigeo,int,All other sections,occurv,3.8107,3.191,2.5861,0.6197,0.2396,small
corhscigeo,int,All other sections,efrt_vto,1.572,1.2624,1.4907,0.3096,0.2077,small
corhscigeo,int,All other sections,quann,7.5293,6.3165,5.8769,1.2129,0.2064,small
corhscigeo,int,All other sections,prcessn,24.8747,22.4611,11.7422,2.4136,0.2055,small
corhscigeo,int,All other sections,relatnj,6.1253,5.3722,3.8333,0.7532,0.1965,negligible
corhscigeo,int,All other sections,nonfadvl,1.0813,0.8867,1.1345,0.1946,0.1715,negligible
corhscigeo,int,All other sections,whiz_vbn,3.4053,3.0504,2.2495,0.3549,0.1578,negligible
corhscigeo,int,All other sections,evalj,1.2253,0.9987,1.4427,0.2266,0.1571,negligible
corhscigeo,int,All other sections,vprogrsv,6.2707,5.69,3.7587,0.5807,0.1545,negligible
corhscigeo,int,All other sections,att_jth,0.2813,0.2057,0.4913,0.0756,0.1539,negligible
corhscigeo,int,All other sections,sub_cos,0.924,0.7599,1.1703,0.1641,0.1402,negligible
corhscigeo,int,All other sections,pl_adv,3.5973,3.1635,3.2404,0.4338,0.1339,negligible
corhscigeo,int,All other sections,allconj,18.4987,17.6701,6.4369,0.8286,0.1287,negligible
corhscigeo,int,All other sections,actv,15.796,15.0826,5.7221,0.7134,0.1247,negligible
corhscigeo,int,All other sections,wrlengh,5.556,5.5243,0.2732,0.0317,0.1159,negligible
corhscigeo,int,All other sections,causev,3.2893,3.0099,2.5728,0.2795,0.1086,negligible
corhscigeo,int,All other sections,perfects,7.4093,7.0478,4.014,0.3615,0.0901,negligible
corhscigeo,int,All other sections,sua_vb,1.936,1.7872,1.9039,0.1488,0.0782,negligible
corhscigeo,int,All other sections,atadvl,0.0933,0.0718,0.2839,0.0215,0.0757,negligible
corhscigeo,int,All other sections,spl_aux,3.652,3.478,2.3584,0.174,0.0738,negligible
corhscigeo,int,All other sections,advs,31.9267,31.4185,9.6439,0.5081,0.0527,negligible
corhscigeo,int,All other sections,gen_hdg,0.144,0.1243,0.461,0.0197,0.0426,negligible
