Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscigeo,rd,All other sections,ttr,28.3181,29.4007,3.1586,-1.0826,-0.34275914436897026,small
corhscigeo,rd,All other sections,wrlengh,5.2333,5.3069,0.2779,-0.0736,-0.26476788120929184,small
corhscigeo,rd,All other sections,wcount,2144.1111,2601.4589,1465.3044,-457.3478,-0.31211795993291486,small
corhscigeo,rd,All other sections,that_del,0.4444,0.7742,0.9843,-0.3298,-0.3350490738365388,small
corhscigeo,rd,All other sections,contrac,0.3236,0.5648,1.6358,-0.2412,-0.1474613033020116,negligible
corhscigeo,rd,All other sections,pres,55.7917,56.4376,16.1147,-0.6459,-0.04008332541082413,negligible
corhscigeo,rd,All other sections,pro2,0.0889,0.2871,1.2705,-0.1982,-0.15603216602844794,negligible
corhscigeo,rd,All other sections,pro_do,0.1458,0.2156,0.5418,-0.0698,-0.1288452043666514,negligible
corhscigeo,rd,All other sections,pdem,2.3319,2.6772,1.8436,-0.3452,-0.18726400582349045,negligible
corhscigeo,rd,All other sections,gen_emph,1.8181,1.8216,1.6498,-0.0036,-0.002153048202187788,negligible
corhscigeo,rd,All other sections,pro1,7.9111,8.983,7.0081,-1.0719,-0.15294581630969797,negligible
corhscigeo,rd,All other sections,it,3.6403,4.098,2.7899,-0.4577,-0.16406584870909863,negligible
corhscigeo,rd,All other sections,be_state,1.4722,1.5691,1.3393,-0.0969,-0.0723665425214802,negligible
corhscigeo,rd,All other sections,sub_cos,0.8861,0.7944,0.9602,0.0917,0.09553354651851152,negligible
corhscigeo,rd,All other sections,prtcle,0.0264,0.0494,0.1534,-0.023,-0.15020745955574794,negligible
corhscigeo,rd,All other sections,pany,0.4431,0.7447,0.8518,-0.3016,-0.3541255927118563,small
corhscigeo,rd,All other sections,gen_hdg,0.2125,0.2446,0.4283,-0.0321,-0.07493711515813696,negligible
corhscigeo,rd,All other sections,amplifr,1.7611,1.5537,1.3659,0.2074,0.15186779680815407,negligible
corhscigeo,rd,All other sections,wh_ques,0.0722,0.1058,0.2822,-0.0336,-0.1189403537666291,negligible
corhscigeo,rd,All other sections,pos_mod,5.9375,5.9772,3.3631,-0.0397,-0.01179928515002752,negligible
corhscigeo,rd,All other sections,o_and,7.2875,7.3895,3.7571,-0.102,-0.027136639278971038,negligible
corhscigeo,rd,All other sections,wh_cl,0.1861,0.2566,0.4447,-0.0705,-0.1585229876417841,negligible
corhscigeo,rd,All other sections,finlprep,0.5819,0.698,1.1093,-0.1161,-0.10462757937552038,negligible
corhscigeo,rd,All other sections,n,335.0,332.012,30.0311,2.988,0.09949628680618512,negligible
corhscigeo,rd,All other sections,prep,137.9556,135.1697,15.6062,2.7859,0.17851237262137282,negligible
corhscigeo,rd,All other sections,adj_attr,78.5542,68.2122,16.524,10.342,0.625876023100979,medium
corhscigeo,rd,All other sections,pasttnse,21.9125,26.7567,13.7287,-4.8442,-0.35285313226163434,small
corhscigeo,rd,All other sections,pro3,2.7222,6.089,5.2524,-3.3668,-0.6409988220091377,medium
corhscigeo,rd,All other sections,perfects,3.5208,3.8887,2.6625,-0.3678,-0.13815801291237317,negligible
corhscigeo,rd,All other sections,rel_obj,0.3903,0.5615,0.7227,-0.1712,-0.23685979796851458,small
corhscigeo,rd,All other sections,rel_subj,2.4042,2.761,2.221,-0.3569,-0.16067172016992912,negligible
corhscigeo,rd,All other sections,rel_pipe,0.5375,0.7221,0.7828,-0.1846,-0.23586200057738746,small
corhscigeo,rd,All other sections,p_and,2.6333,2.5449,1.9538,0.0884,0.04523915083140719,negligible
corhscigeo,rd,All other sections,tm_adv,1.35,1.5194,1.4466,-0.1694,-0.11707656494909008,negligible
corhscigeo,rd,All other sections,pl_adv,5.2097,3.1971,3.1018,2.0127,0.6488745590162435,medium
corhscigeo,rd,All other sections,advs,31.8236,32.0611,8.274,-0.2375,-0.028703799362265223,negligible
