Field_Target,Field_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscigeo,All other fields,ttr,30.2039,30.8548,2.9249,-0.6509,-0.2225463481998853,small
corhscigeo,All other fields,wrlengh,5.3626,5.394,0.3004,-0.0314,-0.1045316673424396,negligible
corhscigeo,All other fields,wcount,1382.4826,1592.1883,1280.9152,-209.7057,-0.16371553700613847,negligible
corhscigeo,All other fields,that_del,0.3717,0.6005,0.9623,-0.2288,-0.23773911192730665,small
corhscigeo,All other fields,contrac,0.2791,0.4782,1.2651,-0.1991,-0.15735876307076083,negligible
corhscigeo,All other fields,pres,54.7191,55.0875,18.9446,-0.3684,-0.01944629380328737,negligible
corhscigeo,All other fields,pro2,0.0626,0.2588,1.1815,-0.1962,-0.16608559011003018,negligible
corhscigeo,All other fields,pro_do,0.1204,0.1999,0.572,-0.0795,-0.1389037686767404,negligible
corhscigeo,All other fields,pdem,1.8874,2.1044,1.9603,-0.217,-0.11071288259114098,negligible
corhscigeo,All other fields,gen_emph,1.5713,1.5055,1.6867,0.0658,0.039036138932358994,negligible
corhscigeo,All other fields,pro1,7.7017,8.6896,7.6427,-0.9879,-0.12926063139401442,negligible
corhscigeo,All other fields,it,3.4048,3.8817,3.1477,-0.4769,-0.15152002906649192,negligible
corhscigeo,All other fields,be_state,1.1865,1.283,1.5411,-0.0965,-0.06258951768019391,negligible
corhscigeo,All other fields,sub_cos,0.8704,0.7494,1.1038,0.1211,0.10969278846166333,negligible
corhscigeo,All other fields,prtcle,0.0396,0.05,0.2467,-0.0105,-0.04239958429193798,negligible
corhscigeo,All other fields,pany,0.5226,0.7615,1.0288,-0.2389,-0.2321852692559469,small
corhscigeo,All other fields,gen_hdg,0.1665,0.1542,0.4391,0.0123,0.02803963879030365,negligible
corhscigeo,All other fields,amplifr,1.3957,1.3047,1.5773,0.091,0.05766945659524246,negligible
corhscigeo,All other fields,wh_ques,0.0965,0.1835,0.6791,-0.087,-0.12812796921692693,negligible
corhscigeo,All other fields,pos_mod,5.1552,5.2012,3.9244,-0.046,-0.011716874378721548,negligible
corhscigeo,All other fields,o_and,8.0774,8.1753,4.6435,-0.0979,-0.021092011909421633,negligible
corhscigeo,All other fields,wh_cl,0.1678,0.2543,0.5823,-0.0865,-0.14848321217003987,negligible
corhscigeo,All other fields,finlprep,0.5265,0.6529,1.2319,-0.1264,-0.10259159693187123,negligible
corhscigeo,All other fields,n,348.7213,341.048,33.1884,7.6733,0.23120445907508863,small
corhscigeo,All other fields,prep,133.213,134.0818,16.1301,-0.8688,-0.053861351776554774,negligible
corhscigeo,All other fields,adj_attr,84.4335,71.5905,19.4825,12.843,0.6592065542601667,medium
corhscigeo,All other fields,pasttnse,20.4374,26.0412,16.3734,-5.6038,-0.34225134672091895,small
corhscigeo,All other fields,pro3,2.8078,6.0294,5.0534,-3.2216,-0.6375053026952805,medium
corhscigeo,All other fields,perfects,4.3457,4.7837,3.7062,-0.4381,-0.11820116131917606,negligible
corhscigeo,All other fields,rel_obj,0.3939,0.534,0.8338,-0.1401,-0.16806493526805732,negligible
corhscigeo,All other fields,rel_subj,2.2022,2.5708,2.2133,-0.3686,-0.16653964769376406,negligible
corhscigeo,All other fields,rel_pipe,0.5957,0.8566,1.1862,-0.261,-0.22000781936572653,small
corhscigeo,All other fields,p_and,3.3765,2.8972,2.5699,0.4793,0.18652581863553974,negligible
corhscigeo,All other fields,tm_adv,1.4743,1.7859,1.7817,-0.3116,-0.17486476262889442,negligible
corhscigeo,All other fields,pl_adv,4.5748,3.1601,3.7158,1.4146,0.3807088737528049,small
corhscigeo,All other fields,advs,29.7874,29.2267,10.0613,0.5606,0.05572313845280159,negligible
corhscigeo,All other fields,inf,8.9904,9.7989,5.082,-0.8085,-0.15908976491987037,negligible
corhscigeo,All other fields,prd_mod,1.3665,1.5885,2.0005,-0.222,-0.1109699307423393,negligible
corhscigeo,All other fields,sua_vb,1.6043,1.5903,1.7869,0.0141,0.007889132153876398,negligible
corhscigeo,All other fields,sub_cnd,0.6817,0.8897,1.3216,-0.208,-0.1573473520730098,negligible
corhscigeo,All other fields,nec_mod,0.897,0.9752,1.4942,-0.0783,-0.05238107666832834,negligible
corhscigeo,All other fields,spl_aux,3.0348,2.8892,2.1188,0.1456,0.06870440944734003,negligible
corhscigeo,All other fields,conjncts,6.313,6.337,3.8561,-0.0239,-0.006205803737045668,negligible
corhscigeo,All other fields,agls_psv,11.7522,12.3021,7.0522,-0.5499,-0.0779767039168285,negligible
corhscigeo,All other fields,by_pasv,1.9122,2.0264,1.8142,-0.1142,-0.06294530727688612,negligible
corhscigeo,All other fields,whiz_vbn,3.4687,3.6283,2.5563,-0.1596,-0.06242043314277826,negligible
corhscigeo,All other fields,sub_othr,3.8513,3.8454,2.4954,0.0059,0.0023587605188443925,negligible
