Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhsciphi,abs,All other sections,wcount,533.25,370.9822,166.3047,162.2678,0.9757,large
corhsciphi,abs,All other sections,nfct_nth,0.0562,0.0,0.0644,0.0562,0.8732,large
corhsciphi,abs,All other sections,att_jth,0.5625,0.103,0.613,0.4595,0.7497,medium
corhsciphi,abs,All other sections,gen_hdg,0.2062,0.0118,0.2784,0.1944,0.6983,medium
corhsciphi,abs,All other sections,x5_jto,0.5625,0.1308,0.6672,0.4317,0.6471,medium
corhsciphi,abs,All other sections,topicj,13.35,8.0882,9.8373,5.2618,0.5349,medium
corhsciphi,abs,All other sections,atadvl,0.1062,0.0112,0.1855,0.095,0.5121,medium
corhsciphi,abs,All other sections,downtone,2.7562,1.5509,2.4276,1.2054,0.4965,small
corhsciphi,abs,All other sections,all_nto,1.6125,0.6822,2.0545,0.9303,0.4528,small
corhsciphi,abs,All other sections,wh_ques,1.2125,0.5266,1.5972,0.6859,0.4294,small
corhsciphi,abs,All other sections,humann,7.775,5.0183,8.0686,2.7567,0.3417,small
corhsciphi,abs,All other sections,o_and,10.3687,8.2621,6.2446,2.1066,0.3374,small
corhsciphi,abs,All other sections,perfects,4.4625,3.4521,3.3267,1.0104,0.3037,small
corhsciphi,abs,All other sections,abstrcn,45.4625,38.503,23.1499,6.9595,0.3006,small
corhsciphi,abs,All other sections,whiz_vbn,4.8375,3.7568,3.6085,1.0807,0.2995,small
corhsciphi,abs,All other sections,by_pasv,2.0375,1.371,2.2429,0.6665,0.2972,small
corhsciphi,abs,All other sections,prep,143.1812,136.5112,22.8966,6.67,0.2913,small
corhsciphi,abs,All other sections,x2_jto,0.7188,0.3444,1.2864,0.3744,0.291,small
corhsciphi,abs,All other sections,allconj,17.6437,14.9864,9.1383,2.6574,0.2908,small
corhsciphi,abs,All other sections,all_to,6.4,5.0538,4.9612,1.3462,0.2713,small
corhsciphi,abs,All other sections,pos_mod,5.0875,3.9065,4.4512,1.181,0.2653,small
corhsciphi,abs,All other sections,vprogrsv,6.6812,5.6367,4.581,1.0446,0.228,small
corhsciphi,abs,All other sections,pred_adj,5.1812,4.2639,4.0328,0.9173,0.2275,small
corhsciphi,abs,All other sections,pro3,6.35,5.1148,5.5823,1.2352,0.2213,small
corhsciphi,abs,All other sections,allwh,1.2688,0.8692,1.8322,0.3995,0.218,small
corhsciphi,abs,All other sections,all_jto,2.0125,1.4402,2.7218,0.5723,0.2102,small
corhsciphi,abs,All other sections,contrac,0.5063,0.2787,1.0831,0.2276,0.2101,small
corhsciphi,abs,All other sections,pdem,1.7125,1.2822,2.279,0.4303,0.1888,negligible
corhsciphi,abs,All other sections,sub_othr,3.3812,2.8018,3.2212,0.5795,0.1799,negligible
corhsciphi,abs,All other sections,prob_vto,0.45,0.2598,1.0994,0.1902,0.173,negligible
corhsciphi,abs,All other sections,placen,6.4,5.1947,7.3309,1.2053,0.1644,negligible
corhsciphi,abs,All other sections,causev,3.4375,2.8899,3.4014,0.5476,0.161,negligible
corhsciphi,abs,All other sections,sub_cos,0.4562,0.2941,1.0346,0.1622,0.1567,negligible
corhsciphi,abs,All other sections,aspectv,0.7125,0.5,1.3874,0.2125,0.1532,negligible
corhsciphi,abs,All other sections,allmodal,6.4063,5.6503,5.1982,0.756,0.1454,negligible
corhsciphi,abs,All other sections,fct_nth,0.3312,0.1609,1.2905,0.1703,0.132,negligible
corhsciphi,abs,All other sections,tccncrt,5.8375,4.9148,7.4161,0.9227,0.1244,negligible
corhsciphi,abs,All other sections,wrlengh,5.575,5.5408,0.3006,0.0342,0.1137,negligible
corhsciphi,abs,All other sections,all_nth,0.5,0.3438,1.492,0.1562,0.1047,negligible
corhsciphi,abs,All other sections,existv,8.0688,7.5148,5.5849,0.554,0.0992,negligible
corhsciphi,abs,All other sections,colorj,0.1062,0.0556,0.5338,0.0506,0.0948,negligible
corhsciphi,abs,All other sections,tm_adv,1.5062,1.3586,1.9568,0.1477,0.0755,negligible
corhsciphi,abs,All other sections,all_jth,1.0,0.8414,2.1207,0.1586,0.0748,negligible
corhsciphi,abs,All other sections,spl_aux,2.1812,1.9959,2.6436,0.1854,0.0701,negligible
corhsciphi,abs,All other sections,pro_do,0.2062,0.1615,0.6864,0.0447,0.0651,negligible
corhsciphi,abs,All other sections,n,366.8688,364.9391,39.6856,1.9297,0.0486,negligible
corhsciphi,abs,All other sections,p_and,3.45,3.2485,4.3155,0.2015,0.0467,negligible
corhsciphi,abs,All other sections,allpasv,16.9125,16.5355,8.6105,0.377,0.0438,negligible
corhsciphi,abs,All other sections,spch_vto,0.325,0.2905,1.0112,0.0345,0.0341,negligible
corhsciphi,abs,All other sections,finlprep,0.3313,0.3036,0.9566,0.0277,0.029,negligible
corhsciphi,abs,All other sections,occurv,3.1625,3.1189,3.29,0.0436,0.0132,negligible
corhsciphi,abs,All other sections,allverb,99.875,99.7355,18.7926,0.1395,0.0074,negligible
corhsciphi,abs,All other sections,pasttnse,31.3375,31.3118,15.9928,0.0257,0.0016,negligible
corhsciphi,abs,All other sections,allpro,13.2938,13.5012,10.7078,-0.2074,-0.0194,negligible
corhsciphi,abs,All other sections,advs,23.1625,23.4355,12.3441,-0.273,-0.0221,negligible
corhsciphi,abs,All other sections,x1_jto,0.7312,0.7852,2.1999,-0.054,-0.0245,negligible
corhsciphi,abs,All other sections,efrt_vto,0.9,0.9627,1.9176,-0.0627,-0.0327,negligible
corhsciphi,abs,All other sections,all_vto,2.7938,2.9284,3.2225,-0.1347,-0.0418,negligible
corhsciphi,abs,All other sections,rel_obj,0.3812,0.4302,1.132,-0.0489,-0.0432,negligible
corhsciphi,abs,All other sections,inf,10.1125,10.4266,6.9945,-0.3141,-0.0449,negligible
corhsciphi,abs,All other sections,be_state,0.7375,0.8112,1.5806,-0.0737,-0.0467,negligible
corhsciphi,abs,All other sections,pres,43.5687,44.4385,17.9347,-0.8697,-0.0485,negligible
corhsciphi,abs,All other sections,rel_subj,2.0875,2.2148,2.5639,-0.1273,-0.0496,negligible
corhsciphi,abs,All other sections,cognitn,6.2563,6.5882,5.7757,-0.3319,-0.0575,negligible
corhsciphi,abs,All other sections,commv,5.4,5.7331,5.5736,-0.3331,-0.0598,negligible
corhsciphi,abs,All other sections,lkly_nth,0.1125,0.1645,0.7585,-0.052,-0.0686,negligible
corhsciphi,abs,All other sections,lklydvl,0.125,0.1817,0.82,-0.0567,-0.0691,negligible
corhsciphi,abs,All other sections,prd_mod,0.8562,1.0166,2.0546,-0.1603,-0.078,negligible
corhsciphi,abs,All other sections,att_nth,0.0,0.0183,0.2285,-0.0183,-0.0803,negligible
corhsciphi,abs,All other sections,copulapv,0.0,0.0195,0.2432,-0.0195,-0.0803,negligible
corhsciphi,abs,All other sections,mentalpv,0.0,0.0047,0.059,-0.0047,-0.0803,negligible
corhsciphi,abs,All other sections,pro2,0.0,0.0586,0.7297,-0.0586,-0.0803,negligible
corhsciphi,abs,All other sections,mntl_vto,0.2,0.2722,0.8908,-0.0722,-0.081,negligible
corhsciphi,abs,All other sections,alladj,98.1562,100.6225,28.2715,-2.4662,-0.0872,negligible
