Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhsciphi,con,All other sections,all_nto,2.7118,0.8388,1.7473,1.873,1.0719,large
corhsciphi,con,All other sections,all_to,10.7294,6.5733,4.7384,4.1561,0.8771,large
corhsciphi,con,All other sections,copulapv,0.1765,0.0089,0.1943,0.1676,0.8623,large
corhsciphi,con,All other sections,mentalpv,0.1412,0.0057,0.1641,0.1355,0.8256,large
corhsciphi,con,All other sections,topicj,14.7471,8.4452,9.1378,6.3019,0.6896,medium
corhsciphi,con,All other sections,pro3,8.2941,4.8762,5.1658,3.418,0.6616,medium
corhsciphi,con,All other sections,allmodal,16.8529,12.3409,7.0397,4.512,0.6409,medium
corhsciphi,con,All other sections,that_rel,6.9706,4.5036,3.8808,2.467,0.6357,medium
corhsciphi,con,All other sections,allverb,112.8235,101.8107,17.5222,11.0129,0.6285,medium
corhsciphi,con,All other sections,prd_mod,4.3118,2.5544,3.0408,1.7573,0.5779,medium
corhsciphi,con,All other sections,inf,14.6529,10.9744,6.4932,3.6786,0.5665,medium
corhsciphi,con,All other sections,nfct_nth,0.1882,0.0327,0.2975,0.1555,0.5227,medium
corhsciphi,con,All other sections,nec_mod,3.6706,2.1979,2.9389,1.4727,0.5011,medium
corhsciphi,con,All other sections,be_state,3.3941,2.1815,2.4667,1.2126,0.4916,small
corhsciphi,con,All other sections,spch_vto,0.4471,0.1683,0.5782,0.2787,0.4821,small
corhsciphi,con,All other sections,commv,7.9118,6.0153,4.0795,1.8965,0.4649,small
corhsciphi,con,All other sections,mentalv,15.2706,12.2345,6.546,3.0361,0.4638,small
corhsciphi,con,All other sections,all_jto,3.3412,2.1822,2.5818,1.159,0.4489,small
corhsciphi,con,All other sections,x4_jto,0.9059,0.4594,1.0129,0.4465,0.4408,small
corhsciphi,con,All other sections,prtcle,0.1882,0.0431,0.3307,0.1452,0.439,small
corhsciphi,con,All other sections,att_vth,0.9294,0.4751,1.0415,0.4543,0.4362,small
corhsciphi,con,All other sections,allconj,19.8882,16.8751,7.373,3.0131,0.4087,small
corhsciphi,con,All other sections,advs,37.4529,33.0495,10.8436,4.4035,0.4061,small
corhsciphi,con,All other sections,pres,70.5706,63.8879,16.8647,6.6827,0.3963,small
corhsciphi,con,All other sections,sub_othr,5.8059,4.4075,3.5675,1.3984,0.392,small
corhsciphi,con,All other sections,all_vto,4.6765,3.5566,2.8586,1.1199,0.3918,small
corhsciphi,con,All other sections,wh_cl,0.7118,0.3683,0.8785,0.3434,0.3909,small
corhsciphi,con,All other sections,x5_jto,0.8765,0.4641,1.0666,0.4124,0.3867,small
corhsciphi,con,All other sections,actv,18.5235,15.9783,6.7648,2.5452,0.3762,small
corhsciphi,con,All other sections,prob_vto,1.1235,0.6747,1.259,0.4488,0.3565,small
corhsciphi,con,All other sections,rel_pipe,1.0412,0.6349,1.1567,0.4063,0.3513,small
corhsciphi,con,All other sections,nonf_vth,2.9059,2.1021,2.319,0.8037,0.3466,small
corhsciphi,con,All other sections,att_jth,0.7353,0.3979,0.9929,0.3374,0.3398,small
corhsciphi,con,All other sections,abstrcn,40.5706,34.5801,17.6872,5.9905,0.3387,small
corhsciphi,con,All other sections,all_th,11.4059,9.3566,6.1135,2.0493,0.3352,small
corhsciphi,con,All other sections,contrac,0.7529,0.3957,1.0694,0.3572,0.334,small
corhsciphi,con,All other sections,efrt_vto,1.9647,1.3612,1.8119,0.6035,0.3331,small
corhsciphi,con,All other sections,sua_vb,2.8176,2.0406,2.3498,0.7771,0.3307,small
corhsciphi,con,All other sections,that_del,1.0765,0.6331,1.4019,0.4434,0.3163,small
