Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhsciphi,int,All other sections,ttr,31.9565,31.8103,2.2394,0.1461,0.065250764279165,negligible
corhsciphi,int,All other sections,wrlengh,5.5494,5.5245,0.2732,0.0249,0.09102771978654879,negligible
corhsciphi,int,All other sections,wcount,1065.6471,1183.1211,885.9792,-117.474,-0.13259231318288528,negligible
corhsciphi,int,All other sections,that_del,0.5624,0.4593,0.771,0.103,0.13360624021815953,negligible
corhsciphi,int,All other sections,contrac,1.0647,0.4415,1.1193,0.6232,0.5567605237545293,medium
corhsciphi,int,All other sections,pres,65.5906,62.8158,14.8275,2.7748,0.1871378646766724,negligible
corhsciphi,int,All other sections,pro2,0.1635,0.0874,0.4978,0.0761,0.15291001957630626,negligible
corhsciphi,int,All other sections,pro_do,0.2765,0.1998,0.5722,0.0766,0.13391820431150847,negligible
corhsciphi,int,All other sections,pdem,1.8765,1.8802,1.8038,-0.0037,-0.0020633277702515745,negligible
corhsciphi,int,All other sections,gen_emph,1.6753,1.6122,1.6706,0.0631,0.037773619100782634,negligible
corhsciphi,int,All other sections,pro1,5.8082,6.5014,5.85,-0.6931,-0.11848270315757128,negligible
corhsciphi,int,All other sections,it,4.5918,4.4247,3.3587,0.1671,0.049741409949406075,negligible
corhsciphi,int,All other sections,be_state,1.2647,1.3341,1.5804,-0.0694,-0.0438967527135912,negligible
corhsciphi,int,All other sections,sub_cos,0.9047,0.7599,1.1704,0.1448,0.12372524471033956,negligible
corhsciphi,int,All other sections,prtcle,0.0047,0.0578,0.2811,-0.0531,-0.18895871774883394,negligible
corhsciphi,int,All other sections,pany,1.0482,0.7973,1.0863,0.251,0.23102887972082847,small
corhsciphi,int,All other sections,gen_hdg,0.0388,0.1314,0.4605,-0.0925,-0.20094970797243386,small
corhsciphi,int,All other sections,amplifr,0.9753,1.2296,1.4873,-0.2543,-0.1709743935720604,negligible
corhsciphi,int,All other sections,wh_ques,0.3494,0.2268,0.7373,0.1226,0.16631564664370707,negligible
corhsciphi,int,All other sections,pos_mod,5.62,5.7998,3.9396,-0.1798,-0.045649781873597646,negligible
corhsciphi,int,All other sections,o_and,9.8565,8.8711,4.8853,0.9853,0.20169650048271645,small
corhsciphi,int,All other sections,wh_cl,0.2588,0.2662,0.5974,-0.0074,-0.012413187522050744,negligible
corhsciphi,int,All other sections,finlprep,0.4988,0.5344,0.9807,-0.0356,-0.03628026672045109,negligible
corhsciphi,int,All other sections,n,337.2706,343.5323,30.702,-6.2617,-0.2039520904747821,small
corhsciphi,int,All other sections,prep,136.2565,135.275,15.4175,0.9815,0.0636608394242609,negligible
corhsciphi,int,All other sections,adj_attr,83.8565,80.366,19.123,3.4905,0.18252718898992717,negligible
corhsciphi,int,All other sections,pasttnse,16.3071,16.3553,9.322,-0.0483,-0.005178483718537364,negligible
corhsciphi,int,All other sections,pro3,7.3765,6.4456,5.1661,0.9308,0.1801812745613042,negligible
corhsciphi,int,All other sections,perfects,7.2459,7.0561,4.0146,0.1898,0.04728470359525626,negligible
corhsciphi,int,All other sections,rel_obj,0.6929,0.5617,0.8868,0.1313,0.14803071764109887,negligible
corhsciphi,int,All other sections,rel_subj,2.8176,2.4581,2.1656,0.3595,0.16601076061053777,negligible
corhsciphi,int,All other sections,rel_pipe,1.1318,0.9409,1.2722,0.1909,0.150032112072193,negligible
corhsciphi,int,All other sections,p_and,4.7753,3.3641,2.7371,1.4112,0.5155946415688225,medium
corhsciphi,int,All other sections,tm_adv,1.4306,1.7787,1.7707,-0.3481,-0.1965732404126118,negligible
corhsciphi,int,All other sections,pl_adv,2.3306,3.2464,3.2342,-0.9158,-0.2831540982633022,small
corhsciphi,int,All other sections,advs,29.1294,31.6051,9.6256,-2.4757,-0.25720207214829166,small
corhsciphi,int,All other sections,inf,11.7541,10.9392,5.2613,0.8149,0.15488633743282815,negligible
corhsciphi,int,All other sections,prd_mod,1.6471,1.6532,2.096,-0.0062,-0.002952703186105738,negligible
corhsciphi,int,All other sections,sua_vb,1.9424,1.7856,1.9039,0.1568,0.08235248036836715,negligible
corhsciphi,int,All other sections,sub_cnd,0.5918,0.7439,1.1517,-0.1522,-0.1321347606790937,negligible
corhsciphi,int,All other sections,nec_mod,1.2271,0.8601,1.3418,0.367,0.2735017528810148,small
