Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhsciphi,mm,All other sections,topicj,6.9766,3.405,4.4805,3.5715,0.7971,medium
corhsciphi,mm,All other sections,wrlengh,5.4156,5.2498,0.2655,0.1659,0.6246,medium
corhsciphi,mm,All other sections,allconj,19.2312,15.7087,5.7464,3.5226,0.613,medium
corhsciphi,mm,All other sections,o_and,10.6734,7.9699,4.4857,2.7036,0.6027,medium
corhsciphi,mm,All other sections,all_nto,0.6812,0.4122,0.8201,0.269,0.3281,small
corhsciphi,mm,All other sections,p_and,3.1234,2.4495,2.1512,0.6739,0.3133,small
corhsciphi,mm,All other sections,humann,7.0094,5.2315,5.8302,1.7779,0.3049,small
corhsciphi,mm,All other sections,inf,9.8219,8.6295,3.9854,1.1924,0.2992,small
corhsciphi,mm,All other sections,adj_attr,64.9328,60.8513,13.7767,4.0816,0.2963,small
corhsciphi,mm,All other sections,allwhrel,4.6562,3.8811,2.6446,0.7752,0.2931,small
corhsciphi,mm,All other sections,rel_obj,0.6141,0.4159,0.6821,0.1982,0.2906,small
corhsciphi,mm,All other sections,all_to,4.6969,3.925,2.7186,0.7719,0.2839,small
corhsciphi,mm,All other sections,commv,7.0625,6.0453,3.7363,1.0172,0.2722,small
corhsciphi,mm,All other sections,alladj,86.7844,82.704,15.4263,4.0804,0.2645,small
corhsciphi,mm,All other sections,contrac,0.6047,0.3694,0.9335,0.2353,0.252,small
corhsciphi,mm,All other sections,rel_pipe,1.2047,0.8944,1.2318,0.3103,0.2519,small
corhsciphi,mm,All other sections,pasttnse,44.1359,39.6826,17.9237,4.4533,0.2485,small
corhsciphi,mm,All other sections,groupn,3.7078,2.7161,4.1581,0.9917,0.2385,small
corhsciphi,mm,All other sections,dsre_vto,0.7328,0.5493,0.7837,0.1835,0.2341,small
corhsciphi,mm,All other sections,copulapv,0.0297,0.0099,0.092,0.0198,0.2148,small
corhsciphi,mm,All other sections,sua_vb,1.7938,1.4595,1.6071,0.3343,0.208,small
corhsciphi,mm,All other sections,abstrcn,31.1781,28.7913,12.2505,2.3868,0.1948,negligible
corhsciphi,mm,All other sections,efrt_vto,1.3828,1.1422,1.2376,0.2406,0.1944,negligible
corhsciphi,mm,All other sections,allwh,0.4453,0.2957,0.7843,0.1497,0.1908,negligible
corhsciphi,mm,All other sections,prcessn,20.2266,18.6555,8.8034,1.5711,0.1785,negligible
corhsciphi,mm,All other sections,wh_cl,0.2438,0.1587,0.4818,0.0851,0.1766,negligible
corhsciphi,mm,All other sections,all_vto,2.9688,2.6097,2.0575,0.359,0.1745,negligible
corhsciphi,mm,All other sections,n,355.2109,349.3492,34.2201,5.8617,0.1713,negligible
corhsciphi,mm,All other sections,whiz_vbn,5.0562,4.6251,2.685,0.4311,0.1606,negligible
corhsciphi,mm,All other sections,nfct_nth,0.0547,0.0249,0.1904,0.0298,0.1565,negligible
corhsciphi,mm,All other sections,nonf_vth,1.5594,1.326,1.5273,0.2333,0.1528,negligible
corhsciphi,mm,All other sections,commpv,0.0281,0.0129,0.1016,0.0152,0.1499,negligible
corhsciphi,mm,All other sections,allverb,106.1547,104.2178,12.9759,1.9369,0.1493,negligible
corhsciphi,mm,All other sections,aspectv,1.2797,1.0696,1.4123,0.2101,0.1487,negligible
corhsciphi,mm,All other sections,amplifr,1.3625,1.1134,1.7416,0.2491,0.1431,negligible
corhsciphi,mm,All other sections,x5_jto,0.1625,0.1161,0.3297,0.0464,0.1408,negligible
corhsciphi,mm,All other sections,vcmp,2.2312,1.9517,2.0463,0.2795,0.1366,negligible
corhsciphi,mm,All other sections,rel_subj,2.8406,2.5688,2.1238,0.2718,0.128,negligible
corhsciphi,mm,All other sections,gen_emph,1.0922,0.9446,1.1676,0.1476,0.1264,negligible
corhsciphi,mm,All other sections,pro3,5.7344,5.1716,4.4663,0.5628,0.126,negligible
corhsciphi,mm,All other sections,prtcle,0.0719,0.0436,0.2431,0.0283,0.1163,negligible
corhsciphi,mm,All other sections,pany,0.8734,0.7579,1.032,0.1156,0.112,negligible
corhsciphi,mm,All other sections,all_jto,1.0422,0.9025,1.2585,0.1397,0.111,negligible
corhsciphi,mm,All other sections,perfects,3.1469,2.8842,2.4093,0.2626,0.109,negligible
corhsciphi,mm,All other sections,sub_othr,3.5453,3.308,2.2282,0.2373,0.1065,negligible
corhsciphi,mm,All other sections,wh_ques,0.2016,0.1373,0.6279,0.0642,0.1023,negligible
corhsciphi,mm,All other sections,cognitn,6.7062,6.2654,4.4172,0.4408,0.0998,negligible
corhsciphi,mm,All other sections,x1_jto,0.4,0.3051,0.9545,0.0949,0.0994,negligible
corhsciphi,mm,All other sections,causev,2.3688,2.1715,1.9928,0.1973,0.099,negligible
