Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhsciphi,rd,All other sections,all_nto,1.4372,0.6186,1.0812,0.8186,0.7571,medium
corhsciphi,rd,All other sections,topicj,7.2333,4.7461,5.6005,2.4872,0.4441,small
corhsciphi,rd,All other sections,all_to,6.7385,5.3636,3.1107,1.3749,0.442,small
corhsciphi,rd,All other sections,humann,7.1731,4.6652,5.9016,2.5079,0.425,small
corhsciphi,rd,All other sections,groupn,3.9449,2.2782,4.2343,1.6667,0.3936,small
corhsciphi,rd,All other sections,pro3,7.7833,5.7636,5.2888,2.0197,0.3819,small
corhsciphi,rd,All other sections,wrlengh,5.4,5.296,0.2773,0.104,0.3751,small
corhsciphi,rd,All other sections,abstrcn,35.5974,30.5822,13.5891,5.0152,0.3691,small
corhsciphi,rd,All other sections,p_and,3.191,2.5067,1.9468,0.6843,0.3515,small
corhsciphi,rd,All other sections,spch_vto,0.3346,0.1933,0.4092,0.1413,0.3454,small
corhsciphi,rd,All other sections,allconj,17.4705,15.807,4.8263,1.6636,0.3447,small
corhsciphi,rd,All other sections,inf,10.1385,8.6682,4.456,1.4703,0.3299,small
corhsciphi,rd,All other sections,commv,7.1192,5.9966,3.7274,1.1226,0.3012,small
corhsciphi,rd,All other sections,whiz_vbn,4.009,3.3981,2.1449,0.6109,0.2848,small
corhsciphi,rd,All other sections,mentalv,14.7051,13.1934,5.3977,1.5117,0.2801,small
corhsciphi,rd,All other sections,allverb,106.7308,102.6537,14.9849,4.0771,0.2721,small
corhsciphi,rd,All other sections,nec_mod,1.4692,1.133,1.2403,0.3362,0.2711,small
corhsciphi,rd,All other sections,pasttnse,29.9603,26.2366,13.7458,3.7237,0.2709,small
corhsciphi,rd,All other sections,o_and,8.2923,7.3219,3.7497,0.9704,0.2588,small
corhsciphi,rd,All other sections,allpasv,16.5038,15.285,5.2413,1.2189,0.2326,small
corhsciphi,rd,All other sections,contrac,0.8859,0.528,1.6344,0.3579,0.219,small
corhsciphi,rd,All other sections,efrt_vto,1.1333,0.929,0.9411,0.2043,0.2171,small
corhsciphi,rd,All other sections,nonf_vth,2.5385,2.2049,1.5782,0.3336,0.2114,small
corhsciphi,rd,All other sections,rel_obj,0.6885,0.5421,0.7229,0.1463,0.2024,small
corhsciphi,rd,All other sections,causev,2.7564,2.382,1.9863,0.3744,0.1885,negligible
corhsciphi,rd,All other sections,allwhrel,4.4526,3.9744,2.5627,0.4782,0.1866,negligible
corhsciphi,rd,All other sections,spl_aux,3.0436,2.7513,1.6026,0.2923,0.1824,negligible
corhsciphi,rd,All other sections,pany,0.8705,0.7173,0.8539,0.1532,0.1794,negligible
corhsciphi,rd,All other sections,allmodal,9.6423,8.8249,4.6036,0.8174,0.1776,negligible
corhsciphi,rd,All other sections,prep,137.9128,135.158,15.6054,2.7548,0.1765,negligible
corhsciphi,rd,All other sections,fact_vth,2.9295,2.6102,1.8673,0.3193,0.171,negligible
corhsciphi,rd,All other sections,x2_jto,0.4756,0.3668,0.6369,0.1088,0.1709,negligible
corhsciphi,rd,All other sections,all_vto,3.3256,2.996,1.9358,0.3296,0.1703,negligible
corhsciphi,rd,All other sections,fct_nth,0.3987,0.3108,0.523,0.0879,0.1682,negligible
corhsciphi,rd,All other sections,nfct_nth,0.0808,0.0497,0.1889,0.0311,0.1645,negligible
corhsciphi,rd,All other sections,prcessn,21.4026,19.7712,10.708,1.6313,0.1523,negligible
corhsciphi,rd,All other sections,all_th,9.9244,9.3038,4.1051,0.6205,0.1512,negligible
corhsciphi,rd,All other sections,by_pasv,1.95,1.758,1.3206,0.192,0.1454,negligible
corhsciphi,rd,All other sections,att_nth,0.0615,0.0385,0.1588,0.0231,0.1452,negligible
corhsciphi,rd,All other sections,all_vth,7.6756,7.1961,3.3356,0.4796,0.1438,negligible
corhsciphi,rd,All other sections,aspectv,0.859,0.7151,1.0225,0.1439,0.1407,negligible
corhsciphi,rd,All other sections,pos_mod,6.4038,5.9458,3.3613,0.4581,0.1363,negligible
corhsciphi,rd,All other sections,adj_attr,70.9436,68.674,16.6927,2.2696,0.136,negligible
corhsciphi,rd,All other sections,all_jto,1.9744,1.7487,1.67,0.2256,0.1351,negligible
corhsciphi,rd,All other sections,commpv,0.0782,0.048,0.2254,0.0302,0.1342,negligible
corhsciphi,rd,All other sections,allpro,16.3295,15.0052,9.8959,1.3243,0.1338,negligible
corhsciphi,rd,All other sections,x5_jto,0.3359,0.2787,0.4442,0.0572,0.1287,negligible
corhsciphi,rd,All other sections,rel_pipe,0.8038,0.705,0.7836,0.0988,0.1261,negligible
corhsciphi,rd,All other sections,act_ipv,0.0141,0.0067,0.0602,0.0074,0.123,negligible
corhsciphi,rd,All other sections,act_tpv,0.2423,0.1857,0.4644,0.0566,0.122,negligible
corhsciphi,rd,All other sections,vcmp,6.3526,6.0144,3.1073,0.3381,0.1088,negligible
corhsciphi,rd,All other sections,rel_subj,2.9615,2.7251,2.2218,0.2364,0.1064,negligible
corhsciphi,rd,All other sections,agls_psv,10.5385,10.1288,4.3061,0.4096,0.0951,negligible
corhsciphi,rd,All other sections,pro2,0.3885,0.2679,1.271,0.1206,0.0949,negligible
corhsciphi,rd,All other sections,mntl_vto,0.4795,0.4193,0.6429,0.0602,0.0936,negligible
corhsciphi,rd,All other sections,vprogrsv,5.541,5.2701,3.1531,0.2709,0.0859,negligible
corhsciphi,rd,All other sections,perfects,4.0782,3.8528,2.6633,0.2254,0.0846,negligible
corhsciphi,rd,All other sections,wh_cl,0.2859,0.2502,0.445,0.0357,0.0802,negligible
corhsciphi,rd,All other sections,alladj,96.7795,95.2878,18.713,1.4917,0.0797,negligible
corhsciphi,rd,All other sections,ttr,29.5718,29.3214,3.1682,0.2504,0.079,negligible
corhsciphi,rd,All other sections,have,2.309,2.1646,1.9736,0.1444,0.0732,negligible
corhsciphi,rd,All other sections,dsre_vto,0.7872,0.7225,0.9029,0.0647,0.0716,negligible
corhsciphi,rd,All other sections,x3_jto,0.0154,0.0099,0.077,0.0055,0.0712,negligible
corhsciphi,rd,All other sections,that_rel,3.459,3.3062,2.2816,0.1528,0.067,negligible
corhsciphi,rd,All other sections,sub_cnd,0.9756,0.9053,1.0888,0.0703,0.0646,negligible
corhsciphi,rd,All other sections,all_nth,0.8474,0.7814,1.0363,0.066,0.0637,negligible
corhsciphi,rd,All other sections,allwh,0.3885,0.3533,0.5528,0.0351,0.0635,negligible
corhsciphi,rd,All other sections,lkly_jth,1.0551,0.9705,1.4582,0.0846,0.058,negligible
corhsciphi,rd,All other sections,that_del,0.8077,0.7513,0.9873,0.0563,0.0571,negligible
corhsciphi,rd,All other sections,evalj,0.9526,0.8847,1.2471,0.0679,0.0544,negligible
