Field_Target,Field_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhsciphi,All other fields,ttr,30.9638,30.807,2.9286,0.1568,0.05354413922344537,negligible
corhsciphi,All other fields,wrlengh,5.4712,5.3867,0.2997,0.0845,0.2818306970096568,small
corhsciphi,All other fields,wcount,1540.7962,1582.8247,1281.8071,-42.0285,-0.03278847267973979,negligible
corhsciphi,All other fields,that_del,0.6004,0.5864,0.9637,0.014,0.01452581119565257,negligible
corhsciphi,All other fields,contrac,0.8431,0.4404,1.2621,0.4026,0.31902880759148794,small
corhsciphi,All other fields,pres,54.21,55.126,18.9435,-0.916,-0.04835687710802345,negligible
corhsciphi,All other fields,pro2,0.2985,0.244,1.1823,0.0545,0.046097912765533544,negligible
corhsciphi,All other fields,pro_do,0.2065,0.1945,0.5723,0.012,0.020995518587592143,negligible
corhsciphi,All other fields,pdem,2.1523,2.0877,1.9609,0.0646,0.032961122697528385,negligible
corhsciphi,All other fields,gen_emph,1.4946,1.5103,1.6868,-0.0157,-0.009289351700097068,negligible
corhsciphi,All other fields,pro1,7.9454,8.6806,7.644,-0.7352,-0.09618006245881998,negligible
corhsciphi,All other fields,it,3.6231,3.8703,3.1491,-0.2473,-0.07851472016607741,negligible
corhsciphi,All other fields,be_state,1.2085,1.2822,1.5412,-0.0738,-0.04786152169516974,negligible
corhsciphi,All other fields,sub_cos,0.7815,0.7546,1.1041,0.0269,0.024406018540968653,negligible
corhsciphi,All other fields,prtcle,0.0465,0.0496,0.2467,-0.0031,-0.012505215563908566,negligible
corhsciphi,All other fields,pany,0.8942,0.7375,1.0296,0.1568,0.15226687477026396,negligible
corhsciphi,All other fields,gen_hdg,0.1069,0.1583,0.439,-0.0513,-0.11697804636851787,negligible
corhsciphi,All other fields,amplifr,1.2065,1.3172,1.5772,-0.1106,-0.07013561234786708,negligible
corhsciphi,All other fields,wh_ques,0.2708,0.1721,0.679,0.0987,0.14535568297890528,negligible
corhsciphi,All other fields,pos_mod,5.2904,5.1921,3.9243,0.0983,0.02503689892537954,negligible
corhsciphi,All other fields,o_and,9.5208,8.0753,4.6298,1.4454,0.3121959271033641,small
corhsciphi,All other fields,wh_cl,0.2804,0.2471,0.5826,0.0333,0.057085513570502296,negligible
corhsciphi,All other fields,finlprep,0.6712,0.6438,1.2322,0.0273,0.022179357472470518,negligible
corhsciphi,All other fields,n,339.54,341.6272,33.2326,-2.0872,-0.0628058076747887,negligible
corhsciphi,All other fields,prep,135.7869,133.9091,16.1247,1.8778,0.11645440902393295,negligible
corhsciphi,All other fields,adj_attr,74.4185,72.1863,19.7038,2.2322,0.11328819296236953,negligible
corhsciphi,All other fields,pasttnse,28.315,25.5364,16.4112,2.7786,0.1693141510026907,negligible
corhsciphi,All other fields,pro3,7.0912,5.7563,5.0983,1.3348,0.26181871445996935,small
corhsciphi,All other fields,perfects,4.9454,4.7454,3.7072,0.2,0.05394945705129856,negligible
corhsciphi,All other fields,rel_obj,0.6569,0.5168,0.8337,0.1401,0.16805965589762603,negligible
corhsciphi,All other fields,rel_subj,2.7635,2.5346,2.2143,0.2289,0.10337634626812546,negligible
corhsciphi,All other fields,rel_pipe,1.005,0.8302,1.187,0.1748,0.14729807324499666,negligible
corhsciphi,All other fields,p_and,3.7481,2.8674,2.5631,0.8807,0.34361199274735643,small
