Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscipp,abs,All other sections,spch_vto,0.825,0.2432,0.9978,0.5818,0.5831,medium
corhscipp,abs,All other sections,finlprep,0.7938,0.2598,0.9446,0.534,0.5653,medium
corhscipp,abs,All other sections,wh_cl,0.775,0.274,0.959,0.501,0.5225,medium
corhscipp,abs,All other sections,tccncrt,8.4875,4.6639,7.3416,3.8236,0.5208,medium
corhscipp,abs,All other sections,jcmp,0.4125,0.1083,0.6162,0.3042,0.4937,small
corhscipp,abs,All other sections,abstrcn,49.2125,38.1479,23.022,11.0646,0.4806,small
corhscipp,abs,All other sections,that_del,1.1937,0.5166,1.4218,0.6772,0.4763,small
corhscipp,abs,All other sections,groupn,6.2062,3.3503,6.0524,2.856,0.4719,small
corhscipp,abs,All other sections,efrt_vto,1.7562,0.8817,1.9017,0.8746,0.4599,small
corhscipp,abs,All other sections,amplifr,1.3562,0.6805,1.5897,0.6758,0.4251,small
corhscipp,abs,All other sections,concrtn,11.6688,8.0509,9.3785,3.6179,0.3858,small
corhscipp,abs,All other sections,all_vto,4.0437,2.8101,3.2038,1.2337,0.3851,small
corhscipp,abs,All other sections,downtone,2.4562,1.5793,2.4389,0.877,0.3596,small
corhscipp,abs,All other sections,pos_mod,5.45,3.8722,4.4413,1.5778,0.3553,small
corhscipp,abs,All other sections,nonf_vth,2.8375,2.0083,2.5493,0.8292,0.3253,small
corhscipp,abs,All other sections,have,2.175,1.4083,2.394,0.7667,0.3203,small
corhscipp,abs,All other sections,spl_aux,2.775,1.9396,2.6336,0.8354,0.3172,small
corhscipp,abs,All other sections,all_advl,1.4437,0.8414,1.9041,0.6023,0.3163,small
corhscipp,abs,All other sections,that_rel,3.3625,2.4533,3.0657,0.9092,0.2966,small
corhscipp,abs,All other sections,n,375.7125,364.1018,39.5535,11.6107,0.2935,small
corhscipp,abs,All other sections,lklydvl,0.3812,0.1574,0.8178,0.2239,0.2737,small
corhscipp,abs,All other sections,allwh,1.3562,0.8609,1.8304,0.4953,0.2706,small
corhscipp,abs,All other sections,nonfadvl,0.85,0.5036,1.3991,0.3464,0.2476,small
corhscipp,abs,All other sections,att_vth,0.6,0.3077,1.2272,0.2923,0.2382,small
corhscipp,abs,All other sections,quann,7.8438,6.3923,6.0999,1.4514,0.2379,small
corhscipp,abs,All other sections,allmodal,6.7375,5.6189,5.193,1.1186,0.2154,small
corhscipp,abs,All other sections,whiz_vbn,4.4188,3.7964,3.6171,0.6223,0.172,negligible
corhscipp,abs,All other sections,allverb,102.4188,99.4947,18.7745,2.9241,0.1557,negligible
corhscipp,abs,All other sections,be_state,1.025,0.784,1.5793,0.241,0.1526,negligible
corhscipp,abs,All other sections,conjncts,5.575,4.8408,5.4237,0.7342,0.1354,negligible
corhscipp,abs,All other sections,vprogrsv,6.2812,5.6746,4.5873,0.6067,0.1323,negligible
corhscipp,abs,All other sections,all_to,5.7562,5.1148,4.9724,0.6415,0.129,negligible
corhscipp,abs,All other sections,actv,16.325,15.3456,7.9609,0.9794,0.123,negligible
corhscipp,abs,All other sections,rel_obj,0.55,0.4142,1.1314,0.1358,0.12,negligible
corhscipp,abs,All other sections,x2_jto,0.5125,0.3639,1.29,0.1486,0.1152,negligible
corhscipp,abs,All other sections,att_jth,0.2062,0.1367,0.6263,0.0696,0.1111,negligible
corhscipp,abs,All other sections,inf,11.0938,10.3337,6.9918,0.76,0.1087,negligible
corhscipp,abs,All other sections,pasttnse,32.8375,31.1698,15.9859,1.6677,0.1043,negligible
corhscipp,abs,All other sections,evalj,1.125,0.9379,1.7973,0.1871,0.1041,negligible
corhscipp,abs,All other sections,all_nto,0.9375,0.7462,2.0705,0.1913,0.0924,negligible
corhscipp,abs,All other sections,fctadvl,0.2125,0.158,0.699,0.0545,0.078,negligible
corhscipp,abs,All other sections,all_vth,5.6938,5.342,4.6532,0.3517,0.0756,negligible
corhscipp,abs,All other sections,pany,0.625,0.5426,1.3715,0.0824,0.0601,negligible
corhscipp,abs,All other sections,dsre_vto,1.2062,1.1213,1.8045,0.0849,0.0471,negligible
corhscipp,abs,All other sections,wrlengh,5.5562,5.5426,0.3008,0.0136,0.0454,negligible
corhscipp,abs,All other sections,fact_vth,1.9875,1.8805,2.7531,0.107,0.0389,negligible
corhscipp,abs,All other sections,by_pasv,1.5062,1.4213,2.2506,0.0849,0.0377,negligible
corhscipp,abs,All other sections,pro1,8.4062,8.1852,8.1482,0.221,0.0271,negligible
corhscipp,abs,All other sections,allpro,13.6562,13.4669,10.7079,0.1894,0.0177,negligible
corhscipp,abs,All other sections,commv,5.7875,5.6964,5.5744,0.0911,0.0163,negligible
corhscipp,abs,All other sections,prd_mod,1.025,1.0006,2.0551,0.0244,0.0119,negligible
corhscipp,abs,All other sections,mentalv,12.6875,12.6243,6.7326,0.0632,0.0094,negligible
corhscipp,abs,All other sections,sub_othr,2.8562,2.8515,3.2254,0.0048,0.0015,negligible
corhscipp,abs,All other sections,pro3,5.2188,5.2219,5.5932,-0.0031,-0.0006,negligible
corhscipp,abs,All other sections,wh_ques,0.5812,0.5864,1.6089,-0.0051,-0.0032,negligible
corhscipp,abs,All other sections,timej,0.9625,0.9811,2.3549,-0.0186,-0.0079,negligible
corhscipp,abs,All other sections,occurv,3.0,3.1343,3.2898,-0.1343,-0.0408,negligible
corhscipp,abs,All other sections,it,2.5313,2.6698,3.1569,-0.1386,-0.0439,negligible
corhscipp,abs,All other sections,wcount,376.0,385.8698,172.4892,-9.8698,-0.0572,negligible
corhscipp,abs,All other sections,relatnj,4.6375,4.9485,4.4389,-0.311,-0.0701,negligible
corhscipp,abs,All other sections,nfct_nth,0.0,0.0053,0.0663,-0.0053,-0.0803,negligible
corhscipp,abs,All other sections,pro2,0.0,0.0586,0.7297,-0.0586,-0.0803,negligible
corhscipp,abs,All other sections,copulapv,0.0,0.0195,0.2432,-0.0195,-0.0803,negligible
corhscipp,abs,All other sections,mentalpv,0.0,0.0047,0.059,-0.0047,-0.0803,negligible
corhscipp,abs,All other sections,att_nth,0.0,0.0183,0.2285,-0.0183,-0.0803,negligible
corhscipp,abs,All other sections,mntl_vto,0.2,0.2722,0.8908,-0.0722,-0.081,negligible
corhscipp,abs,All other sections,allpasv,15.9312,16.6284,8.6089,-0.6972,-0.081,negligible
corhscipp,abs,All other sections,all_th,6.1625,6.6207,5.4709,-0.4582,-0.0838,negligible
corhscipp,abs,All other sections,o_and,7.9312,8.4929,6.2709,-0.5616,-0.0896,negligible
corhscipp,abs,All other sections,prcessn,20.5062,21.9444,13.7615,-1.4381,-0.1045,negligible
corhscipp,abs,All other sections,fact_jth,0.0,0.0183,0.1748,-0.0183,-0.1049,negligible
corhscipp,abs,All other sections,gen_hdg,0.0,0.0314,0.2837,-0.0314,-0.1106,negligible
corhscipp,abs,All other sections,pl_adv,3.175,4.1254,8.4762,-0.9504,-0.1121,negligible
corhscipp,abs,All other sections,atadvl,0.0,0.0213,0.1874,-0.0213,-0.1137,negligible
corhscipp,abs,All other sections,p_and,2.8,3.3101,4.3134,-0.5101,-0.1182,negligible
corhscipp,abs,All other sections,advs,22.0625,23.5396,12.3373,-1.4771,-0.1197,negligible
corhscipp,abs,All other sections,colorj,0.0,0.0657,0.5337,-0.0657,-0.1231,negligible
corhscipp,abs,All other sections,prtcle,0.0,0.0426,0.3299,-0.0426,-0.1292,negligible
corhscipp,abs,All other sections,prep,134.3688,137.3456,22.9587,-2.9768,-0.1297,negligible
corhscipp,abs,All other sections,pred_adj,3.8625,4.3888,4.0384,-0.5263,-0.1303,negligible
corhscipp,abs,All other sections,sub_cos,0.1688,0.3213,1.0347,-0.1526,-0.1474,negligible
corhscipp,abs,All other sections,fct_nth,0.0,0.1923,1.2902,-0.1923,-0.149,negligible
corhscipp,abs,All other sections,sub_cnd,0.175,0.3633,1.2632,-0.1883,-0.1491,negligible
corhscipp,abs,All other sections,allconj,13.9562,15.3355,9.1608,-1.3793,-0.1506,negligible
corhscipp,abs,All other sections,pres,41.8125,44.6047,17.919,-2.7922,-0.1558,negligible
corhscipp,abs,All other sections,agls_psv,9.975,11.4077,7.9,-1.4327,-0.1814,negligible
corhscipp,abs,All other sections,all_jth,0.4625,0.8923,2.1177,-0.4298,-0.203,small
corhscipp,abs,All other sections,gen_emph,0.9375,1.5266,2.8695,-0.5891,-0.2053,small
corhscipp,abs,All other sections,prob_vto,0.0562,0.297,1.0986,-0.2408,-0.2192,small
corhscipp,abs,All other sections,lkly_nth,0.0,0.1751,0.757,-0.1751,-0.2314,small
corhscipp,abs,All other sections,lkly_jth,0.2563,0.7373,2.0659,-0.481,-0.2328,small
corhscipp,abs,All other sections,pdem,0.8188,1.3669,2.277,-0.5481,-0.2407,small
corhscipp,abs,All other sections,rel_pipe,0.3562,0.868,2.1224,-0.5118,-0.2411,small
corhscipp,abs,All other sections,x4_jto,0.0,0.1817,0.703,-0.1817,-0.2584,small
corhscipp,abs,All other sections,x1_jto,0.2563,0.8302,2.194,-0.5739,-0.2616,small
corhscipp,abs,All other sections,all_nth,0.0,0.3911,1.4886,-0.3911,-0.2627,small
corhscipp,abs,All other sections,pro_do,0.0,0.1811,0.6846,-0.1811,-0.2645,small
corhscipp,abs,All other sections,x5_jto,0.0,0.184,0.6762,-0.184,-0.2721,small
corhscipp,abs,All other sections,cognitn,5.1062,6.697,5.7589,-1.5908,-0.2762,small
corhscipp,abs,All other sections,all_jto,0.7688,1.558,2.7175,-0.7892,-0.2904,small
corhscipp,abs,All other sections,existv,6.0688,7.7041,5.568,-1.6354,-0.2937,small
corhscipp,abs,All other sections,sizej,0.9688,1.9296,3.1844,-0.9608,-0.3017,small
corhscipp,abs,All other sections,contrac,0.0,0.3266,1.0811,-0.3266,-0.3021,small
corhscipp,abs,All other sections,act_tpv,0.0,0.3586,1.1838,-0.3586,-0.3029,small
corhscipp,abs,All other sections,nec_mod,0.2625,0.7485,1.6004,-0.486,-0.3037,small
corhscipp,abs,All other sections,causev,1.9562,3.0302,3.3913,-1.0739,-0.3167,small
corhscipp,abs,All other sections,vcmp,2.7562,4.097,4.092,-1.3408,-0.3277,small
corhscipp,abs,All other sections,perfects,2.5438,3.6337,3.3247,-1.09,-0.3278,small
corhscipp,abs,All other sections,sua_vb,0.975,1.7355,2.2693,-0.7605,-0.3351,small
corhscipp,abs,All other sections,ttr,30.1062,31.0456,2.7343,-0.9393,-0.3435,small
corhscipp,abs,All other sections,topicj,5.425,8.8385,9.9022,-3.4135,-0.3447,small
corhscipp,abs,All other sections,lkly_vth,0.2625,1.1509,2.2819,-0.8884,-0.3893,small
corhscipp,abs,All other sections,tm_adv,0.6688,1.4379,1.9451,-0.7691,-0.3954,small
corhscipp,abs,All other sections,aspectv,0.0,0.5675,1.3795,-0.5675,-0.4114,small
corhscipp,abs,All other sections,humann,2.0875,5.5568,8.0466,-3.4693,-0.4312,small
corhscipp,abs,All other sections,allwhrel,1.9812,3.5929,3.6273,-1.6116,-0.4443,small
corhscipp,abs,All other sections,rel_subj,1.0812,2.3101,2.5405,-1.2288,-0.4837,small
corhscipp,abs,All other sections,alladj,87.6312,101.6189,28.0024,-13.9877,-0.4995,small
corhscipp,abs,All other sections,placen,1.8,5.6302,7.2585,-3.8302,-0.5277,medium
corhscipp,abs,All other sections,adj_attr,62.0062,77.5308,24.5789,-15.5245,-0.6316,medium
corhscipp,abs,All other sections,x3_jto,0.0,0.0,0.0,0.0,,
corhscipp,abs,All other sections,act_ipv,0.0,0.0,0.0,0.0,,
corhscipp,abs,All other sections,commpv,0.0,0.0,0.0,0.0,,
corhscipp,abs,All other sections,occurpv,0.0,0.0,0.0,0.0,,
corhscipp,abs,All other sections,aspectpv,0.0,0.0,0.0,0.0,,
