Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscipp,con,All other sections,ttr,30.0059,30.4053,2.9092,-0.3995,-0.13730633724414787,negligible
corhscipp,con,All other sections,wrlengh,5.5235,5.4801,0.2849,0.0435,0.15255997946308056,negligible
corhscipp,con,All other sections,wcount,581.6471,575.5623,298.038,6.0848,0.020416127622466494,negligible
corhscipp,con,All other sections,that_del,0.8824,0.6448,1.4046,0.2375,0.16909935313815777,negligible
corhscipp,con,All other sections,contrac,0.8059,0.3925,1.0683,0.4134,0.3869116646739086,small
corhscipp,con,All other sections,pres,73.0824,63.7359,16.796,9.3464,0.5564658492148824,medium
corhscipp,con,All other sections,pro2,0.0,0.0459,0.2869,-0.0459,-0.16003326762569042,negligible
corhscipp,con,All other sections,pro_do,0.0941,0.2185,0.6546,-0.1244,-0.19002328174220498,negligible
corhscipp,con,All other sections,pdem,2.9235,2.853,2.8895,0.0705,0.02439982644975737,negligible
corhscipp,con,All other sections,gen_emph,1.7765,1.4982,1.8929,0.2782,0.14700004981813478,negligible
corhscipp,con,All other sections,pro1,11.0882,10.3349,9.2798,0.7534,0.08118304144097505,negligible
corhscipp,con,All other sections,it,6.6059,5.0224,3.9604,1.5835,0.3998287370827978,small
corhscipp,con,All other sections,be_state,3.8647,2.153,2.4507,1.7117,0.6984529425973531,medium
corhscipp,con,All other sections,sub_cos,0.8176,0.6626,1.3241,0.155,0.11707508615083984,negligible
corhscipp,con,All other sections,prtcle,0.0,0.0544,0.3322,-0.0544,-0.16392425765189975,negligible
corhscipp,con,All other sections,pany,0.7824,0.595,1.1505,0.1873,0.16283405912880228,negligible
corhscipp,con,All other sections,gen_hdg,0.0,0.1754,0.6247,-0.1754,-0.2808629106882249,small
corhscipp,con,All other sections,amplifr,1.3,1.626,1.9624,-0.326,-0.16610929879849948,negligible
corhscipp,con,All other sections,wh_ques,0.0647,0.1011,0.6561,-0.0364,-0.05541880307070315,negligible
corhscipp,con,All other sections,pos_mod,9.2294,7.5694,5.0078,1.66,0.3314874347359256,small
corhscipp,con,All other sections,o_and,10.3,7.7281,5.3682,2.5719,0.47909917095117904,small
corhscipp,con,All other sections,wh_cl,0.5118,0.3804,0.8816,0.1313,0.14896892994508698,negligible
corhscipp,con,All other sections,finlprep,0.3353,0.5975,1.6428,-0.2622,-0.1596120807395002,negligible
corhscipp,con,All other sections,n,331.4882,331.8367,33.9395,-0.3484,-0.010265892226819583,negligible
corhscipp,con,All other sections,prep,136.1588,135.9754,17.0798,0.1834,0.01073656868044968,negligible
corhscipp,con,All other sections,adj_attr,75.0647,83.3327,23.512,-8.268,-0.35165177696185507,small
corhscipp,con,All other sections,pasttnse,12.0882,16.2192,10.6182,-4.131,-0.3890457187872712,small
corhscipp,con,All other sections,pro3,5.5529,5.042,5.2254,0.5109,0.09778236011214339,negligible
corhscipp,con,All other sections,perfects,3.6588,4.7868,4.3047,-1.128,-0.2620405513981432,small
corhscipp,con,All other sections,rel_obj,1.0882,0.5605,1.147,0.5277,0.4600968038217876,small
corhscipp,con,All other sections,rel_subj,3.0294,2.1121,2.366,0.9173,0.3877059796026613,small
corhscipp,con,All other sections,rel_pipe,0.6294,0.6598,1.1605,-0.0304,-0.02617349160573153,negligible
corhscipp,con,All other sections,p_and,2.7824,3.2754,3.1777,-0.4931,-0.15517353255697403,negligible
corhscipp,con,All other sections,tm_adv,0.8294,1.3911,1.8429,-0.5617,-0.3047921652729684,small
corhscipp,con,All other sections,pl_adv,2.7412,3.9473,5.5969,-1.2062,-0.21550337709068143,small
corhscipp,con,All other sections,advs,29.5824,33.5256,10.8531,-3.9433,-0.3633296073325844,small
corhscipp,con,All other sections,inf,14.0176,11.0128,6.512,3.0048,0.46143237792035113,small
corhscipp,con,All other sections,prd_mod,3.3059,2.6153,3.0639,0.6906,0.2253908638327617,small
corhscipp,con,All other sections,sua_vb,2.4765,2.0612,2.3548,0.4153,0.17634681688663384,negligible
corhscipp,con,All other sections,sub_cnd,0.8588,0.7616,1.4194,0.0973,0.06851821932918434,negligible
corhscipp,con,All other sections,nec_mod,3.0706,2.2342,2.9524,0.8364,0.28330576774137867,small
corhscipp,con,All other sections,spl_aux,3.2471,2.9206,2.7287,0.3264,0.11962504667630765,negligible
corhscipp,con,All other sections,conjncts,7.1294,7.3224,5.0326,-0.193,-0.038351341433938466,negligible
corhscipp,con,All other sections,agls_psv,7.3176,8.6495,5.6373,-1.3318,-0.23625076169930895,small
corhscipp,con,All other sections,by_pasv,1.7529,1.7171,2.246,0.0359,0.015965842573527272,negligible
corhscipp,con,All other sections,whiz_vbn,3.6176,3.4007,3.1677,0.2169,0.06848440786596204,negligible
corhscipp,con,All other sections,sub_othr,4.0471,4.5139,3.5807,-0.4668,-0.13037154808356508,negligible
corhscipp,con,All other sections,vcmp,4.6235,6.0879,4.2215,-1.4644,-0.3468868267600978,small
corhscipp,con,All other sections,downtone,1.8529,2.2979,2.3694,-0.4449,-0.18777673054669775,negligible
corhscipp,con,All other sections,pred_adj,6.3294,6.2509,4.4493,0.0785,0.017648095855054204,negligible
corhscipp,con,All other sections,allmodal,15.5941,12.4171,7.0791,3.177,0.4487902384770393,small
corhscipp,con,All other sections,allconj,18.8059,16.9406,7.3935,1.8653,0.2522910064979615,small
corhscipp,con,All other sections,allpasv,12.6941,13.763,7.288,-1.0689,-0.14666148748200503,negligible
corhscipp,con,All other sections,allwh,0.5765,0.4822,1.1391,0.0943,0.082752438216564,negligible
corhscipp,con,All other sections,allwhrel,4.7529,3.3324,3.0342,1.4206,0.46818062225194645,small
corhscipp,con,All other sections,alladj,98.3294,108.7434,25.0334,-10.414,-0.4160047887384404,small
corhscipp,con,All other sections,allpro,16.6529,15.4192,10.8513,1.2337,0.11369414392549486,negligible
corhscipp,con,All other sections,have,1.3294,1.5669,1.9415,-0.2375,-0.12232468311191272,negligible
corhscipp,con,All other sections,allverb,109.4706,102.0135,17.6234,7.4571,0.42313510419592065,small
corhscipp,con,All other sections,vprogrsv,5.5941,5.647,4.4304,-0.0529,-0.011930676676229976,negligible
corhscipp,con,All other sections,that_rel,5.5176,4.5915,3.9171,0.9262,0.23644744127311004,small
corhscipp,con,All other sections,jcmp,0.1118,0.4093,1.1252,-0.2975,-0.2643813185257283,small
corhscipp,con,All other sections,nonf_vth,1.6118,2.1804,2.3228,-0.5687,-0.2448174822784343,small
corhscipp,con,All other sections,att_vth,0.4471,0.5043,1.0468,-0.0572,-0.05465524499232158,negligible
corhscipp,con,All other sections,fact_vth,2.4882,2.7904,2.884,-0.3022,-0.10476908249076383,negligible
corhscipp,con,All other sections,lkly_vth,1.4353,1.6851,2.0349,-0.2498,-0.12273615783071043,negligible
corhscipp,con,All other sections,att_jth,0.3118,0.4235,0.9957,-0.1117,-0.11220861823553376,negligible
corhscipp,con,All other sections,fact_jth,0.0,0.1754,0.6102,-0.1754,-0.2875114399697848,small
corhscipp,con,All other sections,lkly_jth,0.3941,1.1463,2.1822,-0.7521,-0.3446783939672262,small
