Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscipp,int,All other sections,abstrcn,45.5912,34.6581,15.7992,10.9331,0.692,medium
corhscipp,int,All other sections,dsre_vto,1.4875,0.9379,1.1959,0.5496,0.4595,small
corhscipp,int,All other sections,n,355.3212,342.3539,30.5851,12.9673,0.424,small
corhscipp,int,All other sections,att_vth,0.7725,0.4891,0.8705,0.2834,0.3255,small
corhscipp,int,All other sections,groupn,3.7438,2.3134,4.4527,1.4303,0.3212,small
corhscipp,int,All other sections,o_and,10.3125,8.8459,4.8788,1.4666,0.3006,small
corhscipp,int,All other sections,topicj,11.34,8.7809,8.9867,2.5591,0.2848,small
corhscipp,int,All other sections,occurv,3.8962,3.1831,2.5845,0.7132,0.2759,small
corhscipp,int,All other sections,inf,12.3475,10.9046,5.2539,1.4429,0.2746,small
corhscipp,int,All other sections,wrlengh,5.59,5.522,0.2728,0.068,0.2491,small
corhscipp,int,All other sections,allverb,105.5588,101.9478,14.8942,3.6109,0.2424,small
corhscipp,int,All other sections,causev,3.6075,2.9884,2.5694,0.6191,0.2409,small
corhscipp,int,All other sections,x1_jto,0.8125,0.5752,1.0356,0.2373,0.2291,small
corhscipp,int,All other sections,all_jto,1.8562,1.5053,1.6332,0.351,0.2149,small
corhscipp,int,All other sections,pres,65.8588,62.8097,14.8253,3.049,0.2057,small
corhscipp,int,All other sections,act_ipv,0.0162,0.0033,0.064,0.013,0.2028,small
corhscipp,int,All other sections,all_to,6.8,6.1157,3.6973,0.6843,0.1851,negligible
corhscipp,int,All other sections,prcessn,24.54,22.4728,11.7451,2.0672,0.176,negligible
corhscipp,int,All other sections,all_nto,1.2225,0.9762,1.4328,0.2463,0.1719,negligible
corhscipp,int,All other sections,allwh,0.655,0.49,0.9731,0.165,0.1696,negligible
corhscipp,int,All other sections,mentalv,13.5812,12.6135,5.765,0.9678,0.1679,negligible
corhscipp,int,All other sections,commv,6.8962,6.2119,4.2886,0.6843,0.1596,negligible
corhscipp,int,All other sections,actv,15.9788,15.0681,5.7204,0.9107,0.1592,negligible
corhscipp,int,All other sections,gen_hdg,0.19,0.1213,0.4607,0.0687,0.1491,negligible
corhscipp,int,All other sections,have,1.535,1.3182,1.465,0.2168,0.148,negligible
corhscipp,int,All other sections,contrac,0.635,0.4715,1.1289,0.1635,0.1448,negligible
corhscipp,int,All other sections,x4_jto,0.3812,0.2854,0.6661,0.0959,0.1439,negligible
corhscipp,int,All other sections,that_del,0.5625,0.4597,0.771,0.1028,0.1333,negligible
corhscipp,int,All other sections,wh_ques,0.3238,0.2289,0.7376,0.0948,0.1286,negligible
corhscipp,int,All other sections,sua_vb,2.0225,1.7811,1.9034,0.2414,0.1268,negligible
corhscipp,int,All other sections,relatnj,5.85,5.3867,3.8356,0.4633,0.1208,negligible
corhscipp,int,All other sections,wh_cl,0.3312,0.2616,0.5972,0.0697,0.1167,negligible
corhscipp,int,All other sections,conjncts,7.54,7.1118,3.8446,0.4282,0.1114,negligible
corhscipp,int,All other sections,whiz_vbn,3.3,3.0558,2.2502,0.2442,0.1085,negligible
corhscipp,int,All other sections,allconj,18.2962,17.6797,6.438,0.6165,0.0958,negligible
corhscipp,int,All other sections,x5_jto,0.3662,0.3036,0.672,0.0627,0.0932,negligible
corhscipp,int,All other sections,prd_mod,1.8012,1.6434,2.0957,0.1579,0.0753,negligible
corhscipp,int,All other sections,nec_mod,0.9775,0.8775,1.3446,0.1,0.0744,negligible
corhscipp,int,All other sections,be_state,1.4287,1.3233,1.5803,0.1054,0.0667,negligible
