Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscipp,mm,All other sections,abstrcn,35.9607,28.4676,12.1253,7.4931,0.618,medium
corhscipp,mm,All other sections,wrlengh,5.3656,5.2538,0.2674,0.1118,0.418,small
corhscipp,mm,All other sections,relatnj,6.4459,5.3195,3.0687,1.1264,0.3671,small
corhscipp,mm,All other sections,cognitn,7.7934,6.1915,4.4009,1.602,0.364,small
corhscipp,mm,All other sections,groupn,4.1721,2.6873,4.1495,1.4849,0.3578,small
corhscipp,mm,All other sections,allwh,0.5623,0.2881,0.7823,0.2742,0.3506,small
corhscipp,mm,All other sections,n,360.7557,348.9844,34.1288,11.7713,0.3449,small
corhscipp,mm,All other sections,nfct_nth,0.082,0.0231,0.19,0.0589,0.3099,small
corhscipp,mm,All other sections,sub_cnd,1.6623,1.1449,1.6871,0.5174,0.3067,small
corhscipp,mm,All other sections,act_ipv,0.0623,0.0081,0.1813,0.0542,0.299,small
corhscipp,mm,All other sections,prcessn,21.1246,18.5985,8.7903,2.5261,0.2874,small
corhscipp,mm,All other sections,existv,10.0344,8.9316,3.9989,1.1028,0.2758,small
corhscipp,mm,All other sections,pro_do,0.3016,0.1518,0.5575,0.1499,0.2688,small
corhscipp,mm,All other sections,wh_cl,0.2852,0.1561,0.4812,0.1292,0.2684,small
corhscipp,mm,All other sections,topicj,4.7459,3.572,4.561,1.1739,0.2574,small
corhscipp,mm,All other sections,x1_jto,0.5393,0.2958,0.9529,0.2436,0.2556,small
corhscipp,mm,All other sections,have,1.6262,1.2662,1.4433,0.36,0.2494,small
corhscipp,mm,All other sections,pro1,12.9049,10.7291,9.0564,2.1758,0.2402,small
corhscipp,mm,All other sections,quann,10.4164,8.857,6.6753,1.5594,0.2336,small
corhscipp,mm,All other sections,wh_ques,0.277,0.1323,0.6271,0.1447,0.2308,small
corhscipp,mm,All other sections,that_rel,3.3525,2.8208,2.4253,0.5316,0.2192,small
corhscipp,mm,All other sections,pasttnse,43.4328,39.7466,17.9358,3.6861,0.2055,small
corhscipp,mm,All other sections,occurv,1.8951,1.5691,1.6104,0.326,0.2024,small
corhscipp,mm,All other sections,allconj,17.0459,15.8724,5.8074,1.1735,0.2021,small
corhscipp,mm,All other sections,allverb,106.7557,104.1827,12.9696,2.573,0.1984,negligible
corhscipp,mm,All other sections,all_jto,1.1426,0.896,1.2575,0.2466,0.1961,negligible
corhscipp,mm,All other sections,mntl_vto,0.4787,0.356,0.6802,0.1227,0.1804,negligible
corhscipp,mm,All other sections,pro2,0.8246,0.5137,1.7875,0.3109,0.1739,negligible
corhscipp,mm,All other sections,commv,6.7197,6.0726,3.7417,0.6471,0.1729,negligible
corhscipp,mm,All other sections,sub_cos,0.9574,0.7854,1.1017,0.1719,0.1561,negligible
corhscipp,mm,All other sections,sub_othr,3.6262,3.3032,2.2275,0.323,0.145,negligible
corhscipp,mm,All other sections,copulapv,0.023,0.0105,0.0921,0.0125,0.1356,negligible
corhscipp,mm,All other sections,whiz_vbn,4.982,4.6317,2.6859,0.3502,0.1304,negligible
corhscipp,mm,All other sections,contrac,0.4934,0.3779,0.9349,0.1155,0.1236,negligible
corhscipp,mm,All other sections,allpro,17.7361,16.5381,10.2318,1.198,0.1171,negligible
corhscipp,mm,All other sections,o_and,8.6344,8.1206,4.5354,0.5138,0.1133,negligible
corhscipp,mm,All other sections,colorj,0.1787,0.1152,0.5747,0.0634,0.1104,negligible
corhscipp,mm,All other sections,lkly_jth,0.3787,0.2817,0.9425,0.097,0.1029,negligible
corhscipp,mm,All other sections,x4_jto,0.2213,0.1762,0.4807,0.0451,0.0938,negligible
corhscipp,mm,All other sections,vprogrsv,5.5754,5.3196,3.0516,0.2558,0.0838,negligible
corhscipp,mm,All other sections,timej,0.577,0.48,1.1646,0.0971,0.0833,negligible
corhscipp,mm,All other sections,mentalv,12.7311,12.3539,5.074,0.3772,0.0743,negligible
corhscipp,mm,All other sections,causev,2.3066,2.1765,1.9931,0.1301,0.0653,negligible
corhscipp,mm,All other sections,lkly_vth,0.9115,0.8407,1.1977,0.0707,0.0591,negligible
corhscipp,mm,All other sections,rel_pipe,0.9836,0.9108,1.2342,0.0728,0.059,negligible
corhscipp,mm,All other sections,nonfadvl,0.8754,0.8432,1.076,0.0322,0.0299,negligible
corhscipp,mm,All other sections,actv,20.1574,19.9828,6.0898,0.1746,0.0287,negligible
corhscipp,mm,All other sections,all_jth,0.4574,0.4377,1.0293,0.0197,0.0192,negligible
corhscipp,mm,All other sections,prep,129.3262,129.2542,14.9287,0.0721,0.0048,negligible
corhscipp,mm,All other sections,x2_jto,0.2852,0.2836,0.5654,0.0016,0.0029,negligible
corhscipp,mm,All other sections,all_nth,0.3033,0.3016,0.6271,0.0017,0.0027,negligible
corhscipp,mm,All other sections,allwhrel,3.9393,3.9334,2.6518,0.0059,0.0022,negligible
