Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscipp,rd,All other sections,ttr,29.3779,29.3345,3.1688,0.0434,0.013687635107736677,negligible
corhscipp,rd,All other sections,wrlengh,5.3558,5.299,0.2781,0.0568,0.20423618755295064,small
corhscipp,rd,All other sections,wcount,2169.5714,2601.7422,1465.4984,-432.1708,-0.2948967857824473,small
corhscipp,rd,All other sections,that_del,0.9818,0.7398,0.9856,0.2421,0.24558992950598518,small
corhscipp,rd,All other sections,contrac,0.8312,0.5319,1.6351,0.2992,0.18299672288030921,negligible
corhscipp,rd,All other sections,pres,54.9013,56.4999,16.1107,-1.5986,-0.09922659962124791,negligible
corhscipp,rd,All other sections,pro2,0.3727,0.269,1.2711,0.1037,0.08159823341758368,negligible
corhscipp,rd,All other sections,pro_do,0.213,0.2115,0.5421,0.0015,0.0028201005374944438,negligible
corhscipp,rd,All other sections,pdem,2.6545,2.6571,1.8454,-0.0026,-0.0013940810367081698,negligible
corhscipp,rd,All other sections,gen_emph,1.9818,1.8107,1.6493,0.1711,0.10376870590461754,negligible
corhscipp,rd,All other sections,pro1,9.4364,8.8857,7.0114,0.5507,0.07854192042430876,negligible
corhscipp,rd,All other sections,it,3.4831,4.1105,2.7879,-0.6274,-0.2250418097599942,small
corhscipp,rd,All other sections,be_state,1.4584,1.5705,1.3392,-0.112,-0.08366277341599596,negligible
corhscipp,rd,All other sections,sub_cos,0.9286,0.7911,0.9598,0.1374,0.14317549051795211,negligible
corhscipp,rd,All other sections,prtcle,0.039,0.0487,0.1535,-0.0097,-0.0634211502503618,negligible
corhscipp,rd,All other sections,pany,0.5597,0.7382,0.8536,-0.1785,-0.20905926352786067,small
corhscipp,rd,All other sections,gen_hdg,0.2792,0.2403,0.4283,0.0389,0.09092541862331187,negligible
corhscipp,rd,All other sections,amplifr,1.1857,1.5912,1.3632,-0.4055,-0.2974672187650933,small
corhscipp,rd,All other sections,wh_ques,0.1169,0.103,0.2823,0.0139,0.0493471690414706,negligible
corhscipp,rd,All other sections,pos_mod,5.3273,6.0181,3.359,-0.6909,-0.2056800836699899,small
corhscipp,rd,All other sections,o_and,7.5727,7.3708,3.7569,0.2019,0.05373989172195508,negligible
corhscipp,rd,All other sections,wh_cl,0.2909,0.2499,0.4449,0.041,0.09213946125209332,negligible
corhscipp,rd,All other sections,finlprep,0.8182,0.6827,1.1092,0.1355,0.1221216729344248,negligible
corhscipp,rd,All other sections,n,338.4338,331.7695,29.9958,6.6642,0.22217206546609838,small
corhscipp,rd,All other sections,prep,139.6701,135.043,15.5795,4.6272,0.2970027472160762,small
corhscipp,rd,All other sections,adj_attr,63.913,69.1459,16.6535,-5.2329,-0.3142233943584773,small
corhscipp,rd,All other sections,pasttnse,28.9545,26.307,13.7608,2.6475,0.19239520651741346,negligible
corhscipp,rd,All other sections,pro3,5.439,5.922,5.3104,-0.4831,-0.09096988624941509,negligible
corhscipp,rd,All other sections,perfects,3.4948,3.892,2.6622,-0.3972,-0.14920595086443064,negligible
corhscipp,rd,All other sections,rel_obj,0.6221,0.5467,0.7236,0.0754,0.10417312608397146,negligible
corhscipp,rd,All other sections,rel_subj,2.5299,2.7542,2.2219,-0.2243,-0.10094692002442228,negligible
corhscipp,rd,All other sections,rel_pipe,0.6987,0.7122,0.784,-0.0135,-0.01715821754152775,negligible
corhscipp,rd,All other sections,p_and,2.1779,2.575,1.9516,-0.3971,-0.20346656188214376,small
corhscipp,rd,All other sections,tm_adv,1.3039,1.5232,1.4461,-0.2193,-0.15163105182003758,negligible
corhscipp,rd,All other sections,pl_adv,2.9753,3.3377,3.1364,-0.3623,-0.11552999949031806,negligible
