Field_Target,Field_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscipp,All other fields,abstrcn,40.641,32.0581,15.2036,8.583,0.5645,medium
corhscipp,All other fields,groupn,4.0677,2.4493,4.4202,1.6185,0.3662,small
corhscipp,All other fields,n,351.147,340.8417,33.1421,10.3053,0.3109,small
corhscipp,All other fields,allverb,106.1757,102.5935,14.9495,3.5822,0.2396,small
corhscipp,All other fields,wrlengh,5.457,5.3878,0.3,0.0691,0.2305,small
corhscipp,All other fields,have,1.9789,1.5794,1.7598,0.3995,0.227,small
corhscipp,All other fields,dsre_vto,1.0243,0.7986,1.1358,0.2257,0.1987,negligible
corhscipp,All other fields,allwh,0.5952,0.4162,0.9074,0.1791,0.1973,negligible
corhscipp,All other fields,topicj,7.7462,6.3266,7.607,1.4196,0.1866,negligible
corhscipp,All other fields,occurv,3.0096,2.5795,2.3513,0.43,0.1829,negligible
corhscipp,All other fields,wh_cl,0.3482,0.2426,0.5821,0.1056,0.1813,negligible
corhscipp,All other fields,quann,8.555,7.4316,6.3106,1.1234,0.178,negligible
corhscipp,All other fields,o_and,8.9116,8.1198,4.6396,0.7918,0.1707,negligible
corhscipp,All other fields,prcessn,22.6104,20.7785,11.1381,1.8319,0.1645,negligible
corhscipp,All other fields,inf,10.5207,9.7006,5.0816,0.8201,0.1614,negligible
corhscipp,All other fields,relatnj,5.6518,5.0984,3.4412,0.5534,0.1608,negligible
corhscipp,All other fields,act_ipv,0.0215,0.0055,0.1021,0.016,0.1569,negligible
corhscipp,All other fields,whiz_vbn,3.9693,3.5955,2.555,0.3738,0.1463,negligible
corhscipp,All other fields,all_nto,0.9199,0.7342,1.3051,0.1857,0.1423,negligible
corhscipp,All other fields,actv,17.3271,16.4249,6.3484,0.9022,0.1421,negligible
corhscipp,All other fields,contrac,0.6319,0.4556,1.2653,0.1763,0.1393,negligible
corhscipp,All other fields,that_del,0.71,0.5791,0.9632,0.1309,0.1359,negligible
corhscipp,All other fields,that_rel,3.8112,3.4365,2.7605,0.3746,0.1357,negligible
corhscipp,All other fields,x1_jto,0.7845,0.6132,1.2804,0.1713,0.1337,negligible
corhscipp,All other fields,causev,2.9255,2.6404,2.4261,0.2851,0.1175,negligible
corhscipp,All other fields,all_to,5.8199,5.4016,3.6093,0.4183,0.1159,negligible
corhscipp,All other fields,all_jto,1.688,1.4945,1.7642,0.1935,0.1097,negligible
corhscipp,All other fields,wh_ques,0.2478,0.1739,0.6792,0.074,0.1089,negligible
corhscipp,All other fields,mentalv,13.3438,12.7328,5.6233,0.611,0.1087,negligible
corhscipp,All other fields,commv,6.5127,6.1022,4.0552,0.4106,0.1012,negligible
corhscipp,All other fields,pasttnse,27.0916,25.6253,16.4216,1.4663,0.0893,negligible
corhscipp,All other fields,pro1,9.2434,8.5915,7.6445,0.6519,0.0853,negligible
corhscipp,All other fields,pro2,0.3382,0.2414,1.1822,0.0968,0.0819,negligible
corhscipp,All other fields,sub_cnd,0.9737,0.8712,1.3223,0.1025,0.0775,negligible
corhscipp,All other fields,prep,135.1896,133.9538,16.1286,1.2358,0.0766,negligible
corhscipp,All other fields,colorj,0.141,0.1015,0.544,0.0395,0.0727,negligible
corhscipp,All other fields,att_vth,0.5251,0.4668,0.8442,0.0583,0.069,negligible
corhscipp,All other fields,nfct_nth,0.0562,0.0409,0.2226,0.0153,0.0686,negligible
corhscipp,All other fields,vprogrsv,5.6865,5.4784,3.5284,0.2081,0.059,negligible
corhscipp,All other fields,cognitn,7.4394,7.1382,5.2312,0.3012,0.0576,negligible
corhscipp,All other fields,be_state,1.3558,1.2721,1.5411,0.0836,0.0543,negligible
corhscipp,All other fields,evalj,0.9462,0.8721,1.3798,0.0741,0.0537,negligible
corhscipp,All other fields,allconj,16.8721,16.5569,6.1437,0.3152,0.0513,negligible
corhscipp,All other fields,x2_jto,0.3733,0.3438,0.7318,0.0295,0.0403,negligible
corhscipp,All other fields,sub_cos,0.7972,0.7536,1.1041,0.0436,0.0395,negligible
corhscipp,All other fields,lkly_jth,0.7175,0.6801,1.3624,0.0375,0.0275,negligible
corhscipp,All other fields,timej,0.8323,0.7936,1.6154,0.0387,0.024,negligible
corhscipp,All other fields,rel_obj,0.5375,0.5252,0.8344,0.0123,0.0147,negligible
corhscipp,All other fields,all_vto,3.2076,3.1732,2.3683,0.0343,0.0145,negligible
corhscipp,All other fields,downtone,2.4542,2.427,1.9391,0.0272,0.014,negligible
corhscipp,All other fields,fct_nth,0.2339,0.226,0.6082,0.0079,0.013,negligible
