Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscips,abs,All other sections,ttr,30.06,31.016,2.7386,-0.956,-0.3490895755138048,small
corhscips,abs,All other sections,wrlengh,5.64,5.5383,0.2999,0.1017,0.33917650059647797,small
corhscips,abs,All other sections,wcount,345.9,387.2514,172.2553,-41.3514,-0.2400589122712019,small
corhscips,abs,All other sections,that_del,0.54,0.5771,1.4346,-0.0371,-0.02589127553057754,negligible
corhscips,abs,All other sections,contrac,0.57,0.2829,1.0831,0.2871,0.26511745229338674,small
corhscips,abs,All other sections,pres,42.76,44.4549,17.9322,-1.6949,-0.09451450875778711,negligible
corhscips,abs,All other sections,pro2,0.0,0.0566,0.7297,-0.0566,-0.07752323662456803,negligible
corhscips,abs,All other sections,pro_do,0.33,0.156,0.6853,0.174,0.25389040860988504,small
corhscips,abs,All other sections,pdem,1.31,1.32,2.2823,-0.01,-0.0043815873871329335,negligible
corhscips,abs,All other sections,gen_emph,0.33,1.5411,2.8611,-1.2111,-0.42331564423602935,small
corhscips,abs,All other sections,pro1,7.84,8.2251,8.148,-0.3851,-0.047268312253366085,negligible
corhscips,abs,All other sections,it,3.83,2.5909,3.1446,1.2391,0.3940575603475444,small
corhscips,abs,All other sections,be_state,0.33,0.832,1.5766,-0.502,-0.3183980757240026,small
corhscips,abs,All other sections,sub_cos,0.0,0.3257,1.033,-0.3257,-0.3153115089566185,small
corhscips,abs,All other sections,prtcle,0.0,0.0411,0.33,-0.0411,-0.12469074427721301,negligible
corhscips,abs,All other sections,pany,0.0,0.5811,1.3654,-0.5811,-0.4256348500440458,small
corhscips,abs,All other sections,gen_hdg,0.0,0.0303,0.2837,-0.0303,-0.10675041548043716,negligible
corhscips,abs,All other sections,amplifr,1.16,0.7149,1.5979,0.4451,0.27858161380337043,small
corhscips,abs,All other sections,wh_ques,0.27,0.604,1.6071,-0.334,-0.2078231002321609,small
corhscips,abs,All other sections,pos_mod,6.16,3.8857,4.4336,2.2743,0.5129643364126241,medium
corhscips,abs,All other sections,o_and,7.04,8.5246,6.2638,-1.4846,-0.23700797449132904,small
corhscips,abs,All other sections,wh_cl,0.57,0.3029,0.9675,0.2671,0.27612367825673917,small
corhscips,abs,All other sections,finlprep,0.0,0.3234,0.9538,-0.3234,-0.3391023461218322,small
corhscips,abs,All other sections,n,355.62,365.648,39.6238,-10.028,-0.2530802276287547,small
corhscips,abs,All other sections,prep,141.49,136.8366,22.9497,4.6534,0.20276627825751756,small
corhscips,abs,All other sections,adj_attr,85.48,75.6571,24.8674,9.8229,0.39500977007617893,small
corhscips,abs,All other sections,pasttnse,26.64,31.5811,15.9533,-4.9411,-0.3097249480332764,small
corhscips,abs,All other sections,pro3,4.42,5.2674,5.5899,-0.8474,-0.15160044726371075,negligible
corhscips,abs,All other sections,perfects,2.94,3.5737,3.3359,-0.6337,-0.18997000600886682,negligible
corhscips,abs,All other sections,rel_obj,0.0,0.4503,1.1274,-0.4503,-0.3993857221892656,small
corhscips,abs,All other sections,rel_subj,1.52,2.2429,2.5588,-0.7229,-0.28249379378758666,small
corhscips,abs,All other sections,rel_pipe,0.0,0.8709,2.118,-0.8709,-0.41116023137293745,small
corhscips,abs,All other sections,p_and,3.18,3.2709,4.3158,-0.0909,-0.02105228866591765,negligible
corhscips,abs,All other sections,tm_adv,0.87,1.4,1.9535,-0.53,-0.27130338143492116,small
corhscips,abs,All other sections,pl_adv,2.04,4.1577,8.4668,-2.1177,-0.25011956135870184,small
