Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscips,con,All other sections,groupn,6.0304,2.2455,4.4904,3.785,0.8429,large
corhscips,con,All other sections,topicj,14.9,8.2949,9.0842,6.6051,0.7271,medium
corhscips,con,All other sections,contrac,1.0957,0.3593,1.0544,0.7364,0.6984,medium
corhscips,con,All other sections,that_del,1.4696,0.5905,1.3858,0.879,0.6343,medium
corhscips,con,All other sections,allverb,111.4913,101.6818,17.5127,9.8095,0.5601,medium
corhscips,con,All other sections,pres,72.1957,63.6062,16.7794,8.5895,0.5119,medium
corhscips,con,All other sections,x3_jto,0.0696,0.0058,0.13,0.0637,0.4905,small
corhscips,con,All other sections,all_vth,9.0696,6.9255,4.5275,2.1441,0.4736,small
corhscips,con,All other sections,all_jto,3.3348,2.1575,2.5766,1.1773,0.4569,small
corhscips,con,All other sections,perfects,6.4435,4.5785,4.2837,1.8649,0.4354,small
corhscips,con,All other sections,all_th,11.8957,9.2709,6.0917,2.6247,0.4309,small
corhscips,con,All other sections,have,2.287,1.492,1.9306,0.795,0.4118,small
corhscips,con,All other sections,fact_vth,3.8609,2.6822,2.8676,1.1787,0.411,small
corhscips,con,All other sections,mentalv,14.8565,12.2029,6.5456,2.6536,0.4054,small
corhscips,con,All other sections,by_pasv,2.5478,1.6498,2.2331,0.898,0.4021,small
corhscips,con,All other sections,fct_nth,0.7217,0.3269,1.0011,0.3948,0.3944,small
corhscips,con,All other sections,pos_mod,9.4696,7.5131,4.9953,1.9565,0.3917,small
corhscips,con,All other sections,pro1,13.6739,10.1022,9.232,3.5717,0.3869,small
corhscips,con,All other sections,finlprep,1.1435,0.5356,1.6359,0.6078,0.3716,small
corhscips,con,All other sections,be_state,3.0652,2.1825,2.4716,0.8827,0.3571,small
corhscips,con,All other sections,allpro,18.9696,15.1985,10.808,3.771,0.3489,small
corhscips,con,All other sections,downtone,3.0261,2.2095,2.3616,0.8166,0.3458,small
corhscips,con,All other sections,all_to,8.3261,6.6836,4.816,1.6425,0.341,small
corhscips,con,All other sections,that_rel,5.8087,4.5469,3.9084,1.2618,0.3228,small
corhscips,con,All other sections,x4_jto,0.7826,0.46,1.0145,0.3226,0.318,small
corhscips,con,All other sections,sua_vb,2.7696,2.0276,2.3484,0.7419,0.3159,small
