Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscips,int,All other sections,topicj,16.3185,8.4565,8.8088,7.862,0.8925,large
corhscips,int,All other sections,allpro,18.2728,12.718,7.8673,5.5549,0.7061,medium
corhscips,int,All other sections,pres,71.0284,62.4726,14.7013,8.5558,0.582,medium
corhscips,int,All other sections,pro1,9.4309,6.2646,5.8033,3.1663,0.5456,medium
corhscips,int,All other sections,prd_mod,2.6284,1.5897,2.0813,1.0387,0.4991,small
corhscips,int,All other sections,mentalv,15.2617,12.5039,5.7318,2.7578,0.4811,small
corhscips,int,All other sections,pro3,8.7963,6.3567,5.1381,2.4396,0.4748,small
corhscips,int,All other sections,allverb,108.6049,101.7477,14.8285,6.8572,0.4624,small
corhscips,int,All other sections,allmodal,10.4815,8.1818,5.0149,2.2997,0.4586,small
corhscips,int,All other sections,commv,7.8679,6.1484,4.2719,1.7195,0.4025,small
corhscips,int,All other sections,sub_cnd,1.1617,0.7066,1.1472,0.4552,0.3968,small
corhscips,int,All other sections,lkly_jth,0.9284,0.5723,1.0332,0.3561,0.3446,small
corhscips,int,All other sections,lkly_nth,0.5716,0.3249,0.732,0.2467,0.337,small
corhscips,int,All other sections,fctadvl,0.6383,0.3915,0.7827,0.2467,0.3152,small
corhscips,int,All other sections,contrac,0.7988,0.4608,1.1267,0.338,0.3,small
corhscips,int,All other sections,abstrcn,39.6111,35.0366,15.9742,4.5745,0.2864,small
corhscips,int,All other sections,all_jth,1.2086,0.8682,1.2037,0.3405,0.2828,small
corhscips,int,All other sections,allwh,0.7568,0.4833,0.9717,0.2735,0.2815,small
corhscips,int,All other sections,x1_jto,0.8605,0.5719,1.0349,0.2886,0.2788,small
corhscips,int,All other sections,pos_mod,6.8025,5.7227,3.9313,1.0798,0.2747,small
corhscips,int,All other sections,that_rel,4.6074,3.8373,2.8676,0.7702,0.2686,small
corhscips,int,All other sections,have,1.7,1.3074,1.4629,0.3926,0.2684,small
corhscips,int,All other sections,x2_jto,0.4951,0.3129,0.6849,0.1821,0.2659,small
corhscips,int,All other sections,all_th,8.7333,7.5552,4.5636,1.1782,0.2582,small
corhscips,int,All other sections,be_state,1.7086,1.3051,1.5776,0.4035,0.2558,small
corhscips,int,All other sections,all_to,7.0309,6.1002,3.6941,0.9306,0.2519,small
corhscips,int,All other sections,pred_adj,5.6333,4.8513,3.1123,0.782,0.2513,small
corhscips,int,All other sections,all_nto,1.3259,0.9693,1.4314,0.3566,0.2491,small
corhscips,int,All other sections,all_nth,0.8852,0.6333,1.0118,0.2519,0.2489,small
corhscips,int,All other sections,occurv,3.8111,3.188,2.5858,0.6231,0.241,small
corhscips,int,All other sections,ttr,32.3222,31.7871,2.2361,0.5351,0.2393,small
corhscips,int,All other sections,that_del,0.6358,0.4549,0.7702,0.1809,0.2349,small
corhscips,int,All other sections,all_jto,1.8815,1.5034,1.6329,0.3781,0.2316,small
corhscips,int,All other sections,vcmp,5.2988,4.5384,3.3554,0.7604,0.2266,small
corhscips,int,All other sections,wh_ques,0.3889,0.2246,0.7369,0.1643,0.2229,small
corhscips,int,All other sections,inf,11.984,10.9269,5.259,1.057,0.201,small
corhscips,int,All other sections,fact_jth,0.1395,0.0802,0.3099,0.0593,0.1914,negligible
corhscips,int,All other sections,groupn,3.1852,2.3484,4.4612,0.8367,0.1876,negligible
corhscips,int,All other sections,wh_cl,0.3704,0.259,0.5968,0.1114,0.1866,negligible
corhscips,int,All other sections,jcmp,0.263,0.1818,0.4711,0.0812,0.1723,negligible
corhscips,int,All other sections,nonf_vth,2.2728,1.9416,1.928,0.3312,0.1718,negligible
corhscips,int,All other sections,amplifr,1.442,1.1986,1.4875,0.2434,0.1636,negligible
corhscips,int,All other sections,atadvl,0.116,0.0703,0.2837,0.0458,0.1614,negligible
corhscips,int,All other sections,pdem,2.142,1.863,1.8026,0.279,0.1548,negligible
corhscips,int,All other sections,all_vth,6.6358,6.0532,3.8639,0.5826,0.1508,negligible
corhscips,int,All other sections,sub_cos,0.9346,0.7584,1.1701,0.1761,0.1505,negligible
corhscips,int,All other sections,prob_vto,0.6395,0.5019,0.9251,0.1376,0.1487,negligible
corhscips,int,All other sections,nec_mod,1.0543,0.8724,1.3441,0.1819,0.1353,negligible
corhscips,int,All other sections,cognitn,8.5864,7.8371,5.7537,0.7493,0.1302,negligible
corhscips,int,All other sections,wcount,1282.2222,1168.7226,886.0293,113.4996,0.1281,negligible
corhscips,int,All other sections,it,4.8247,4.4102,3.3575,0.4145,0.1235,negligible
corhscips,int,All other sections,evalj,1.1778,1.0007,1.443,0.1771,0.1227,negligible
corhscips,int,All other sections,wrlengh,5.5568,5.5241,0.2732,0.0326,0.1195,negligible
corhscips,int,All other sections,conjncts,7.542,7.1114,3.8446,0.4306,0.112,negligible
corhscips,int,All other sections,o_and,9.4346,8.9016,4.8895,0.533,0.109,negligible
corhscips,int,All other sections,finlprep,0.6284,0.5259,0.9804,0.1025,0.1045,negligible
corhscips,int,All other sections,all_advl,1.7531,1.5996,1.6025,0.1535,0.0958,negligible
corhscips,int,All other sections,vprogrsv,6.0432,5.7019,3.7602,0.3413,0.0908,negligible
corhscips,int,All other sections,allconj,18.2568,17.6818,6.4382,0.575,0.0893,negligible
corhscips,int,All other sections,fact_vth,2.4111,2.2135,2.2431,0.1976,0.0881,negligible
corhscips,int,All other sections,dsre_vto,1.0617,0.9651,1.2028,0.0967,0.0804,negligible
corhscips,int,All other sections,actv,15.5444,15.0954,5.7235,0.449,0.0784,negligible
corhscips,int,All other sections,all_vto,3.8222,3.6281,2.5638,0.1941,0.0757,negligible
corhscips,int,All other sections,colorj,0.0951,0.0684,0.4475,0.0266,0.0595,negligible
corhscips,int,All other sections,lkly_vth,1.463,1.3882,1.609,0.0748,0.0465,negligible
corhscips,int,All other sections,x3_jto,0.016,0.0109,0.1118,0.0052,0.0463,negligible
corhscips,int,All other sections,lklydvl,0.2543,0.2289,0.553,0.0255,0.0461,negligible
corhscips,int,All other sections,rel_pipe,1.0012,0.95,1.273,0.0513,0.0403,negligible
corhscips,int,All other sections,existv,8.184,8.0246,3.9774,0.1593,0.0401,negligible
corhscips,int,All other sections,advs,31.7877,31.4251,9.6442,0.3626,0.0376,negligible
corhscips,int,All other sections,efrt_vto,1.3296,1.2766,1.4924,0.0531,0.0355,negligible
corhscips,int,All other sections,fct_nth,0.2272,0.2102,0.5511,0.0169,0.0307,negligible
corhscips,int,All other sections,gen_emph,1.6519,1.6139,1.6707,0.0379,0.0227,negligible
corhscips,int,All other sections,mentalpv,0.0123,0.0101,0.1038,0.0023,0.0219,negligible
corhscips,int,All other sections,gen_hdg,0.1333,0.1249,0.461,0.0084,0.0182,negligible
corhscips,int,All other sections,pany,0.8309,0.8122,1.088,0.0187,0.0172,negligible
corhscips,int,All other sections,sub_othr,3.8444,3.8216,2.5395,0.0229,0.009,negligible
corhscips,int,All other sections,rel_obj,0.5765,0.5696,0.8874,0.0069,0.0078,negligible
corhscips,int,All other sections,allwhrel,4.0123,4.0032,2.8255,0.0091,0.0032,negligible
corhscips,int,All other sections,x4_jto,0.2889,0.2913,0.6664,-0.0024,-0.0036,negligible
corhscips,int,All other sections,spch_vto,0.2901,0.2973,0.6845,-0.0072,-0.0105,negligible
corhscips,int,All other sections,att_vth,0.4951,0.5069,0.8731,-0.0118,-0.0135,negligible
corhscips,int,All other sections,nfct_nth,0.0444,0.0488,0.2622,-0.0044,-0.0168,negligible
corhscips,int,All other sections,copulapv,0.0049,0.0065,0.0794,-0.0015,-0.0194,negligible
corhscips,int,All other sections,att_nth,0.0444,0.0489,0.2171,-0.0045,-0.0206,negligible
corhscips,int,All other sections,rel_subj,2.4321,2.4843,2.1673,-0.0522,-0.0241,negligible
corhscips,int,All other sections,downtone,2.2704,2.3229,1.8336,-0.0525,-0.0286,negligible
corhscips,int,All other sections,pro_do,0.1889,0.2058,0.5725,-0.0169,-0.0295,negligible
corhscips,int,All other sections,causev,2.9272,3.032,2.5735,-0.1048,-0.0407,negligible
corhscips,int,All other sections,occurpv,0.0,0.001,0.0236,-0.001,-0.0407,negligible
corhscips,int,All other sections,pl_adv,3.0617,3.1961,3.2417,-0.1344,-0.0414,negligible
corhscips,int,All other sections,sua_vb,1.6938,1.8022,1.9041,-0.1083,-0.0569,negligible
corhscips,int,All other sections,by_pasv,1.7778,1.8761,1.6811,-0.0983,-0.0585,negligible
corhscips,int,All other sections,act_ipv,0.0,0.0043,0.0641,-0.0043,-0.0674,negligible
corhscips,int,All other sections,adj_attr,79.3679,80.6678,19.1396,-1.2999,-0.0679,negligible
corhscips,int,All other sections,whiz_vbn,2.9074,3.081,2.2506,-0.1736,-0.0771,negligible
corhscips,int,All other sections,aspectpv,0.0,0.0059,0.0747,-0.0059,-0.0792,negligible
corhscips,int,All other sections,commpv,0.0469,0.0768,0.372,-0.0299,-0.0804,negligible
corhscips,int,All other sections,relatnj,5.1198,5.4337,3.8365,-0.3139,-0.0818,negligible
corhscips,int,All other sections,alladj,102.5963,104.3023,20.854,-1.706,-0.0818,negligible
corhscips,int,All other sections,mntl_vto,0.4938,0.5854,0.9875,-0.0915,-0.0927,negligible
corhscips,int,All other sections,tm_adv,1.6012,1.7665,1.7723,-0.1653,-0.0933,negligible
corhscips,int,All other sections,aspectv,0.5877,0.6867,1.0547,-0.0991,-0.0939,negligible
corhscips,int,All other sections,pro2,0.0358,0.0959,0.4979,-0.0601,-0.1207,negligible
corhscips,int,All other sections,spl_aux,3.216,3.5054,2.3577,-0.2894,-0.1227,negligible
corhscips,int,All other sections,humann,4.537,5.4581,6.4462,-0.9211,-0.1429,negligible
corhscips,int,All other sections,nonfadvl,0.7444,0.9076,1.1347,-0.1631,-0.1438,negligible
corhscips,int,All other sections,x5_jto,0.2148,0.3133,0.6718,-0.0985,-0.1467,negligible
corhscips,int,All other sections,act_tpv,0.1185,0.2217,0.653,-0.1031,-0.158,negligible
corhscips,int,All other sections,perfects,6.463,7.1074,4.0119,-0.6444,-0.1606,negligible
corhscips,int,All other sections,tccncrt,4.0037,4.9941,6.1648,-0.9904,-0.1606,negligible
corhscips,int,All other sections,att_jth,0.1358,0.2148,0.4912,-0.079,-0.1608,negligible
corhscips,int,All other sections,prtcle,0.0086,0.0574,0.2811,-0.0488,-0.1734,negligible
corhscips,int,All other sections,placen,4.2531,5.3546,6.2825,-1.1015,-0.1753,negligible
corhscips,int,All other sections,pasttnse,14.7235,16.4577,9.3128,-1.7343,-0.1862,negligible
corhscips,int,All other sections,timej,0.7025,1.0508,1.7669,-0.3484,-0.1972,negligible
