Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscips,mm,All other sections,ttr,30.934,31.4674,2.6942,-0.5334,-0.19797121023511757,negligible
corhscips,mm,All other sections,wrlengh,5.2638,5.2609,0.2688,0.0029,0.01083153387660198,negligible
corhscips,mm,All other sections,wcount,1464.7447,1403.3124,918.0697,61.4323,0.06691458508049294,negligible
corhscips,mm,All other sections,that_del,0.5596,0.5179,0.8572,0.0417,0.04859586412399969,negligible
corhscips,mm,All other sections,contrac,0.6745,0.3702,0.933,0.3043,0.3261006456264882,small
corhscips,mm,All other sections,pres,53.2872,40.6476,19.4706,12.6396,0.6491664065354196,medium
corhscips,mm,All other sections,pro2,0.6702,0.5267,1.7889,0.1436,0.0802505961423187,negligible
corhscips,mm,All other sections,pro_do,0.2128,0.1588,0.5586,0.054,0.09662482665545634,negligible
corhscips,mm,All other sections,pdem,1.883,1.546,1.5916,0.337,0.21170277997487397,small
corhscips,mm,All other sections,gen_emph,1.1872,0.9424,1.167,0.2448,0.2097590532800901,small
corhscips,mm,All other sections,pro1,14.8489,10.6609,9.0262,4.188,0.4639852241095854,small
corhscips,mm,All other sections,it,3.0234,2.5602,2.4552,0.4632,0.18864544713827577,negligible
corhscips,mm,All other sections,be_state,0.9532,0.596,0.9268,0.3572,0.3854225454670894,small
corhscips,mm,All other sections,sub_cos,0.6872,0.8024,1.1022,-0.1151,-0.10443920055697951,negligible
corhscips,mm,All other sections,prtcle,0.0319,0.0462,0.2432,-0.0143,-0.05893640473186854,negligible
corhscips,mm,All other sections,pany,0.8638,0.7606,1.0322,0.1032,0.10003056426764334,negligible
corhscips,mm,All other sections,gen_hdg,0.1255,0.1022,0.3473,0.0233,0.06706498588814253,negligible
corhscips,mm,All other sections,amplifr,1.5979,1.1057,1.7394,0.4922,0.2829488607499324,small
corhscips,mm,All other sections,wh_ques,0.2617,0.1354,0.6275,0.1263,0.2012920262167018,small
corhscips,mm,All other sections,pos_mod,3.6404,2.7561,2.7262,0.8843,0.3243805642737531,small
corhscips,mm,All other sections,o_and,8.6234,8.1292,4.5359,0.4942,0.1089483436117939,negligible
corhscips,mm,All other sections,wh_cl,0.3915,0.1525,0.4794,0.239,0.4984673191337456,small
corhscips,mm,All other sections,finlprep,0.783,0.8363,1.5361,-0.0533,-0.03470081156239123,negligible
corhscips,mm,All other sections,n,334.7638,350.537,34.0787,-15.7731,-0.4628443151845854,small
corhscips,mm,All other sections,prep,127.2021,129.3671,14.9213,-2.1649,-0.1450915838142918,negligible
corhscips,mm,All other sections,adj_attr,62.9787,61.0318,13.8086,1.9469,0.14099361253632528,negligible
corhscips,mm,All other sections,pasttnse,34.1319,40.294,17.9084,-6.162,-0.34408569546626333,small
corhscips,mm,All other sections,pro3,7.0213,5.1146,4.4492,1.9067,0.428557332588018,small
corhscips,mm,All other sections,perfects,4.4255,2.8219,2.3847,1.6036,0.6724575561269636,medium
corhscips,mm,All other sections,rel_obj,0.6128,0.4197,0.6826,0.1931,0.2828095714726347,small
corhscips,mm,All other sections,rel_subj,2.9979,2.5657,2.1228,0.4321,0.20357044047404288,small
corhscips,mm,All other sections,rel_pipe,0.9064,0.916,1.2343,-0.0096,-0.007802339384522,negligible
corhscips,mm,All other sections,p_and,2.0362,2.5196,2.1553,-0.4834,-0.2242939290551059,small
corhscips,mm,All other sections,tm_adv,1.8894,2.353,1.9951,-0.4636,-0.2323706179103226,small
corhscips,mm,All other sections,pl_adv,2.417,2.8865,2.6333,-0.4694,-0.17826847259841452,negligible
corhscips,mm,All other sections,advs,23.3149,22.3338,8.0532,0.9811,0.1218244296042704,negligible
corhscips,mm,All other sections,inf,10.3191,8.626,3.9797,1.6932,0.4254555246937425,small
corhscips,mm,All other sections,prd_mod,1.6,0.9809,1.3645,0.6191,0.45375548167130386,small
corhscips,mm,All other sections,sua_vb,1.6255,1.4747,1.609,0.1508,0.09374629213399394,negligible
corhscips,mm,All other sections,sub_cnd,1.5532,1.1588,1.6897,0.3944,0.2334151918596761,small
corhscips,mm,All other sections,nec_mod,0.5681,0.4865,0.8843,0.0816,0.09231558145967247,negligible
corhscips,mm,All other sections,spl_aux,2.2489,2.3969,1.778,-0.1479,-0.08320119066977297,negligible
corhscips,mm,All other sections,conjncts,4.9745,4.215,2.9463,0.7595,0.257766203034821,small
corhscips,mm,All other sections,agls_psv,14.9617,19.3076,8.144,-4.3459,-0.533631630208103,medium
corhscips,mm,All other sections,by_pasv,2.1809,2.8008,2.0763,-0.6199,-0.29858224341584794,small
corhscips,mm,All other sections,whiz_vbn,4.6702,4.6536,2.6872,0.0166,0.006167415638367123,negligible
corhscips,mm,All other sections,sub_othr,3.6957,3.3046,2.2273,0.3912,0.17561475608490745,negligible
