Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscips,rd,All other sections,topicj,9.6693,4.5943,5.5005,5.0751,0.9227,large
corhscips,rd,All other sections,abstrcn,38.1787,30.4275,13.5171,7.7512,0.5734,medium
corhscips,rd,All other sections,wh_cl,0.4147,0.2419,0.4431,0.1727,0.3898,small
corhscips,rd,All other sections,pres,61.972,56.0376,16.0526,5.9344,0.3697,small
corhscips,rd,All other sections,that_rel,4.0933,3.2653,2.2733,0.828,0.3642,small
corhscips,rd,All other sections,allwh,0.54,0.3436,0.5509,0.1964,0.3565,small
corhscips,rd,All other sections,pdem,3.2547,2.6181,1.8391,0.6366,0.3461,small
corhscips,rd,All other sections,that_del,1.072,0.7343,0.9841,0.3377,0.3432,small
corhscips,rd,All other sections,all_to,6.3387,5.3932,3.1205,0.9455,0.303,small
corhscips,rd,All other sections,pro1,10.8267,8.7963,6.9958,2.0304,0.2902,small
corhscips,rd,All other sections,allpro,17.6733,14.9213,9.8792,2.752,0.2786,small
corhscips,rd,All other sections,occurv,3.1067,2.556,1.9927,0.5507,0.2764,small
corhscips,rd,All other sections,all_jto,2.1853,1.7356,1.6674,0.4497,0.2697,small
corhscips,rd,All other sections,all_nto,0.9467,0.6526,1.0973,0.2941,0.268,small
corhscips,rd,All other sections,all_th,10.364,9.2769,4.0996,1.0871,0.2652,small
corhscips,rd,All other sections,vcmp,6.8053,5.9859,3.1022,0.8195,0.2642,small
corhscips,rd,All other sections,evalj,1.1907,0.8694,1.2449,0.3213,0.2581,small
corhscips,rd,All other sections,wrlengh,5.3667,5.2984,0.278,0.0682,0.2454,small
corhscips,rd,All other sections,x1_jto,1.1613,0.8225,1.3863,0.3388,0.2444,small
corhscips,rd,All other sections,dsre_vto,0.932,0.7133,0.9015,0.2187,0.2426,small
corhscips,rd,All other sections,att_nth,0.076,0.0376,0.1586,0.0384,0.2421,small
corhscips,rd,All other sections,prd_mod,2.152,1.7218,1.8093,0.4302,0.2378,small
corhscips,rd,All other sections,groupn,3.2973,2.3246,4.2474,0.9727,0.229,small
corhscips,rd,All other sections,lkly_nth,0.5427,0.3667,0.7956,0.1759,0.2211,small
corhscips,rd,All other sections,x2_jto,0.4987,0.3656,0.6366,0.1331,0.209,small
corhscips,rd,All other sections,all_vth,7.868,7.1848,3.3336,0.6832,0.2049,small
corhscips,rd,All other sections,prtcle,0.076,0.0463,0.1534,0.0297,0.1938,negligible
corhscips,rd,All other sections,lkly_jth,1.2227,0.9599,1.457,0.2628,0.1804,negligible
corhscips,rd,All other sections,pro_do,0.3,0.2058,0.5416,0.0942,0.1739,negligible
corhscips,rd,All other sections,all_nth,0.944,0.7753,1.0356,0.1687,0.1629,negligible
corhscips,rd,All other sections,all_jth,1.5613,1.3157,1.5432,0.2456,0.1592,negligible
corhscips,rd,All other sections,allverb,105.1013,102.7702,15.0075,2.3311,0.1553,negligible
corhscips,rd,All other sections,mentalv,14.064,13.239,5.4067,0.825,0.1526,negligible
corhscips,rd,All other sections,pro3,6.6173,5.8446,5.3085,0.7727,0.1456,negligible
corhscips,rd,All other sections,lkly_vth,2.1027,1.8867,1.5416,0.216,0.1401,negligible
corhscips,rd,All other sections,efrt_vto,1.064,0.9341,0.9419,0.1299,0.138,negligible
corhscips,rd,All other sections,nonf_vth,2.4253,2.2131,1.5795,0.2122,0.1344,negligible
corhscips,rd,All other sections,fact_vth,2.8547,2.6159,1.868,0.2388,0.1278,negligible
corhscips,rd,All other sections,existv,9.7533,9.3362,3.7466,0.4171,0.1113,negligible
corhscips,rd,All other sections,all_vto,3.2133,3.0042,1.9368,0.2092,0.108,negligible
corhscips,rd,All other sections,inf,9.1973,8.7332,4.4691,0.4641,0.1039,negligible
corhscips,rd,All other sections,sub_cnd,1.016,0.9029,1.0886,0.1131,0.1039,negligible
corhscips,rd,All other sections,prep,136.784,135.2386,15.6155,1.5454,0.099,negligible
corhscips,rd,All other sections,wh_ques,0.128,0.1023,0.2823,0.0257,0.0912,negligible
corhscips,rd,All other sections,nonfadvl,0.784,0.7116,0.7966,0.0724,0.0909,negligible
corhscips,rd,All other sections,colorj,0.2,0.1458,0.6187,0.0542,0.0875,negligible
corhscips,rd,All other sections,o_and,7.6893,7.3636,3.7564,0.3257,0.0867,negligible
corhscips,rd,All other sections,rel_obj,0.6053,0.5479,0.7237,0.0574,0.0793,negligible
corhscips,rd,All other sections,downtone,3.104,2.9625,1.8191,0.1415,0.0778,negligible
corhscips,rd,All other sections,advs,32.624,32.0097,8.2729,0.6143,0.0743,negligible
corhscips,rd,All other sections,have,2.3053,2.1652,1.9736,0.1402,0.071,negligible
corhscips,rd,All other sections,cognitn,7.1733,6.8613,4.6767,0.3121,0.0667,negligible
corhscips,rd,All other sections,fact_jth,0.1387,0.121,0.3195,0.0177,0.0554,negligible
corhscips,rd,All other sections,by_pasv,1.8387,1.7658,1.3213,0.0729,0.0552,negligible
corhscips,rd,All other sections,commv,6.2613,6.0553,3.7371,0.206,0.0551,negligible
corhscips,rd,All other sections,be_state,1.632,1.559,1.3394,0.073,0.0545,negligible
corhscips,rd,All other sections,rel_pipe,0.7507,0.7088,0.7839,0.0419,0.0535,negligible
corhscips,rd,All other sections,finlprep,0.736,0.6883,1.1096,0.0477,0.043,negligible
corhscips,rd,All other sections,it,4.1733,4.0646,2.7919,0.1088,0.039,negligible
corhscips,rd,All other sections,x4_jto,0.2707,0.2526,0.4633,0.0181,0.039,negligible
corhscips,rd,All other sections,allmodal,9.0427,8.866,4.6077,0.1766,0.0383,negligible
corhscips,rd,All other sections,prob_vto,0.756,0.7203,0.9591,0.0357,0.0372,negligible
corhscips,rd,All other sections,pred_adj,6.8453,6.7391,2.9931,0.1063,0.0355,negligible
corhscips,rd,All other sections,fctadvl,0.5987,0.5689,0.872,0.0298,0.0341,negligible
corhscips,rd,All other sections,all_advl,1.8267,1.7823,1.487,0.0443,0.0298,negligible
corhscips,rd,All other sections,sua_vb,1.3547,1.3189,1.4662,0.0358,0.0244,negligible
corhscips,rd,All other sections,pos_mod,6.0493,5.97,3.3631,0.0793,0.0236,negligible
corhscips,rd,All other sections,att_vth,0.4867,0.4713,0.7238,0.0153,0.0212,negligible
corhscips,rd,All other sections,n,332.744,332.1509,30.039,0.5931,0.0197,negligible
corhscips,rd,All other sections,allconj,15.992,15.9074,4.8433,0.0846,0.0175,negligible
corhscips,rd,All other sections,sub_othr,4.2933,4.2615,2.0348,0.0318,0.0156,negligible
corhscips,rd,All other sections,copulapv,0.028,0.0275,0.1595,0.0005,0.0033,negligible
corhscips,rd,All other sections,contrac,0.552,0.5506,1.6367,0.0014,0.0009,negligible
corhscips,rd,All other sections,mentalpv,0.0133,0.0133,0.0905,-0.0,-0.0001,negligible
corhscips,rd,All other sections,pany,0.7253,0.7271,0.8547,-0.0018,-0.0021,negligible
corhscips,rd,All other sections,tm_adv,1.4973,1.5102,1.4471,-0.0129,-0.0089,negligible
corhscips,rd,All other sections,commpv,0.0453,0.0502,0.2255,-0.0048,-0.0215,negligible
corhscips,rd,All other sections,occurpv,0.0,0.0057,0.1716,-0.0057,-0.0333,negligible
corhscips,rd,All other sections,causev,2.332,2.4106,1.9883,-0.0786,-0.0395,negligible
corhscips,rd,All other sections,pro2,0.228,0.2786,1.2713,-0.0506,-0.0398,negligible
corhscips,rd,All other sections,sub_cos,0.756,0.8026,0.9604,-0.0466,-0.0485,negligible
corhscips,rd,All other sections,lklydvl,0.396,0.4296,0.6872,-0.0336,-0.0489,negligible
corhscips,rd,All other sections,x3_jto,0.0067,0.0105,0.077,-0.0038,-0.0496,negligible
corhscips,rd,All other sections,nfct_nth,0.0413,0.0523,0.189,-0.011,-0.0582,negligible
corhscips,rd,All other sections,fct_nth,0.2853,0.3184,0.5234,-0.033,-0.0631,negligible
corhscips,rd,All other sections,ttr,29.1333,29.3505,3.1684,-0.2172,-0.0685,negligible
corhscips,rd,All other sections,att_jth,0.2067,0.2347,0.3962,-0.028,-0.0707,negligible
corhscips,rd,All other sections,prcessn,19.1627,19.9211,10.7138,-0.7584,-0.0708,negligible
corhscips,rd,All other sections,aspectv,0.6547,0.7288,1.023,-0.0741,-0.0724,negligible
corhscips,rd,All other sections,vprogrsv,5.0613,5.302,3.1532,-0.2407,-0.0763,negligible
corhscips,rd,All other sections,x5_jto,0.2493,0.2845,0.4443,-0.0352,-0.0791,negligible
corhscips,rd,All other sections,gen_emph,1.6987,1.8294,1.6495,-0.1307,-0.0792,negligible
corhscips,rd,All other sections,act_ipv,0.0027,0.0075,0.0603,-0.0048,-0.0794,negligible
corhscips,rd,All other sections,spl_aux,2.648,2.7777,1.6039,-0.1297,-0.0809,negligible
corhscips,rd,All other sections,adj_attr,67.5413,68.901,16.6987,-1.3597,-0.0814,negligible
corhscips,rd,All other sections,amplifr,1.456,1.573,1.3665,-0.117,-0.0856,negligible
corhscips,rd,All other sections,actv,15.0373,15.5442,5.8207,-0.5069,-0.0871,negligible
corhscips,rd,All other sections,allwhrel,3.7933,4.0185,2.5647,-0.2251,-0.0878,negligible
corhscips,rd,All other sections,timej,0.5347,0.6621,1.3621,-0.1275,-0.0936,negligible
corhscips,rd,All other sections,pl_adv,3.0227,3.334,3.1368,-0.3113,-0.0992,negligible
corhscips,rd,All other sections,atadvl,0.0507,0.071,0.2023,-0.0203,-0.1004,negligible
corhscips,rd,All other sections,aspectpv,0.0053,0.0154,0.0872,-0.0101,-0.1158,negligible
corhscips,rd,All other sections,alladj,93.3467,95.5148,18.7093,-2.1682,-0.1159,negligible
corhscips,rd,All other sections,conjncts,6.664,7.0625,3.162,-0.3985,-0.126,negligible
corhscips,rd,All other sections,act_tpv,0.132,0.193,0.4643,-0.061,-0.1313,negligible
corhscips,rd,All other sections,placen,4.012,4.8466,5.8352,-0.8346,-0.143,negligible
corhscips,rd,All other sections,rel_subj,2.4387,2.7597,2.2213,-0.321,-0.1445,negligible
corhscips,rd,All other sections,jcmp,0.2973,0.3801,0.561,-0.0827,-0.1475,negligible
corhscips,rd,All other sections,mntl_vto,0.3293,0.4292,0.6426,-0.0999,-0.1554,negligible
corhscips,rd,All other sections,spch_vto,0.1413,0.2062,0.4103,-0.0649,-0.1582,negligible
corhscips,rd,All other sections,p_and,2.2293,2.571,1.9522,-0.3416,-0.175,negligible
corhscips,rd,All other sections,relatnj,4.1787,4.7124,2.8251,-0.5337,-0.1889,negligible
corhscips,rd,All other sections,humann,3.7053,4.8971,5.9264,-1.1917,-0.2011,small
corhscips,rd,All other sections,whiz_vbn,3.0293,3.4633,2.1475,-0.434,-0.2021,small
corhscips,rd,All other sections,sizej,2.1267,2.7596,3.0262,-0.633,-0.2092,small
corhscips,rd,All other sections,wcount,2282.2667,2593.669,1467.3467,-311.4023,-0.2122,small
corhscips,rd,All other sections,quann,6.764,8.1347,6.0445,-1.3707,-0.2268,small
corhscips,rd,All other sections,pasttnse,23.4987,26.6662,13.7549,-3.1675,-0.2303,small
corhscips,rd,All other sections,nec_mod,0.852,1.174,1.2406,-0.322,-0.2595,small
corhscips,rd,All other sections,perfects,3.112,3.9162,2.6569,-0.8042,-0.3027,small
corhscips,rd,All other sections,gen_hdg,0.1187,0.2508,0.4272,-0.1321,-0.3092,small
corhscips,rd,All other sections,tccncrt,3.688,5.385,5.2114,-1.697,-0.3256,small
corhscips,rd,All other sections,concrtn,5.8893,8.4758,6.8319,-2.5865,-0.3786,small
corhscips,rd,All other sections,allpasv,13.316,15.4953,5.2237,-2.1793,-0.4172,small
corhscips,rd,All other sections,agls_psv,8.4413,10.2662,4.2851,-1.8249,-0.4259,small
