Field_Target,Field_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscips,All other fields,ttr,30.7614,30.8208,2.9288,-0.0593,-0.020261804420527326,negligible
corhscips,All other fields,wrlengh,5.4301,5.3898,0.3003,0.0403,0.13412018213863933,negligible
corhscips,All other fields,wcount,1528.6864,1583.318,1281.7842,-54.6316,-0.04262152232031134,negligible
corhscips,All other fields,that_del,0.8364,0.5716,0.9617,0.2648,0.27537358272591084,small
corhscips,All other fields,contrac,0.7148,0.4511,1.2645,0.2637,0.2085779890929678,small
corhscips,All other fields,pres,63.5331,54.5331,18.8253,8.9999,0.4780765159165739,small
corhscips,All other fields,pro2,0.2182,0.2494,1.1824,-0.0311,-0.026335816642939092,negligible
corhscips,All other fields,pro_do,0.2322,0.193,0.5723,0.0392,0.06853532374057997,negligible
corhscips,All other fields,pdem,2.5229,2.0648,1.958,0.4581,0.23398058662917284,small
corhscips,All other fields,gen_emph,1.4983,1.51,1.6868,-0.0116,-0.0069047257916633395,negligible
corhscips,All other fields,pro1,11.2996,8.4647,7.6168,2.8349,0.37219048911425245,small
corhscips,All other fields,it,4.2678,3.8281,3.148,0.4396,0.1396604034776441,negligible
corhscips,All other fields,be_state,1.6076,1.2566,1.539,0.351,0.22807246821957053,small
corhscips,All other fields,sub_cos,0.7398,0.7574,1.1041,-0.0176,-0.015904305555668703,negligible
corhscips,All other fields,prtcle,0.0335,0.0504,0.2467,-0.017,-0.06871252809935838,negligible
corhscips,All other fields,pany,0.7479,0.7477,1.0303,0.0002,0.00019663414477877003,negligible
corhscips,All other fields,gen_hdg,0.1085,0.1578,0.439,-0.0494,-0.11246456128992366,negligible
corhscips,All other fields,amplifr,1.4975,1.2981,1.5768,0.1993,0.1264135308372894,negligible
corhscips,All other fields,wh_ques,0.2462,0.1743,0.6792,0.0719,0.10590556183364849,negligible
corhscips,All other fields,pos_mod,6.1661,5.1376,3.9169,1.0285,0.26257799108098634,small
corhscips,All other fields,o_and,8.3784,8.1565,4.6433,0.2219,0.04777912508397928,negligible
corhscips,All other fields,wh_cl,0.411,0.2391,0.5812,0.1719,0.29575191902710585,small
corhscips,All other fields,finlprep,0.7169,0.6411,1.2321,0.0758,0.06154772373001952,negligible
corhscips,All other fields,n,333.3644,342.0027,33.174,-8.6383,-0.26039349161522096,small
corhscips,All other fields,prep,133.603,134.0587,16.131,-0.4557,-0.028250242003472564,negligible
corhscips,All other fields,adj_attr,72.3479,72.3309,19.7115,0.017,0.0008603184141605048,negligible
corhscips,All other fields,pasttnse,22.0479,25.9488,16.3997,-3.9009,-0.237864140552583,small
corhscips,All other fields,pro3,7.222,5.7566,5.0973,1.4654,0.2874904206522363,small
corhscips,All other fields,perfects,4.8411,4.7532,3.7075,0.0879,0.023701460323606587,negligible
corhscips,All other fields,rel_obj,0.5449,0.5248,0.8344,0.0202,0.024155083291145046,negligible
corhscips,All other fields,rel_subj,2.5161,2.5516,2.215,-0.0355,-0.016026966193181315,negligible
corhscips,All other fields,rel_pipe,0.8513,0.841,1.1878,0.0103,0.008685024082428773,negligible
corhscips,All other fields,p_and,2.5068,2.9512,2.5702,-0.4444,-0.1729058725444051,negligible
corhscips,All other fields,tm_adv,1.564,1.7808,1.7825,-0.2168,-0.12161777149362933,negligible
corhscips,All other fields,pl_adv,2.8818,3.2645,3.7293,-0.3827,-0.10262140222445199,negligible
corhscips,All other fields,advs,30.2678,29.1956,10.059,1.0722,0.10659152059834812,negligible
corhscips,All other fields,inf,10.7424,9.6899,5.0795,1.0525,0.2071989327296944,small
corhscips,All other fields,prd_mod,2.2682,1.5321,1.9936,0.7361,0.36923879685320826,small
corhscips,All other fields,sua_vb,1.7165,1.5832,1.7867,0.1334,0.07464232702405482,negligible
corhscips,All other fields,sub_cnd,1.1661,0.8595,1.3205,0.3066,0.23216398083717943,small
corhscips,All other fields,nec_mod,0.9072,0.9747,1.4943,-0.0675,-0.04517474955779487,negligible
