Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscipsy,abs,All other sections,ttr,30.1667,30.9775,2.7452,-0.8108,-0.2953504038915434,small
corhscipsy,abs,All other sections,wrlengh,5.6667,5.5418,0.3004,0.1249,0.41586550106351206,small
corhscipsy,abs,All other sections,wcount,333.3333,385.8681,172.3827,-52.5348,-0.30475687626283854,small
corhscipsy,abs,All other sections,that_del,0.0,0.5846,1.4327,-0.5846,-0.40805923350112855,small
corhscipsy,abs,All other sections,contrac,0.0,0.3033,1.0844,-0.3033,-0.2797011674821403,small
corhscipsy,abs,All other sections,pres,37.3,44.4797,17.9132,-7.1797,-0.4008034921996785,small
corhscipsy,abs,All other sections,pro2,0.0,0.0544,0.7298,-0.0544,-0.07453333658438073,negligible
corhscipsy,abs,All other sections,pro_do,0.0,0.1681,0.6861,-0.1681,-0.24503883810722382,small
corhscipsy,abs,All other sections,pdem,1.0333,1.3242,2.282,-0.2908,-0.12745180710959014,negligible
corhscipsy,abs,All other sections,gen_emph,0.0,1.5,2.868,-1.5,-0.5230147399126279,medium
corhscipsy,abs,All other sections,pro1,4.4,8.267,8.1337,-3.867,-0.4754350624356306,small
corhscipsy,abs,All other sections,it,2.0667,2.6676,3.1562,-0.6009,-0.19038940313251626,negligible
corhscipsy,abs,All other sections,be_state,0.0,0.8181,1.5774,-0.8181,-0.518674839938267,medium
corhscipsy,abs,All other sections,sub_cos,0.9,0.2984,1.0328,0.6016,0.5825293282477038,medium
corhscipsy,abs,All other sections,prtcle,0.0,0.0396,0.3301,-0.0396,-0.11986068015982254,negligible
corhscipsy,abs,All other sections,pany,0.0,0.5588,1.3699,-0.5588,-0.4079075344594881,small
corhscipsy,abs,All other sections,gen_hdg,0.0,0.0291,0.2838,-0.0291,-0.10262312610861649,negligible
corhscipsy,abs,All other sections,amplifr,1.0333,0.7341,1.6006,0.2993,0.18696721819046744,negligible
corhscipsy,abs,All other sections,wh_ques,0.0,0.5956,1.6072,-0.5956,-0.37059660896559055,small
corhscipsy,abs,All other sections,pos_mod,4.2667,4.0044,4.4635,0.2623,0.05875853698295298,negligible
corhscipsy,abs,All other sections,o_and,12.2,8.3824,6.2541,3.8176,0.6104100096472558,medium
corhscipsy,abs,All other sections,wh_cl,1.1,0.3044,0.9641,0.7956,0.825230082393054,large
corhscipsy,abs,All other sections,finlprep,0.0,0.311,0.9558,-0.311,-0.32537261434788484,small
corhscipsy,abs,All other sections,n,379.9,364.8621,39.6434,15.0379,0.37932985367406735,small
corhscipsy,abs,All other sections,prep,141.1333,137.0214,22.9682,4.1119,0.17902634273736354,negligible
corhscipsy,abs,All other sections,adj_attr,77.3333,76.1692,24.967,1.1641,0.04662560651009967,negligible
corhscipsy,abs,All other sections,pasttnse,27.3,31.3802,15.9844,-4.0802,-0.2552620772307341,small
corhscipsy,abs,All other sections,pro3,1.7667,5.2786,5.5754,-3.5119,-0.6298938480554278,medium
corhscipsy,abs,All other sections,perfects,1.9333,3.5659,3.3325,-1.6326,-0.4898980354057402,small
corhscipsy,abs,All other sections,rel_obj,0.9,0.4181,1.1304,0.4819,0.4262701384791434,small
corhscipsy,abs,All other sections,rel_subj,2.8,2.194,2.563,0.606,0.23646255513869766,small
corhscipsy,abs,All other sections,rel_pipe,2.0,0.8044,2.1219,1.1956,0.5634708480362429,medium
corhscipsy,abs,All other sections,p_and,3.3,3.2654,4.3158,0.0346,0.008020559276121745,negligible
corhscipsy,abs,All other sections,tm_adv,2.1333,1.3588,1.9548,0.7745,0.3962313955585662,small
corhscipsy,abs,All other sections,pl_adv,3.1667,4.0577,8.4797,-0.891,-0.10507710136967617,negligible
corhscipsy,abs,All other sections,advs,21.5333,23.4429,12.342,-1.9095,-0.15471807841624252,negligible
corhscipsy,abs,All other sections,inf,6.2,10.4687,6.974,-4.2687,-0.6120809573888606,medium
corhscipsy,abs,All other sections,prd_mod,0.0,1.0192,2.051,-1.0192,-0.49693212692996125,small
