Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscipsy,con,All other sections,wh_ques,2.15,0.0568,0.5861,2.0932,3.5711,large
corhscipsy,con,All other sections,allwh,3.2,0.4318,1.0704,2.7682,2.586,large
corhscipsy,con,All other sections,pany,2.55,0.5658,1.1168,1.9842,1.7767,large
corhscipsy,con,All other sections,humann,14.1167,3.6438,6.1413,10.4728,1.7053,large
corhscipsy,con,All other sections,fctadvl,2.5167,0.6082,1.1747,1.9084,1.6246,large
corhscipsy,con,All other sections,cognitn,17.4333,7.9548,6.1728,9.4785,1.5355,large
corhscipsy,con,All other sections,lkly_nth,1.4167,0.2322,0.8166,1.1845,1.4504,large
corhscipsy,con,All other sections,pro2,0.4167,0.0356,0.282,0.3811,1.3513,large
corhscipsy,con,All other sections,att_nth,0.4333,0.0363,0.2947,0.397,1.3472,large
corhscipsy,con,All other sections,pres,82.6667,63.8911,16.7283,18.7756,1.1224,large
corhscipsy,con,All other sections,it,9.4,5.0247,3.9294,4.3753,1.1135,large
corhscipsy,con,All other sections,jcmp,1.5833,0.3678,1.1143,1.2155,1.0909,large
corhscipsy,con,All other sections,contrac,1.5,0.3938,1.0613,1.1062,1.0423,large
corhscipsy,con,All other sections,all_advl,4.1333,1.9486,2.2422,2.1847,0.9744,large
corhscipsy,con,All other sections,all_nth,2.0,0.6705,1.4237,1.3295,0.9338,large
corhscipsy,con,All other sections,allverb,117.3,102.1336,17.5791,15.1664,0.8628,large
corhscipsy,con,All other sections,act_tpv,0.95,0.2503,0.8604,0.6997,0.8132,large
corhscipsy,con,All other sections,dsre_vto,2.4333,1.0291,1.7436,1.4042,0.8054,large
corhscipsy,con,All other sections,all_vto,5.8,3.5757,2.8533,2.2243,0.7796,medium
corhscipsy,con,All other sections,wh_cl,1.05,0.3743,0.877,0.6757,0.7704,medium
corhscipsy,con,All other sections,allmodal,17.4,12.4997,7.084,4.9003,0.6917,medium
corhscipsy,con,All other sections,allconj,21.7833,16.9497,7.3748,4.8337,0.6554,medium
corhscipsy,con,All other sections,conjncts,10.3667,7.2486,5.0136,3.118,0.6219,medium
corhscipsy,con,All other sections,mntl_vto,0.7333,0.275,0.7735,0.4583,0.5925,medium
corhscipsy,con,All other sections,causev,5.2833,3.3394,3.3326,1.9439,0.5833,medium
corhscipsy,con,All other sections,that_rel,6.8,4.6,3.9108,2.2,0.5626,medium
corhscipsy,con,All other sections,wcount,739.1667,572.5548,297.1149,166.6119,0.5608,medium
corhscipsy,con,All other sections,x5_jto,1.0667,0.4757,1.0676,0.591,0.5535,medium
corhscipsy,con,All other sections,all_to,9.4167,6.7568,4.8215,2.6598,0.5517,medium
corhscipsy,con,All other sections,alladj,121.3333,107.8784,25.0788,13.4549,0.5365,medium
corhscipsy,con,All other sections,p_and,4.9,3.2134,3.1709,1.6866,0.5319,medium
corhscipsy,con,All other sections,o_and,10.6667,7.8175,5.3865,2.8492,0.529,medium
corhscipsy,con,All other sections,that_del,1.3833,0.6435,1.4018,0.7398,0.5278,medium
corhscipsy,con,All other sections,prd_mod,4.2333,2.6223,3.0597,1.6111,0.5265,medium
corhscipsy,con,All other sections,pos_mod,10.1833,7.6123,5.0096,2.571,0.5132,medium
corhscipsy,con,All other sections,mentalv,15.6667,12.3408,6.5674,3.3259,0.5064,medium
corhscipsy,con,All other sections,topicj,13.3,8.7123,9.2321,4.5877,0.4969,small
corhscipsy,con,All other sections,efrt_vto,2.2667,1.3777,1.813,0.8889,0.4903,small
corhscipsy,con,All other sections,rel_subj,3.2667,2.1418,2.3703,1.1249,0.4746,small
corhscipsy,con,All other sections,adj_attr,93.7667,82.637,23.5384,11.1297,0.4728,small
corhscipsy,con,All other sections,allwhrel,4.8167,3.3846,3.0455,1.4321,0.4702,small
corhscipsy,con,All other sections,nonfadvl,1.2333,0.6582,1.2297,0.5751,0.4677,small
corhscipsy,con,All other sections,all_jth,2.75,1.662,2.4281,1.088,0.4481,small
corhscipsy,con,All other sections,gen_emph,2.3,1.4979,1.8906,0.8021,0.4242,small
corhscipsy,con,All other sections,rel_pipe,1.1333,0.6483,1.1585,0.485,0.4187,small
corhscipsy,con,All other sections,lkly_jth,1.9667,1.0856,2.1857,0.8811,0.4031,small
corhscipsy,con,All other sections,all_th,11.85,9.4247,6.1226,2.4253,0.3961,small
corhscipsy,con,All other sections,atadvl,0.3333,0.1336,0.513,0.1998,0.3895,small
corhscipsy,con,All other sections,vprogrsv,7.25,5.611,4.4244,1.639,0.3705,small
corhscipsy,con,All other sections,lkly_vth,2.4,1.6558,2.0331,0.7442,0.366,small
corhscipsy,con,All other sections,allpro,18.9333,15.4188,10.8437,3.5145,0.3241,small
corhscipsy,con,All other sections,att_jth,0.7167,0.411,0.9951,0.3057,0.3072,small
corhscipsy,con,All other sections,amplifr,2.1833,1.5955,1.9622,0.5878,0.2996,small
corhscipsy,con,All other sections,pro1,12.7333,10.3295,9.2752,2.4039,0.2592,small
corhscipsy,con,All other sections,nec_mod,2.9833,2.2675,2.9571,0.7159,0.2421,small
corhscipsy,con,All other sections,sub_othr,5.2833,4.4709,3.5805,0.8124,0.2269,small
corhscipsy,con,All other sections,advs,35.7,33.2514,10.8864,2.4486,0.2249,small
corhscipsy,con,All other sections,x2_jto,0.7333,0.4983,1.1477,0.235,0.2048,small
corhscipsy,con,All other sections,wrlengh,5.5333,5.4815,0.2849,0.0518,0.1819,negligible
corhscipsy,con,All other sections,spch_vto,0.2833,0.1822,0.5816,0.1011,0.1739,negligible
corhscipsy,con,All other sections,have,1.8667,1.5469,1.9418,0.3197,0.1647,negligible
corhscipsy,con,All other sections,be_state,2.6167,2.2432,2.4823,0.3735,0.1505,negligible
corhscipsy,con,All other sections,relatnj,5.65,5.0469,4.0623,0.6031,0.1485,negligible
corhscipsy,con,All other sections,pro3,5.8,5.0562,5.2257,0.7438,0.1423,negligible
corhscipsy,con,All other sections,all_jto,2.5,2.2432,2.5956,0.2568,0.099,negligible
corhscipsy,con,All other sections,all_nto,1.1167,0.9421,1.8007,0.1745,0.0969,negligible
corhscipsy,con,All other sections,finlprep,0.6667,0.5808,1.6439,0.0858,0.0522,negligible
corhscipsy,con,All other sections,ttr,30.4833,30.3805,2.9107,0.1029,0.0353,negligible
corhscipsy,con,All other sections,actv,16.3,16.1199,6.7906,0.1801,0.0265,negligible
corhscipsy,con,All other sections,pdem,2.8667,2.8568,2.8896,0.0098,0.0034,negligible
corhscipsy,con,All other sections,att_vth,0.5,0.501,1.0469,-0.001,-0.001,negligible
corhscipsy,con,All other sections,all_vth,7.0833,7.0911,4.5638,-0.0078,-0.0017,negligible
corhscipsy,con,All other sections,agls_psv,8.5167,8.5747,5.6458,-0.058,-0.0103,negligible
corhscipsy,con,All other sections,inf,11.1167,11.1856,6.5494,-0.0689,-0.0105,negligible
corhscipsy,con,All other sections,tm_adv,1.3167,1.3599,1.8475,-0.0433,-0.0234,negligible
corhscipsy,con,All other sections,sub_cos,0.6333,0.6723,1.3245,-0.0389,-0.0294,negligible
corhscipsy,con,All other sections,pred_adj,6.0333,6.2599,4.4492,-0.2266,-0.0509,negligible
corhscipsy,con,All other sections,act_ipv,0.0,0.0027,0.0464,-0.0027,-0.059,negligible
corhscipsy,con,All other sections,mentalpv,0.0,0.0137,0.1671,-0.0137,-0.082,negligible
corhscipsy,con,All other sections,x3_jto,0.0,0.011,0.1311,-0.011,-0.0836,negligible
corhscipsy,con,All other sections,copulapv,0.0,0.0188,0.1982,-0.0188,-0.095,negligible
corhscipsy,con,All other sections,colorj,0.0,0.0493,0.5028,-0.0493,-0.0981,negligible
corhscipsy,con,All other sections,aspectv,0.4333,0.5767,1.2293,-0.1434,-0.1166,negligible
corhscipsy,con,All other sections,perfects,4.2167,4.7329,4.3121,-0.5162,-0.1197,negligible
corhscipsy,con,All other sections,rel_obj,0.4333,0.5938,1.1533,-0.1605,-0.1392,negligible
corhscipsy,con,All other sections,nfct_nth,0.0,0.0425,0.2996,-0.0425,-0.1417,negligible
corhscipsy,con,All other sections,nonf_vth,1.8167,2.1548,2.3261,-0.3381,-0.1454,negligible
corhscipsy,con,All other sections,x1_jto,0.5167,0.7675,1.6791,-0.2508,-0.1494,negligible
corhscipsy,con,All other sections,fact_vth,2.35,2.7818,2.8842,-0.4318,-0.1497,negligible
corhscipsy,con,All other sections,evalj,1.0,1.3271,2.1238,-0.3271,-0.154,negligible
corhscipsy,con,All other sections,prtcle,0.0,0.0524,0.3323,-0.0524,-0.1577,negligible
corhscipsy,con,All other sections,gen_hdg,0.0667,0.1675,0.6258,-0.1008,-0.1611,negligible
corhscipsy,con,All other sections,abstrcn,32.1167,34.9795,17.7375,-2.8628,-0.1614,negligible
corhscipsy,con,All other sections,fact_jth,0.0667,0.1675,0.6114,-0.1008,-0.1649,negligible
corhscipsy,con,All other sections,vcmp,5.2667,6.0195,4.2339,-0.7529,-0.1778,negligible
corhscipsy,con,All other sections,commpv,0.0,0.0692,0.3356,-0.0692,-0.2061,small
corhscipsy,con,All other sections,fct_nth,0.15,0.3616,1.0062,-0.2116,-0.2103,small
