Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscipsy,int,All other sections,contrac,1.3066,0.4208,1.1072,0.8858,0.8,large
corhscipsy,int,All other sections,advs,38.4538,30.9334,9.4559,7.5205,0.7953,medium
corhscipsy,int,All other sections,wrlengh,5.7044,5.5131,0.269,0.1913,0.7113,medium
corhscipsy,int,All other sections,allverb,111.5978,101.473,14.6983,10.1248,0.6888,medium
corhscipsy,int,All other sections,all_vth,8.5297,5.9096,3.8094,2.6201,0.6878,medium
corhscipsy,int,All other sections,all_th,10.4923,7.4167,4.5059,3.0756,0.6826,medium
corhscipsy,int,All other sections,all_to,8.4703,5.9872,3.6473,2.4831,0.6808,medium
corhscipsy,int,All other sections,allmodal,11.4055,8.0955,4.9753,3.31,0.6653,medium
corhscipsy,int,All other sections,cognitn,11.2945,7.6325,5.6817,3.662,0.6445,medium
corhscipsy,int,All other sections,all_nto,1.8407,0.9287,1.4154,0.912,0.6443,medium
corhscipsy,int,All other sections,prob_vto,1.0308,0.4721,0.9149,0.5586,0.6106,medium
corhscipsy,int,All other sections,pos_mod,7.9648,5.6288,3.8954,2.3361,0.5997,medium
corhscipsy,int,All other sections,pro3,9.1363,6.3121,5.1218,2.8242,0.5514,medium
corhscipsy,int,All other sections,spch_vto,0.6363,0.272,0.6783,0.3643,0.5371,medium
corhscipsy,int,All other sections,mentalv,15.5066,12.4637,5.7182,3.0429,0.5321,medium
corhscipsy,int,All other sections,all_vto,4.8835,3.5488,2.5419,1.3348,0.5251,medium
corhscipsy,int,All other sections,lkly_vth,2.1352,1.3383,1.5965,0.7969,0.4992,small
corhscipsy,int,All other sections,inf,13.4055,10.8142,5.2243,2.5913,0.496,small
corhscipsy,int,All other sections,vcmp,6.0462,4.4774,3.3369,1.5687,0.4701,small
corhscipsy,int,All other sections,conjncts,8.7264,7.021,3.8218,1.7053,0.4462,small
corhscipsy,int,All other sections,fact_vth,3.1429,2.1583,2.2298,0.9846,0.4416,small
corhscipsy,int,All other sections,pres,68.9253,62.5579,14.7557,6.3674,0.4315,small
corhscipsy,int,All other sections,colorj,0.2429,0.0574,0.4451,0.1855,0.4167,small
corhscipsy,int,All other sections,vprogrsv,7.1571,5.6175,3.7409,1.5397,0.4116,small
corhscipsy,int,All other sections,prd_mod,2.4429,1.5949,2.0851,0.8479,0.4067,small
corhscipsy,int,All other sections,agls_psv,12.1648,10.2421,4.9671,1.9228,0.3871,small
corhscipsy,int,All other sections,wcount,1477.1648,1153.5133,882.6706,323.6515,0.3667,small
corhscipsy,int,All other sections,pro2,0.2505,0.0807,0.4963,0.1699,0.3423,small
corhscipsy,int,All other sections,allconj,19.7088,17.5707,6.417,2.1381,0.3332,small
corhscipsy,int,All other sections,causev,3.8209,2.9673,2.5646,0.8536,0.3328,small
corhscipsy,int,All other sections,spl_aux,4.1989,3.4357,2.3509,0.7632,0.3246,small
corhscipsy,int,All other sections,atadvl,0.1582,0.0668,0.283,0.0914,0.3231,small
corhscipsy,int,All other sections,be_state,1.8011,1.2951,1.5754,0.506,0.3212,small
corhscipsy,int,All other sections,prcessn,26.0945,22.3405,11.7171,3.754,0.3204,small
corhscipsy,int,All other sections,nonf_vth,2.5242,1.9205,1.9236,0.6036,0.3138,small
corhscipsy,int,All other sections,occurpv,0.0077,0.0004,0.0235,0.0073,0.3102,small
corhscipsy,int,All other sections,allwhrel,4.8165,3.9442,2.8169,0.8723,0.3097,small
corhscipsy,int,All other sections,mntl_vto,0.8604,0.5592,0.9848,0.3012,0.3059,small
corhscipsy,int,All other sections,all_advl,2.0516,1.5765,1.5985,0.4752,0.2973,small
corhscipsy,int,All other sections,humann,7.178,5.2719,6.4319,1.9061,0.2964,small
corhscipsy,int,All other sections,allpro,15.1429,12.9027,7.9586,2.2401,0.2815,small
corhscipsy,int,All other sections,att_vth,0.7341,0.4894,0.8709,0.2446,0.2809,small
corhscipsy,int,All other sections,sub_cos,1.067,0.7473,1.1681,0.3197,0.2737,small
corhscipsy,int,All other sections,att_nth,0.1033,0.0446,0.2166,0.0587,0.2708,small
corhscipsy,int,All other sections,all_jth,1.1912,0.8667,1.2036,0.3245,0.2696,small
corhscipsy,int,All other sections,existv,9.0187,7.9621,3.9686,1.0566,0.2662,small
corhscipsy,int,All other sections,fctadvl,0.5989,0.3924,0.7832,0.2065,0.2636,small
corhscipsy,int,All other sections,that_rel,4.5857,3.8326,2.8672,0.7531,0.2627,small
corhscipsy,int,All other sections,o_and,10.0989,8.8486,4.881,1.2503,0.2562,small
corhscipsy,int,All other sections,wh_cl,0.4044,0.2556,0.5962,0.1488,0.2496,small
corhscipsy,int,All other sections,lkly_jth,0.8297,0.5767,1.0348,0.253,0.2445,small
corhscipsy,int,All other sections,relatnj,6.2791,5.3512,3.83,0.928,0.2423,small
corhscipsy,int,All other sections,rel_obj,0.7637,0.5558,0.8858,0.2079,0.2347,small
corhscipsy,int,All other sections,allpasv,16.544,15.2246,5.9473,1.3194,0.2218,small
corhscipsy,int,All other sections,rel_subj,2.9275,2.4483,2.164,0.4791,0.2214,small
corhscipsy,int,All other sections,evalj,1.2967,0.9906,1.4416,0.3061,0.2124,small
corhscipsy,int,All other sections,jcmp,0.2791,0.1799,0.4709,0.0992,0.2106,small
corhscipsy,int,All other sections,fact_jth,0.144,0.0794,0.3098,0.0646,0.2085,small
corhscipsy,int,All other sections,pred_adj,5.4571,4.8579,3.1143,0.5992,0.1924,negligible
corhscipsy,int,All other sections,x1_jto,0.7703,0.5762,1.036,0.1941,0.1874,negligible
