Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscipsy,mm,All other sections,amplifr,3.1018,1.0078,1.6718,2.094,1.2525,large
corhscipsy,mm,All other sections,contrac,1.1491,0.338,0.9157,0.8111,0.8858,large
corhscipsy,mm,All other sections,fctadvl,0.9945,0.3325,0.7859,0.662,0.8423,large
corhscipsy,mm,All other sections,pro3,8.3527,5.0146,4.3992,3.3382,0.7588,medium
corhscipsy,mm,All other sections,all_nto,0.9527,0.3981,0.8125,0.5546,0.6827,medium
corhscipsy,mm,All other sections,pro2,1.6455,0.4647,1.7675,1.1807,0.668,medium
corhscipsy,mm,All other sections,allverb,111.8655,103.8826,12.8489,7.9829,0.6213,medium
corhscipsy,mm,All other sections,ttr,32.9491,31.347,2.6703,1.6021,0.6,medium
corhscipsy,mm,All other sections,all_vto,3.7455,2.5651,2.0408,1.1804,0.5784,medium
corhscipsy,mm,All other sections,all_to,5.4436,3.8864,2.7009,1.5572,0.5766,medium
corhscipsy,mm,All other sections,mentalv,15.0527,12.2122,5.0308,2.8405,0.5646,medium
corhscipsy,mm,All other sections,spch_vto,0.86,0.3908,0.904,0.4692,0.519,medium
corhscipsy,mm,All other sections,nonf_vth,2.0618,1.2972,1.5179,0.7646,0.5038,medium
corhscipsy,mm,All other sections,commv,7.8291,6.008,3.7206,1.8211,0.4895,small
corhscipsy,mm,All other sections,pasttnse,48.0036,39.4876,17.847,8.5161,0.4772,small
corhscipsy,mm,All other sections,occurpv,0.0091,0.0003,0.0189,0.0088,0.4629,small
corhscipsy,mm,All other sections,inf,10.18,8.6193,3.9799,1.5607,0.3921,small
corhscipsy,mm,All other sections,finlprep,1.3909,0.799,1.5298,0.5919,0.3869,small
corhscipsy,mm,All other sections,efrt_vto,1.6036,1.131,1.2341,0.4727,0.383,small
corhscipsy,mm,All other sections,aspectv,1.5855,1.0528,1.4077,0.5327,0.3784,small
corhscipsy,mm,All other sections,allpro,20.1855,16.394,10.1972,3.7914,0.3718,small
corhscipsy,mm,All other sections,all_vth,4.3473,3.4025,2.6249,0.9448,0.3599,small
corhscipsy,mm,All other sections,dsre_vto,0.8218,0.5456,0.7824,0.2762,0.353,small
corhscipsy,mm,All other sections,wh_cl,0.3218,0.1547,0.4806,0.1671,0.3477,small
corhscipsy,mm,All other sections,pany,1.1,0.745,1.029,0.355,0.345,small
corhscipsy,mm,All other sections,prd_mod,1.4309,0.9858,1.3672,0.4451,0.3256,small
corhscipsy,mm,All other sections,prcessn,21.3473,18.6018,8.7887,2.7455,0.3124,small
corhscipsy,mm,All other sections,allwh,0.5309,0.2919,0.7832,0.239,0.3052,small
corhscipsy,mm,All other sections,that_del,0.7564,0.5053,0.8552,0.2511,0.2935,small
corhscipsy,mm,All other sections,all_th,5.0291,4.1475,3.1371,0.8816,0.281,small
corhscipsy,mm,All other sections,gen_hdg,0.1927,0.0979,0.3466,0.0949,0.2737,small
corhscipsy,mm,All other sections,conjncts,4.9873,4.2073,2.9453,0.7799,0.2648,small
corhscipsy,mm,All other sections,act_tpv,0.6455,0.4067,0.9206,0.2388,0.2594,small
corhscipsy,mm,All other sections,x3_jto,0.0545,0.0181,0.1427,0.0365,0.2555,small
corhscipsy,mm,All other sections,vprogrsv,6.0527,5.2916,3.047,0.7611,0.2498,small
corhscipsy,mm,All other sections,evalj,0.7164,0.5016,0.9028,0.2148,0.2379,small
corhscipsy,mm,All other sections,all_advl,1.6764,1.3451,1.4295,0.3313,0.2317,small
corhscipsy,mm,All other sections,prtcle,0.0964,0.0424,0.2429,0.054,0.2223,small
corhscipsy,mm,All other sections,causev,2.5745,2.1607,1.991,0.4139,0.2079,small
corhscipsy,mm,All other sections,advs,23.9564,22.2851,8.0465,1.6713,0.2077,small
corhscipsy,mm,All other sections,actv,21.1436,19.9227,6.0832,1.2209,0.2007,small
corhscipsy,mm,All other sections,sizej,1.6364,1.3476,1.6918,0.2888,0.1707,negligible
corhscipsy,mm,All other sections,agls_psv,20.3255,19.0136,8.1932,1.3119,0.1601,negligible
corhscipsy,mm,All other sections,nec_mod,0.62,0.4825,0.8839,0.1375,0.1556,negligible
corhscipsy,mm,All other sections,act_ipv,0.0382,0.0099,0.1817,0.0282,0.1554,negligible
corhscipsy,mm,All other sections,humann,6.1782,5.3012,5.8438,0.8769,0.1501,negligible
corhscipsy,mm,All other sections,fact_vth,0.9836,0.8254,1.1158,0.1582,0.1418,negligible
