Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscipsy,rd,All other sections,cognitn,10.1553,6.637,4.5911,3.5183,0.7663,medium
corhscipsy,rd,All other sections,conjncts,9.0635,6.8877,3.1148,2.1759,0.6985,medium
corhscipsy,rd,All other sections,wrlengh,5.4741,5.2899,0.2745,0.1843,0.6713,medium
corhscipsy,rd,All other sections,att_jth,0.4412,0.2175,0.3921,0.2237,0.5705,medium
corhscipsy,rd,All other sections,prcessn,24.7565,19.5121,10.6323,5.2444,0.4933,small
corhscipsy,rd,All other sections,advs,35.6988,31.7759,8.214,3.9229,0.4776,small
corhscipsy,rd,All other sections,pos_mod,7.4259,5.867,3.3398,1.5588,0.4668,small
corhscipsy,rd,All other sections,mentalv,15.4682,13.1274,5.3775,2.3408,0.4353,small
corhscipsy,rd,All other sections,x5_jto,0.46,0.2691,0.4418,0.1909,0.432,small
corhscipsy,rd,All other sections,pro3,7.9482,5.739,5.282,2.2092,0.4183,small
corhscipsy,rd,All other sections,inf,10.4741,8.6343,4.446,1.8399,0.4138,small
corhscipsy,rd,All other sections,copulapv,0.0882,0.023,0.1586,0.0652,0.4113,small
corhscipsy,rd,All other sections,all_th,10.8953,9.2279,4.086,1.6674,0.4081,small
corhscipsy,rd,All other sections,allmodal,10.6176,8.7475,4.5834,1.8702,0.408,small
corhscipsy,rd,All other sections,pasttnse,31.3788,26.1084,13.7106,5.2704,0.3844,small
corhscipsy,rd,All other sections,atadvl,0.1353,0.0649,0.2015,0.0704,0.3495,small
corhscipsy,rd,All other sections,all_vth,8.2988,7.1469,3.3248,1.152,0.3465,small
corhscipsy,rd,All other sections,contrac,1.0741,0.5118,1.6305,0.5623,0.3449,small
corhscipsy,rd,All other sections,lkly_nth,0.6282,0.3588,0.7938,0.2694,0.3394,small
corhscipsy,rd,All other sections,all_vto,3.6153,2.9725,1.9306,0.6428,0.333,small
corhscipsy,rd,All other sections,all_to,6.4024,5.3802,3.118,1.0222,0.3278,small
corhscipsy,rd,All other sections,allverb,107.24,102.5909,14.9714,4.6491,0.3105,small
corhscipsy,rd,All other sections,all_nth,1.0788,0.7638,1.0333,0.315,0.3049,small
corhscipsy,rd,All other sections,all_nto,0.9706,0.6483,1.0965,0.3223,0.294,small
corhscipsy,rd,All other sections,nec_mod,1.4918,1.1293,1.2396,0.3625,0.2924,small
corhscipsy,rd,All other sections,lkly_vth,2.3129,1.8691,1.5383,0.4438,0.2885,small
corhscipsy,rd,All other sections,evalj,1.2153,0.8648,1.2441,0.3505,0.2818,small
corhscipsy,rd,All other sections,efrt_vto,1.1882,0.9237,0.9401,0.2645,0.2814,small
corhscipsy,rd,All other sections,jcmp,0.5212,0.3642,0.5599,0.157,0.2804,small
corhscipsy,rd,All other sections,dsre_vto,0.96,0.7093,0.9008,0.2507,0.2783,small
corhscipsy,rd,All other sections,causev,2.9071,2.3685,1.9837,0.5385,0.2715,small
corhscipsy,rd,All other sections,sizej,3.4824,2.6644,3.0229,0.8179,0.2706,small
corhscipsy,rd,All other sections,nonf_vth,2.6176,2.1969,1.5767,0.4207,0.2668,small
corhscipsy,rd,All other sections,be_state,1.8894,1.5392,1.3366,0.3502,0.262,small
corhscipsy,rd,All other sections,sub_cos,1.0318,0.7825,0.9583,0.2492,0.2601,small
corhscipsy,rd,All other sections,vcmp,6.7141,5.9855,3.1029,0.7286,0.2348,small
corhscipsy,rd,All other sections,alladj,99.3565,95.0872,18.6851,4.2692,0.2285,small
corhscipsy,rd,All other sections,vprogrsv,5.9565,5.2376,3.1485,0.7189,0.2283,small
corhscipsy,rd,All other sections,wh_cl,0.3459,0.2455,0.4443,0.1003,0.2258,small
corhscipsy,rd,All other sections,pany,0.9035,0.7139,0.8533,0.1896,0.2222,small
corhscipsy,rd,All other sections,fact_vth,2.9953,2.6033,1.8663,0.392,0.21,small
corhscipsy,rd,All other sections,adj_attr,71.9553,68.585,16.6799,3.3703,0.2021,small
corhscipsy,rd,All other sections,spl_aux,3.0376,2.7499,1.6026,0.2877,0.1795,negligible
corhscipsy,rd,All other sections,that_del,0.9176,0.7428,0.9864,0.1748,0.1772,negligible
corhscipsy,rd,All other sections,rel_obj,0.66,0.5434,0.7232,0.1166,0.1613,negligible
corhscipsy,rd,All other sections,existv,9.9212,9.3201,3.7448,0.6011,0.1605,negligible
corhscipsy,rd,All other sections,allwhrel,4.3706,3.9775,2.5634,0.3931,0.1533,negligible
corhscipsy,rd,All other sections,pred_adj,7.1588,6.7149,2.9911,0.444,0.1484,negligible
corhscipsy,rd,All other sections,finlprep,0.84,0.6802,1.1089,0.1598,0.1441,negligible
corhscipsy,rd,All other sections,it,4.4435,4.0435,2.7902,0.4,0.1434,negligible
corhscipsy,rd,All other sections,rel_subj,3.02,2.7193,2.2213,0.3007,0.1354,negligible
corhscipsy,rd,All other sections,allpro,16.2647,15.0019,9.896,1.2628,0.1276,negligible
corhscipsy,rd,All other sections,all_jth,1.5106,1.3173,1.5435,0.1933,0.1252,negligible
corhscipsy,rd,All other sections,agls_psv,10.5576,10.1249,4.3059,0.4327,0.1005,negligible
corhscipsy,rd,All other sections,fctadvl,0.6412,0.5655,0.8719,0.0757,0.0868,negligible
corhscipsy,rd,All other sections,prob_vto,0.7988,0.7168,0.9589,0.082,0.0856,negligible
corhscipsy,rd,All other sections,allwh,0.3988,0.3524,0.5528,0.0465,0.0841,negligible
corhscipsy,rd,All other sections,spch_vto,0.2341,0.1999,0.4105,0.0342,0.0833,negligible
corhscipsy,rd,All other sections,amplifr,1.6635,1.5586,1.3665,0.105,0.0768,negligible
corhscipsy,rd,All other sections,fct_nth,0.3518,0.3137,0.5234,0.038,0.0727,negligible
corhscipsy,rd,All other sections,abstrcn,31.5565,30.8517,13.6429,0.7047,0.0517,negligible
corhscipsy,rd,All other sections,o_and,7.5624,7.3702,3.7569,0.1922,0.0511,negligible
corhscipsy,rd,All other sections,relatnj,4.8118,4.67,2.8278,0.1417,0.0501,negligible
corhscipsy,rd,All other sections,nfct_nth,0.06,0.051,0.189,0.009,0.0474,negligible
corhscipsy,rd,All other sections,x2_jto,0.4012,0.3717,0.6374,0.0295,0.0463,negligible
corhscipsy,rd,All other sections,n,333.4176,332.0956,30.0375,1.322,0.044,negligible
corhscipsy,rd,All other sections,all_jto,1.8271,1.7583,1.6708,0.0688,0.0412,negligible
