Field_Target,Field_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscipsy,All other fields,contrac,1.1767,0.4212,1.2532,0.7555,0.6028,medium
corhscipsy,All other fields,cognitn,9.9363,6.979,5.1842,2.9572,0.5704,medium
corhscipsy,All other fields,pro3,8.3604,5.6821,5.0691,2.6783,0.5284,medium
corhscipsy,All other fields,allverb,109.9771,102.3603,14.8647,7.6167,0.5124,medium
corhscipsy,All other fields,advs,33.8754,28.9632,9.994,4.9122,0.4915,small
corhscipsy,All other fields,mentalv,15.3283,12.6074,5.5879,2.7209,0.4869,small
corhscipsy,All other fields,wrlengh,5.5238,5.3838,0.2986,0.14,0.4688,small
corhscipsy,All other fields,all_to,7.0017,5.3271,3.5887,1.6746,0.4666,small
corhscipsy,All other fields,all_nto,1.3146,0.7095,1.2979,0.6051,0.4662,small
corhscipsy,All other fields,conjncts,7.9862,6.2298,3.8334,1.7565,0.4582,small
corhscipsy,All other fields,all_vto,4.1483,3.113,2.3554,1.0353,0.4395,small
corhscipsy,All other fields,all_vth,7.3871,5.7628,3.8125,1.6243,0.4261,small
corhscipsy,All other fields,all_th,9.3262,7.316,4.7335,2.0103,0.4247,small
corhscipsy,All other fields,spch_vto,0.5283,0.2723,0.6924,0.256,0.3697,small
corhscipsy,All other fields,allmodal,9.5833,7.6253,5.3058,1.958,0.369,small
corhscipsy,All other fields,inf,11.4808,9.6415,5.0667,1.8394,0.363,small
corhscipsy,All other fields,fctadvl,0.745,0.4369,0.8542,0.3081,0.3606,small
corhscipsy,All other fields,pos_mod,6.4979,5.1153,3.9106,1.3827,0.3536,small
corhscipsy,All other fields,amplifr,1.7712,1.2804,1.5731,0.4909,0.312,small
corhscipsy,All other fields,prcessn,24.1029,20.6882,11.1173,3.4147,0.3072,small
corhscipsy,All other fields,vprogrsv,6.49,5.4275,3.5197,1.0625,0.3019,small
corhscipsy,All other fields,lkly_vth,1.8704,1.3975,1.6227,0.4729,0.2914,small
corhscipsy,All other fields,nonf_vth,2.4158,1.8845,1.8343,0.5314,0.2897,small
corhscipsy,All other fields,pro2,0.5617,0.2274,1.1797,0.3343,0.2834,small
corhscipsy,All other fields,fact_vth,2.5633,2.0146,2.1224,0.5488,0.2586,small
corhscipsy,All other fields,prob_vto,0.71,0.476,0.9082,0.234,0.2576,small
corhscipsy,All other fields,wh_cl,0.3896,0.2403,0.5816,0.1493,0.2567,small
corhscipsy,All other fields,vcmp,5.3188,4.4409,3.4963,0.8779,0.2511,small
corhscipsy,All other fields,causev,3.2271,2.6219,2.4228,0.6052,0.2498,small
corhscipsy,All other fields,atadvl,0.1212,0.0588,0.256,0.0624,0.2438,small
corhscipsy,All other fields,pany,0.9762,0.733,1.0287,0.2432,0.2364,small
corhscipsy,All other fields,pasttnse,29.1404,25.4983,16.4026,3.6421,0.222,small
corhscipsy,All other fields,lkly_nth,0.4408,0.2831,0.7144,0.1578,0.2208,small
corhscipsy,All other fields,jcmp,0.35,0.2278,0.562,0.1222,0.2174,small
corhscipsy,All other fields,allpro,16.6783,14.5997,9.5847,2.0786,0.2169,small
corhscipsy,All other fields,sub_cos,0.9779,0.7421,1.1027,0.2358,0.2138,small
