Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscirf,abs,All other sections,groupn,8.3937,3.1432,5.9229,5.2506,0.8865,large
corhscirf,abs,All other sections,pasttnse,40.625,30.4325,15.7313,10.1925,0.6479,medium
corhscirf,abs,All other sections,fctadvl,0.5125,0.1296,0.6907,0.3829,0.5544,medium
corhscirf,abs,All other sections,have,2.6438,1.3639,2.3764,1.2798,0.5386,medium
corhscirf,abs,All other sections,sub_othr,4.1312,2.7308,3.201,1.4005,0.4375,small
corhscirf,abs,All other sections,rel_subj,3.1625,2.113,2.5469,1.0495,0.4121,small
corhscirf,abs,All other sections,x1_jto,1.5,0.7124,2.1887,0.7876,0.3598,small
corhscirf,abs,All other sections,it,3.675,2.5615,3.1414,1.1135,0.3544,small
corhscirf,abs,All other sections,sub_cnd,0.725,0.3112,1.2589,0.4138,0.3287,small
corhscirf,abs,All other sections,by_pasv,2.0375,1.371,2.2429,0.6665,0.2972,small
corhscirf,abs,All other sections,dsre_vto,1.6125,1.0828,1.7984,0.5297,0.2945,small
corhscirf,abs,All other sections,alladj,107.4562,99.742,28.1959,7.7142,0.2736,small
corhscirf,abs,All other sections,pdem,1.8875,1.2657,2.2755,0.6218,0.2733,small
corhscirf,abs,All other sections,lkly_jth,1.1438,0.6533,2.0657,0.4905,0.2374,small
corhscirf,abs,All other sections,humann,6.9188,5.0994,8.0898,1.8193,0.2249,small
corhscirf,abs,All other sections,allpasv,18.2375,16.4101,8.5956,1.8274,0.2126,small
corhscirf,abs,All other sections,ttr,31.4938,30.9142,2.7423,0.5795,0.2113,small
corhscirf,abs,All other sections,agls_psv,12.8062,11.1396,7.8963,1.6666,0.2111,small
corhscirf,abs,All other sections,relatnj,5.7625,4.842,4.4321,0.9205,0.2077,small
corhscirf,abs,All other sections,allwhrel,4.1188,3.3905,3.65,0.7282,0.1995,negligible
corhscirf,abs,All other sections,amplifr,1.0062,0.7136,1.599,0.2926,0.183,negligible
corhscirf,abs,All other sections,p_and,3.9688,3.1994,4.3104,0.7693,0.1785,negligible
corhscirf,abs,All other sections,allconj,16.5438,15.0905,9.1599,1.4532,0.1587,negligible
corhscirf,abs,All other sections,tm_adv,1.6438,1.3456,1.9554,0.2982,0.1525,negligible
corhscirf,abs,All other sections,advs,25.1062,23.2515,12.3332,1.8548,0.1504,negligible
corhscirf,abs,All other sections,all_jth,1.1438,0.8278,2.1193,0.3159,0.1491,negligible
corhscirf,abs,All other sections,quann,7.2938,6.4444,6.109,0.8494,0.139,negligible
corhscirf,abs,All other sections,gen_emph,1.7812,1.4467,2.8728,0.3345,0.1164,negligible
corhscirf,abs,All other sections,all_nto,0.9812,0.742,2.0701,0.2392,0.1156,negligible
corhscirf,abs,All other sections,contrac,0.4062,0.2882,1.0845,0.1181,0.1089,negligible
corhscirf,abs,All other sections,conjncts,5.4312,4.8544,5.4252,0.5768,0.1063,negligible
corhscirf,abs,All other sections,inf,11.025,10.3402,6.9924,0.6848,0.0979,negligible
corhscirf,abs,All other sections,all_to,5.5813,5.1314,4.9741,0.4499,0.0904,negligible
corhscirf,abs,All other sections,adj_attr,77.8188,76.0337,24.9624,1.785,0.0715,negligible
corhscirf,abs,All other sections,all_advl,1.0,0.8834,1.9114,0.1166,0.061,negligible
corhscirf,abs,All other sections,lkly_vth,1.1938,1.0627,2.2954,0.131,0.0571,negligible
corhscirf,abs,All other sections,all_vto,3.0812,2.9012,3.2223,0.1801,0.0559,negligible
corhscirf,abs,All other sections,pro3,5.4312,5.2018,5.5928,0.2295,0.041,negligible
corhscirf,abs,All other sections,pany,0.5938,0.5456,1.3717,0.0482,0.0351,negligible
corhscirf,abs,All other sections,nec_mod,0.7563,0.7018,1.6063,0.0545,0.0339,negligible
corhscirf,abs,All other sections,evalj,1.0062,0.9491,1.798,0.0571,0.0318,negligible
corhscirf,abs,All other sections,cognitn,6.6375,6.5521,5.7764,0.0854,0.0148,negligible
corhscirf,abs,All other sections,timej,0.9938,0.9781,2.3549,0.0156,0.0066,negligible
corhscirf,abs,All other sections,all_jto,1.5,1.4888,2.7266,0.0112,0.0041,negligible
corhscirf,abs,All other sections,prcessn,21.8438,21.8178,13.7675,0.026,0.0019,negligible
corhscirf,abs,All other sections,wrlengh,5.5438,5.5438,0.3008,-0.0,-0.0001,negligible
corhscirf,abs,All other sections,mentalv,12.5875,12.6337,6.7326,-0.0462,-0.0069,negligible
corhscirf,abs,All other sections,sub_cos,0.3,0.3089,1.0356,-0.0089,-0.0086,negligible
corhscirf,abs,All other sections,prep,136.8875,137.1071,22.974,-0.2196,-0.0096,negligible
corhscirf,abs,All other sections,sizej,1.8125,1.8497,3.196,-0.0372,-0.0116,negligible
corhscirf,abs,All other sections,tccncrt,4.8688,5.0065,7.4206,-0.1378,-0.0186,negligible
corhscirf,abs,All other sections,that_del,0.5375,0.5787,1.4345,-0.0412,-0.0287,negligible
corhscirf,abs,All other sections,efrt_vto,0.9,0.9627,1.9176,-0.0627,-0.0327,negligible
corhscirf,abs,All other sections,be_state,0.7437,0.8107,1.5807,-0.0669,-0.0423,negligible
corhscirf,abs,All other sections,placen,4.975,5.3296,7.3381,-0.3546,-0.0483,negligible
corhscirf,abs,All other sections,allverb,98.7812,99.8391,18.7903,-1.0578,-0.0563,negligible
corhscirf,abs,All other sections,rel_obj,0.3562,0.4325,1.1319,-0.0763,-0.0674,negligible
corhscirf,abs,All other sections,prob_vto,0.2062,0.2828,1.1005,-0.0766,-0.0696,negligible
corhscirf,abs,All other sections,lklydvl,0.1188,0.1822,0.82,-0.0635,-0.0774,negligible
corhscirf,abs,All other sections,nfct_nth,0.0,0.0053,0.0663,-0.0053,-0.0803,negligible
corhscirf,abs,All other sections,att_nth,0.0,0.0183,0.2285,-0.0183,-0.0803,negligible
corhscirf,abs,All other sections,mentalpv,0.0,0.0047,0.059,-0.0047,-0.0803,negligible
corhscirf,abs,All other sections,copulapv,0.0,0.0195,0.2432,-0.0195,-0.0803,negligible
corhscirf,abs,All other sections,pro2,0.0,0.0586,0.7297,-0.0586,-0.0803,negligible
corhscirf,abs,All other sections,mntl_vto,0.1938,0.2728,0.8908,-0.079,-0.0887,negligible
corhscirf,abs,All other sections,pos_mod,3.5937,4.0479,4.4618,-0.4542,-0.1018,negligible
corhscirf,abs,All other sections,causev,2.6188,2.9675,3.4035,-0.3487,-0.1025,negligible
corhscirf,abs,All other sections,pred_adj,3.9625,4.3793,4.0394,-0.4168,-0.1032,negligible
corhscirf,abs,All other sections,fact_jth,0.0,0.0183,0.1748,-0.0183,-0.1049,negligible
corhscirf,abs,All other sections,vprogrsv,5.2688,5.7704,4.5883,-0.5017,-0.1093,negligible
corhscirf,abs,All other sections,gen_hdg,0.0,0.0314,0.2837,-0.0314,-0.1106,negligible
corhscirf,abs,All other sections,atadvl,0.0,0.0213,0.1874,-0.0213,-0.1137,negligible
corhscirf,abs,All other sections,rel_pipe,0.6,0.845,2.1262,-0.245,-0.1152,negligible
corhscirf,abs,All other sections,spch_vto,0.1812,0.3041,1.0107,-0.1229,-0.1216,negligible
corhscirf,abs,All other sections,colorj,0.0,0.0657,0.5337,-0.0657,-0.1231,negligible
corhscirf,abs,All other sections,allpro,12.225,13.6024,10.7009,-1.3774,-0.1287,negligible
corhscirf,abs,All other sections,nonfadvl,0.3688,0.5491,1.4016,-0.1804,-0.1287,negligible
corhscirf,abs,All other sections,prtcle,0.0,0.0426,0.3299,-0.0426,-0.1292,negligible
corhscirf,abs,All other sections,allmodal,5.1,5.774,5.1991,-0.674,-0.1296,negligible
corhscirf,abs,All other sections,nonf_vth,1.7688,2.1095,2.5582,-0.3407,-0.1332,negligible
corhscirf,abs,All other sections,att_vth,0.1812,0.3473,1.229,-0.1661,-0.1351,negligible
corhscirf,abs,All other sections,prd_mod,0.7437,1.0272,2.0536,-0.2835,-0.138,negligible
corhscirf,abs,All other sections,whiz_vbn,3.3875,3.8941,3.6186,-0.5066,-0.14,negligible
corhscirf,abs,All other sections,fct_nth,0.0,0.1923,1.2902,-0.1923,-0.149,negligible
corhscirf,abs,All other sections,wh_ques,0.3562,0.6077,1.6074,-0.2514,-0.1564,negligible
corhscirf,abs,All other sections,act_tpv,0.15,0.3444,1.1869,-0.1944,-0.1638,negligible
corhscirf,abs,All other sections,o_and,7.4375,8.5396,6.2652,-1.1021,-0.1759,negligible
corhscirf,abs,All other sections,commv,4.7812,5.7917,5.5671,-1.0105,-0.1815,negligible
corhscirf,abs,All other sections,pro1,6.775,8.3396,8.1365,-1.5646,-0.1923,negligible
corhscirf,abs,All other sections,existv,6.5688,7.6568,5.5786,-1.0881,-0.195,negligible
corhscirf,abs,All other sections,lkly_nth,0.0,0.1751,0.757,-0.1751,-0.2314,small
corhscirf,abs,All other sections,downtone,1.1312,1.7047,2.4461,-0.5735,-0.2345,small
corhscirf,abs,All other sections,vcmp,3.0938,4.0651,4.1003,-0.9713,-0.2369,small
corhscirf,abs,All other sections,jcmp,0.0,0.1473,0.6208,-0.1473,-0.2373,small
corhscirf,abs,All other sections,pl_adv,2.1188,4.2254,8.4596,-2.1067,-0.249,small
corhscirf,abs,All other sections,att_jth,0.0,0.1562,0.6251,-0.1562,-0.2499,small
corhscirf,abs,All other sections,wcount,345.6875,388.7396,172.0821,-43.0521,-0.2502,small
corhscirf,abs,All other sections,x4_jto,0.0,0.1817,0.703,-0.1817,-0.2584,small
corhscirf,abs,All other sections,aspectv,0.1875,0.5497,1.385,-0.3622,-0.2615,small
corhscirf,abs,All other sections,all_nth,0.0,0.3911,1.4886,-0.3911,-0.2627,small
corhscirf,abs,All other sections,pro_do,0.0,0.1811,0.6846,-0.1811,-0.2645,small
corhscirf,abs,All other sections,x5_jto,0.0,0.184,0.6762,-0.184,-0.2721,small
corhscirf,abs,All other sections,n,355.2313,366.0408,39.5716,-10.8096,-0.2732,small
corhscirf,abs,All other sections,all_th,5.175,6.7142,5.4551,-1.5392,-0.2822,small
corhscirf,abs,All other sections,topicj,5.9563,8.7882,9.9168,-2.8319,-0.2856,small
corhscirf,abs,All other sections,sua_vb,1.0625,1.7272,2.2717,-0.6647,-0.2926,small
corhscirf,abs,All other sections,spl_aux,1.3062,2.0787,2.6351,-0.7724,-0.2931,small
corhscirf,abs,All other sections,occurv,2.2,3.2101,3.2776,-1.0101,-0.3082,small
corhscirf,abs,All other sections,all_vth,4.0312,5.4994,4.6358,-1.4682,-0.3167,small
corhscirf,abs,All other sections,x2_jto,0.0,0.4124,1.2854,-0.4124,-0.3208,small
corhscirf,abs,All other sections,allwh,0.3562,0.9556,1.8279,-0.5994,-0.3279,small
corhscirf,abs,All other sections,finlprep,0.0,0.3349,0.9519,-0.3349,-0.3518,small
corhscirf,abs,All other sections,wh_cl,0.0,0.3473,0.9644,-0.3473,-0.3602,small
corhscirf,abs,All other sections,fact_vth,0.8938,1.984,2.736,-1.0903,-0.3985,small
corhscirf,abs,All other sections,that_rel,1.4062,2.6385,3.0567,-1.2322,-0.4031,small
corhscirf,abs,All other sections,concrtn,4.85,8.6964,9.3712,-3.8464,-0.4105,small
corhscirf,abs,All other sections,abstrcn,30.0375,39.9633,23.0634,-9.9258,-0.4304,small
corhscirf,abs,All other sections,actv,11.7062,15.7828,7.8819,-4.0766,-0.5172,medium
corhscirf,abs,All other sections,pres,35.7312,45.1805,17.7365,-9.4492,-0.5328,medium
corhscirf,abs,All other sections,perfects,1.8312,3.7012,3.2969,-1.8699,-0.5672,medium
corhscirf,abs,All other sections,x3_jto,0.0,0.0,0.0,0.0,,
corhscirf,abs,All other sections,act_ipv,0.0,0.0,0.0,0.0,,
corhscirf,abs,All other sections,commpv,0.0,0.0,0.0,0.0,,
corhscirf,abs,All other sections,occurpv,0.0,0.0,0.0,0.0,,
corhscirf,abs,All other sections,aspectpv,0.0,0.0,0.0,0.0,,
