Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscirf,con,All other sections,ttr,28.7273,30.446,2.8925,-1.7187,-0.5941996076909986,medium
corhscirf,con,All other sections,wrlengh,5.5818,5.4787,0.2844,0.1031,0.3624570691217775,small
corhscirf,con,All other sections,wcount,589.0,575.4077,298.0302,13.5923,0.04560723247350081,negligible
corhscirf,con,All other sections,that_del,0.4818,0.6652,1.4052,-0.1833,-0.13046817626759938,negligible
corhscirf,con,All other sections,contrac,0.0,0.4321,1.0695,-0.4321,-0.40396050336084766,small
corhscirf,con,All other sections,pres,61.0636,64.392,16.9246,-3.3283,-0.1966580440016108,negligible
corhscirf,con,All other sections,pro2,0.0,0.0449,0.2869,-0.0449,-0.15664781884453233,negligible
corhscirf,con,All other sections,pro_do,0.1,0.2157,0.6549,-0.1157,-0.17664597621541508,negligible
corhscirf,con,All other sections,pdem,3.1455,2.846,2.889,0.2995,0.10365431750560246,negligible
corhscirf,con,All other sections,gen_emph,0.5364,1.5516,1.8842,-1.0152,-0.5387985423199971,medium
corhscirf,con,All other sections,pro1,8.0818,10.4659,9.2705,-2.384,-0.25716475019747836,small
corhscirf,con,All other sections,it,4.3,5.1439,3.9743,-0.8439,-0.2123424159822612,small
corhscirf,con,All other sections,be_state,1.2182,2.2902,2.4745,-1.0721,-0.43323716038342214,small
corhscirf,con,All other sections,sub_cos,1.8909,0.6247,1.3027,1.2662,0.9719553002338109,large
corhscirf,con,All other sections,prtcle,0.0,0.0533,0.3322,-0.0533,-0.16045449031525713,negligible
corhscirf,con,All other sections,pany,0.2909,0.6178,1.1496,-0.3269,-0.28431826812276334,small
corhscirf,con,All other sections,gen_hdg,0.0,0.1718,0.6252,-0.1718,-0.2747762055070469,small
corhscirf,con,All other sections,amplifr,1.0182,1.63,1.9605,-0.6118,-0.3120568312174427,small
corhscirf,con,All other sections,wh_ques,0.1,0.099,0.6562,0.001,0.0015930001911023319,negligible
corhscirf,con,All other sections,pos_mod,6.9636,7.6909,5.0208,-0.7273,-0.14485899004873373,negligible
corhscirf,con,All other sections,o_and,4.6364,7.999,5.3638,-3.3626,-0.6268997956126228,medium
corhscirf,con,All other sections,wh_cl,0.1273,0.3979,0.8807,-0.2706,-0.30730169396105556,small
corhscirf,con,All other sections,finlprep,0.1273,0.6,1.6415,-0.4727,-0.2879807419951203,small
corhscirf,con,All other sections,n,343.8091,331.3571,33.8578,12.4519,0.36777223892046296,small
corhscirf,con,All other sections,prep,135.2091,136.0157,17.0792,-0.8066,-0.047226380597839825,negligible
corhscirf,con,All other sections,adj_attr,78.5,83.0282,23.575,-4.5282,-0.19207707277135716,negligible
corhscirf,con,All other sections,pasttnse,17.8364,15.9125,10.6555,1.9238,0.18054785498155518,negligible
corhscirf,con,All other sections,pro3,5.5,5.0547,5.226,0.4453,0.08520724543023318,negligible
corhscirf,con,All other sections,perfects,2.6636,4.8014,4.2937,-2.1378,-0.4978818552466153,small
corhscirf,con,All other sections,rel_obj,1.0818,0.5718,1.1495,0.51,0.4436967271863213,small
corhscirf,con,All other sections,rel_subj,1.5455,2.1882,2.3725,-0.6427,-0.2708955537411668,small
corhscirf,con,All other sections,rel_pipe,0.5636,0.6617,1.1604,-0.098,-0.08448565459836466,negligible
corhscirf,con,All other sections,p_and,2.1182,3.2906,3.172,-1.1724,-0.36961164403658164,small
corhscirf,con,All other sections,tm_adv,1.0545,1.3707,1.8465,-0.3162,-0.1712328177123291,negligible
corhscirf,con,All other sections,pl_adv,2.7818,3.9206,5.5998,-1.1387,-0.20335326004621607,small
