Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscirf,int,All other sections,mntl_vto,0.9524,0.5547,0.983,0.3977,0.4045,small
corhscirf,int,All other sections,act_ipv,0.025,0.0026,0.0638,0.0224,0.3502,small
corhscirf,int,All other sections,all_vth,7.35,6.0037,3.8525,1.3463,0.3495,small
corhscirf,int,All other sections,fact_vth,2.8893,2.1808,2.237,0.7084,0.3167,small
corhscirf,int,All other sections,vcmp,5.55,4.5196,3.3509,1.0304,0.3075,small
corhscirf,int,All other sections,all_th,8.8274,7.546,4.5617,1.2814,0.2809,small
corhscirf,int,All other sections,lkly_vth,1.7893,1.366,1.6058,0.4233,0.2636,small
corhscirf,int,All other sections,agls_psv,11.5464,10.2945,4.9815,1.252,0.2513,small
corhscirf,int,All other sections,all_vto,4.1214,3.6075,2.5611,0.5139,0.2007,small
corhscirf,int,All other sections,prep,138.031,135.1563,15.4035,2.8746,0.1866,negligible
corhscirf,int,All other sections,mentalv,13.6214,12.6077,5.7643,1.0137,0.1759,negligible
corhscirf,int,All other sections,sub_cos,0.9548,0.7567,1.1699,0.1981,0.1693,negligible
corhscirf,int,All other sections,spch_vto,0.4024,0.2897,0.684,0.1126,0.1647,negligible
corhscirf,int,All other sections,spl_aux,3.8429,3.4639,2.357,0.3789,0.1608,negligible
corhscirf,int,All other sections,x1_jto,0.744,0.5791,1.0364,0.165,0.1592,negligible
corhscirf,int,All other sections,allpasv,16.194,15.2555,5.9522,0.9385,0.1577,negligible
corhscirf,int,All other sections,rel_subj,2.7845,2.4607,2.1659,0.3239,0.1495,negligible
corhscirf,int,All other sections,sizej,2.3345,1.9833,2.3538,0.3513,0.1492,negligible
corhscirf,int,All other sections,att_vth,0.6202,0.4985,0.8726,0.1218,0.1395,negligible
corhscirf,int,All other sections,pdem,2.1155,1.8641,1.8028,0.2514,0.1394,negligible
corhscirf,int,All other sections,adj_attr,83.0012,80.4264,19.1318,2.5748,0.1346,negligible
corhscirf,int,All other sections,all_to,6.5857,6.128,3.6992,0.4577,0.1237,negligible
corhscirf,int,All other sections,pred_adj,5.2595,4.8746,3.1165,0.3849,0.1235,negligible
corhscirf,int,All other sections,contrac,0.6095,0.4727,1.1291,0.1368,0.1212,negligible
corhscirf,int,All other sections,alladj,106.5155,104.0426,20.8493,2.4728,0.1186,negligible
corhscirf,int,All other sections,att_nth,0.0726,0.047,0.217,0.0256,0.1179,negligible
corhscirf,int,All other sections,perfects,7.481,7.0404,4.0134,0.4406,0.1098,negligible
corhscirf,int,All other sections,conjncts,7.5298,7.1111,3.8446,0.4186,0.1089,negligible
corhscirf,int,All other sections,have,1.4798,1.3212,1.4654,0.1585,0.1082,negligible
corhscirf,int,All other sections,pl_adv,3.5107,3.1662,3.2408,0.3445,0.1063,negligible
corhscirf,int,All other sections,groupn,2.8357,2.37,4.4643,0.4658,0.1043,negligible
corhscirf,int,All other sections,gen_emph,1.756,1.6068,1.6703,0.1491,0.0893,negligible
corhscirf,int,All other sections,nfct_nth,0.0702,0.0471,0.2621,0.0231,0.0882,negligible
corhscirf,int,All other sections,existv,8.3488,8.0131,3.9767,0.3357,0.0844,negligible
corhscirf,int,All other sections,prtcle,0.0762,0.053,0.2813,0.0232,0.0826,negligible
corhscirf,int,All other sections,pasttnse,17.0417,16.3058,9.3203,0.7358,0.0789,negligible
corhscirf,int,All other sections,evalj,1.1107,1.0048,1.4434,0.1059,0.0734,negligible
corhscirf,int,All other sections,quann,6.769,6.3589,5.8827,0.4102,0.0697,negligible
