Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscirf,mm,All other sections,p_and,3.6081,2.4169,2.1375,1.1912,0.5573,medium
corhscirf,mm,All other sections,nonfadvl,1.2016,0.8202,1.0718,0.3815,0.3559,small
corhscirf,mm,All other sections,pasttnse,45.8887,39.569,17.8901,6.3197,0.3533,small
corhscirf,mm,All other sections,pro2,1.1016,0.4937,1.7828,0.6079,0.341,small
corhscirf,mm,All other sections,all_advl,1.7645,1.3362,1.4276,0.4283,0.3,small
corhscirf,mm,All other sections,have,1.6613,1.2633,1.4426,0.398,0.2759,small
corhscirf,mm,All other sections,allpasv,28.8,26.3527,9.1076,2.4473,0.2687,small
corhscirf,mm,All other sections,agls_psv,21.0403,18.9526,8.1826,2.0877,0.2551,small
corhscirf,mm,All other sections,groupn,3.7403,2.7161,4.1579,1.0243,0.2463,small
corhscirf,mm,All other sections,tm_adv,2.7613,2.2993,1.9944,0.462,0.2316,small
corhscirf,mm,All other sections,spch_vto,0.6113,0.4047,0.9093,0.2066,0.2272,small
corhscirf,mm,All other sections,vprogrsv,5.9016,5.2962,3.0485,0.6054,0.1986,negligible
corhscirf,mm,All other sections,occurv,1.8435,1.5723,1.611,0.2712,0.1684,negligible
corhscirf,mm,All other sections,wrlengh,5.3032,5.2581,0.2686,0.0451,0.1681,negligible
corhscirf,mm,All other sections,sua_vb,1.7323,1.4646,1.608,0.2677,0.1665,negligible
corhscirf,mm,All other sections,contrac,0.5306,0.3752,0.9346,0.1555,0.1664,negligible
corhscirf,mm,All other sections,alladj,85.3548,82.8142,15.4476,2.5406,0.1645,negligible
corhscirf,mm,All other sections,humann,6.2339,5.2903,5.8427,0.9436,0.1615,negligible
corhscirf,mm,All other sections,allconj,16.7048,15.8951,5.8111,0.8097,0.1393,negligible
corhscirf,mm,All other sections,act_tpv,0.5403,0.4122,0.9217,0.1281,0.139,negligible
corhscirf,mm,All other sections,mntl_vto,0.4484,0.358,0.6806,0.0904,0.1329,negligible
corhscirf,mm,All other sections,inf,9.1613,8.6788,3.995,0.4825,0.1208,negligible
corhscirf,mm,All other sections,fctadvl,0.4581,0.3651,0.8008,0.0929,0.116,negligible
corhscirf,mm,All other sections,att_vth,0.5194,0.4292,0.7819,0.0902,0.1154,negligible
corhscirf,mm,All other sections,dsre_vto,0.6452,0.5559,0.7848,0.0892,0.1137,negligible
corhscirf,mm,All other sections,fct_nth,0.1306,0.0968,0.3209,0.0338,0.1054,negligible
corhscirf,mm,All other sections,lkly_nth,0.1968,0.149,0.4582,0.0478,0.1043,negligible
corhscirf,mm,All other sections,prcessn,19.6145,18.7023,8.8094,0.9122,0.1036,negligible
corhscirf,mm,All other sections,n,353.0419,349.5157,34.2408,3.5262,0.103,negligible
corhscirf,mm,All other sections,by_pasv,2.9597,2.7564,2.08,0.2033,0.0977,negligible
corhscirf,mm,All other sections,gen_emph,1.0613,0.9472,1.1679,0.1141,0.0977,negligible
corhscirf,mm,All other sections,adj_attr,62.3855,61.0404,13.8111,1.3451,0.0974,negligible
corhscirf,mm,All other sections,pro3,5.6145,5.1813,4.4673,0.4332,0.097,negligible
corhscirf,mm,All other sections,fact_jth,0.0694,0.0508,0.1958,0.0186,0.0948,negligible
corhscirf,mm,All other sections,x2_jto,0.3323,0.2803,0.5653,0.052,0.0919,negligible
corhscirf,mm,All other sections,gen_hdg,0.1323,0.1014,0.3473,0.0309,0.089,negligible
corhscirf,mm,All other sections,causev,2.329,2.1747,1.993,0.1543,0.0774,negligible
corhscirf,mm,All other sections,o_and,8.4677,8.1318,4.5364,0.336,0.0741,negligible
corhscirf,mm,All other sections,all_nth,0.3403,0.299,0.627,0.0413,0.0659,negligible
corhscirf,mm,All other sections,whiz_vbn,4.8,4.6442,2.687,0.1558,0.058,negligible
corhscirf,mm,All other sections,att_jth,0.1113,0.099,0.2929,0.0123,0.0421,negligible
corhscirf,mm,All other sections,pl_adv,2.9629,2.8559,2.6351,0.107,0.0406,negligible
corhscirf,mm,All other sections,cognitn,6.4403,6.2852,4.4184,0.1551,0.0351,negligible
corhscirf,mm,All other sections,wh_ques,0.1548,0.1408,0.6281,0.0141,0.0224,negligible
corhscirf,mm,All other sections,that_del,0.5306,0.5192,0.8573,0.0114,0.0133,negligible
corhscirf,mm,All other sections,ttr,31.4516,31.44,2.6967,0.0116,0.0043,negligible
corhscirf,mm,All other sections,jcmp,0.0919,0.0909,0.2844,0.001,0.0037,negligible
corhscirf,mm,All other sections,quann,8.9742,8.9571,6.6864,0.0171,0.0026,negligible
corhscirf,mm,All other sections,x1_jto,0.3097,0.3117,0.9548,-0.0021,-0.0022,negligible
corhscirf,mm,All other sections,rel_subj,2.571,2.5885,2.1249,-0.0175,-0.0082,negligible
corhscirf,mm,All other sections,commv,6.079,6.1171,3.7451,-0.0381,-0.0102,negligible
corhscirf,mm,All other sections,sizej,1.3145,1.368,1.6931,-0.0535,-0.0316,negligible
corhscirf,mm,All other sections,actv,19.7903,20.0085,6.0897,-0.2182,-0.0358,negligible
corhscirf,mm,All other sections,spl_aux,2.3274,2.3938,1.7782,-0.0664,-0.0374,negligible
corhscirf,mm,All other sections,mentalpv,0.0048,0.0092,0.1126,-0.0044,-0.039,negligible
corhscirf,mm,All other sections,placen,5.1952,5.4851,6.3121,-0.2899,-0.0459,negligible
corhscirf,mm,All other sections,occurpv,0.0,0.0009,0.019,-0.0009,-0.0479,negligible
corhscirf,mm,All other sections,att_nth,0.0177,0.0248,0.1456,-0.0071,-0.0487,negligible
corhscirf,mm,All other sections,sub_cos,0.729,0.8014,1.1024,-0.0723,-0.0656,negligible
corhscirf,mm,All other sections,act_ipv,0.0,0.0124,0.1818,-0.0124,-0.0683,negligible
corhscirf,mm,All other sections,all_vto,2.4968,2.6438,2.0592,-0.1471,-0.0714,negligible
