Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscirf,rd,All other sections,ttr,29.3671,29.3353,3.1688,0.0318,0.010037205421854748,negligible
corhscirf,rd,All other sections,wrlengh,5.3039,5.3025,0.2784,0.0014,0.005143525361783943,negligible
corhscirf,rd,All other sections,wcount,2388.3158,2586.9488,1468.4615,-198.633,-0.13526608490030423,negligible
corhscirf,rd,All other sections,that_del,0.8908,0.746,0.9868,0.1448,0.1467654131731975,negligible
corhscirf,rd,All other sections,contrac,1.2697,0.5033,1.6263,0.7664,0.47128376419522655,small
corhscirf,rd,All other sections,pres,54.2829,56.5393,16.1062,-2.2564,-0.14009450374070886,negligible
corhscirf,rd,All other sections,pro2,0.7171,0.2464,1.2662,0.4707,0.37173332850176477,small
corhscirf,rd,All other sections,pro_do,0.2224,0.2108,0.5421,0.0115,0.021265479619219086,negligible
corhscirf,rd,All other sections,pdem,2.7132,2.6533,1.8453,0.0599,0.032463521179474826,negligible
corhscirf,rd,All other sections,gen_emph,1.6934,1.8298,1.6494,-0.1364,-0.08270282203574576,negligible
corhscirf,rd,All other sections,pro1,8.8382,8.9256,7.0126,-0.0874,-0.01246718647557308,negligible
corhscirf,rd,All other sections,it,4.1618,4.0652,2.7919,0.0966,0.034607357620606814,negligible
corhscirf,rd,All other sections,be_state,1.5763,1.5626,1.3395,0.0137,0.010225019972658057,negligible
corhscirf,rd,All other sections,sub_cos,1.0368,0.7841,0.9585,0.2527,0.26365963327411945,small
corhscirf,rd,All other sections,prtcle,0.0434,0.0484,0.1535,-0.005,-0.03239815223763912,negligible
corhscirf,rd,All other sections,pany,0.9,0.7156,0.8535,0.1844,0.21602656081300056,small
corhscirf,rd,All other sections,gen_hdg,0.3789,0.2337,0.427,0.1452,0.34009427958724675,small
corhscirf,rd,All other sections,amplifr,1.6211,1.5622,1.3667,0.0589,0.04307217392604303,negligible
corhscirf,rd,All other sections,wh_ques,0.0658,0.1063,0.2822,-0.0405,-0.14367787410914123,negligible
corhscirf,rd,All other sections,pos_mod,6.1316,5.9645,3.3629,0.1671,0.04967504734979806,negligible
corhscirf,rd,All other sections,o_and,7.3026,7.3888,3.7571,-0.0862,-0.02293775122603306,negligible
