Field_Target,Field_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscirf,All other fields,ttr,30.7048,30.8248,2.9287,-0.1199,-0.04095500574241541,negligible
corhscirf,All other fields,wrlengh,5.4016,5.3916,0.3004,0.01,0.03341764602987854,negligible
corhscirf,All other fields,wcount,1433.8635,1589.8297,1281.2928,-155.9663,-0.1217257026434229,negligible
corhscirf,All other fields,that_del,0.5614,0.589,0.9637,-0.0276,-0.02861523803750099,negligible
corhscirf,All other fields,contrac,0.7514,0.4477,1.2638,0.3037,0.24027285321904132,small
corhscirf,All other fields,pres,50.8241,55.3491,18.9131,-4.525,-0.23925084660106147,small
corhscirf,All other fields,pro2,0.5281,0.2288,1.1802,0.2993,0.2536055868911284,small
corhscirf,All other fields,pro_do,0.1667,0.1972,0.5723,-0.0305,-0.05337970504971335,negligible
corhscirf,All other fields,pdem,2.161,2.0873,1.9609,0.0738,0.03761675188865851,negligible
corhscirf,All other fields,gen_emph,1.5116,1.5091,1.6868,0.0025,0.0015078874497684658,negligible
corhscirf,All other fields,pro1,7.3024,8.7213,7.6384,-1.4189,-0.18575461864427126,negligible
corhscirf,All other fields,it,3.5386,3.8752,3.1486,-0.3367,-0.10692882503739369,negligible
corhscirf,All other fields,be_state,1.0546,1.2923,1.5402,-0.2376,-0.15429566419757254,negligible
corhscirf,All other fields,sub_cos,0.9229,0.7452,1.1033,0.1776,0.16101441841306913,negligible
corhscirf,All other fields,prtcle,0.0414,0.05,0.2467,-0.0086,-0.034832091295202525,negligible
corhscirf,All other fields,pany,0.7735,0.746,1.0303,0.0275,0.0267143189037059,negligible
corhscirf,All other fields,gen_hdg,0.19,0.1526,0.439,0.0374,0.08513144193680865,negligible
corhscirf,All other fields,amplifr,1.1944,1.3176,1.5772,-0.1233,-0.07815562093572187,negligible
corhscirf,All other fields,wh_ques,0.1502,0.1804,0.6794,-0.0302,-0.0444524227550364,negligible
corhscirf,All other fields,pos_mod,4.8133,5.2242,3.9231,-0.411,-0.1047577230321234,negligible
corhscirf,All other fields,o_and,8.0972,8.1745,4.6436,-0.0773,-0.016651575885573887,negligible
corhscirf,All other fields,wh_cl,0.1574,0.2554,0.5822,-0.098,-0.1683213249011775,negligible
corhscirf,All other fields,finlprep,0.3402,0.666,1.2297,-0.3258,-0.26494690099906965,small
corhscirf,All other fields,n,339.9727,341.5922,33.2343,-1.6195,-0.0487303006255616,negligible
corhscirf,All other fields,prep,134.2285,134.0186,16.1313,0.21,0.013015681843729296,negligible
corhscirf,All other fields,adj_attr,73.712,72.2399,19.7083,1.4721,0.07469581577999314,negligible
corhscirf,All other fields,pasttnse,29.8333,25.4433,16.3911,4.39,0.2678294055398894,small
corhscirf,All other fields,pro3,6.0723,5.8282,5.1087,0.2441,0.04778612521231368,negligible
corhscirf,All other fields,perfects,4.6538,4.7654,3.7075,-0.1116,-0.03009954791405967,negligible
corhscirf,All other fields,rel_obj,0.4582,0.5305,0.8342,-0.0722,-0.08658789761443542,negligible
corhscirf,All other fields,rel_subj,2.9438,2.5232,2.2126,0.4206,0.19007274560371126,negligible
corhscirf,All other fields,rel_pipe,0.6269,0.8559,1.1865,-0.229,-0.1929785252328608,negligible
corhscirf,All other fields,p_and,3.3823,2.8944,2.5696,0.488,0.18990612514939667,negligible
corhscirf,All other fields,tm_adv,1.7795,1.7671,1.7832,0.0124,0.006936665660364425,negligible
corhscirf,All other fields,pl_adv,3.0631,3.2537,3.7301,-0.1907,-0.05111960506789777,negligible
corhscirf,All other fields,advs,28.2622,29.3256,10.0588,-1.0633,-0.10570996429926628,negligible
corhscirf,All other fields,inf,10.0526,9.7322,5.0849,0.3204,0.06300461932613446,negligible
corhscirf,All other fields,prd_mod,1.3386,1.5915,2.0002,-0.253,-0.12646348771367752,negligible
corhscirf,All other fields,sua_vb,1.4799,1.5985,1.7867,-0.1186,-0.06635317387983583,negligible
corhscirf,All other fields,sub_cnd,0.7735,0.8846,1.3222,-0.1111,-0.08405358844366151,negligible
corhscirf,All other fields,nec_mod,0.9803,0.9701,1.4943,0.0103,0.006862082986093731,negligible
corhscirf,All other fields,spl_aux,3.0221,2.8893,2.1188,0.1328,0.06266241762498931,negligible
corhscirf,All other fields,conjncts,6.4137,6.3304,3.8561,0.0833,0.0215935002979126,negligible
corhscirf,All other fields,agls_psv,13.6695,12.1771,7.0441,1.4924,0.211869707620545,small
corhscirf,All other fields,by_pasv,2.1313,2.0123,1.8142,0.119,0.06558377250016732,negligible
corhscirf,All other fields,whiz_vbn,3.5269,3.6252,2.5565,-0.0983,-0.03844579054298451,negligible
corhscirf,All other fields,sub_othr,3.9221,3.8407,2.4954,0.0814,0.032628229050221065,negligible
corhscirf,All other fields,vcmp,4.5394,4.4907,3.5026,0.0486,0.01388926544888715,negligible
corhscirf,All other fields,downtone,2.2783,2.4388,1.9387,-0.1605,-0.0827654295929695,negligible
corhscirf,All other fields,pred_adj,5.2747,5.2047,3.3595,0.07,0.020832333558235088,negligible
corhscirf,All other fields,allmodal,7.1269,7.7844,5.3238,-0.6575,-0.12349347538977176,negligible
corhscirf,All other fields,allconj,17.1,16.5419,6.1427,0.5581,0.09085985314027177,negligible
corhscirf,All other fields,allpasv,19.3289,17.8148,8.3867,1.5141,0.18054004823108646,negligible
corhscirf,All other fields,allwh,0.3076,0.4354,0.9079,-0.1278,-0.14075710006725514,negligible
corhscirf,All other fields,allwhrel,4.0297,3.9104,2.7732,0.1193,0.04303026175608167,negligible
corhscirf,All other fields,alladj,98.659,96.4548,21.6161,2.2043,0.10197305709104934,negligible
corhscirf,All other fields,allpro,13.9052,14.7796,9.5952,-0.8744,-0.09112693197391365,negligible
corhscirf,All other fields,have,1.953,1.5813,1.7601,0.3717,0.2111620707160175,small
corhscirf,All other fields,allverb,102.0992,102.8672,14.9736,-0.768,-0.05128871104746411,negligible
corhscirf,All other fields,vprogrsv,5.243,5.5081,3.5282,-0.2651,-0.07513394700138086,negligible
corhscirf,All other fields,that_rel,3.1406,3.4814,2.7608,-0.3409,-0.123473644359593,negligible
corhscirf,All other fields,jcmp,0.1815,0.2387,0.5626,-0.0572,-0.10169835927291758,negligible
corhscirf,All other fields,nonf_vth,1.8562,1.9205,1.8385,-0.0643,-0.034950052325551505,negligible
corhscirf,All other fields,att_vth,0.512,0.4677,0.8442,0.0443,0.05248713616968364,negligible
corhscirf,All other fields,fact_vth,2.0787,2.0456,2.1264,0.0331,0.015588041909532894,negligible
corhscirf,All other fields,lkly_vth,1.6373,1.4119,1.6256,0.2254,0.13867512397561246,negligible
corhscirf,All other fields,att_jth,0.1574,0.2065,0.4973,-0.0491,-0.09867834640869129,negligible
corhscirf,All other fields,fact_jth,0.0859,0.0914,0.3212,-0.0055,-0.017086074795296845,negligible
corhscirf,All other fields,lkly_jth,0.6518,0.6845,1.3624,-0.0327,-0.023975692467955046,negligible
corhscirf,All other fields,nfct_nth,0.0406,0.042,0.2226,-0.0014,-0.006253715777009604,negligible
corhscirf,All other fields,att_nth,0.0482,0.0378,0.1942,0.0104,0.05363997270387703,negligible
corhscirf,All other fields,fct_nth,0.2072,0.2278,0.6082,-0.0205,-0.03376540975890774,negligible
corhscirf,All other fields,lkly_nth,0.2631,0.2945,0.7154,-0.0315,-0.04401260936664724,negligible
corhscirf,All other fields,spch_vto,0.3643,0.2827,0.6948,0.0816,0.11745589921824719,negligible
corhscirf,All other fields,mntl_vto,0.645,0.4304,0.8076,0.2145,0.2656350193694417,small
corhscirf,All other fields,dsre_vto,0.8546,0.81,1.1371,0.0446,0.03920343953529406,negligible
corhscirf,All other fields,efrt_vto,1.0169,1.1489,1.3483,-0.1321,-0.09795535319421343,negligible
corhscirf,All other fields,prob_vto,0.5112,0.4887,0.9099,0.0225,0.02477602482033282,negligible
corhscirf,All other fields,x1_jto,0.7884,0.613,1.2804,0.1753,0.13692148263345966,negligible
corhscirf,All other fields,x2_jto,0.359,0.3448,0.7318,0.0142,0.019462963605372346,negligible
corhscirf,All other fields,x3_jto,0.0016,0.0132,0.11,-0.0116,-0.10535144878611598,negligible
corhscirf,All other fields,x4_jto,0.1044,0.2723,0.6109,-0.1679,-0.2748609884354777,small
corhscirf,All other fields,x5_jto,0.2028,0.2662,0.5945,-0.0634,-0.10669497796073908,negligible
corhscirf,All other fields,all_nto,0.7241,0.7474,1.3059,-0.0233,-0.017816496372487393,negligible
corhscirf,All other fields,nonfadvl,0.8378,0.7925,1.0548,0.0452,0.04289869850908133,negligible
corhscirf,All other fields,atadvl,0.0474,0.0636,0.2564,-0.0162,-0.06327897423616634,negligible
corhscirf,All other fields,fctadvl,0.4353,0.4568,0.8573,-0.0215,-0.025077235498098815,negligible
corhscirf,All other fields,lklydvl,0.2819,0.2877,0.6758,-0.0058,-0.008558043364769714,negligible
corhscirf,All other fields,all_vth,6.0847,5.8457,3.8316,0.2391,0.06239225100720651,negligible
corhscirf,All other fields,all_jth,0.8936,0.9825,1.5048,-0.0889,-0.059069322258200656,negligible
corhscirf,All other fields,all_nth,0.557,0.602,1.0287,-0.0449,-0.043673480618835074,negligible
corhscirf,All other fields,all_th,7.5325,7.4307,4.7576,0.1018,0.021396208786983225,negligible
corhscirf,All other fields,all_vto,3.3936,3.1609,2.3676,0.2327,0.09829226560776402,negligible
corhscirf,All other fields,all_jto,1.4538,1.5103,1.7648,-0.0564,-0.031981113974031035,negligible
corhscirf,All other fields,all_to,5.5723,5.4183,3.6106,0.154,0.04264576651336052,negligible
corhscirf,All other fields,all_advl,1.6016,1.601,1.6216,0.0006,0.0003632431442935209,negligible
corhscirf,All other fields,act_ipv,0.0133,0.0061,0.1022,0.0072,0.07047261252167566,negligible
