Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscisoc,abs,All other sections,x4_jto,0.8,0.1373,0.6917,0.6627,0.9581,large
corhscisoc,abs,All other sections,all_jth,2.2875,0.7904,2.0989,1.4971,0.7133,medium
corhscisoc,abs,All other sections,lkly_jth,1.9875,0.6373,2.0519,1.3502,0.658,medium
corhscisoc,abs,All other sections,abstrcn,51.8625,38.5282,23.0727,13.3343,0.5779,medium
corhscisoc,abs,All other sections,pro3,8.2875,5.0831,5.5547,3.2044,0.5769,medium
corhscisoc,abs,All other sections,pasttnse,39.2125,30.9571,15.9035,8.2554,0.5191,medium
corhscisoc,abs,All other sections,prep,148.4,136.5768,22.8465,11.8232,0.5175,medium
corhscisoc,abs,All other sections,all_jto,2.7875,1.4311,2.7125,1.3564,0.5001,medium
corhscisoc,abs,All other sections,tm_adv,2.3,1.3294,1.9472,0.9706,0.4985,small
corhscisoc,abs,All other sections,wh_cl,0.7625,0.2972,0.9647,0.4653,0.4824,small
corhscisoc,abs,All other sections,inf,13.325,10.2672,6.9671,3.0578,0.4389,small
corhscisoc,abs,All other sections,act_tpv,0.8125,0.3056,1.1836,0.5069,0.4282,small
corhscisoc,abs,All other sections,that_del,1.15,0.5492,1.4293,0.6008,0.4204,small
corhscisoc,abs,All other sections,contrac,0.7125,0.2797,1.0814,0.4328,0.4002,small
corhscisoc,abs,All other sections,x1_jto,1.6,0.7435,2.193,0.8565,0.3906,small
corhscisoc,abs,All other sections,rel_pipe,1.575,0.7898,2.1212,0.7852,0.3702,small
corhscisoc,abs,All other sections,mentalv,14.9875,12.5232,6.7137,2.4643,0.3671,small
corhscisoc,abs,All other sections,x5_jto,0.4,0.1576,0.6764,0.2424,0.3583,small
corhscisoc,abs,All other sections,sub_othr,3.875,2.8056,3.218,1.0694,0.3323,small
corhscisoc,abs,All other sections,all_nto,1.4125,0.7333,2.0665,0.6792,0.3286,small
corhscisoc,abs,All other sections,fact_vth,2.75,1.8508,2.7471,0.8992,0.3273,small
corhscisoc,abs,All other sections,allpro,16.5875,13.3429,10.6874,3.2446,0.3036,small
corhscisoc,abs,All other sections,vprogrsv,7.025,5.6684,4.5821,1.3566,0.2961,small
corhscisoc,abs,All other sections,all_th,8.1,6.5124,5.4627,1.5876,0.2906,small
corhscisoc,abs,All other sections,all_to,6.55,5.1079,4.967,1.4421,0.2903,small
