Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscisoc,con,All other sections,pro3,8.6,4.8443,5.149,3.7557,0.7294,medium
corhscisoc,con,All other sections,that_rel,7.2667,4.4757,3.8659,2.791,0.7219,medium
corhscisoc,con,All other sections,contrac,1.0778,0.3736,1.0594,0.7042,0.6647,medium
corhscisoc,con,All other sections,allpro,22.0889,15.0654,10.7244,7.0235,0.6549,medium
corhscisoc,con,All other sections,pro_do,0.5667,0.1886,0.649,0.3781,0.5826,medium
corhscisoc,con,All other sections,lkly_jth,2.2556,1.0293,2.1695,1.2263,0.5652,medium
corhscisoc,con,All other sections,x1_jto,1.5778,0.71,1.6666,0.8678,0.5207,medium
corhscisoc,con,All other sections,all_jth,2.8556,1.6086,2.4146,1.247,0.5164,medium
corhscisoc,con,All other sections,pres,71.5167,63.8032,16.8356,7.7135,0.4582,small
corhscisoc,con,All other sections,commv,7.8,6.0157,4.0811,1.7843,0.4372,small
corhscisoc,con,All other sections,humann,6.2667,3.6996,6.2862,2.567,0.4084,small
corhscisoc,con,All other sections,topicj,12.3056,8.5796,9.2118,3.7259,0.4045,small
corhscisoc,con,All other sections,conjncts,9.0278,7.2011,5.0139,1.8267,0.3643,small
corhscisoc,con,All other sections,allverb,108.4667,102.0514,17.6421,6.4152,0.3636,small
corhscisoc,con,All other sections,pro1,13.3833,10.1846,9.2499,3.1987,0.3458,small
corhscisoc,con,All other sections,all_jto,3.0722,2.1954,2.5874,0.8769,0.3389,small
corhscisoc,con,All other sections,commpv,0.1722,0.0611,0.3347,0.1112,0.3321,small
corhscisoc,con,All other sections,be_state,3.0056,2.2021,2.4754,0.8034,0.3246,small
corhscisoc,con,All other sections,vcmp,7.2333,5.9254,4.2236,1.308,0.3097,small
corhscisoc,con,All other sections,nonf_vth,2.7556,2.1089,2.3214,0.6466,0.2785,small
corhscisoc,con,All other sections,pdem,3.5611,2.8118,2.884,0.7493,0.2598,small
corhscisoc,con,All other sections,gen_hdg,0.3111,0.1561,0.6249,0.155,0.2481,small
corhscisoc,con,All other sections,dsre_vto,1.4556,1.0318,1.7519,0.4238,0.2419,small
corhscisoc,con,All other sections,pro2,0.1056,0.0393,0.2866,0.0663,0.2312,small
corhscisoc,con,All other sections,all_th,10.7833,9.3893,6.123,1.394,0.2277,small
corhscisoc,con,All other sections,mentalv,13.7889,12.3189,6.5747,1.47,0.2236,small
corhscisoc,con,All other sections,pred_adj,7.1889,6.1954,4.443,0.9935,0.2236,small
corhscisoc,con,All other sections,atadvl,0.2444,0.1307,0.513,0.1137,0.2217,small
corhscisoc,con,All other sections,all_to,7.7889,6.7475,4.8297,1.0414,0.2156,small
corhscisoc,con,All other sections,mntl_vto,0.4389,0.2743,0.7752,0.1646,0.2123,small
corhscisoc,con,All other sections,jcmp,0.6111,0.3782,1.126,0.2329,0.2068,small
corhscisoc,con,All other sections,fact_vth,3.3,2.7393,2.8818,0.5607,0.1946,negligible
corhscisoc,con,All other sections,prep,138.8333,135.8029,17.0645,3.0305,0.1776,negligible
corhscisoc,con,All other sections,ttr,30.85,30.3525,2.9083,0.4975,0.1711,negligible
corhscisoc,con,All other sections,nfct_nth,0.0889,0.0386,0.2994,0.0503,0.168,negligible
corhscisoc,con,All other sections,finlprep,0.8389,0.5661,1.6427,0.2728,0.1661,negligible
corhscisoc,con,All other sections,inf,12.1,11.1254,6.5453,0.9746,0.1489,negligible
corhscisoc,con,All other sections,prcessn,25.3333,23.5232,13.0902,1.8101,0.1383,negligible
corhscisoc,con,All other sections,nonfadvl,0.8167,0.6604,1.2318,0.1563,0.1269,negligible
corhscisoc,con,All other sections,causev,3.7667,3.3536,3.3424,0.4131,0.1236,negligible
corhscisoc,con,All other sections,concrtn,8.1,7.2804,6.7981,0.8196,0.1206,negligible
corhscisoc,con,All other sections,wh_cl,0.4778,0.3821,0.8819,0.0956,0.1084,negligible
corhscisoc,con,All other sections,all_vth,7.5,7.0646,4.5626,0.4354,0.0954,negligible
corhscisoc,con,All other sections,wrlengh,5.5056,5.4811,0.285,0.0245,0.0859,negligible
corhscisoc,con,All other sections,colorj,0.0889,0.0457,0.5027,0.0432,0.0859,negligible
corhscisoc,con,All other sections,n,334.3889,331.6514,33.9333,2.7375,0.0807,negligible
corhscisoc,con,All other sections,cognitn,8.6,8.1164,6.3147,0.4836,0.0766,negligible
corhscisoc,con,All other sections,advs,34.0722,33.2511,10.8901,0.8212,0.0754,negligible
corhscisoc,con,All other sections,o_and,8.1944,7.8543,5.4008,0.3402,0.063,negligible
corhscisoc,con,All other sections,att_vth,0.5556,0.4975,1.0468,0.0581,0.0555,negligible
corhscisoc,con,All other sections,sub_cos,0.7389,0.6671,1.3244,0.0717,0.0542,negligible
corhscisoc,con,All other sections,sub_othr,4.6611,4.4761,3.5821,0.185,0.0517,negligible
corhscisoc,con,All other sections,x2_jto,0.5556,0.4996,1.1481,0.0559,0.0487,negligible
corhscisoc,con,All other sections,all_vto,3.7333,3.6132,2.8704,0.1201,0.0418,negligible
corhscisoc,con,All other sections,x5_jto,0.5278,0.485,1.0708,0.0428,0.0399,negligible
corhscisoc,con,All other sections,abstrcn,35.4444,34.8882,17.7416,0.5562,0.0314,negligible
corhscisoc,con,All other sections,att_jth,0.4444,0.4154,0.996,0.0291,0.0292,negligible
corhscisoc,con,All other sections,all_nto,0.9944,0.9425,1.8008,0.0519,0.0288,negligible
corhscisoc,con,All other sections,pos_mod,7.7889,7.6561,5.0226,0.1328,0.0264,negligible
corhscisoc,con,All other sections,wcount,582.1667,575.5071,298.0371,6.6595,0.0223,negligible
corhscisoc,con,All other sections,groupn,2.6278,2.5318,4.6033,0.096,0.0209,negligible
corhscisoc,con,All other sections,evalj,1.3556,1.3182,2.1243,0.0373,0.0176,negligible
corhscisoc,con,All other sections,relatnj,5.0944,5.0568,4.0632,0.0377,0.0093,negligible
corhscisoc,con,All other sections,prd_mod,2.6611,2.6543,3.0681,0.0068,0.0022,negligible
corhscisoc,con,All other sections,existv,8.0889,8.0968,4.4175,-0.0079,-0.0018,negligible
corhscisoc,con,All other sections,occurv,2.7889,2.795,2.7753,-0.0061,-0.0022,negligible
corhscisoc,con,All other sections,fact_jth,0.1611,0.1657,0.6116,-0.0046,-0.0075,negligible
corhscisoc,con,All other sections,gen_emph,1.5,1.515,1.894,-0.015,-0.0079,negligible
corhscisoc,con,All other sections,allwh,0.4778,0.4882,1.1393,-0.0104,-0.0092,negligible
corhscisoc,con,All other sections,vprogrsv,5.5722,5.6486,4.4304,-0.0763,-0.0172,negligible
corhscisoc,con,All other sections,efrt_vto,1.3444,1.3989,1.8173,-0.0545,-0.03,negligible
corhscisoc,con,All other sections,rel_pipe,0.6111,0.6611,1.1605,-0.05,-0.0431,negligible
corhscisoc,con,All other sections,sua_vb,1.9833,2.0914,2.3566,-0.1081,-0.0459,negligible
corhscisoc,con,All other sections,allmodal,12.2333,12.6218,7.117,-0.3885,-0.0546,negligible
corhscisoc,con,All other sections,lklydvl,0.4667,0.5468,1.3036,-0.0801,-0.0615,negligible
corhscisoc,con,All other sections,act_ipv,0.0,0.0029,0.0464,-0.0029,-0.0616,negligible
corhscisoc,con,All other sections,allconj,16.6167,17.0746,7.4054,-0.458,-0.0618,negligible
corhscisoc,con,All other sections,all_advl,1.8556,2.0014,2.2629,-0.1459,-0.0645,negligible
corhscisoc,con,All other sections,x4_jto,0.4222,0.4889,1.0181,-0.0667,-0.0655,negligible
corhscisoc,con,All other sections,fct_nth,0.2944,0.3614,1.0066,-0.067,-0.0665,negligible
corhscisoc,con,All other sections,mentalpv,0.0,0.0143,0.1671,-0.0143,-0.0855,negligible
corhscisoc,con,All other sections,x3_jto,0.0,0.0114,0.131,-0.0114,-0.0872,negligible
corhscisoc,con,All other sections,pasttnse,15.0444,16.0439,10.659,-0.9995,-0.0938,negligible
corhscisoc,con,All other sections,copulapv,0.0,0.0196,0.1981,-0.0196,-0.0991,negligible
corhscisoc,con,All other sections,perfects,4.3,4.7496,4.3114,-0.4496,-0.1043,negligible
corhscisoc,con,All other sections,actv,15.45,16.1668,6.7885,-0.7168,-0.1056,negligible
corhscisoc,con,All other sections,rel_subj,1.9222,2.18,2.3748,-0.2578,-0.1085,negligible
corhscisoc,con,All other sections,placen,5.4778,6.5732,7.9438,-1.0954,-0.1379,negligible
corhscisoc,con,All other sections,sizej,2.2556,2.7914,3.6965,-0.5359,-0.145,negligible
corhscisoc,con,All other sections,have,1.2889,1.5704,1.9411,-0.2815,-0.145,negligible
corhscisoc,con,All other sections,act_tpv,0.1444,0.2721,0.8655,-0.1277,-0.1475,negligible
corhscisoc,con,All other sections,att_nth,0.0,0.0471,0.2998,-0.0471,-0.1573,negligible
corhscisoc,con,All other sections,tccncrt,4.7167,5.7586,6.6142,-1.0419,-0.1575,negligible
corhscisoc,con,All other sections,amplifr,1.3167,1.6261,1.9625,-0.3094,-0.1577,negligible
corhscisoc,con,All other sections,wh_ques,0.0,0.1054,0.6557,-0.1054,-0.1607,negligible
corhscisoc,con,All other sections,prob_vto,0.5056,0.7129,1.2624,-0.2073,-0.1642,negligible
corhscisoc,con,All other sections,prtcle,0.0,0.0546,0.3321,-0.0546,-0.1645,negligible
corhscisoc,con,All other sections,downtone,1.8944,2.2968,2.3697,-0.4023,-0.1698,negligible
corhscisoc,con,All other sections,nec_mod,1.7944,2.3132,2.9562,-0.5188,-0.1755,negligible
corhscisoc,con,All other sections,timej,0.8333,1.2225,2.19,-0.3892,-0.1777,negligible
corhscisoc,con,All other sections,quann,5.0833,6.3286,6.9749,-1.2452,-0.1785,negligible
corhscisoc,con,All other sections,pl_adv,2.9,3.9414,5.5984,-1.0414,-0.186,negligible
corhscisoc,con,All other sections,it,4.4167,5.1575,3.9735,-0.7408,-0.1864,negligible
corhscisoc,con,All other sections,that_del,0.4056,0.6746,1.4042,-0.2691,-0.1916,negligible
corhscisoc,con,All other sections,all_nth,0.4389,0.7139,1.4345,-0.275,-0.1917,negligible
corhscisoc,con,All other sections,whiz_vbn,2.8333,3.4504,3.1646,-0.617,-0.195,negligible
corhscisoc,con,All other sections,aspectv,0.3444,0.5886,1.2281,-0.2441,-0.1988,negligible
corhscisoc,con,All other sections,sub_cnd,0.5,0.7843,1.418,-0.2843,-0.2005,small
corhscisoc,con,All other sections,allwhrel,2.7556,3.4557,3.0476,-0.7002,-0.2297,small
corhscisoc,con,All other sections,p_and,2.5167,3.2943,3.1743,-0.7776,-0.245,small
corhscisoc,con,All other sections,lkly_nth,0.0611,0.2686,0.8321,-0.2075,-0.2493,small
corhscisoc,con,All other sections,fctadvl,0.3389,0.6664,1.2026,-0.3275,-0.2724,small
corhscisoc,con,All other sections,tm_adv,0.8222,1.3936,1.8424,-0.5713,-0.3101,small
corhscisoc,con,All other sections,spl_aux,2.1333,2.9911,2.722,-0.8577,-0.3151,small
corhscisoc,con,All other sections,by_pasv,1.0556,1.7618,2.2397,-0.7062,-0.3153,small
corhscisoc,con,All other sections,spch_vto,0.0,0.1961,0.5799,-0.1961,-0.3381,small
corhscisoc,con,All other sections,adj_attr,75.3778,83.3421,23.5136,-7.9644,-0.3387,small
corhscisoc,con,All other sections,rel_obj,0.2222,0.6143,1.1498,-0.3921,-0.341,small
corhscisoc,con,All other sections,pany,0.2278,0.63,1.1473,-0.4022,-0.3506,small
corhscisoc,con,All other sections,alladj,99.5056,108.705,25.0541,-9.1994,-0.3672,small
corhscisoc,con,All other sections,lkly_vth,0.8833,1.7214,2.0259,-0.8381,-0.4137,small
corhscisoc,con,All other sections,agls_psv,6.2444,8.7232,5.6146,-2.4788,-0.4415,small
corhscisoc,con,All other sections,allpasv,10.1333,13.9314,7.2355,-3.7981,-0.5249,medium
corhscisoc,con,All other sections,occurpv,0.0,0.0,0.0,0.0,,
corhscisoc,con,All other sections,aspectpv,0.0,0.0,0.0,0.0,,
