Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscisoc,int,All other sections,ttr,31.7988,31.8211,2.2397,-0.0223,-0.009941873194249592,negligible
corhscisoc,int,All other sections,wrlengh,5.5576,5.524,0.2732,0.0337,0.12324638844959666,negligible
corhscisoc,int,All other sections,wcount,1165.8706,1176.2895,886.4414,-10.4189,-0.011753632779758992,negligible
corhscisoc,int,All other sections,that_del,0.5706,0.4588,0.7709,0.1118,0.1450294132268988,negligible
corhscisoc,int,All other sections,contrac,1.0412,0.4431,1.1201,0.598,0.5339143265462578,medium
corhscisoc,int,All other sections,pres,67.7835,62.6663,14.7902,5.1172,0.345987142244619,small
corhscisoc,int,All other sections,pro2,0.1282,0.0898,0.4981,0.0384,0.07713782658042911,negligible
corhscisoc,int,All other sections,pro_do,0.3,0.1982,0.572,0.1018,0.17791330290400426,negligible
corhscisoc,int,All other sections,pdem,1.8694,1.8807,1.8038,-0.0113,-0.006243338194521348,negligible
corhscisoc,int,All other sections,gen_emph,1.5141,1.6232,1.6705,-0.1091,-0.06528599459166931,negligible
corhscisoc,int,All other sections,pro1,7.5612,6.3819,5.8454,1.1793,0.2017491329654748,small
corhscisoc,int,All other sections,it,4.18,4.4528,3.3583,-0.2728,-0.08122249193250619,negligible
corhscisoc,int,All other sections,be_state,1.3235,1.3301,1.5805,-0.0065,-0.0041396149998156745,negligible
corhscisoc,int,All other sections,sub_cos,0.6706,0.7759,1.1706,-0.1053,-0.08993114384243742,negligible
corhscisoc,int,All other sections,prtcle,0.0953,0.0516,0.2812,0.0437,0.15523959521891156,negligible
corhscisoc,int,All other sections,pany,0.8635,0.8099,1.0879,0.0537,0.04932816545552207,negligible
corhscisoc,int,All other sections,gen_hdg,0.0659,0.1295,0.4608,-0.0636,-0.13809305685865864,negligible
corhscisoc,int,All other sections,amplifr,1.1776,1.2158,1.4886,-0.0382,-0.02562851051290706,negligible
corhscisoc,int,All other sections,wh_ques,0.4706,0.2185,0.7353,0.2521,0.342781910322623,small
corhscisoc,int,All other sections,pos_mod,6.6118,5.7322,3.9339,0.8795,0.22357542853753865,small
corhscisoc,int,All other sections,o_and,9.3353,8.9067,4.8901,0.4286,0.08765466207915955,negligible
corhscisoc,int,All other sections,wh_cl,0.2682,0.2656,0.5974,0.0026,0.004415665721335019,negligible
corhscisoc,int,All other sections,finlprep,0.5212,0.5329,0.9807,-0.0117,-0.011932664030888454,negligible
corhscisoc,int,All other sections,n,347.3353,342.8463,30.7205,4.489,0.14612454981636572,negligible
corhscisoc,int,All other sections,prep,135.0153,135.3596,15.4191,-0.3443,-0.022328678893085322,negligible
corhscisoc,int,All other sections,adj_attr,79.2224,80.6819,19.1387,-1.4595,-0.07626014340241354,negligible
corhscisoc,int,All other sections,pasttnse,14.4376,16.4828,9.3086,-2.0451,-0.21970119601827048,small
corhscisoc,int,All other sections,pro3,9.1447,6.3251,5.125,2.8196,0.5501720475780265,medium
corhscisoc,int,All other sections,perfects,7.4153,7.0445,4.0138,0.3708,0.09237776576455463,negligible
corhscisoc,int,All other sections,rel_obj,0.6176,0.5668,0.8873,0.0508,0.057305605530227066,negligible
