Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscisoc,mm,All other sections,pro1,15.573,10.5325,8.9841,5.0405,0.561,medium
corhscisoc,mm,All other sections,allpro,21.3381,16.2766,10.1574,5.0615,0.4983,small
corhscisoc,mm,All other sections,contrac,0.7968,0.3559,0.9288,0.441,0.4747,small
corhscisoc,mm,All other sections,humann,7.8349,5.1742,5.8094,2.6607,0.458,small
corhscisoc,mm,All other sections,allwhrel,4.9032,3.8642,2.639,1.039,0.3937,small
corhscisoc,mm,All other sections,abstrcn,32.7,28.6847,12.224,4.0153,0.3285,small
corhscisoc,mm,All other sections,rel_subj,3.2222,2.5417,2.1181,0.6805,0.3213,small
corhscisoc,mm,All other sections,sub_othr,3.9794,3.2771,2.222,0.7023,0.3161,small
corhscisoc,mm,All other sections,pdem,2.0048,1.5311,1.5889,0.4736,0.2981,small
corhscisoc,mm,All other sections,x2_jto,0.4381,0.2726,0.5639,0.1655,0.2934,small
corhscisoc,mm,All other sections,sua_vb,1.9206,1.4507,1.6051,0.4699,0.2928,small
corhscisoc,mm,All other sections,conjncts,5.0048,4.199,2.9441,0.8058,0.2737,small
corhscisoc,mm,All other sections,rel_obj,0.6016,0.417,0.6824,0.1846,0.2705,small
corhscisoc,mm,All other sections,existv,9.9921,8.9322,3.9993,1.0599,0.265,small
corhscisoc,mm,All other sections,allverb,107.1905,104.1456,12.9627,3.0449,0.2349,small
corhscisoc,mm,All other sections,pos_mod,3.3937,2.7577,2.7284,0.636,0.2331,small
corhscisoc,mm,All other sections,x3_jto,0.0492,0.0181,0.1428,0.0311,0.2177,small
corhscisoc,mm,All other sections,prcessn,20.4222,18.6432,8.801,1.779,0.2021,small
corhscisoc,mm,All other sections,pres,44.5111,41.0474,19.6458,3.4637,0.1763,negligible
corhscisoc,mm,All other sections,that_rel,3.2429,2.8275,2.4266,0.4154,0.1712,negligible
corhscisoc,mm,All other sections,nfct_nth,0.0556,0.0249,0.1904,0.0307,0.1613,negligible
corhscisoc,mm,All other sections,topicj,4.3317,3.5991,4.5665,0.7327,0.1604,negligible
corhscisoc,mm,All other sections,sub_cos,0.9603,0.7848,1.1017,0.1755,0.1593,negligible
corhscisoc,mm,All other sections,mentalv,13.127,12.3246,5.0709,0.8024,0.1582,negligible
corhscisoc,mm,All other sections,inf,9.2873,8.6692,3.9938,0.6181,0.1548,negligible
corhscisoc,mm,All other sections,be_state,0.7476,0.6042,0.9294,0.1434,0.1543,negligible
corhscisoc,mm,All other sections,allmodal,4.8048,4.2655,3.5989,0.5393,0.1499,negligible
corhscisoc,mm,All other sections,att_vth,0.5429,0.4274,0.7817,0.1155,0.1478,negligible
corhscisoc,mm,All other sections,timej,0.6333,0.4757,1.1642,0.1576,0.1354,negligible
corhscisoc,mm,All other sections,rel_pipe,1.0698,0.9044,1.2336,0.1654,0.1341,negligible
corhscisoc,mm,All other sections,dsre_vto,0.6524,0.5553,0.7847,0.0971,0.1237,negligible
corhscisoc,mm,All other sections,spl_aux,2.5921,2.3749,1.7774,0.2171,0.1222,negligible
corhscisoc,mm,All other sections,aspectpv,0.0095,0.0035,0.0501,0.006,0.1196,negligible
corhscisoc,mm,All other sections,advs,23.2698,22.3192,8.0525,0.9507,0.1181,negligible
corhscisoc,mm,All other sections,allconj,16.5143,15.9079,5.8126,0.6064,0.1043,negligible
corhscisoc,mm,All other sections,att_nth,0.0381,0.0234,0.1456,0.0147,0.1011,negligible
corhscisoc,mm,All other sections,pany,0.8397,0.7604,1.0322,0.0792,0.0768,negligible
corhscisoc,mm,All other sections,all_jto,0.9984,0.9058,1.2588,0.0926,0.0736,negligible
corhscisoc,mm,All other sections,quann,9.4095,8.9258,6.6853,0.4838,0.0724,negligible
corhscisoc,mm,All other sections,cognitn,6.5571,6.2766,4.4181,0.2805,0.0635,negligible
corhscisoc,mm,All other sections,it,2.719,2.5737,2.457,0.1454,0.0592,negligible
corhscisoc,mm,All other sections,prd_mod,1.0857,1.0065,1.371,0.0792,0.0578,negligible
