Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscisoc,rd,All other sections,ttr,29.4282,29.3305,3.1687,0.0977,0.030841504633298825,negligible
corhscisoc,rd,All other sections,wrlengh,5.3153,5.3017,0.2784,0.0136,0.04896588429769332,negligible
corhscisoc,rd,All other sections,wcount,2671.4353,2567.4755,1469.0048,103.9598,0.07076884419346788,negligible
corhscisoc,rd,All other sections,that_del,0.7682,0.7539,0.9874,0.0143,0.014484639829476079,negligible
corhscisoc,rd,All other sections,contrac,1.1,0.5099,1.6299,0.5901,0.3620670303249307,small
corhscisoc,rd,All other sections,pres,59.7212,56.153,16.0899,3.5682,0.2217664879623968,small
corhscisoc,rd,All other sections,pro2,0.4071,0.2657,1.2708,0.1413,0.11120827896261608,negligible
corhscisoc,rd,All other sections,pro_do,0.2965,0.2052,0.5416,0.0912,0.16844680892563046,negligible
corhscisoc,rd,All other sections,pdem,2.8165,2.6451,1.8449,0.1714,0.09288813066847086,negligible
corhscisoc,rd,All other sections,gen_emph,1.9306,1.8133,1.6495,0.1173,0.07111300553831372,negligible
corhscisoc,rd,All other sections,pro1,10.86,8.776,6.9926,2.084,0.2980203138842008,small
corhscisoc,rd,All other sections,it,3.9929,4.077,2.7919,-0.0841,-0.03011149033431936,negligible
corhscisoc,rd,All other sections,be_state,1.5565,1.564,1.3395,-0.0075,-0.005610559238331962,negligible
corhscisoc,rd,All other sections,sub_cos,0.5918,0.8152,0.9587,-0.2234,-0.2330609001627842,small
corhscisoc,rd,All other sections,prtcle,0.0482,0.0481,0.1535,0.0002,0.0010314277547059665,negligible
corhscisoc,rd,All other sections,pany,0.7153,0.7279,0.8547,-0.0126,-0.014730960653115162,negligible
corhscisoc,rd,All other sections,gen_hdg,0.3106,0.2377,0.428,0.0729,0.170358466076268,negligible
corhscisoc,rd,All other sections,amplifr,1.5435,1.5675,1.3668,-0.024,-0.01752537821459633,negligible
corhscisoc,rd,All other sections,wh_ques,0.1718,0.0988,0.2817,0.073,0.25907068090678004,small
corhscisoc,rd,All other sections,pos_mod,5.9094,5.9797,3.3631,-0.0703,-0.020905978015991523,negligible
corhscisoc,rd,All other sections,o_and,7.7082,7.3594,3.7561,0.3489,0.09288297870368248,negligible
corhscisoc,rd,All other sections,wh_cl,0.2541,0.2524,0.445,0.0018,0.003949064236844262,negligible
corhscisoc,rd,All other sections,finlprep,0.7988,0.6832,1.1093,0.1156,0.1042170789575407,negligible
corhscisoc,rd,All other sections,n,330.1388,332.3392,30.0341,-2.2004,-0.07326410252065911,negligible
corhscisoc,rd,All other sections,prep,135.0906,135.3509,15.6198,-0.2603,-0.01666389563229836,negligible
corhscisoc,rd,All other sections,adj_attr,67.3988,68.9235,16.6973,-1.5247,-0.09131333418784854,negligible
corhscisoc,rd,All other sections,pasttnse,25.9247,26.5136,13.775,-0.5889,-0.042753657647271064,negligible
corhscisoc,rd,All other sections,pro3,7.9106,5.7418,5.2831,2.1688,0.4105193752606841,small
corhscisoc,rd,All other sections,perfects,3.4082,3.9012,2.6609,-0.493,-0.18526785986518524,negligible
corhscisoc,rd,All other sections,rel_obj,0.6718,0.5425,0.7231,0.1293,0.17879972580893158,negligible
corhscisoc,rd,All other sections,rel_subj,3.1,2.7134,2.2204,0.3866,0.17412270948173952,negligible
corhscisoc,rd,All other sections,rel_pipe,0.7129,0.7112,0.784,0.0018,0.0022352344335272783,negligible
corhscisoc,rd,All other sections,p_and,2.62,2.5449,1.9538,0.0751,0.038421634389141375,negligible
corhscisoc,rd,All other sections,tm_adv,1.3929,1.5181,1.4468,-0.1252,-0.08650486189597886,negligible
corhscisoc,rd,All other sections,pl_adv,3.1341,3.3284,3.1372,-0.1943,-0.061930521226330144,negligible
corhscisoc,rd,All other sections,advs,33.7224,31.9227,8.2616,1.7996,0.21783128562372003,small
corhscisoc,rd,All other sections,inf,9.6271,8.6972,4.4642,0.9299,0.20829057514506533,small
corhscisoc,rd,All other sections,prd_mod,1.8388,1.7413,1.8121,0.0976,0.053840418675109025,negligible
corhscisoc,rd,All other sections,sua_vb,1.3776,1.3169,1.4661,0.0608,0.04145372296912035,negligible
corhscisoc,rd,All other sections,sub_cnd,0.9871,0.904,1.0887,0.083,0.07626949160252809,negligible
corhscisoc,rd,All other sections,nec_mod,1.1706,1.1531,1.243,0.0174,0.014031350015312855,negligible
corhscisoc,rd,All other sections,spl_aux,2.7859,2.7686,1.6042,0.0173,0.010761329222933491,negligible
corhscisoc,rd,All other sections,conjncts,7.0376,7.0382,3.1635,-0.0006,-0.0001745692063670945,negligible
corhscisoc,rd,All other sections,agls_psv,9.5012,10.2034,4.3036,-0.7022,-0.16317268125061138,negligible
corhscisoc,rd,All other sections,by_pasv,1.4718,1.7924,1.3189,-0.3206,-0.24310594233075042,small
corhscisoc,rd,All other sections,whiz_vbn,3.7024,3.4171,2.1488,0.2852,0.1327326420342091,negligible
corhscisoc,rd,All other sections,sub_othr,4.0988,4.2757,2.0344,-0.1769,-0.08694412604124517,negligible
corhscisoc,rd,All other sections,vcmp,7.0118,5.9634,3.097,1.0484,0.33852321697530624,small
corhscisoc,rd,All other sections,downtone,2.7694,2.9861,1.8186,-0.2167,-0.11915416828185445,negligible
corhscisoc,rd,All other sections,pred_adj,6.7165,6.7477,2.9932,-0.0313,-0.010442519097142925,negligible
corhscisoc,rd,All other sections,allmodal,8.9259,8.8732,4.6079,0.0527,0.011440809049371684,negligible
corhscisoc,rd,All other sections,allconj,16.0282,15.9039,4.8432,0.1243,0.025665120260823838,negligible
corhscisoc,rd,All other sections,allpasv,14.6659,15.4141,5.2463,-0.7482,-0.1426127155107835,negligible
corhscisoc,rd,All other sections,allwh,0.4247,0.3504,0.5526,0.0743,0.13440374036275685,negligible
corhscisoc,rd,All other sections,allwhrel,4.4929,3.9684,2.5618,0.5245,0.20473407815441658,small
corhscisoc,rd,All other sections,alladj,93.8624,95.4955,18.712,-1.6331,-0.08727585921698072,negligible
corhscisoc,rd,All other sections,allpro,19.1706,14.786,9.8384,4.3846,0.44566150382359726,small
corhscisoc,rd,All other sections,have,2.4882,2.1503,1.972,0.3379,0.1713410634229615,negligible
corhscisoc,rd,All other sections,allverb,105.9294,102.6883,14.9953,3.2411,0.2161422661744325,small
corhscisoc,rd,All other sections,vprogrsv,5.1376,5.2984,3.1535,-0.1608,-0.05098430167823009,negligible
corhscisoc,rd,All other sections,that_rel,3.78,3.2814,2.2784,0.4986,0.21884775718432622,small
corhscisoc,rd,All other sections,jcmp,0.4106,0.3724,0.5612,0.0382,0.0680847329531436,negligible
corhscisoc,rd,All other sections,nonf_vth,2.3729,2.2151,1.5798,0.1578,0.09989716568773425,negligible
corhscisoc,rd,All other sections,att_vth,0.5212,0.4686,0.7237,0.0526,0.07262377330899338,negligible
corhscisoc,rd,All other sections,fact_vth,3.0871,2.5965,1.8647,0.4906,0.2630681099689021,small
corhscisoc,rd,All other sections,lkly_vth,1.8341,1.9047,1.5423,-0.0706,-0.04577676071052158,negligible
corhscisoc,rd,All other sections,att_jth,0.2318,0.233,0.3962,-0.0013,-0.003223525034747926,negligible
corhscisoc,rd,All other sections,fact_jth,0.1671,0.1187,0.3193,0.0484,0.15145002007783334,negligible
corhscisoc,rd,All other sections,lkly_jth,1.16,0.9622,1.4574,0.1978,0.13569090060726763,negligible
corhscisoc,rd,All other sections,nfct_nth,0.0435,0.0523,0.189,-0.0087,-0.046253876998527725,negligible
corhscisoc,rd,All other sections,att_nth,0.0341,0.0404,0.1589,-0.0063,-0.03944956403507951,negligible
corhscisoc,rd,All other sections,fct_nth,0.3176,0.3163,0.5235,0.0014,0.002652232080270977,negligible
corhscisoc,rd,All other sections,lkly_nth,0.4376,0.373,0.7965,0.0647,0.08117337945342806,negligible
corhscisoc,rd,All other sections,spch_vto,0.1271,0.2079,0.4101,-0.0808,-0.19704650706173152,negligible
corhscisoc,rd,All other sections,mntl_vto,0.3671,0.4273,0.6429,-0.0602,-0.09366604247271824,negligible
corhscisoc,rd,All other sections,dsre_vto,0.8424,0.718,0.9025,0.1243,0.13777686485830093,negligible
corhscisoc,rd,All other sections,efrt_vto,0.8729,0.9471,0.9423,-0.0742,-0.07871869355272086,negligible
corhscisoc,rd,All other sections,prob_vto,0.7376,0.7213,0.9591,0.0163,0.017014156833171323,negligible
