Field_Target,Field_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corhscisoc,All other fields,allpro,19.056,14.4238,9.5293,4.6322,0.4861,small
corhscisoc,All other fields,contrac,0.9934,0.4301,1.2583,0.5633,0.4477,small
corhscisoc,All other fields,pro3,7.7305,5.7122,5.0847,2.0183,0.3969,small
corhscisoc,All other fields,topicj,9.0529,6.2327,7.583,2.8202,0.3719,small
corhscisoc,All other fields,humann,7.1564,4.946,6.2186,2.2104,0.3554,small
corhscisoc,All other fields,pro1,11.0201,8.4666,7.6202,2.5535,0.3351,small
corhscisoc,All other fields,abstrcn,36.3529,32.3378,15.314,4.0151,0.2622,small
corhscisoc,All other fields,allverb,106.3398,102.5744,14.946,3.7654,0.2519,small
corhscisoc,All other fields,fact_vth,2.5181,2.0149,2.1228,0.5032,0.2371,small
corhscisoc,All other fields,that_rel,4.068,3.4179,2.7574,0.6501,0.2358,small
corhscisoc,All other fields,lkly_jth,0.9737,0.6622,1.3602,0.3116,0.2291,small
corhscisoc,All other fields,vcmp,5.2347,4.4422,3.4971,0.7925,0.2266,small
corhscisoc,All other fields,pres,58.8328,54.8044,18.9188,4.0284,0.2129,small
corhscisoc,All other fields,all_th,8.3436,7.3741,4.7516,0.9696,0.204,small
corhscisoc,All other fields,inf,10.7127,9.6855,5.0792,1.0273,0.2022,small
corhscisoc,All other fields,all_jth,1.2529,0.9577,1.5032,0.2952,0.1964,negligible
corhscisoc,All other fields,mentalv,13.7815,12.7011,5.6189,1.0804,0.1923,negligible
corhscisoc,All other fields,x1_jto,0.8517,0.6082,1.2797,0.2436,0.1903,negligible
corhscisoc,All other fields,all_jto,1.7985,1.4864,1.7631,0.312,0.177,negligible
corhscisoc,All other fields,aspectpv,0.0178,0.0066,0.0694,0.0111,0.1603,negligible
corhscisoc,All other fields,all_vth,6.4085,5.8225,3.8293,0.586,0.153,negligible
corhscisoc,All other fields,allwhrel,4.3019,3.8911,2.7715,0.4108,0.1482,negligible
corhscisoc,All other fields,pro_do,0.2741,0.1898,0.572,0.0843,0.1474,negligible
corhscisoc,All other fields,prcessn,22.3834,20.7903,11.14,1.5931,0.143,negligible
corhscisoc,All other fields,rel_subj,2.8417,2.5292,2.2136,0.3125,0.1412,negligible
corhscisoc,All other fields,actv,17.2336,16.4294,6.3491,0.8041,0.1267,negligible
corhscisoc,All other fields,advs,30.4031,29.1796,10.0576,1.2235,0.1217,negligible
corhscisoc,All other fields,pdem,2.3077,2.0769,1.9601,0.2308,0.1178,negligible
corhscisoc,All other fields,lkly_nth,0.3699,0.2872,0.7151,0.0827,0.1156,negligible
corhscisoc,All other fields,commv,6.5371,6.0996,4.055,0.4374,0.1079,negligible
corhscisoc,All other fields,all_to,5.7819,5.4033,3.6096,0.3785,0.1049,negligible
corhscisoc,All other fields,wh_ques,0.244,0.174,0.6792,0.0701,0.1031,negligible
corhscisoc,All other fields,nonf_vth,2.088,1.9045,1.838,0.1835,0.0998,negligible
corhscisoc,All other fields,nfct_nth,0.0614,0.0405,0.2226,0.0209,0.0938,negligible
corhscisoc,All other fields,sub_othr,4.0548,3.8312,2.4948,0.2236,0.0896,negligible
corhscisoc,All other fields,all_nth,0.6849,0.5932,1.0285,0.0918,0.0892,negligible
corhscisoc,All other fields,pos_mod,5.5236,5.1759,3.9234,0.3476,0.0886,negligible
corhscisoc,All other fields,allwh,0.5019,0.4223,0.9082,0.0797,0.0877,negligible
corhscisoc,All other fields,x3_jto,0.0212,0.0119,0.1101,0.0094,0.0851,negligible
corhscisoc,All other fields,x2_jto,0.4027,0.3417,0.7317,0.061,0.0833,negligible
corhscisoc,All other fields,have,1.7375,1.5953,1.7621,0.1421,0.0807,negligible
corhscisoc,All other fields,conjncts,6.6131,6.3163,3.8554,0.2968,0.077,negligible
corhscisoc,All other fields,rel_obj,0.5849,0.5219,0.8343,0.0631,0.0756,negligible
corhscisoc,All other fields,timej,0.8988,0.7889,1.6152,0.11,0.0681,negligible
corhscisoc,All other fields,spl_aux,3.0127,2.8896,2.1189,0.1231,0.0581,negligible
corhscisoc,All other fields,o_and,8.4201,8.1523,4.6431,0.2678,0.0577,negligible
corhscisoc,All other fields,cognitn,7.4274,7.1384,5.2313,0.289,0.0552,negligible
corhscisoc,All other fields,x5_jto,0.2923,0.2602,0.5946,0.0321,0.054,negligible
corhscisoc,All other fields,pro2,0.3039,0.2436,1.1823,0.0603,0.051,negligible
corhscisoc,All other fields,prob_vto,0.5305,0.4873,0.9098,0.0432,0.0475,negligible
corhscisoc,All other fields,be_state,1.3452,1.2727,1.5412,0.0725,0.047,negligible
corhscisoc,All other fields,allconj,16.8181,16.56,6.1439,0.2582,0.042,negligible
corhscisoc,All other fields,wcount,1630.4363,1576.5807,1281.7803,53.8556,0.042,negligible
corhscisoc,All other fields,finlprep,0.6923,0.6424,1.2322,0.0499,0.0405,negligible
corhscisoc,All other fields,mentalpv,0.0147,0.0106,0.1065,0.0041,0.0384,negligible
corhscisoc,All other fields,that_del,0.6216,0.5849,0.9637,0.0367,0.0381,negligible
corhscisoc,All other fields,efrt_vto,1.1873,1.1374,1.3486,0.0498,0.0369,negligible
corhscisoc,All other fields,gen_hdg,0.1699,0.1539,0.4391,0.016,0.0364,negligible
corhscisoc,All other fields,allmodal,7.9166,7.7312,5.326,0.1854,0.0348,negligible
corhscisoc,All other fields,pred_adj,5.3162,5.2016,3.3594,0.1146,0.0341,negligible
corhscisoc,All other fields,prtcle,0.0571,0.0489,0.2467,0.0083,0.0335,negligible
corhscisoc,All other fields,all_nto,0.7861,0.7431,1.3059,0.043,0.0329,negligible
corhscisoc,All other fields,vprogrsv,5.5977,5.4841,3.5287,0.1136,0.0322,negligible
corhscisoc,All other fields,prep,134.4703,134.0012,16.131,0.4691,0.0291,negligible
corhscisoc,All other fields,dsre_vto,0.8436,0.8107,1.1371,0.0329,0.029,negligible
corhscisoc,All other fields,rel_pipe,0.871,0.8395,1.1878,0.0315,0.0265,negligible
corhscisoc,All other fields,att_vth,0.4903,0.4691,0.8443,0.0212,0.0251,negligible
corhscisoc,All other fields,existv,8.7332,8.6497,4.0831,0.0835,0.0205,negligible
corhscisoc,All other fields,wh_cl,0.2583,0.2487,0.5827,0.0096,0.0165,negligible
corhscisoc,All other fields,jcmp,0.2429,0.2346,0.5628,0.0082,0.0146,negligible
corhscisoc,All other fields,all_vto,3.2004,3.1737,2.3683,0.0267,0.0113,negligible
corhscisoc,All other fields,pany,0.751,0.7475,1.0303,0.0035,0.0034,negligible
corhscisoc,All other fields,copulapv,0.0151,0.0155,0.1329,-0.0005,-0.0035,negligible
corhscisoc,All other fields,fct_nth,0.2239,0.2267,0.6082,-0.0027,-0.0045,negligible
corhscisoc,All other fields,mntl_vto,0.4402,0.4441,0.8093,-0.004,-0.0049,negligible
corhscisoc,All other fields,ttr,30.7958,30.8188,2.9289,-0.023,-0.0079,negligible
corhscisoc,All other fields,occurpv,0.0012,0.0022,0.0967,-0.0011,-0.0111,negligible
corhscisoc,All other fields,prd_mod,1.5529,1.5773,2.0012,-0.0244,-0.0122,negligible
corhscisoc,All other fields,sua_vb,1.5691,1.5926,1.7869,-0.0235,-0.0131,negligible
corhscisoc,All other fields,wrlengh,5.3876,5.3925,0.3005,-0.0049,-0.0162,negligible
corhscisoc,All other fields,whiz_vbn,3.5745,3.6221,2.5566,-0.0476,-0.0186,negligible
corhscisoc,All other fields,fact_jth,0.0853,0.0915,0.3212,-0.0062,-0.0192,negligible
corhscisoc,All other fields,att_jth,0.1938,0.2041,0.4975,-0.0103,-0.0207,negligible
corhscisoc,All other fields,atadvl,0.0575,0.063,0.2564,-0.0054,-0.0212,negligible
corhscisoc,All other fields,perfects,4.6795,4.7639,3.7075,-0.0844,-0.0228,negligible
corhscisoc,All other fields,gen_emph,1.471,1.5119,1.6868,-0.0409,-0.0242,negligible
corhscisoc,All other fields,n,340.683,341.5472,33.2359,-0.8642,-0.026,negligible
corhscisoc,All other fields,commpv,0.0413,0.0493,0.2709,-0.008,-0.0296,negligible
corhscisoc,All other fields,colorj,0.0888,0.105,0.5441,-0.0162,-0.0299,negligible
corhscisoc,All other fields,tm_adv,1.7162,1.7715,1.7832,-0.0553,-0.031,negligible
corhscisoc,All other fields,it,3.7328,3.8626,3.1495,-0.1298,-0.0412,negligible
corhscisoc,All other fields,sub_cnd,0.8224,0.8815,1.3224,-0.0591,-0.0447,negligible
corhscisoc,All other fields,sub_cos,0.7085,0.7597,1.104,-0.0512,-0.0464,negligible
