filename,ttr,wrlengh,wcount,that_del,contrac,pres,pro2,pro_do,pdem,gen_emph,pro1,it,be_state,sub_cos,prtcle,pany,gen_hdg,amplifr,wh_ques,pos_mod,o_and,wh_cl,finlprep,n,prep,adj_attr,pasttnse,pro3,perfects,rel_obj,rel_subj,rel_pipe,p_and,tm_adv,pl_adv,advs,inf,prd_mod,sua_vb,sub_cnd,nec_mod,spl_aux,conjncts,agls_psv,by_pasv,whiz_vbn,sub_othr,vcmp,downtone,pred_adj,allmodal,allconj,allpasv,allwh,allwhrel,alladj,allpro,have,allverb,vprogrsv,that_rel,jcmp,nonf_vth,att_vth,fact_vth,lkly_vth,att_jth,fact_jth,lkly_jth,nfct_nth,att_nth,fct_nth,lkly_nth,spch_vto,mntl_vto,dsre_vto,efrt_vto,prob_vto,x1_jto,x2_jto,x3_jto,x4_jto,x5_jto,all_nto,nonfadvl,atadvl,fctadvl,lklydvl,all_vth,all_jth,all_nth,all_th,all_vto,all_jto,all_to,all_advl,act_ipv,act_tpv,mentalpv,commpv,occurpv,copulapv,aspectpv,humann,prcessn,cognitn,abstrcn,concrtn,tccncrt,quann,placen,groupn,sizej,timej,colorj,evalj,relatnj,topicj,actv,commv,mentalv,causev,occurv,existv,aspectv
corhscipp.pone.abs.005.txt,26.8,5.3,296,0,0,30.4,0,0,0,6.8,10.1,0,3.4,0,0,3.4,0,10.1,0,3.4,6.8,0,3.4,297.3,138.5,70.9,60.8,13.5,0,0,0,0,0,0,3.4,30.4,10.1,0,0,0,0,0,3.4,3.4,3.4,3.4,3.4,0,6.8,3.4,3.4,10.1,10.1,0,0,98,23.6,3.4,111.5,16.9,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.4,0,0,0,0,0,0,3.4,0,0,3.4,0,0,0,0,0,6.8,0,10.1,3.4,0,0,0,0,0,0,0,0,20.3,3.4,37.2,6.8,70.9,0,0,0,0,0,0,0,10.1,6.8,20.3,0,3.4,3.4,3.4,10.1,0
corsscidem.pone.abs.013.txt,24,5.8,297,0,0,33.7,0,0,0,0,0,0,3.4,3.4,0,0,0,3.4,0,3.4,3.4,0,0,356.9,161.6,64,26.9,0,3.4,0,6.7,0,6.7,0,3.4,23.6,6.7,6.7,0,0,0,0,0,10.1,0,3.4,0,0,0,3.4,10.1,13.5,13.5,0,6.7,104.4,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.4,0,0,0,0,0,0,0,0,0,0,0,0,10.1,3.4,30.3,10.1,0,30.3,0,0,3.4,0,0,0,3.4,0,6.7,0,6.7,0,6.7,3.4,0
corhsciant.pone.abs.028.txt,32.8,5.7,299,0,0,70.2,0,0,0,3.3,20.1,3.3,0,0,0,3.3,0,0,0,6.7,10,0,0,351.2,123.7,60.2,16.7,13.4,13.4,0,3.3,0,3.3,0,0,53.5,16.7,0,3.3,0,0,13.4,20.1,23.4,0,0,0,6.7,0,3.3,6.7,13.4,23.4,0,3.3,70.2,33.4,0,103.7,0,3.3,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,3.3,0,3.3,0,0,3.3,0,3.3,0,0,3.3,3.3,3.3,10,3.3,0,0,0,0,0,0,0,0,26.8,6.7,16.7,13.4,3.3,0,10,0,0,0,0,0,6.7,6.7,23.4,6.7,10,3.3,0,6.7,0
corhscipp.pone.int.012.txt,33.3,5.4,299,0,0,53.5,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,347.8,137.1,73.6,33.4,0,20.1,0,0,0,6.7,0,0,20.1,20.1,0,3.3,0,0,3.3,3.3,10,0,0,3.3,10,6.7,0,0,16.7,10,0,0,76.9,0,0,123.7,0,10,0,0,3.3,10,0,0,0,0,0,0,0,0,0,0,3.3,6.7,0,0,0,0,0,0,0,0,0,0,0,13.4,0,0,13.4,10,0,10,0,0,0,0,0,0,0,0,0,43.5,6.7,43.5,0,6.7,10,0,0,0,0,0,0,3.3,3.3,13.4,0,20.1,13.4,10,16.7,0
corllartslan.pone.abs.073.txt,31,5.8,299,0,0,87,0,0,0,3.3,6.7,0,3.3,0,0,0,0,0,0,6.7,3.3,0,0,371.2,107,76.9,13.4,0,0,3.3,6.7,0,3.3,0,0,36.8,6.7,3.3,6.7,0,0,0,13.4,16.7,0,0,0,0,0,3.3,10,6.7,16.7,0,10,107,6.7,0,113.7,6.7,3.3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,3.3,0,0,0,0,0,0,0,0,10,0,0,10,3.3,3.3,6.7,0,0,0,0,0,0,0,0,0,56.9,3.3,60.2,13.4,26.8,3.3,0,0,0,0,0,0,6.7,3.3,30.1,10,3.3,20.1,0,6.7,0
corhscied.pone.con.066.txt,27.3,5.6,300,0,0,73.3,0,0,6.7,3.3,0,10,0,0,0,0,0,6.7,0,0,13.3,0,0,303.3,150,63.3,10,6.7,6.7,3.3,3.3,0,10,0,3.3,30,16.7,3.3,3.3,0,0,3.3,13.3,13.3,0,6.7,0,16.7,0,3.3,3.3,23.3,20,0,6.7,90,6.7,3.3,113.3,6.7,0,0,0,3.3,6.7,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,0,0,13.3,0,0,0,0,0,3.3,0,0,0,0,0,10,36.7,16.7,23.3,10,3.3,0,0,16.7,10,0,0,3.3,0,0,33.3,0,16.7,0,0,0,0
corhscigeo.pone.abs.010.txt,28.5,5.2,300,0,0,70,0,0,3.3,3.3,13.3,6.7,0,0,0,3.3,0,0,0,0,16.7,0,0,360,143.3,120,13.3,0,10,0,0,0,0,0,13.3,30,3.3,3.3,0,0,0,0,3.3,6.7,3.3,0,0,10,6.7,6.7,3.3,16.7,10,0,0,140,13.3,0,96.7,10,3.3,0,6.7,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,10,0,0,10,0,3.3,3.3,0,0,0,0,0,0,0,0,0,6.7,3.3,30,10,0,6.7,40,0,3.3,3.3,0,0,3.3,10,10,10,10,6.7,13.3,6.7,0
corhscisoc.pone.abs.011.txt,30.3,5.7,300,0,0,36.7,0,0,3.3,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,366.7,146.7,66.7,46.7,10,3.3,0,0,0,0,0,0,10,6.7,3.3,0,0,3.3,3.3,3.3,16.7,6.7,0,0,0,3.3,0,6.7,0,23.3,0,0,80,10,0,120,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,3.3,3.3,0,0,0,0,0,0,0,0,6.7,20,3.3,43.3,3.3,3.3,6.7,6.7,3.3,0,0,0,0,3.3,20,23.3,6.7,6.7,3.3,10,0,0
corsscicom.pone.abs.019.txt,30.3,5.7,300,0,0,36.7,0,0,3.3,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,366.7,146.7,66.7,46.7,10,3.3,0,0,0,0,0,0,10,6.7,3.3,0,0,3.3,3.3,3.3,16.7,6.7,0,0,0,3.3,0,6.7,0,23.3,0,0,80,10,0,120,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,3.3,3.3,0,0,0,0,0,0,0,0,6.7,20,3.3,43.3,3.3,3.3,6.7,6.7,3.3,0,0,0,0,3.3,20,23.3,6.7,6.7,3.3,10,0,0
corsscills.pone.abs.023.txt,25.3,5.1,300,0,0,33.3,0,0,0,0,6.7,3.3,6.7,0,0,0,0,0,0,6.7,0,0,0,346.7,206.7,43.3,33.3,3.3,3.3,0,0,0,0,3.3,0,10,3.3,0,3.3,0,0,0,6.7,10,0,20,0,0,0,6.7,6.7,0,30,0,0,73.3,10,0,96.7,6.7,3.3,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,3.3,0,3.3,0,3.3,3.3,0,0,0,0,0,0,0,0,6.7,13.3,0,13.3,0,10,13.3,20,0,0,0,0,0,3.3,6.7,13.3,0,13.3,3.3,3.3,0,0
