Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corllartslan,abs,All other sections,ttr,31.55,30.9379,2.7443,0.6121,0.22306040681012274,small
corllartslan,abs,All other sections,wrlengh,5.7,5.5367,0.2989,0.1633,0.5462280337466919,medium
corllartslan,abs,All other sections,wcount,362.75,386.0226,172.446,-23.2726,-0.13495583373408188,negligible
corllartslan,abs,All other sections,that_del,0.0,0.6011,1.4293,-0.6011,-0.42057120705154244,small
corllartslan,abs,All other sections,contrac,0.0,0.3119,1.0832,-0.3119,-0.287918911240052,small
corllartslan,abs,All other sections,pres,53.7,43.9412,17.825,9.7588,0.547475830585712,medium
corllartslan,abs,All other sections,pro2,0.0,0.0559,0.7298,-0.0559,-0.07664477926109195,negligible
corllartslan,abs,All other sections,pro_do,0.0,0.1729,0.6856,-0.1729,-0.2521736235990688,small
corllartslan,abs,All other sections,pdem,0.6375,1.3503,2.2776,-0.7128,-0.3129507284502541,small
corllartslan,abs,All other sections,gen_emph,0.675,1.5119,2.8692,-0.8369,-0.29167095179453084,small
corllartslan,abs,All other sections,pro1,17.775,7.7718,7.8875,10.0032,1.26824195252546,large
corllartslan,abs,All other sections,it,3.4,2.6243,3.1532,0.7757,0.24600759307443104,small
corllartslan,abs,All other sections,be_state,1.525,0.7723,1.5733,0.7527,0.4784242523970598,small
corllartslan,abs,All other sections,sub_cos,0.0,0.322,1.0335,-0.322,-0.3115813469165946,small
corllartslan,abs,All other sections,prtcle,0.0,0.0407,0.33,-0.0407,-0.12327145487855168,negligible
corllartslan,abs,All other sections,pany,0.325,0.5599,1.3709,-0.2349,-0.17133878996664556,negligible
corllartslan,abs,All other sections,gen_hdg,0.0,0.0299,0.2837,-0.0299,-0.10553769858445966,negligible
corllartslan,abs,All other sections,amplifr,1.375,0.7102,1.5953,0.6648,0.41674102640778393,small
corllartslan,abs,All other sections,wh_ques,0.0,0.6124,1.604,-0.6124,-0.38180274698972955,small
corllartslan,abs,All other sections,pos_mod,5.45,3.9435,4.453,1.5065,0.3383092282146495,small
corllartslan,abs,All other sections,o_and,8.225,8.4542,6.2727,-0.2292,-0.036545141760324695,negligible
corllartslan,abs,All other sections,wh_cl,0.0,0.3316,0.967,-0.3316,-0.3429544238675307,small
corllartslan,abs,All other sections,finlprep,0.4125,0.3011,0.9563,0.1114,0.11645471898767913,negligible
corllartslan,abs,All other sections,n,350.1125,365.7836,39.5597,-15.6711,-0.3961381355924003,small
corllartslan,abs,All other sections,prep,131.65,137.3339,22.9447,-5.6839,-0.24772201769709934,small
corllartslan,abs,All other sections,adj_attr,80.175,76.0079,24.9529,4.1671,0.16699816505652493,negligible
corllartslan,abs,All other sections,pasttnse,27.5,31.4864,15.972,-3.9864,-0.2495887570179917,small
corllartslan,abs,All other sections,pro3,4.725,5.2441,5.5922,-0.5191,-0.09282006819668485,negligible
corllartslan,abs,All other sections,perfects,3.325,3.5492,3.3387,-0.2242,-0.06713847026255519,negligible
corllartslan,abs,All other sections,rel_obj,0.675,0.4147,1.1308,0.2603,0.23019405156412667,small
corllartslan,abs,All other sections,rel_subj,3.975,2.1237,2.536,1.8513,0.7299939905829377,medium
corllartslan,abs,All other sections,rel_pipe,1.525,0.7921,2.122,0.7329,0.3453870474273251,small
corllartslan,abs,All other sections,p_and,2.2375,3.3124,4.3102,-1.0749,-0.24939017595565424,small
corllartslan,abs,All other sections,tm_adv,1.7625,1.3537,1.9555,0.4088,0.20906996048282656,small
corllartslan,abs,All other sections,pl_adv,2.4875,4.1136,8.474,-1.6261,-0.19188886247088813,negligible
corllartslan,abs,All other sections,advs,27.7375,23.2164,12.3097,4.5211,0.3672818962682041,small
corllartslan,abs,All other sections,inf,11.4375,10.3525,6.9916,1.085,0.15518096096563824,negligible
corllartslan,abs,All other sections,prd_mod,0.75,1.0141,2.0544,-0.2641,-0.12856414826090576,negligible
corllartslan,abs,All other sections,sua_vb,2.6625,1.6249,2.2696,1.0376,0.45719585690907133,small
corllartslan,abs,All other sections,sub_cnd,0.2625,0.3508,1.2642,-0.0883,-0.06988286161946337,negligible
corllartslan,abs,All other sections,nec_mod,0.8125,0.7017,1.6062,0.1108,0.06898728343106754,negligible
corllartslan,abs,All other sections,spl_aux,1.5875,2.0311,2.6426,-0.4436,-0.16785771875764297,negligible
corllartslan,abs,All other sections,conjncts,5.675,4.8695,5.4251,0.8055,0.148477159940299,negligible
corllartslan,abs,All other sections,agls_psv,10.325,11.3271,7.9077,-1.0021,-0.1267272737301892,negligible
corllartslan,abs,All other sections,by_pasv,0.375,1.4763,2.2395,-1.1013,-0.4917582215430879,small
corllartslan,abs,All other sections,whiz_vbn,2.65,3.9045,3.6123,-1.2545,-0.3472895212951718,small
corllartslan,abs,All other sections,sub_othr,2.4875,2.8684,3.2245,-0.3809,-0.11811656179356354,negligible
corllartslan,abs,All other sections,vcmp,6.1875,3.8814,4.0824,2.3061,0.5649045505375114,medium
corllartslan,abs,All other sections,downtone,1.2875,1.6718,2.4502,-0.3843,-0.1568266033189697,negligible
corllartslan,abs,All other sections,pred_adj,4.8375,4.3209,4.0398,0.5166,0.1278780447614003,negligible
corllartslan,abs,All other sections,allmodal,7.0,5.6576,5.1953,1.3424,0.2583813003828291,small
corllartslan,abs,All other sections,allconj,13.2125,15.3068,9.1591,-2.0943,-0.2286561161179068,small
corllartslan,abs,All other sections,allpasv,13.35,16.7136,8.5836,-3.3636,-0.39185824976782824,small
corllartslan,abs,All other sections,allwh,0.0,0.9446,1.8255,-0.9446,-0.5174571619536978,medium
corllartslan,abs,All other sections,allwhrel,6.2,3.3294,3.6083,2.8706,0.795554208240353,medium
corllartslan,abs,All other sections,alladj,109.325,100.0062,28.2158,9.3188,0.3302687920429598,small
corllartslan,abs,All other sections,allpro,22.5125,13.0751,10.5326,9.4374,0.8960121072448889,large
corllartslan,abs,All other sections,have,0.6875,1.5102,2.3979,-0.8227,-0.34308334245233874,small
corllartslan,abs,All other sections,allverb,110.875,99.2446,18.6415,11.6304,0.6238955435877622,medium
corllartslan,abs,All other sections,vprogrsv,8.4,5.6062,4.5548,2.7938,0.6133694137593999,medium
corllartslan,abs,All other sections,that_rel,2.8875,2.5158,3.0755,0.3717,0.12085137234564314,negligible
corllartslan,abs,All other sections,jcmp,0.0,0.1407,0.6215,-0.1407,-0.22635051448613946,small
corllartslan,abs,All other sections,nonf_vth,1.825,2.0915,2.5594,-0.2665,-0.10413391997726609,negligible
corllartslan,abs,All other sections,att_vth,1.25,0.2915,1.2142,0.9585,0.7893822423805473,medium
corllartslan,abs,All other sections,fact_vth,2.975,1.8407,2.7435,1.1343,0.41346413709189817,small
corllartslan,abs,All other sections,lkly_vth,1.8,1.0412,2.2904,0.7588,0.3312730694310532,small
corllartslan,abs,All other sections,att_jth,0.4125,0.1305,0.6239,0.282,0.4519469306813976,small
corllartslan,abs,All other sections,fact_jth,0.0,0.0175,0.1749,-0.0175,-0.10015820202763118,negligible
corllartslan,abs,All other sections,lkly_jth,0.0,0.7271,2.065,-0.7271,-0.3521072964684055,small
corllartslan,abs,All other sections,nfct_nth,0.0,0.0051,0.0663,-0.0051,-0.07664477926109195,negligible
corllartslan,abs,All other sections,att_nth,0.0,0.0175,0.2285,-0.0175,-0.07664477926109194,negligible
corllartslan,abs,All other sections,fct_nth,0.3375,0.1684,1.2909,0.1691,0.13102230890665115,negligible
corllartslan,abs,All other sections,lkly_nth,0.775,0.1322,0.7472,0.6428,0.8603112822250836,large
corllartslan,abs,All other sections,spch_vto,0.4125,0.2881,1.011,0.1244,0.12301598781641372,negligible
corllartslan,abs,All other sections,mntl_vto,0.4,0.2599,0.8906,0.1401,0.15732676897685727,negligible
corllartslan,abs,All other sections,dsre_vto,1.3375,1.1192,1.8041,0.2183,0.12099620830155987,negligible
corllartslan,abs,All other sections,efrt_vto,0.4125,0.9819,1.9142,-0.5694,-0.29747437053776554,small
corllartslan,abs,All other sections,prob_vto,0.0,0.2887,1.0991,-0.2887,-0.26266427196390885,small
corllartslan,abs,All other sections,x1_jto,0.5875,0.7893,2.1996,-0.2018,-0.09172826447986863,negligible
corllartslan,abs,All other sections,x2_jto,0.825,0.3565,1.2872,0.4685,0.36398233099262767,small
corllartslan,abs,All other sections,x3_jto,0.0,0.0,0.0,0.0,,
corllartslan,abs,All other sections,x4_jto,0.2625,0.1616,0.7045,0.1009,0.14323920990623537,negligible
corllartslan,abs,All other sections,x5_jto,0.4125,0.1571,0.6762,0.2554,0.377740611260476,small
corllartslan,abs,All other sections,all_nto,0.0,0.7972,2.0648,-0.7972,-0.3860819478220663,small
corllartslan,abs,All other sections,nonfadvl,0.925,0.5158,1.4,0.4092,0.29226763163749603,small
corllartslan,abs,All other sections,atadvl,0.0,0.0203,0.1874,-0.0203,-0.10853206693001922,negligible
corllartslan,abs,All other sections,fctadvl,0.6,0.1429,0.6929,0.4571,0.6596610476621274,medium
corllartslan,abs,All other sections,lklydvl,0.2625,0.1729,0.82,0.0896,0.10929130446499959,negligible
corllartslan,abs,All other sections,all_vth,7.85,5.2605,4.6241,2.5895,0.5600153924847149,medium
corllartslan,abs,All other sections,all_jth,0.4125,0.8751,2.1191,-0.4626,-0.21832468547401782,small
corllartslan,abs,All other sections,all_nth,1.1125,0.3232,1.4839,0.7893,0.531916864936978,medium
corllartslan,abs,All other sections,all_th,9.3625,6.4554,5.44,2.9071,0.5344000300278272,medium
corllartslan,abs,All other sections,all_vto,2.5625,2.9328,3.2218,-0.3703,-0.11492443074654202,negligible
corllartslan,abs,All other sections,all_jto,2.0875,1.4627,2.7236,0.6248,0.22939543801152298,small
corllartslan,abs,All other sections,all_to,4.6625,5.1932,4.9746,-0.5307,-0.10668680378893526,negligible
corllartslan,abs,All other sections,all_advl,1.7875,0.8531,1.9021,0.9344,0.4912432514968509,small
corllartslan,abs,All other sections,act_ipv,0.0,0.0,0.0,0.0,,
corllartslan,abs,All other sections,act_tpv,0.4,0.3243,1.188,0.0757,0.06372458752905198,negligible
corllartslan,abs,All other sections,mentalpv,0.0,0.0045,0.059,-0.0045,-0.07664477926109194,negligible
corllartslan,abs,All other sections,commpv,0.0,0.0,0.0,0.0,,
corllartslan,abs,All other sections,occurpv,0.0,0.0,0.0,0.0,,
corllartslan,abs,All other sections,copulapv,0.0,0.0186,0.2433,-0.0186,-0.07664477926109192,negligible
corllartslan,abs,All other sections,aspectpv,0.0,0.0,0.0,0.0,,
corllartslan,abs,All other sections,humann,5.125,5.2627,8.106,-0.1377,-0.016988792287048998,negligible
corllartslan,abs,All other sections,prcessn,28.475,21.5192,13.6938,6.9558,0.5079522828550459,medium
corllartslan,abs,All other sections,cognitn,5.3625,6.6136,5.7708,-1.2511,-0.21679316622527214,small
corllartslan,abs,All other sections,abstrcn,41.8,38.9831,23.2262,2.8169,0.12128323471394668,negligible
corllartslan,abs,All other sections,concrtn,4.5875,8.5345,9.3995,-3.947,-0.4199134916549325,small
corllartslan,abs,All other sections,tccncrt,6.9125,4.9079,7.4094,2.0046,0.27054823845225306,small
corllartslan,abs,All other sections,quann,6.8,6.5051,6.1134,0.2949,0.04824070069385105,negligible
corllartslan,abs,All other sections,placen,3.175,5.3949,7.3247,-2.2199,-0.3030708900130045,small
corllartslan,abs,All other sections,groupn,3.5,3.6017,6.106,-0.1017,-0.016655041043708012,negligible
corllartslan,abs,All other sections,sizej,4.6,1.722,3.1413,2.878,0.9161696602388856,large
corllartslan,abs,All other sections,timej,1.4,0.9605,2.3532,0.4395,0.18678814914289113,negligible
corllartslan,abs,All other sections,colorj,0.0,0.0627,0.5338,-0.0627,-0.11747132555039236,negligible
corllartslan,abs,All other sections,evalj,1.025,0.9508,1.798,0.0742,0.0412411845944679,negligible
corllartslan,abs,All other sections,relatnj,4.3,4.9497,4.4377,-0.6497,-0.1464071875846481,negligible
corllartslan,abs,All other sections,topicj,1.1125,8.8791,9.8215,-7.7666,-0.7907785071651947,medium
corllartslan,abs,All other sections,actv,21.8625,15.1395,7.8461,6.723,0.8568486425457572,large
corllartslan,abs,All other sections,commv,7.625,5.6175,5.5593,2.0075,0.36110578815374045,small
corllartslan,abs,All other sections,mentalv,18.0375,12.3853,6.6326,5.6522,0.8521800011777627,large
corllartslan,abs,All other sections,causev,4.3375,2.874,3.3917,1.4635,0.43149169989438846,small
corllartslan,abs,All other sections,occurv,2.1625,3.1661,3.2836,-1.0036,-0.30564035273932416,small
corllartslan,abs,All other sections,existv,7.4125,7.5695,5.587,-0.157,-0.028099338631089883,negligible
corllartslan,abs,All other sections,aspectv,0.825,0.5045,1.3872,0.3205,0.2310266513265292,small
