Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corllartslan,con,All other sections,ttr,29.2067,30.4449,2.898,-1.2382,-0.42726163710171217,small
corllartslan,con,All other sections,wrlengh,5.3133,5.4915,0.2823,-0.1782,-0.6310902478266712,medium
corllartslan,con,All other sections,wcount,569.0,576.2756,298.0371,-7.2756,-0.024411790796067333,negligible
corllartslan,con,All other sections,that_del,0.8133,0.6502,1.4052,0.1632,0.1161085037057963,negligible
corllartslan,con,All other sections,contrac,0.3133,0.4216,1.0724,-0.1082,-0.10091466104574771,negligible
corllartslan,con,All other sections,pres,65.1467,64.2226,16.9351,0.9241,0.05456445784038929,negligible
corllartslan,con,All other sections,pro2,0.2533,0.0322,0.2829,0.2212,0.7817388999199361,medium
corllartslan,con,All other sections,pro_do,0.2133,0.2113,0.6552,0.002,0.0030919043107779085,negligible
corllartslan,con,All other sections,pdem,1.8733,2.9092,2.8806,-1.0359,-0.35959073956985615,small
corllartslan,con,All other sections,gen_emph,1.2867,1.5261,1.8932,-0.2395,-0.12649343204564734,negligible
corllartslan,con,All other sections,pro1,14.06,10.1827,9.2424,3.8773,0.41951529487219963,small
corllartslan,con,All other sections,it,5.6733,5.083,3.9753,0.5903,0.14848868918102784,negligible
corllartslan,con,All other sections,be_state,2.76,2.2237,2.48,0.5363,0.21625601941453412,small
corllartslan,con,All other sections,sub_cos,0.78,0.6657,1.3243,0.1143,0.08629088367427377,negligible
corllartslan,con,All other sections,prtcle,0.0,0.0541,0.3322,-0.0541,-0.1627511127075796,negligible
corllartslan,con,All other sections,pany,0.44,0.6145,1.1507,-0.1745,-0.15164189973065595,negligible
corllartslan,con,All other sections,gen_hdg,0.1467,0.1664,0.626,-0.0198,-0.03157350450738993,negligible
corllartslan,con,All other sections,amplifr,1.8733,1.5933,1.9629,0.28,0.14266723764660608,negligible
corllartslan,con,All other sections,wh_ques,0.1,0.0989,0.6562,0.0011,0.0016155161229551309,negligible
