Field_Target,Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
corllartslan,int,All other sections,ttr,31.3622,31.8528,2.2363,-0.4906,-0.21937428803607584,small
corllartslan,int,All other sections,wrlengh,5.4122,5.5344,0.2716,-0.1222,-0.44979623194757884,small
corllartslan,int,All other sections,wcount,1353.9,1162.7061,885.1431,191.1939,0.21600335586634145,small
corllartslan,int,All other sections,that_del,0.3889,0.4715,0.7711,-0.0826,-0.10712635184234721,negligible
corllartslan,int,All other sections,contrac,0.0356,0.5136,1.1232,-0.4781,-0.4256147646438041,small
corllartslan,int,All other sections,pres,65.9922,62.7755,14.821,3.2167,0.21703602406314865,small
corllartslan,int,All other sections,pro2,0.0511,0.0952,0.498,-0.0441,-0.08862591791424976,negligible
corllartslan,int,All other sections,pro_do,0.1533,0.2085,0.5724,-0.0551,-0.09630409003170054,negligible
corllartslan,int,All other sections,pdem,2.1267,1.8621,1.8026,0.2646,0.14678238182344266,negligible
corllartslan,int,All other sections,gen_emph,1.8967,1.5959,1.669,0.3008,0.18021483025052704,negligible
corllartslan,int,All other sections,pro1,8.5489,6.3056,5.8253,2.2433,0.3851017822208699,small
corllartslan,int,All other sections,it,5.26,4.3756,3.3516,0.8844,0.2638749300021606,small
corllartslan,int,All other sections,be_state,1.6967,1.3031,1.5774,0.3936,0.2495243637199867,small
corllartslan,int,All other sections,sub_cos,0.6556,0.7774,1.1705,-0.1218,-0.10407593459080831,negligible
corllartslan,int,All other sections,prtcle,0.0756,0.0529,0.2813,0.0227,0.08053691883696452,negligible
corllartslan,int,All other sections,pany,0.8889,0.8078,1.0878,0.0811,0.07453327664027412,negligible
corllartslan,int,All other sections,gen_hdg,0.0844,0.1284,0.4609,-0.044,-0.09541739004338715,negligible
corllartslan,int,All other sections,amplifr,1.4922,1.1932,1.4867,0.2991,0.20115522373174366,small
corllartslan,int,All other sections,wh_ques,0.0978,0.2445,0.737,-0.1467,-0.19911249223517402,negligible
corllartslan,int,All other sections,pos_mod,6.3856,5.7451,3.9365,0.6405,0.1626991953697599,negligible
corllartslan,int,All other sections,o_and,8.5811,8.9596,4.8903,-0.3785,-0.0773923713658144,negligible
corllartslan,int,All other sections,wh_cl,0.3678,0.2584,0.5968,0.1094,0.1833319305965859,negligible
corllartslan,int,All other sections,finlprep,0.8733,0.5074,0.9764,0.3659,0.3747730082715285,small
corllartslan,int,All other sections,n,330.8178,344.0251,30.5606,-13.2073,-0.43216899242664986,small
corllartslan,int,All other sections,prep,134.5956,135.3914,15.4181,-0.7958,-0.05161666995632402,negligible
corllartslan,int,All other sections,adj_attr,77.8133,80.7899,19.1275,-2.9765,-0.1556150367989952,negligible
corllartslan,int,All other sections,pasttnse,14.8578,16.4605,9.3133,-1.6028,-0.17209400396579796,negligible
corllartslan,int,All other sections,pro3,6.2022,6.527,5.1705,-0.3248,-0.06280821751090548,negligible
corllartslan,int,All other sections,perfects,6.0889,7.1391,4.0062,-1.0502,-0.2621564546907759,small
corllartslan,int,All other sections,rel_obj,0.5867,0.5688,0.8874,0.0178,0.02008874922549668,negligible
corllartslan,int,All other sections,rel_subj,2.6078,2.4719,2.1671,0.1359,0.06270068264299967,negligible
corllartslan,int,All other sections,rel_pipe,1.0756,0.9442,1.2726,0.1314,0.1032159765452316,negligible
corllartslan,int,All other sections,p_and,3.4867,3.4518,2.7587,0.0349,0.012649006717441943,negligible
corllartslan,int,All other sections,tm_adv,2.01,1.7381,1.7715,0.2719,0.15349736677404133,negligible
corllartslan,int,All other sections,pl_adv,4.0656,3.1243,3.2333,0.9412,0.2911112296445468,small
corllartslan,int,All other sections,advs,34.2789,31.2419,9.6144,3.0369,0.31587417451133887,small
corllartslan,int,All other sections,inf,9.01,11.1348,5.238,-2.1248,-0.4056513496971567,small
corllartslan,int,All other sections,prd_mod,1.7444,1.6462,2.0959,0.0982,0.04686725820494825,negligible
corllartslan,int,All other sections,sua_vb,1.7,1.8025,1.9041,-0.1025,-0.05382988186270991,negligible
corllartslan,int,All other sections,sub_cnd,0.94,0.7193,1.151,0.2207,0.19172971864336402,negligible
corllartslan,int,All other sections,nec_mod,0.9378,0.8795,1.3448,0.0582,0.043300526245541864,negligible
corllartslan,int,All other sections,spl_aux,3.6367,3.4771,2.3584,0.1596,0.06767837838096832,negligible
corllartslan,int,All other sections,conjncts,7.5578,7.1071,3.8443,0.4507,0.11723700935367942,negligible
corllartslan,int,All other sections,agls_psv,10.9511,10.3316,4.9884,0.6195,0.12419839614858395,negligible
corllartslan,int,All other sections,by_pasv,2.1544,1.8495,1.6795,0.3049,0.18156021499586844,negligible
corllartslan,int,All other sections,whiz_vbn,2.9378,3.08,2.2507,-0.1423,-0.06320555306655695,negligible
corllartslan,int,All other sections,sub_othr,4.1167,3.8017,2.5383,0.315,0.12409156753278301,negligible
corllartslan,int,All other sections,vcmp,4.9644,4.5571,3.3587,0.4074,0.12128411589879111,negligible
corllartslan,int,All other sections,downtone,2.36,2.3167,1.8336,0.0433,0.023589095937989926,negligible
corllartslan,int,All other sections,pred_adj,5.5767,4.8498,3.1126,0.7269,0.23353716650905107,small
corllartslan,int,All other sections,allmodal,9.0622,8.268,5.041,0.7943,0.1575601518740785,negligible
corllartslan,int,All other sections,allconj,17.7722,17.7127,6.4397,0.0595,0.009239693370534657,negligible
corllartslan,int,All other sections,allpasv,16.0478,15.2616,5.9533,0.7862,0.13205801089163136,negligible
corllartslan,int,All other sections,allwh,0.4644,0.5025,0.9738,-0.0381,-0.03907518623742854,negligible
corllartslan,int,All other sections,allwhrel,4.2622,3.985,2.8247,0.2772,0.09813503676207547,negligible
corllartslan,int,All other sections,alladj,103.7,104.2347,20.8576,-0.5347,-0.025635877762898295,negligible
corllartslan,int,All other sections,allpro,14.8022,12.9292,7.9648,1.873,0.23516024351066722,small
corllartslan,int,All other sections,have,1.2233,1.339,1.4656,-0.1157,-0.07895399970369824,negligible
corllartslan,int,All other sections,allverb,101.4689,102.2151,14.9178,-0.7462,-0.05002414420886657,negligible
corllartslan,int,All other sections,vprogrsv,5.0111,5.7742,3.7562,-0.7631,-0.2031643576212959,small
corllartslan,int,All other sections,that_rel,3.6856,3.8985,2.873,-0.2129,-0.07410974718919927,negligible
corllartslan,int,All other sections,jcmp,0.2467,0.1824,0.4713,0.0643,0.13644320948577954,negligible
corllartslan,int,All other sections,nonf_vth,2.0489,1.9555,1.9294,0.0934,0.048414955996781535,negligible
corllartslan,int,All other sections,att_vth,0.4411,0.5109,0.8729,-0.0698,-0.07991488640147985,negligible
corllartslan,int,All other sections,fact_vth,2.2933,2.2206,2.2436,0.0727,0.03241332773611888,negligible
corllartslan,int,All other sections,lkly_vth,1.2433,1.4035,1.6086,-0.1602,-0.09959485390577479,negligible
corllartslan,int,All other sections,att_jth,0.2,0.2107,0.4916,-0.0107,-0.02178486318416315,negligible
corllartslan,int,All other sections,fact_jth,0.0956,0.0829,0.3102,0.0126,0.04069597736833938,negligible
corllartslan,int,All other sections,lkly_jth,0.4167,0.6068,1.0356,-0.1902,-0.18363343467536122,negligible
corllartslan,int,All other sections,nfct_nth,0.0667,0.0473,0.2621,0.0194,0.07402158895548366,negligible
corllartslan,int,All other sections,att_nth,0.0567,0.0481,0.2171,0.0086,0.039616450444443695,negligible
corllartslan,int,All other sections,fct_nth,0.2189,0.2107,0.5511,0.0082,0.014844610960950758,negligible
